County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,bachelors_and_above_percentage,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,median_household_income,asian_population,per_capita_income,total_population_race,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,Year
Alamosa County,Colorado,76.5253065439348,8,3,15.3,12652,15750,10.2,21.8,270,20.3,585,78.3,0.5004,182,7.2,13.9,10.1,38045,152,19657,15750,31.9,133200,115,16.5,2012
Albany County,New York,79.87011038674,36,1,11.3,237873,304511,11.9,13.1,3797,39.2,890,81.6,0.4456,593,2.5,7.2,7.0,59359,14654,31924,304511,24.7,210200,38343,13.8,2012
Albany County,Wyoming,80.5021018605962,56,1,8.8,32215,36186,7.8,26.2,476,49.3,710,85.5,0.4983,241,1.8,11.0,4.5,42882,1056,25311,36186,14.6,199900,372,30.5,2012
Albemarle County,Virginia,81.4359720882739,51,3,9.5,81403,99484,12.8,8.9,981,54.0,1080,79.8,0.489,313,4.6,9.5,4.4,67797,4240,37837,99484,18.9,332400,9751,13.2,2012
Alcona County,Michigan,77.3200714519536,26,1,21.8,10719,10943,31.5,15.1,10,14.1,583,87.2,0.4249,33,4.6,12.5,14.6,36931,35,22069,10943,37.8,110200,18,4.9,2012
Alcorn County,Mississippi,74.1770169943801,28,3,20.7,31735,37027,13.8,19.4,270,17.5,576,77.1,0.4673,81,9.2,15.2,11.2,32846,81,19003,37027,34.4,86300,4341,8.7,2012
Aleutians East Borough,Alaska,83.2497136811526,2,13,6.4,721,3114,3.3,16.5,11,13.4,847,94.3,0.392,570,14.7,66.2,3.1,58125,1258,24932,3114,40.3,120900,417,14.5,2012
Aleutians West Census Area,Alaska,83.2497136811526,2,16,7.3,1860,5507,6.4,10.5,37,10.3,1210,89.2,0.3772,837,9.9,28.0,3.6,77292,1561,32014,5507,35.8,204700,326,13.4,2012
Alexander County,Illinois,73.7575887141434,17,3,22.6,5012,8147,14.9,31.1,47,8.3,341,79.2,0.4569,24,8.2,17.6,14.6,27248,28,14222,8147,39.8,58000,2833,9.9,2012
Alexander County,North Carolina,77.1568637047297,37,3,16.1,32871,37014,13.8,18.3,195,10.2,577,80.2,0.4494,87,10.0,16.5,11.7,39544,314,20626,37014,42.3,122200,2021,7.9,2012
Alexandria City,Virginia,82.3090800371826,51,510,6.3,89211,140337,8.1,8.0,3915,60.8,1440,83.5,0.4486,552,4.3,13.7,5.1,83996,8462,54767,140337,12.2,475900,30599,6.9,2012
Alfalfa County,Oklahoma,78.213851413375,40,3,16.2,4789,5631,16.8,12.0,27,18.6,539,85.9,0.4623,113,5.6,16.1,5.0,41943,1,23271,5631,39.5,62100,129,5.2,2012
Alger County,Michigan,79.1341673499468,26,3,20.2,8281,9531,18.4,14.9,71,16.2,560,86.3,0.403,248,5.8,14.0,13.4,38348,40,19117,9531,46.2,113600,716,8.1,2012
Allamakee County,Iowa,79.7393992324402,19,5,11.8,13614,14285,18.1,11.0,78,14.0,534,80.6,0.3832,187,6.0,10.5,7.9,47539,136,23392,14285,44.3,111100,39,7.7,2012
Allegan County,Michigan,78.9814434610213,26,5,11.5,104388,111589,12.0,13.1,487,20.2,712,76.5,0.408,715,3.8,10.8,8.7,51030,765,23719,111589,39.8,142400,1383,7.8,2012
Allegany County,Maryland,77.0487566157738,24,1,18.1,66527,74645,14.8,16.1,646,14.5,598,84.3,0.4576,116,3.9,9.8,9.1,39087,644,21677,74645,46.8,122000,5767,13.0,2012
Allegany County,New York,78.6757398443827,36,3,14.3,46960,48837,14.0,17.1,320,16.9,594,81.6,0.4183,155,4.8,9.4,8.8,42095,529,20571,48837,41.3,67600,627,17.0,2012
Alleghany County,North Carolina,78.0813050211798,37,5,18.7,10276,11069,18.9,20.9,61,15.5,538,82.0,0.4363,36,11.0,20.0,12.4,32449,32,18563,11069,37.6,150000,128,7.4,2012
Alleghany County,Virginia,76.2100914675262,51,5,18.3,15210,16297,18.8,10.5,120,14.2,546,79.6,0.3921,6,9.6,9.0,5.8,46133,127,23680,16297,38.9,117700,801,6.7,2012
Allegheny County,Pennsylvania,78.4201941780666,42,3,13.0,998821,1224772,14.1,12.7,14714,37.4,735,81.7,0.4842,1443,1.9,7.9,7.5,50664,34487,31173,1224772,30.4,120300,159897,10.4,2012
Allen County,Indiana,78.1066249813074,18,3,10.5,284804,355940,10.3,14.4,2766,27.7,654,75.2,0.4372,1140,4.3,14.4,9.3,50030,9621,25237,355940,30.1,113400,42209,9.6,2012
Allen County,Kansas,75.7456016642854,20,1,17.0,12512,13364,16.3,17.2,128,16.5,531,78.7,0.4133,83,4.7,14.4,8.5,39714,85,20521,13364,37.1,63400,266,9.6,2012
Allen County,Kentucky,75.5537560118933,21,3,18.2,19435,20007,13.7,19.7,67,10.9,537,78.8,0.4317,44,12.4,15.6,13.5,36123,84,17827,20007,42.7,93500,209,9.1,2012
Allen County,Ohio,77.6545822480619,39,3,14.1,88630,106079,12.4,18.8,821,16.7,635,78.6,0.4432,269,2.7,12.3,11.1,43194,725,22187,106079,42.3,104400,12699,12.3,2012
Allen Parish,Louisiana,76.3857262002751,22,3,16.9,18791,25740,9.8,16.6,86,7.9,538,82.2,0.4381,626,9.8,16.5,7.5,38899,198,19012,25740,40.8,79800,5194,8.6,2012
Allendale County,South Carolina,73.4829522741102,45,5,19.3,2479,10399,10.7,36.3,69,11.5,544,80.9,0.5471,3,7.6,24.1,24.1,25966,0,14361,10399,37.7,67700,7668,9.9,2012
Alpena County,Michigan,77.8955208937841,26,7,17.4,28763,29602,17.6,16.8,297,16.9,525,81.6,0.4389,169,4.2,11.8,11.0,38900,170,22414,29602,34.6,101600,149,8.0,2012
Alpine County,California,79.0422582403089,6,3,13.9,852,1197,11.4,13.7,5,30.3,755,80.3,0.4279,236,0.2,24.3,10.3,59931,32,27135,1197,28.1,371300,0,8.4,2012
Amador County,California,79.6400674957988,6,5,17.0,33302,37764,18.5,10.5,293,18.0,1039,87.6,0.4384,778,4.4,12.1,17.3,53462,486,26969,37764,29.5,286500,985,7.5,2012
Amelia County,Virginia,76.9835600493829,51,7,16.1,9219,12674,15.4,10.1,33,12.5,823,80.6,0.4168,117,9.2,13.1,8.0,50596,59,24548,12674,41.6,201100,3052,7.7,2012
Amherst County,Virginia,77.810080432937,51,9,13.4,24630,32301,15.1,11.7,240,15.3,637,80.1,0.3943,331,9.4,13.5,7.7,45020,196,22169,32301,34.4,151800,6083,8.7,2012
Amite County,Mississippi,75.7671568560878,28,5,26.6,7477,13139,17.0,28.4,56,10.6,593,79.3,0.4745,33,10.4,15.6,11.3,30471,5,17036,13139,37.4,68600,5576,9.8,2012
Anchorage Municipality,Alaska,78.7324733774199,2,20,10.7,194690,291470,6.8,7.7,4435,31.5,1104,76.6,0.4145,19326,2.3,16.4,7.3,76495,23312,36145,291470,25.3,277100,16770,12.0,2012
Anderson County,Kansas,78.0583821521914,20,3,14.2,7730,8066,18.2,15.3,44,15.3,539,76.8,0.4102,11,5.0,14.8,6.6,43060,0,21757,8066,45.5,87300,22,6.6,2012
Anderson County,Kentucky,76.6689800272318,21,5,14.7,20584,21442,10.8,11.5,132,17.3,696,77.0,0.3846,5,4.4,11.2,7.8,52294,64,24846,21442,43.4,132700,581,7.7,2012
Anderson County,South Carolina,76.0079023325299,45,7,16.4,151044,187228,13.7,16.2,1287,19.7,647,77.6,0.4425,238,7.0,16.4,10.8,42659,1393,22218,187228,33.5,121900,30021,8.6,2012
Anderson County,Tennessee,76.1776655444476,47,1,18.6,69536,75039,15.3,16.7,648,23.6,650,79.5,0.457,214,5.7,11.4,8.6,44154,911,24946,75039,37.3,126400,2900,8.4,2012
Anderson County,Texas,73.808518399089,48,1,14.8,43169,58269,10.0,19.1,260,7.9,695,85.3,0.4633,404,7.9,21.6,7.0,41471,344,18699,58269,40.2,80600,12451,8.5,2012
Andrew County,Missouri,78.8942198496664,29,3,13.0,16729,17205,13.8,7.5,135,19.0,688,79.2,0.3856,60,2.4,9.5,5.9,57406,37,25821,17205,44.1,130300,110,8.2,2012
Andrews County,Texas,76.7943009015044,48,3,11.3,13012,15006,9.7,15.1,17,15.1,701,72.9,0.5065,515,14.4,30.0,5.3,55327,246,29068,15006,27.7,90200,203,10.2,2012
Androscoggin County,Maine,78.1842984521673,23,1,15.4,100191,107766,12.4,14.8,1216,17.5,696,79.1,0.4334,174,5.6,9.7,8.9,44826,675,24268,107766,40.4,156700,1875,9.6,2012
Angelina County,Texas,75.9343183923887,48,5,16.5,68280,86550,12.2,18.9,621,14.5,721,75.2,0.4745,467,10.8,18.7,7.9,40150,413,21280,86550,32.2,83700,13496,9.5,2012
Anne Arundel County,Maryland,79.2871642564569,24,3,9.4,408521,538473,10.7,5.9,4839,38.0,1409,78.8,0.4091,1384,3.1,8.0,6.3,86987,18618,40323,538473,25.0,349800,82542,10.2,2012
Anoka County,Minnesota,81.260322853314,27,3,8.9,288614,331649,8.8,7.1,1789,25.7,937,76.8,0.3777,2163,1.9,8.1,7.4,69916,13395,30299,331649,31.3,203700,13811,8.5,2012
Anson County,North Carolina,75.0167278286329,37,7,18.5,12687,26699,11.1,22.2,233,6.6,638,80.0,0.4426,174,5.8,19.0,15.9,34772,301,16694,26699,46.3,80600,12968,9.3,2012
Antelope County,Nebraska,81.0109626540678,31,3,15.2,6564,6655,18.6,12.7,43,13.1,495,78.6,0.4111,5,4.1,11.2,2.8,40397,7,22257,6655,46.0,69800,10,7.0,2012
Antrim County,Michigan,79.7367060541708,26,9,14.7,22799,23634,21.6,16.0,102,24.1,710,82.0,0.4394,183,4.1,14.3,13.6,43171,60,24054,23634,35.5,148100,69,6.3,2012
Apache County,Arizona,73.8561214396708,4,1,14.4,17177,71618,10.8,34.0,173,8.7,524,72.2,0.4845,52153,13.5,27.6,19.6,31615,251,12845,71618,34.9,85200,207,10.8,2012
Appanoose County,Iowa,77.6446453395507,19,7,13.5,12500,12858,18.5,14.2,110,15.4,534,78.9,0.4053,3,7.6,12.4,9.7,37866,38,20463,12858,40.6,76300,61,7.2,2012
Appling County,Georgia,74.9779197790545,13,1,14.5,13655,18279,11.5,20.6,187,13.1,497,75.3,0.4401,25,8.4,22.5,6.8,35875,138,19664,18279,47.9,83700,3563,7.5,2012
Appomattox County,Virginia,77.2944056745063,51,11,15.1,11468,14952,16.0,16.4,97,11.7,562,79.2,0.4009,12,7.6,10.5,8.3,50092,27,23021,14952,36.8,145200,3206,7.9,2012
Aransas County,Texas,75.5705932899885,48,7,19.3,21591,23391,24.2,18.0,97,25.7,830,81.6,0.4722,69,7.4,22.5,7.7,44769,307,26218,23391,33.6,121500,207,7.5,2012
Arapahoe County,Colorado,80.0651767732563,8,5,8.8,432797,574357,8.9,11.8,7721,39.7,950,76.2,0.4654,4743,4.0,16.1,8.2,60400,28224,32845,574357,21.0,230900,57554,8.9,2012
Archer County,Texas,78.822128985781,48,9,14.8,8596,8944,15.1,11.6,73,16.2,648,79.4,0.4212,60,5.4,20.2,2.8,56250,46,27057,8944,39.8,101400,58,9.0,2012
Archuleta County,Colorado,81.6588311692978,8,7,13.7,10827,12109,16.0,8.8,134,35.3,897,80.8,0.456,85,2.8,23.1,11.1,54007,117,29771,12109,28.3,291300,58,8.3,2012
Arenac County,Michigan,76.76195238314,26,11,19.2,15371,15952,19.3,18.0,100,10.0,554,83.1,0.432,83,6.0,12.4,13.8,36937,30,20048,15952,44.0,90900,252,7.3,2012
Arkansas County,Arkansas,74.1112858269703,5,1,19.3,13791,19029,14.9,17.0,260,12.9,597,77.8,0.4681,27,5.9,13.5,7.3,39883,123,23570,19029,48.1,76700,4656,8.2,2012
Arlington County,Virginia,83.199968958259,51,13,4.9,149199,209077,7.7,7.2,4120,72.5,1678,85.2,0.4301,824,3.9,10.2,3.6,102459,20085,61312,209077,8.5,577300,17742,9.0,2012
Armstrong County,Pennsylvania,77.5527650679597,42,5,19.4,67494,68942,16.1,11.8,432,13.9,571,81.4,0.4116,25,4.0,8.9,8.5,44478,142,23315,68942,53.3,92300,635,7.6,2012
Armstrong County,Texas,76.9044510680001,48,11,16.0,1717,1820,21.5,14.0,8,24.9,780,81.9,0.3762,11,3.3,14.9,4.8,56974,0,24234,1820,22.9,91800,19,8.2,2012
Aroostook County,Maine,78.2560033618802,23,3,21.5,68595,71757,17.2,15.9,893,15.4,534,81.9,0.4267,998,7.8,10.9,7.5,37434,352,21024,71757,39.2,89900,430,8.4,2012
Ascension Parish,Louisiana,77.8580255715755,22,5,11.7,80220,107647,8.0,11.2,627,22.0,836,73.1,0.4044,281,3.0,13.8,6.2,67688,1048,28160,107647,39.1,167600,24118,8.6,2012
Ashe County,North Carolina,77.8923147218685,37,9,16.0,25561,27099,18.2,19.3,170,18.5,594,82.7,0.4407,136,10.3,18.1,9.9,35670,69,20679,27099,31.7,152900,109,7.5,2012
Ashland County,Ohio,78.4645873559886,39,5,12.5,51720,53203,14.4,16.3,364,19.0,668,78.8,0.4226,105,4.3,15.4,10.8,44996,303,21740,53203,42.6,124500,407,10.6,2012
Ashland County,Wisconsin,77.346715659753,55,3,15.1,13632,16113,14.7,18.1,168,25.0,536,79.1,0.4078,1637,3.3,11.2,9.0,39157,96,20528,16113,34.4,110400,59,10.2,2012
Ashley County,Arkansas,74.722530526701,5,3,18.9,15143,21811,15.0,17.2,33,11.1,521,77.7,0.4505,49,4.7,14.8,9.8,38069,28,20300,21811,46.1,63600,5613,7.8,2012
Ashtabula County,Ohio,76.1408304570763,39,7,14.7,94328,101262,13.8,18.0,926,12.5,624,78.7,0.4224,172,5.0,13.5,11.1,41075,328,20135,101262,47.0,113800,3683,8.2,2012
Asotin County,Washington,78.9780080099982,53,3,16.5,20330,21658,18.3,13.7,351,18.3,659,80.4,0.443,234,3.6,13.7,6.9,42305,108,24353,21658,34.4,172300,104,8.0,2012
Assumption Parish,Louisiana,76.4887941280442,22,7,19.3,15742,23321,12.5,18.8,80,7.7,578,78.5,0.4419,68,17.7,14.5,10.6,46410,42,22073,23321,40.4,88900,7147,9.4,2012
Atascosa County,Texas,77.5697284774244,48,13,16.7,36395,45091,12.0,17.3,262,11.4,699,73.4,0.4395,273,12.4,22.5,10.2,45702,104,19937,45091,35.6,83300,290,9.0,2012
Atchison County,Kansas,77.1504931865396,20,5,15.7,15402,16854,13.0,15.0,137,18.9,570,76.7,0.4192,78,3.4,13.6,8.2,45666,42,21952,16854,47.4,87800,886,14.7,2012
Atchison County,Missouri,77.9463481376181,29,5,17.2,5539,5664,19.0,10.2,27,21.2,557,81.1,0.4195,9,3.9,13.4,5.5,46059,2,25699,5664,41.1,76900,62,7.5,2012
Athens County,Ohio,77.4102214882915,39,9,13.3,59315,64592,8.8,32.2,436,27.9,674,85.1,0.4955,67,3.3,10.9,11.7,33836,1914,17055,64592,33.5,118700,1888,32.5,2012
Atkinson County,Georgia,73.8885246731924,13,3,17.5,5499,8355,8.5,34.1,66,6.4,421,73.5,0.4758,2,21.0,32.5,11.5,28682,0,14696,8355,39.3,73100,1418,8.3,2012
Atlantic County,New Jersey,77.810070309328,34,1,12.2,180960,274402,12.6,12.8,3034,24.5,1017,78.6,0.4433,867,6.5,12.8,11.9,54559,20948,27227,274402,33.7,248100,44727,9.6,2012
Atoka County,Oklahoma,75.3433286350076,40,5,22.0,10572,14133,14.0,21.5,111,12.8,533,80.4,0.4367,1371,6.5,24.5,9.5,36755,64,17412,14133,42.6,73700,595,9.1,2012
Attala County,Mississippi,73.6970518549664,28,7,20.2,10891,19454,15.6,28.1,95,17.3,532,76.6,0.4891,0,11.6,17.7,15.6,31102,0,17955,19454,27.3,73200,8200,9.3,2012
Audrain County,Missouri,76.9674963047955,29,7,16.1,22984,25617,14.2,16.3,102,12.6,631,76.6,0.3972,87,4.9,15.9,7.7,41387,42,18995,25617,45.9,85300,1633,7.4,2012
Audubon County,Iowa,79.590956585313,19,9,11.4,5978,6077,19.9,10.7,15,14.9,553,81.4,0.4231,33,3.8,9.5,2.6,47630,9,26855,6077,45.3,69900,4,5.8,2012
Auglaize County,Ohio,78.9080624645803,39,11,10.8,44926,45934,13.4,7.9,202,15.9,648,76.8,0.4041,70,2.1,8.1,7.4,52267,156,25901,45934,45.7,127200,142,7.8,2012
Augusta County,Virginia,78.2026464572972,51,15,13.5,68529,73662,14.9,9.3,347,18.8,734,81.2,0.3955,231,7.2,11.3,4.8,50971,375,23882,73662,43.6,195200,2990,8.1,2012
Aurora County,South Dakota,80.1944568043233,46,3,12.0,2579,2726,16.8,8.3,5,14.2,578,76.5,0.4053,30,14.0,9.2,2.1,46071,17,21777,2726,45.7,70200,60,5.7,2012
Austin County,Texas,78.2511222182086,48,15,11.3,24187,28372,14.7,9.1,121,19.0,763,75.8,0.4502,13,8.0,19.5,7.7,51340,18,26206,28372,35.6,153200,2757,8.3,2012
Autauga County,Alabama,75.7292435880376,1,1,15.0,43084,54590,10.6,11.6,482,24.4,836,75.3,0.4122,169,5.8,9.6,8.6,53773,439,25253,54590,32.0,137900,9880,9.3,2012
Avery County,North Carolina,77.5230573169704,37,11,17.2,15503,17815,14.4,17.8,251,18.7,728,85.6,0.524,135,7.7,20.2,7.2,38051,133,23616,17815,32.9,155400,705,10.6,2012
Avoyelles Parish,Louisiana,73.7257796784394,22,9,22.5,28265,41925,12.2,23.1,220,10.4,575,78.1,0.4762,436,10.7,17.3,10.1,34512,182,18518,41925,37.3,85700,12366,9.1,2012
Baca County,Colorado,77.1665962604476,8,9,19.3,3580,3783,21.9,14.5,30,17.9,454,81.3,0.451,33,6.8,17.9,2.6,39497,30,22436,3783,34.2,72300,16,5.4,2012
Bacon County,Georgia,73.4867519673095,13,5,19.1,8608,11124,10.5,17.4,23,7.3,522,77.3,0.4526,0,6.5,24.6,6.0,33557,69,17396,11124,48.8,71600,1810,9.7,2012
Bailey County,Texas,77.3425519622911,48,17,15.4,6417,7096,9.3,11.1,36,14.9,526,70.0,0.426,2,18.7,34.5,10.5,41075,12,17411,7096,28.4,57200,129,10.6,2012
Baker County,Florida,75.4892601979674,12,3,14.2,22683,27010,9.5,17.0,125,6.1,711,77.1,0.4111,24,6.5,14.3,10.5,47149,142,19198,27010,52.7,126200,3786,10.3,2012
Baker County,Georgia,77.6880210275248,13,7,21.4,1497,3483,18.2,35.8,12,6.4,451,80.0,0.5303,0,10.2,21.5,12.6,24219,0,17871,3483,57.6,74200,1981,14.4,2012
Baker County,Oregon,78.0753362251289,41,1,19.1,15378,16092,21.3,19.6,164,21.5,625,83.0,0.4562,240,3.7,16.2,11.2,40348,69,22938,16092,32.3,156800,32,7.0,2012
Baldwin County,Alabama,77.9271776584132,1,3,14.0,158259,183226,16.1,13.3,1373,29.3,874,79.2,0.4364,1038,5.1,14.5,8.5,50706,1347,26769,183226,28.8,172900,17016,8.1,2012
Baldwin County,Georgia,76.4917363724128,13,9,12.4,25696,46378,11.1,28.7,444,17.8,688,81.9,0.4828,61,8.4,15.4,9.6,35278,721,18099,46378,38.9,106200,19335,18.0,2012
Ballard County,Kentucky,75.1249448879756,21,7,16.5,7866,8268,15.5,13.2,73,11.8,558,79.9,0.4606,21,5.5,12.8,8.6,41989,34,24778,8268,41.3,91800,256,8.1,2012
Baltimore City,Maryland,73.022692462196,24,510,15.1,186860,620644,9.7,23.4,10465,25.8,909,79.4,0.5014,2099,7.2,14.0,13.7,40803,14610,24155,620644,30.7,161300,395383,12.4,2012
Baltimore County,Maryland,79.2176292455908,24,5,11.0,526372,807318,12.7,8.5,9779,35.9,1118,79.4,0.4389,1956,3.8,9.3,7.3,66068,40991,34447,807318,27.3,263900,210312,10.5,2012
Bamberg County,South Carolina,74.9076326969608,45,9,19.8,5734,15941,14.4,26.8,203,15.0,538,79.9,0.5097,0,11.8,18.7,10.6,31015,60,18680,15941,30.9,74300,10017,15.4,2012
Bandera County,Texas,79.5922296082375,48,19,20.0,19233,20477,21.2,16.3,153,24.7,762,83.3,0.421,163,5.9,20.1,7.1,47927,72,24783,20477,26.5,141400,138,5.7,2012
Banks County,Georgia,77.1087292269939,13,11,14.8,17046,18250,11.4,17.9,125,12.5,642,76.7,0.4372,14,10.3,18.0,10.4,40162,198,20094,18250,44.7,137800,507,8.6,2012
Bannock County,Idaho,77.7041866693936,16,5,13.3,74742,82584,10.1,14.1,692,27.1,609,74.6,0.4228,2845,2.0,14.0,7.7,45860,1025,21478,82584,27.5,143200,587,12.8,2012
Baraga County,Michigan,77.5639208659543,26,13,17.2,6566,8808,14.3,14.7,70,8.2,494,85.0,0.4094,711,7.6,11.4,10.0,39594,150,17818,8808,47.6,83100,1030,7.6,2012
Barber County,Kansas,77.1977168973389,20,7,15.9,4708,4867,17.6,9.3,15,19.6,517,80.3,0.4132,14,2.0,10.0,1.8,43048,0,25276,4867,37.8,58000,8,7.2,2012
Barbour County,Alabama,75.726345615993,1,5,20.5,13448,27469,11.8,26.1,166,13.0,577,81.0,0.4758,25,11.3,16.9,13.5,31889,212,16532,27469,33.2,88700,12645,10.0,2012
Barbour County,West Virginia,75.9297475058995,54,1,17.3,15952,16472,15.4,17.1,43,11.4,514,79.7,0.4344,114,13.0,14.5,7.9,36087,45,18340,16472,45.6,85900,68,9.1,2012
Barnes County,North Dakota,79.2604163389878,38,3,11.5,10622,11047,17.1,10.6,24,24.6,520,84.0,0.4994,73,6.1,10.1,1.6,48317,156,31769,11047,33.3,85500,58,10.1,2012
Barnstable County,Massachusetts,80.3109462604848,25,1,12.2,201956,216021,22.7,9.0,1938,40.1,1112,84.0,0.4542,835,1.8,5.2,7.5,60424,2409,36060,216021,26.5,373600,4538,7.9,2012
