location_name,year,mean_life_expectancy
Autauga County (Alabama),2018,76.3458016126412
Baldwin County (Alabama),2018,78.1131187069305
Barbour County (Alabama),2018,74.7743309934985
Bibb County (Alabama),2018,73.7903133744892
Blount County (Alabama),2018,75.013449464969
Bullock County (Alabama),2018,73.6842860486569
Butler County (Alabama),2018,73.9019445955979
Calhoun County (Alabama),2018,73.4088629777792
Chambers County (Alabama),2018,74.5258741295021
Cherokee County (Alabama),2018,74.4293661472186
Chilton County (Alabama),2018,74.3574576379216
Choctaw County (Alabama),2018,74.5791676770029
Clarke County (Alabama),2018,74.8950304256062
Clay County (Alabama),2018,74.5316289536644
Cleburne County (Alabama),2018,74.3862420952093
Coffee County (Alabama),2018,76.3613073583135
Colbert County (Alabama),2018,74.531880399761
Conecuh County (Alabama),2018,73.5208362803517
Coosa County (Alabama),2018,75.5688098046964
Covington County (Alabama),2018,74.094051609186
Crenshaw County (Alabama),2018,74.1434109951944
Cullman County (Alabama),2018,74.4187888904678
Dale County (Alabama),2018,75.6212203924387
Dallas County (Alabama),2018,72.300300454957
DeKalb County (Alabama),2018,74.664298896307
Elmore County (Alabama),2018,76.0666411732753
Escambia County (Alabama),2018,73.1785510386588
Etowah County (Alabama),2018,73.310801891145
Fayette County (Alabama),2018,73.7501826390878
Franklin County (Alabama),2018,73.6994529156054
Geneva County (Alabama),2018,74.2429861050731
Greene County (Alabama),2018,74.0541627291715
Hale County (Alabama),2018,73.8211347225773
Henry County (Alabama),2018,75.5345409164455
Houston County (Alabama),2018,76.2003724907021
Jackson County (Alabama),2018,73.4860798339663
Jefferson County (Alabama),2018,74.8266754858777
Lamar County (Alabama),2018,74.6405751275356
Lauderdale County (Alabama),2018,76.2332477342409
Lawrence County (Alabama),2018,73.8448626457253
Lee County (Alabama),2018,77.6449270835747
Limestone County (Alabama),2018,77.5937481419663
Lowndes County (Alabama),2018,72.0555793694128
Macon County (Alabama),2018,73.143855116616
Madison County (Alabama),2018,77.6056196958447
Marengo County (Alabama),2018,73.5140531961641
Marion County (Alabama),2018,74.2254868593688
Marshall County (Alabama),2018,74.360519855914
Mobile County (Alabama),2018,74.9863591340308
Monroe County (Alabama),2018,74.9978896242308
Montgomery County (Alabama),2018,76.1656562262215
Morgan County (Alabama),2018,75.4261590776826
Perry County (Alabama),2018,72.770250342339
Pickens County (Alabama),2018,74.6249282141329
Pike County (Alabama),2018,75.0187640137986
Randolph County (Alabama),2018,74.3982802569113
Russell County (Alabama),2018,73.6803490665368
Saint Clair County (Alabama),2018,75.0107121083288
Shelby County (Alabama),2018,80.205250224518
Sumter County (Alabama),2018,74.7139987528402
Talladega County (Alabama),2018,73.5793518144223
Tallapoosa County (Alabama),2018,74.9365477647865
Tuscaloosa County (Alabama),2018,76.5059658159458
Walker County (Alabama),2018,70.5636130208947
Washington County (Alabama),2018,74.6032396661542
Wilcox County (Alabama),2018,71.5241341237713
Winston County (Alabama),2018,74.7102062206126
Anchorage Municipality (Alaska),2018,79.167117979683
Bethel Census Area (Alaska),2018,72.53346154146
Bristol Bay Borough (Alaska),2018,76.2417287283227
Fairbanks North Star Borough (Alaska),2018,80.2495817828855
Haines Borough (Alaska),2018,82.3340851154886
Juneau City and Borough (Alaska),2018,80.7356793660287
Kenai Peninsula Borough (Alaska),2018,78.641406388572
Kodiak Island Borough (Alaska),2018,80.3116543907809
