County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,432.0
Baldwin County,Alabama,01,003,1657.0
Barbour County,Alabama,01,005,250.0
Bibb County,Alabama,01,007,113.0
Blount County,Alabama,01,009,329.0
Bullock County,Alabama,01,011,63.0
Butler County,Alabama,01,013,177.0
Calhoun County,Alabama,01,015,935.0
Chambers County,Alabama,01,017,203.0
Cherokee County,Alabama,01,019,119.0
Chilton County,Alabama,01,021,434.0
Choctaw County,Alabama,01,023,38.0
Clarke County,Alabama,01,025,152.0
Clay County,Alabama,01,027,86.0
Cleburne County,Alabama,01,029,73.0
Coffee County,Alabama,01,031,429.0
Colbert County,Alabama,01,033,396.0
Conecuh County,Alabama,01,035,16.0
Coosa County,Alabama,01,037,93.0
Covington County,Alabama,01,039,322.0
Crenshaw County,Alabama,01,041,65.0
Cullman County,Alabama,01,043,586.0
Dale County,Alabama,01,045,643.0
Dallas County,Alabama,01,047,456.0
DeKalb County,Alabama,01,049,569.0
Elmore County,Alabama,01,051,940.0
Escambia County,Alabama,01,053,280.0
Etowah County,Alabama,01,055,529.0
Fayette County,Alabama,01,057,242.0
Franklin County,Alabama,01,059,107.0
Geneva County,Alabama,01,061,152.0
Greene County,Alabama,01,063,8.0
Hale County,Alabama,01,065,50.0
Henry County,Alabama,01,067,51.0
Houston County,Alabama,01,069,884.0
Jackson County,Alabama,01,071,481.0
Jefferson County,Alabama,01,073,7667.0
Lamar County,Alabama,01,075,84.0
Lauderdale County,Alabama,01,077,825.0
Lawrence County,Alabama,01,079,181.0
Lee County,Alabama,01,081,1223.0
Limestone County,Alabama,01,083,522.0
Lowndes County,Alabama,01,085,14.0
Macon County,Alabama,01,087,164.0
Madison County,Alabama,01,089,4052.0
Marengo County,Alabama,01,091,133.0
Marion County,Alabama,01,093,291.0
Marshall County,Alabama,01,095,653.0
Mobile County,Alabama,01,097,4200.0
Monroe County,Alabama,01,099,124.0
Montgomery County,Alabama,01,101,2554.0
Morgan County,Alabama,01,103,865.0
Perry County,Alabama,01,105,69.0
Pickens County,Alabama,01,107,183.0
Pike County,Alabama,01,109,355.0
Randolph County,Alabama,01,111,36.0
Russell County,Alabama,01,113,967.0
Saint Clair County,Alabama,01,115,426.0
Shelby County,Alabama,01,117,1281.0
Sumter County,Alabama,01,119,252.0
Talladega County,Alabama,01,121,696.0
Tallapoosa County,Alabama,01,123,274.0
Tuscaloosa County,Alabama,01,125,1878.0
Walker County,Alabama,01,127,360.0
Washington County,Alabama,01,129,43.0
Wilcox County,Alabama,01,131,84.0
Winston County,Alabama,01,133,89.0
Anchorage Municipality,Alaska,02,020,3941.0
Bethel Census Area,Alaska,02,050,106.0
Bristol Bay Borough,Alaska,02,060,6.0
Fairbanks North Star Borough,Alaska,02,090,1183.0
Haines Borough,Alaska,02,100,14.0
Juneau City and Borough,Alaska,02,110,307.0
Kenai Peninsula Borough,Alaska,02,122,443.0
Kodiak Island Borough,Alaska,02,150,91.0
Matanuska-Susitna Borough,Alaska,02,170,632.0
Nome Census Area,Alaska,02,180,93.0
North Slope Borough,Alaska,02,185,28.0
Sitka City and Borough,Alaska,02,220,142.0
Southeast Fairbanks Census Area,Alaska,02,240,25.0
Valdez-Cordova Census Area,Alaska,02,261,64.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,30.0
Aleutians East Borough,Alaska,02,013,6.0
Aleutians West Census Area,Alaska,02,016,25.0
Dillingham Census Area,Alaska,02,070,31.0
Lake and Peninsula Borough,Alaska,02,164,8.0
Denali Borough,Alaska,02,068,5.0
Yukon-Koyukuk Census Area,Alaska,02,290,15.0
Hoonah-Angoon Census Area,Alaska,02,105,13.0
Skagway Municipality,Alaska,02,230,9.0
Yakutat City and Borough,Alaska,02,282,2.0
Ketchikan Gateway Borough,Alaska,02,130,154.0
Petersburg Borough,Alaska,02,195,25.0
Prince of Wales-Hyder Census Area,Alaska,02,198,57.0
Wrangell City and Borough,Alaska,02,275,20.0
Apache County,Arizona,04,001,239.0
Cochise County,Arizona,04,003,1098.0
Coconino County,Arizona,04,005,1267.0
Gila County,Arizona,04,007,336.0
Graham County,Arizona,04,009,195.0
Greenlee County,Arizona,04,011,49.0
Maricopa County,Arizona,04,013,50053.0
Mohave County,Arizona,04,015,2209.0
Navajo County,Arizona,04,017,792.0
Pima County,Arizona,04,019,12900.0
Pinal County,Arizona,04,021,2179.0
Santa Cruz County,Arizona,04,023,600.0
Yavapai County,Arizona,04,025,1537.0
La Paz County,Arizona,04,012,152.0
Yuma County,Arizona,04,027,1669.0
Arkansas County,Arkansas,05,001,131.0
Ashley County,Arkansas,05,003,47.0
Baxter County,Arkansas,05,005,327.0
Benton County,Arkansas,05,007,2080.0
Boone County,Arkansas,05,009,361.0
Bradley County,Arkansas,05,011,32.0
Calhoun County,Arkansas,05,013,19.0
Carroll County,Arkansas,05,015,185.0
Chicot County,Arkansas,05,017,40.0
Clark County,Arkansas,05,019,336.0
Clay County,Arkansas,05,021,153.0
Cleburne County,Arkansas,05,023,185.0
Cleveland County,Arkansas,05,025,57.0
Columbia County,Arkansas,05,027,170.0
Conway County,Arkansas,05,029,165.0
Craighead County,Arkansas,05,031,1354.0
Crawford County,Arkansas,05,033,567.0
Crittenden County,Arkansas,05,035,734.0
Cross County,Arkansas,05,037,179.0
Dallas County,Arkansas,05,039,70.0
Desha County,Arkansas,05,041,88.0
Drew County,Arkansas,05,043,118.0
Faulkner County,Arkansas,05,045,1196.0
