County,State,State_FIPS,County_FIPS,median_gross_rent
Autauga County,Alabama,01,001,769
Baldwin County,Alabama,01,003,821
Barbour County,Alabama,01,005,512
Bibb County,Alabama,01,007,541
Blount County,Alabama,01,009,574
Bullock County,Alabama,01,011,400
Butler County,Alabama,01,013,480
Calhoun County,Alabama,01,015,569
Chambers County,Alabama,01,017,572
Cherokee County,Alabama,01,019,479
Chilton County,Alabama,01,021,570
Choctaw County,Alabama,01,023,546
Clarke County,Alabama,01,025,444
Clay County,Alabama,01,027,398
Cleburne County,Alabama,01,029,557
Coffee County,Alabama,01,031,586
Colbert County,Alabama,01,033,572
Conecuh County,Alabama,01,035,514
Coosa County,Alabama,01,037,457
Covington County,Alabama,01,039,499
Crenshaw County,Alabama,01,041,473
Cullman County,Alabama,01,043,563
Dale County,Alabama,01,045,612
Dallas County,Alabama,01,047,538
DeKalb County,Alabama,01,049,514
Elmore County,Alabama,01,051,685
Escambia County,Alabama,01,053,545
Etowah County,Alabama,01,055,587
Fayette County,Alabama,01,057,448
Franklin County,Alabama,01,059,481
Geneva County,Alabama,01,061,522
Greene County,Alabama,01,063,466
Hale County,Alabama,01,065,466
Henry County,Alabama,01,067,497
Houston County,Alabama,01,069,600
Jackson County,Alabama,01,071,485
Jefferson County,Alabama,01,073,748
Lamar County,Alabama,01,075,389
Lauderdale County,Alabama,01,077,548
Lawrence County,Alabama,01,079,487
Lee County,Alabama,01,081,650
Limestone County,Alabama,01,083,564
Lowndes County,Alabama,01,085,505
Macon County,Alabama,01,087,558
Madison County,Alabama,01,089,670
Marengo County,Alabama,01,091,449
Marion County,Alabama,01,093,397
Marshall County,Alabama,01,095,550
Mobile County,Alabama,01,097,695
Monroe County,Alabama,01,099,510
Montgomery County,Alabama,01,101,760
Morgan County,Alabama,01,103,564
Perry County,Alabama,01,105,454
Pickens County,Alabama,01,107,440
Pike County,Alabama,01,109,528
Randolph County,Alabama,01,111,519
Russell County,Alabama,01,113,627
Saint Clair County,Alabama,01,115,702
Shelby County,Alabama,01,117,845
Sumter County,Alabama,01,119,482
Talladega County,Alabama,01,121,548
Tallapoosa County,Alabama,01,123,501
Tuscaloosa County,Alabama,01,125,701
Walker County,Alabama,01,127,557
Washington County,Alabama,01,129,519
Wilcox County,Alabama,01,131,381
Winston County,Alabama,01,133,410
Anchorage Municipality,Alaska,02,020,1009
Bethel Census Area,Alaska,02,050,942
Bristol Bay Borough,Alaska,02,060,933
Fairbanks North Star Borough,Alaska,02,090,1009
Haines Borough,Alaska,02,100,778
Juneau City and Borough,Alaska,02,110,1084
Kenai Peninsula Borough,Alaska,02,122,788
Kodiak Island Borough,Alaska,02,150,968
Matanuska-Susitna Borough,Alaska,02,170,917
Nome Census Area,Alaska,02,180,1025
North Slope Borough,Alaska,02,185,927
Sitka City and Borough,Alaska,02,220,977
Southeast Fairbanks Census Area,Alaska,02,240,958
Valdez-Cordova Census Area,Alaska,02,261,796
Wade Hampton Census Area,Alaska,02,270,579
Northwest Arctic Borough,Alaska,02,188,1020
Aleutians East Borough,Alaska,02,013,731
Aleutians West Census Area,Alaska,02,016,1172
Dillingham Census Area,Alaska,02,070,959
Lake and Peninsula Borough,Alaska,02,164,722
Denali Borough,Alaska,02,068,567
Yukon-Koyukuk Census Area,Alaska,02,290,616
Hoonah-Angoon Census Area,Alaska,02,105,683
Skagway Municipality,Alaska,02,230,998
Yakutat City and Borough,Alaska,02,282,986
Ketchikan Gateway Borough,Alaska,02,130,956
Petersburg Borough,Alaska,02,195,625
Prince of Wales-Hyder Census Area,Alaska,02,198,673
Wrangell City and Borough,Alaska,02,275,748
Apache County,Arizona,04,001,523
Cochise County,Arizona,04,003,713
Coconino County,Arizona,04,005,888
Gila County,Arizona,04,007,696
Graham County,Arizona,04,009,604
Greenlee County,Arizona,04,011,385
Maricopa County,Arizona,04,013,912
Mohave County,Arizona,04,015,801
Navajo County,Arizona,04,017,619
Pima County,Arizona,04,019,737
Pinal County,Arizona,04,021,848
Santa Cruz County,Arizona,04,023,655
Yavapai County,Arizona,04,025,834
La Paz County,Arizona,04,012,533
Yuma County,Arizona,04,027,730
Arkansas County,Arkansas,05,001,572
Ashley County,Arkansas,05,003,470
Baxter County,Arkansas,05,005,585
Benton County,Arkansas,05,007,715
Boone County,Arkansas,05,009,532
Bradley County,Arkansas,05,011,547
Calhoun County,Arkansas,05,013,524
Carroll County,Arkansas,05,015,556
Chicot County,Arkansas,05,017,463
Clark County,Arkansas,05,019,566
Clay County,Arkansas,05,021,453
Cleburne County,Arkansas,05,023,608
Cleveland County,Arkansas,05,025,576
Columbia County,Arkansas,05,027,517
Conway County,Arkansas,05,029,498
Craighead County,Arkansas,05,031,600
Crawford County,Arkansas,05,033,593
Crittenden County,Arkansas,05,035,644
Cross County,Arkansas,05,037,550
Dallas County,Arkansas,05,039,428
Desha County,Arkansas,05,041,522
Drew County,Arkansas,05,043,598
Faulkner County,Arkansas,05,045,662
Franklin County,Arkansas,05,047,535
Fulton County,Arkansas,05,049,458
Garland County,Arkansas,05,051,662
Grant County,Arkansas,05,053,654
Greene County,Arkansas,05,055,568
Hempstead County,Arkansas,05,057,546
Hot Spring County,Arkansas,05,059,539
Howard County,Arkansas,05,061,519
Independence County,Arkansas,05,063,558
Izard County,Arkansas,05,065,472
Jackson County,Arkansas,05,067,482
Jefferson County,Arkansas,05,069,622
Johnson County,Arkansas,05,071,538
Lafayette County,Arkansas,05,073,455
Lawrence County,Arkansas,05,075,460
Lee County,Arkansas,05,077,510
Lincoln County,Arkansas,05,079,475
Little River County,Arkansas,05,081,475
Logan County,Arkansas,05,083,509
Lonoke County,Arkansas,05,085,666
Madison County,Arkansas,05,087,500
Marion County,Arkansas,05,089,525
Miller County,Arkansas,05,091,621
Mississippi County,Arkansas,05,093,554
Monroe County,Arkansas,05,095,478
Montgomery County,Arkansas,05,097,525
Nevada County,Arkansas,05,099,561
Newton County,Arkansas,05,101,380
Ouachita County,Arkansas,05,103,468
Perry County,Arkansas,05,105,664
Phillips County,Arkansas,05,107,537
Pike County,Arkansas,05,109,507
Poinsett County,Arkansas,05,111,466
Polk County,Arkansas,05,113,512
Pope County,Arkansas,05,115,590
Prairie County,Arkansas,05,117,456
Pulaski County,Arkansas,05,119,729
Randolph County,Arkansas,05,121,487
Saint Francis County,Arkansas,05,123,544
Saline County,Arkansas,05,125,715
Scott County,Arkansas,05,127,517
Searcy County,Arkansas,05,129,460
Sebastian County,Arkansas,05,131,577
Sevier County,Arkansas,05,133,503
Sharp County,Arkansas,05,135,546
Stone County,Arkansas,05,137,483
Union County,Arkansas,05,139,562
Van Buren County,Arkansas,05,141,512
Washington County,Arkansas,05,143,665
White County,Arkansas,05,145,572
Woodruff County,Arkansas,05,147,352
Yell County,Arkansas,05,149,538
Alameda County,California,06,001,1188
Alpine County,California,06,003,913
Amador County,California,06,005,1059
Butte County,California,06,007,861
Calaveras County,California,06,009,948
Colusa County,California,06,011,830
Contra Costa County,California,06,013,1270
Del Norte County,California,06,015,845
El Dorado County,California,06,017,1074
Fresno County,California,06,019,819
Glenn County,California,06,021,728
Humboldt County,California,06,023,827
Imperial County,California,06,025,682
Inyo County,California,06,027,793
Kern County,California,06,029,810
Kings County,California,06,031,815
Lake County,California,06,033,845
Lassen County,California,06,035,895
Los Angeles County,California,06,037,1117
Madera County,California,06,039,864
Marin County,California,06,041,1523
Mariposa County,California,06,043,682
Mendocino County,California,06,045,888
Merced County,California,06,047,798
Modoc County,California,06,049,560
Mono County,California,06,051,1029
Monterey County,California,06,053,1123
Napa County,California,06,055,1211
Nevada County,California,06,057,1119
Orange County,California,06,059,1423
Placer County,California,06,061,1151
Plumas County,California,06,063,708
Riverside County,California,06,065,1115
Sacramento County,California,06,067,980
San Benito County,California,06,069,1150
San Bernardino County,California,06,071,1061
San Diego County,California,06,073,1228
San Francisco County,California,06,075,1328
San Joaquin County,California,06,077,972
San Luis Obispo County,California,06,079,1118
San Mateo County,California,06,081,1443
Santa Barbara County,California,06,083,1265
Santa Clara County,California,06,085,1402
Santa Cruz County,California,06,087,1266
Shasta County,California,06,089,857
Sierra County,California,06,091,734
Siskiyou County,California,06,093,729
Solano County,California,06,095,1195
Sonoma County,California,06,097,1201
Stanislaus County,California,06,099,941
Sutter County,California,06,101,856
Tehama County,California,06,103,770
Trinity County,California,06,105,705
Tulare County,California,06,107,755
Tuolumne County,California,06,109,901
Ventura County,California,06,111,1391
Yolo County,California,06,113,1041
Yuba County,California,06,115,801
Alamosa County,Colorado,08,003,557
Archuleta County,Colorado,08,007,753
