County,State,State_FIPS,County_FIPS,median_gross_rent
Autauga County,Alabama,01,001,836
Baldwin County,Alabama,01,003,874
Barbour County,Alabama,01,005,577
Bibb County,Alabama,01,007,581
Blount County,Alabama,01,009,588
Bullock County,Alabama,01,011,495
Butler County,Alabama,01,013,538
Calhoun County,Alabama,01,015,611
Chambers County,Alabama,01,017,617
Cherokee County,Alabama,01,019,602
Chilton County,Alabama,01,021,616
Choctaw County,Alabama,01,023,611
Clarke County,Alabama,01,025,505
Clay County,Alabama,01,027,424
Cleburne County,Alabama,01,029,566
Coffee County,Alabama,01,031,638
Colbert County,Alabama,01,033,601
Conecuh County,Alabama,01,035,526
Coosa County,Alabama,01,037,573
Covington County,Alabama,01,039,560
Crenshaw County,Alabama,01,041,488
Cullman County,Alabama,01,043,599
Dale County,Alabama,01,045,618
Dallas County,Alabama,01,047,533
DeKalb County,Alabama,01,049,517
Elmore County,Alabama,01,051,736
Escambia County,Alabama,01,053,558
Etowah County,Alabama,01,055,608
Fayette County,Alabama,01,057,456
Franklin County,Alabama,01,059,517
Geneva County,Alabama,01,061,559
Greene County,Alabama,01,063,413
Hale County,Alabama,01,065,471
Henry County,Alabama,01,067,537
Houston County,Alabama,01,069,641
Jackson County,Alabama,01,071,518
Jefferson County,Alabama,01,073,789
Lamar County,Alabama,01,075,412
Lauderdale County,Alabama,01,077,592
Lawrence County,Alabama,01,079,512
Lee County,Alabama,01,081,743
Limestone County,Alabama,01,083,605
Lowndes County,Alabama,01,085,519
Macon County,Alabama,01,087,584
Madison County,Alabama,01,089,725
Marengo County,Alabama,01,091,453
Marion County,Alabama,01,093,467
Marshall County,Alabama,01,095,596
Mobile County,Alabama,01,097,742
Monroe County,Alabama,01,099,531
Montgomery County,Alabama,01,101,797
Morgan County,Alabama,01,103,606
Perry County,Alabama,01,105,478
Pickens County,Alabama,01,107,461
Pike County,Alabama,01,109,587
Randolph County,Alabama,01,111,558
Russell County,Alabama,01,113,694
Saint Clair County,Alabama,01,115,736
Shelby County,Alabama,01,117,885
Sumter County,Alabama,01,119,552
Talladega County,Alabama,01,121,582
Tallapoosa County,Alabama,01,123,580
Tuscaloosa County,Alabama,01,125,760
Walker County,Alabama,01,127,579
Washington County,Alabama,01,129,570
Wilcox County,Alabama,01,131,382
Winston County,Alabama,01,133,458
Anchorage Municipality,Alaska,02,020,1104
Bethel Census Area,Alaska,02,050,992
Bristol Bay Borough,Alaska,02,060,1072
Fairbanks North Star Borough,Alaska,02,090,1157
Haines Borough,Alaska,02,100,830
Juneau City and Borough,Alaska,02,110,1184
Kenai Peninsula Borough,Alaska,02,122,852
Kodiak Island Borough,Alaska,02,150,989
Matanuska-Susitna Borough,Alaska,02,170,1003
Nome Census Area,Alaska,02,180,1101
North Slope Borough,Alaska,02,185,969
Sitka City and Borough,Alaska,02,220,1144
Southeast Fairbanks Census Area,Alaska,02,240,1141
Valdez-Cordova Census Area,Alaska,02,261,870
Wade Hampton Census Area,Alaska,02,270,567
Northwest Arctic Borough,Alaska,02,188,1101
Aleutians East Borough,Alaska,02,013,847
Aleutians West Census Area,Alaska,02,016,1210
Dillingham Census Area,Alaska,02,070,999
Lake and Peninsula Borough,Alaska,02,164,746
Denali Borough,Alaska,02,068,782
Yukon-Koyukuk Census Area,Alaska,02,290,678
Hoonah-Angoon Census Area,Alaska,02,105,746
Skagway Municipality,Alaska,02,230,1038
Yakutat City and Borough,Alaska,02,282,1000
Ketchikan Gateway Borough,Alaska,02,130,1009
Petersburg Borough,Alaska,02,195,779
Prince of Wales-Hyder Census Area,Alaska,02,198,699
Wrangell City and Borough,Alaska,02,275,759
Apache County,Arizona,04,001,524
Cochise County,Arizona,04,003,763
Coconino County,Arizona,04,005,950
Gila County,Arizona,04,007,722
Graham County,Arizona,04,009,634
Greenlee County,Arizona,04,011,384
Maricopa County,Arizona,04,013,944
Mohave County,Arizona,04,015,822
Navajo County,Arizona,04,017,667
Pima County,Arizona,04,019,782
Pinal County,Arizona,04,021,945
Santa Cruz County,Arizona,04,023,662
Yavapai County,Arizona,04,025,832
La Paz County,Arizona,04,012,579
Yuma County,Arizona,04,027,808
Arkansas County,Arkansas,05,001,597
Ashley County,Arkansas,05,003,521
Baxter County,Arkansas,05,005,608
Benton County,Arkansas,05,007,748
Boone County,Arkansas,05,009,559
Bradley County,Arkansas,05,011,533
Calhoun County,Arkansas,05,013,590
Carroll County,Arkansas,05,015,592
Chicot County,Arkansas,05,017,516
Clark County,Arkansas,05,019,573
Clay County,Arkansas,05,021,454
Cleburne County,Arkansas,05,023,627
Cleveland County,Arkansas,05,025,617
Columbia County,Arkansas,05,027,542
Conway County,Arkansas,05,029,564
Craighead County,Arkansas,05,031,638
Crawford County,Arkansas,05,033,590
Crittenden County,Arkansas,05,035,679
Cross County,Arkansas,05,037,643
Dallas County,Arkansas,05,039,436
Desha County,Arkansas,05,041,531
Drew County,Arkansas,05,043,599
