County,State,State_FIPS,County_FIPS,median_gross_rent
Autauga County,Alabama,01,001,832
Baldwin County,Alabama,01,003,863
Barbour County,Alabama,01,005,547
Bibb County,Alabama,01,007,558
Blount County,Alabama,01,009,561
Bullock County,Alabama,01,011,402
Butler County,Alabama,01,013,522
Calhoun County,Alabama,01,015,593
Chambers County,Alabama,01,017,605
Cherokee County,Alabama,01,019,524
Chilton County,Alabama,01,021,607
Choctaw County,Alabama,01,023,613
Clarke County,Alabama,01,025,488
Clay County,Alabama,01,027,424
Cleburne County,Alabama,01,029,549
Coffee County,Alabama,01,031,606
Colbert County,Alabama,01,033,592
Conecuh County,Alabama,01,035,516
Coosa County,Alabama,01,037,513
Covington County,Alabama,01,039,535
Crenshaw County,Alabama,01,041,505
Cullman County,Alabama,01,043,592
Dale County,Alabama,01,045,619
Dallas County,Alabama,01,047,553
DeKalb County,Alabama,01,049,522
Elmore County,Alabama,01,051,709
Escambia County,Alabama,01,053,549
Etowah County,Alabama,01,055,600
Fayette County,Alabama,01,057,495
Franklin County,Alabama,01,059,506
Geneva County,Alabama,01,061,538
Greene County,Alabama,01,063,494
Hale County,Alabama,01,065,469
Henry County,Alabama,01,067,528
Houston County,Alabama,01,069,626
Jackson County,Alabama,01,071,498
Jefferson County,Alabama,01,073,779
Lamar County,Alabama,01,075,401
Lauderdale County,Alabama,01,077,570
Lawrence County,Alabama,01,079,493
Lee County,Alabama,01,081,707
Limestone County,Alabama,01,083,579
Lowndes County,Alabama,01,085,563
Macon County,Alabama,01,087,573
Madison County,Alabama,01,089,701
Marengo County,Alabama,01,091,482
Marion County,Alabama,01,093,431
Marshall County,Alabama,01,095,587
Mobile County,Alabama,01,097,723
Monroe County,Alabama,01,099,536
Montgomery County,Alabama,01,101,780
Morgan County,Alabama,01,103,588
Perry County,Alabama,01,105,448
Pickens County,Alabama,01,107,456
Pike County,Alabama,01,109,553
Randolph County,Alabama,01,111,531
Russell County,Alabama,01,113,668
Saint Clair County,Alabama,01,115,720
Shelby County,Alabama,01,117,869
Sumter County,Alabama,01,119,479
Talladega County,Alabama,01,121,571
Tallapoosa County,Alabama,01,123,557
Tuscaloosa County,Alabama,01,125,749
Walker County,Alabama,01,127,577
Washington County,Alabama,01,129,583
Wilcox County,Alabama,01,131,400
Winston County,Alabama,01,133,445
Anchorage Municipality,Alaska,02,020,1058
Bethel Census Area,Alaska,02,050,941
Bristol Bay Borough,Alaska,02,060,1057
Fairbanks North Star Borough,Alaska,02,090,1105
Haines Borough,Alaska,02,100,792
Juneau City and Borough,Alaska,02,110,1135
Kenai Peninsula Borough,Alaska,02,122,812
Kodiak Island Borough,Alaska,02,150,963
Matanuska-Susitna Borough,Alaska,02,170,969
Nome Census Area,Alaska,02,180,1003
North Slope Borough,Alaska,02,185,936
Sitka City and Borough,Alaska,02,220,1047
Southeast Fairbanks Census Area,Alaska,02,240,991
Valdez-Cordova Census Area,Alaska,02,261,809
Wade Hampton Census Area,Alaska,02,270,532
Northwest Arctic Borough,Alaska,02,188,1074
Aleutians East Borough,Alaska,02,013,790
Aleutians West Census Area,Alaska,02,016,1197
Dillingham Census Area,Alaska,02,070,931
Lake and Peninsula Borough,Alaska,02,164,732
Denali Borough,Alaska,02,068,572
Yukon-Koyukuk Census Area,Alaska,02,290,654
Hoonah-Angoon Census Area,Alaska,02,105,698
Skagway Municipality,Alaska,02,230,1059
Yakutat City and Borough,Alaska,02,282,1000
Ketchikan Gateway Borough,Alaska,02,130,990
Petersburg Borough,Alaska,02,195,760
Prince of Wales-Hyder Census Area,Alaska,02,198,638
Wrangell City and Borough,Alaska,02,275,789
Apache County,Arizona,04,001,526
Cochise County,Arizona,04,003,762
Coconino County,Arizona,04,005,927
Gila County,Arizona,04,007,697
Graham County,Arizona,04,009,624
Greenlee County,Arizona,04,011,390
Maricopa County,Arizona,04,013,934
Mohave County,Arizona,04,015,831
Navajo County,Arizona,04,017,644
Pima County,Arizona,04,019,769
Pinal County,Arizona,04,021,924
Santa Cruz County,Arizona,04,023,664
Yavapai County,Arizona,04,025,831
La Paz County,Arizona,04,012,567
Yuma County,Arizona,04,027,775
Arkansas County,Arkansas,05,001,603
Ashley County,Arkansas,05,003,511
Baxter County,Arkansas,05,005,610
Benton County,Arkansas,05,007,746
Boone County,Arkansas,05,009,545
Bradley County,Arkansas,05,011,533
Calhoun County,Arkansas,05,013,475
Carroll County,Arkansas,05,015,585
Chicot County,Arkansas,05,017,481
Clark County,Arkansas,05,019,564
Clay County,Arkansas,05,021,453
Cleburne County,Arkansas,05,023,617
Cleveland County,Arkansas,05,025,579
Columbia County,Arkansas,05,027,544
Conway County,Arkansas,05,029,551
Craighead County,Arkansas,05,031,621
Crawford County,Arkansas,05,033,581
Crittenden County,Arkansas,05,035,650
Cross County,Arkansas,05,037,622
Dallas County,Arkansas,05,039,435
Desha County,Arkansas,05,041,525
Drew County,Arkansas,05,043,576
Faulkner County,Arkansas,05,045,688
Franklin County,Arkansas,05,047,554
Fulton County,Arkansas,05,049,492
Garland County,Arkansas,05,051,693
Grant County,Arkansas,05,053,672
Greene County,Arkansas,05,055,603
Hempstead County,Arkansas,05,057,549
Hot Spring County,Arkansas,05,059,578
Howard County,Arkansas,05,061,543
Independence County,Arkansas,05,063,565
Izard County,Arkansas,05,065,492
Jackson County,Arkansas,05,067,528
Jefferson County,Arkansas,05,069,641
Johnson County,Arkansas,05,071,565
Lafayette County,Arkansas,05,073,531
Lawrence County,Arkansas,05,075,495
Lee County,Arkansas,05,077,498
Lincoln County,Arkansas,05,079,522
Little River County,Arkansas,05,081,521
Logan County,Arkansas,05,083,478
Lonoke County,Arkansas,05,085,670
Madison County,Arkansas,05,087,532
Marion County,Arkansas,05,089,557
Miller County,Arkansas,05,091,660
Mississippi County,Arkansas,05,093,577
Monroe County,Arkansas,05,095,507
Montgomery County,Arkansas,05,097,477
Nevada County,Arkansas,05,099,591
Newton County,Arkansas,05,101,367
Ouachita County,Arkansas,05,103,499
Perry County,Arkansas,05,105,666
Phillips County,Arkansas,05,107,573
Pike County,Arkansas,05,109,478
Poinsett County,Arkansas,05,111,467
Polk County,Arkansas,05,113,534
Pope County,Arkansas,05,115,607
Prairie County,Arkansas,05,117,501
Pulaski County,Arkansas,05,119,752
