County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,498
Baldwin County,Alabama,01,003,1121
Barbour County,Alabama,01,005,153
Bibb County,Alabama,01,007,125
Blount County,Alabama,01,009,180
Bullock County,Alabama,01,011,48
Butler County,Alabama,01,013,122
Calhoun County,Alabama,01,015,804
Chambers County,Alabama,01,017,374
Cherokee County,Alabama,01,019,219
Chilton County,Alabama,01,021,290
Choctaw County,Alabama,01,023,43
Clarke County,Alabama,01,025,197
Clay County,Alabama,01,027,75
Cleburne County,Alabama,01,029,98
Coffee County,Alabama,01,031,398
Colbert County,Alabama,01,033,404
Conecuh County,Alabama,01,035,126
Coosa County,Alabama,01,037,0
Covington County,Alabama,01,039,252
Crenshaw County,Alabama,01,041,81
Cullman County,Alabama,01,043,555
Dale County,Alabama,01,045,591
Dallas County,Alabama,01,047,436
DeKalb County,Alabama,01,049,375
Elmore County,Alabama,01,051,435
Escambia County,Alabama,01,053,147
Etowah County,Alabama,01,055,854
Fayette County,Alabama,01,057,162
Franklin County,Alabama,01,059,345
Geneva County,Alabama,01,061,162
Greene County,Alabama,01,063,44
Hale County,Alabama,01,065,56
Henry County,Alabama,01,067,57
Houston County,Alabama,01,069,964
Jackson County,Alabama,01,071,441
Jefferson County,Alabama,01,073,6421
Lamar County,Alabama,01,075,115
Lauderdale County,Alabama,01,077,755
Lawrence County,Alabama,01,079,175
Lee County,Alabama,01,081,1549
Limestone County,Alabama,01,083,682
Lowndes County,Alabama,01,085,54
Macon County,Alabama,01,087,197
Madison County,Alabama,01,089,3139
Marengo County,Alabama,01,091,176
Marion County,Alabama,01,093,264
Marshall County,Alabama,01,095,587
Mobile County,Alabama,01,097,3622
Monroe County,Alabama,01,099,204
Montgomery County,Alabama,01,101,2835
Morgan County,Alabama,01,103,923
Perry County,Alabama,01,105,28
Pickens County,Alabama,01,107,225
Pike County,Alabama,01,109,338
Randolph County,Alabama,01,111,195
Russell County,Alabama,01,113,879
Saint Clair County,Alabama,01,115,324
Shelby County,Alabama,01,117,1083
Sumter County,Alabama,01,119,79
Talladega County,Alabama,01,121,794
Tallapoosa County,Alabama,01,123,334
Tuscaloosa County,Alabama,01,125,1634
Walker County,Alabama,01,127,429
Washington County,Alabama,01,129,31
Wilcox County,Alabama,01,131,140
Winston County,Alabama,01,133,173
Anchorage Municipality,Alaska,02,020,4252
Bethel Census Area,Alaska,02,050,40
Bristol Bay Borough,Alaska,02,060,18
Fairbanks North Star Borough,Alaska,02,090,1240
Haines Borough,Alaska,02,100,5
Juneau City and Borough,Alaska,02,110,381
Kenai Peninsula Borough,Alaska,02,122,384
Kodiak Island Borough,Alaska,02,150,129
Matanuska-Susitna Borough,Alaska,02,170,518
Nome Census Area,Alaska,02,180,97
North Slope Borough,Alaska,02,185,0
Sitka City and Borough,Alaska,02,220,175
Southeast Fairbanks Census Area,Alaska,02,240,42
Valdez-Cordova Census Area,Alaska,02,261,122
Wade Hampton Census Area,Alaska,02,270,10
Northwest Arctic Borough,Alaska,02,188,5
Aleutians East Borough,Alaska,02,013,9
Aleutians West Census Area,Alaska,02,016,39
Dillingham Census Area,Alaska,02,070,27
Lake and Peninsula Borough,Alaska,02,164,4
Denali Borough,Alaska,02,068,15
Yukon-Koyukuk Census Area,Alaska,02,290,20
Hoonah-Angoon Census Area,Alaska,02,105,13
Skagway Municipality,Alaska,02,230,26
Yakutat City and Borough,Alaska,02,282,8
Ketchikan Gateway Borough,Alaska,02,130,236
Petersburg Borough,Alaska,02,195,40
Prince of Wales-Hyder Census Area,Alaska,02,198,47
Wrangell City and Borough,Alaska,02,275,14
Apache County,Arizona,04,001,173
Cochise County,Arizona,04,003,1225
Coconino County,Arizona,04,005,1147
Gila County,Arizona,04,007,351
Graham County,Arizona,04,009,244
Greenlee County,Arizona,04,011,69
Maricopa County,Arizona,04,013,43534
Mohave County,Arizona,04,015,1867
Navajo County,Arizona,04,017,444
Pima County,Arizona,04,019,11723
Pinal County,Arizona,04,021,2513
Santa Cruz County,Arizona,04,023,289
Yavapai County,Arizona,04,025,2381
La Paz County,Arizona,04,012,170
Yuma County,Arizona,04,027,1776
Arkansas County,Arkansas,05,001,287
Ashley County,Arkansas,05,003,124
Baxter County,Arkansas,05,005,365
Benton County,Arkansas,05,007,1925
Boone County,Arkansas,05,009,250
Bradley County,Arkansas,05,011,71
Calhoun County,Arkansas,05,013,33
Carroll County,Arkansas,05,015,95
Chicot County,Arkansas,05,017,130
Clark County,Arkansas,05,019,220
Clay County,Arkansas,05,021,183
Cleburne County,Arkansas,05,023,88
Cleveland County,Arkansas,05,025,45
Columbia County,Arkansas,05,027,189
Conway County,Arkansas,05,029,169
Craighead County,Arkansas,05,031,1061
Crawford County,Arkansas,05,033,571
Crittenden County,Arkansas,05,035,645
Cross County,Arkansas,05,037,62
Dallas County,Arkansas,05,039,155
Desha County,Arkansas,05,041,160
Drew County,Arkansas,05,043,131
Faulkner County,Arkansas,05,045,1170
Franklin County,Arkansas,05,047,77
Fulton County,Arkansas,05,049,117
Garland County,Arkansas,05,051,868
Grant County,Arkansas,05,053,99
Greene County,Arkansas,05,055,294
Hempstead County,Arkansas,05,057,85
Hot Spring County,Arkansas,05,059,295
Howard County,Arkansas,05,061,143
Independence County,Arkansas,05,063,344
Izard County,Arkansas,05,065,119
Jackson County,Arkansas,05,067,127
Jefferson County,Arkansas,05,069,642
Johnson County,Arkansas,05,071,328
Lafayette County,Arkansas,05,073,46
Lawrence County,Arkansas,05,075,133
Lee County,Arkansas,05,077,107
Lincoln County,Arkansas,05,079,241
Little River County,Arkansas,05,081,56
Logan County,Arkansas,05,083,211
Lonoke County,Arkansas,05,085,532
Madison County,Arkansas,05,087,40
Marion County,Arkansas,05,089,66
Miller County,Arkansas,05,091,354
Mississippi County,Arkansas,05,093,539
Monroe County,Arkansas,05,095,119
Montgomery County,Arkansas,05,097,26
Nevada County,Arkansas,05,099,56
Newton County,Arkansas,05,101,35
Ouachita County,Arkansas,05,103,172
Perry County,Arkansas,05,105,31
Phillips County,Arkansas,05,107,236
Pike County,Arkansas,05,109,81
Poinsett County,Arkansas,05,111,239
Polk County,Arkansas,05,113,144
Pope County,Arkansas,05,115,404
Prairie County,Arkansas,05,117,58
Pulaski County,Arkansas,05,119,4928
Randolph County,Arkansas,05,121,93
Saint Francis County,Arkansas,05,123,271
Saline County,Arkansas,05,125,752
Scott County,Arkansas,05,127,83
Searcy County,Arkansas,05,129,41
Sebastian County,Arkansas,05,131,1892
Sevier County,Arkansas,05,133,160
Sharp County,Arkansas,05,135,66
Stone County,Arkansas,05,137,58
Union County,Arkansas,05,139,352
Van Buren County,Arkansas,05,141,86
Washington County,Arkansas,05,143,2988
White County,Arkansas,05,145,758
Woodruff County,Arkansas,05,147,121
Yell County,Arkansas,05,149,109
Alameda County,California,06,001,21570
Alpine County,California,06,003,2
Amador County,California,06,005,298
Butte County,California,06,007,3217
Calaveras County,California,06,009,357
Colusa County,California,06,011,225
Contra Costa County,California,06,013,10248
Del Norte County,California,06,015,330
El Dorado County,California,06,017,1773
Fresno County,California,06,019,10691
Glenn County,California,06,021,447
Humboldt County,California,06,023,1831
Imperial County,California,06,025,1827
Inyo County,California,06,027,155
Kern County,California,06,029,8323
Kings County,California,06,031,1749
Lake County,California,06,033,1172
Lassen County,California,06,035,307
Los Angeles County,California,06,037,145973
Madera County,California,06,039,1315
Marin County,California,06,041,3707
Mariposa County,California,06,043,98
Mendocino County,California,06,045,972
Merced County,California,06,047,2426
Modoc County,California,06,049,138
Mono County,California,06,051,135
Monterey County,California,06,053,6484
Napa County,California,06,055,1898
Nevada County,California,06,057,1108
Orange County,California,06,059,38480
Placer County,California,06,061,3485
Plumas County,California,06,063,160
Riverside County,California,06,065,19348
Sacramento County,California,06,067,20393
San Benito County,California,06,069,792
San Bernardino County,California,06,071,18822
San Diego County,California,06,073,46082
San Francisco County,California,06,075,17664
San Joaquin County,California,06,077,6985
San Luis Obispo County,California,06,079,2995
San Mateo County,California,06,081,9393
Santa Barbara County,California,06,083,5551
Santa Clara County,California,06,085,20609
Santa Cruz County,California,06,087,4291
Shasta County,California,06,089,1879
Sierra County,California,06,091,46
Siskiyou County,California,06,093,505
Solano County,California,06,095,4718
Sonoma County,California,06,097,6170
Stanislaus County,California,06,099,5739
Sutter County,California,06,101,1094
Tehama County,California,06,103,913
