County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,393.0
Baldwin County,Alabama,01,003,1775.0
Barbour County,Alabama,01,005,221.0
Bibb County,Alabama,01,007,163.0
Blount County,Alabama,01,009,321.0
Bullock County,Alabama,01,011,88.0
Butler County,Alabama,01,013,202.0
Calhoun County,Alabama,01,015,1000.0
Chambers County,Alabama,01,017,260.0
Cherokee County,Alabama,01,019,187.0
Chilton County,Alabama,01,021,426.0
Choctaw County,Alabama,01,023,65.0
Clarke County,Alabama,01,025,253.0
Clay County,Alabama,01,027,56.0
Cleburne County,Alabama,01,029,94.0
Coffee County,Alabama,01,031,417.0
Colbert County,Alabama,01,033,364.0
Conecuh County,Alabama,01,035,17.0
Coosa County,Alabama,01,037,51.0
Covington County,Alabama,01,039,324.0
Crenshaw County,Alabama,01,041,88.0
Cullman County,Alabama,01,043,626.0
Dale County,Alabama,01,045,768.0
Dallas County,Alabama,01,047,507.0
DeKalb County,Alabama,01,049,344.0
Elmore County,Alabama,01,051,1139.0
Escambia County,Alabama,01,053,364.0
Etowah County,Alabama,01,055,724.0
Fayette County,Alabama,01,057,165.0
Franklin County,Alabama,01,059,153.0
Geneva County,Alabama,01,061,173.0
Greene County,Alabama,01,063,2.0
Hale County,Alabama,01,065,60.0
Henry County,Alabama,01,067,53.0
Houston County,Alabama,01,069,967.0
Jackson County,Alabama,01,071,415.0
Jefferson County,Alabama,01,073,7424.0
Lamar County,Alabama,01,075,82.0
Lauderdale County,Alabama,01,077,763.0
Lawrence County,Alabama,01,079,117.0
Lee County,Alabama,01,081,1230.0
Limestone County,Alabama,01,083,518.0
Lowndes County,Alabama,01,085,42.0
Macon County,Alabama,01,087,149.0
Madison County,Alabama,01,089,3911.0
Marengo County,Alabama,01,091,147.0
Marion County,Alabama,01,093,394.0
Marshall County,Alabama,01,095,659.0
Mobile County,Alabama,01,097,4207.0
Monroe County,Alabama,01,099,105.0
Montgomery County,Alabama,01,101,2218.0
Morgan County,Alabama,01,103,954.0
Perry County,Alabama,01,105,82.0
Pickens County,Alabama,01,107,144.0
Pike County,Alabama,01,109,372.0
Randolph County,Alabama,01,111,119.0
Russell County,Alabama,01,113,780.0
Saint Clair County,Alabama,01,115,555.0
Shelby County,Alabama,01,117,1312.0
Sumter County,Alabama,01,119,236.0
Talladega County,Alabama,01,121,662.0
Tallapoosa County,Alabama,01,123,366.0
Tuscaloosa County,Alabama,01,125,1844.0
Walker County,Alabama,01,127,386.0
Washington County,Alabama,01,129,59.0
Wilcox County,Alabama,01,131,80.0
Winston County,Alabama,01,133,102.0
Anchorage Municipality,Alaska,02,020,4118.0
Bethel Census Area,Alaska,02,050,110.0
Bristol Bay Borough,Alaska,02,060,8.0
Fairbanks North Star Borough,Alaska,02,090,1446.0
Haines Borough,Alaska,02,100,11.0
Juneau City and Borough,Alaska,02,110,409.0
Kenai Peninsula Borough,Alaska,02,122,437.0
Kodiak Island Borough,Alaska,02,150,91.0
Matanuska-Susitna Borough,Alaska,02,170,550.0
Nome Census Area,Alaska,02,180,94.0
North Slope Borough,Alaska,02,185,43.0
Sitka City and Borough,Alaska,02,220,120.0
Southeast Fairbanks Census Area,Alaska,02,240,42.0
Valdez-Cordova Census Area,Alaska,02,261,5.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,29.0
Aleutians East Borough,Alaska,02,013,13.0
Aleutians West Census Area,Alaska,02,016,20.0
Dillingham Census Area,Alaska,02,070,27.0
Lake and Peninsula Borough,Alaska,02,164,8.0
Denali Borough,Alaska,02,068,1.0
Yukon-Koyukuk Census Area,Alaska,02,290,20.0
Hoonah-Angoon Census Area,Alaska,02,105,12.0
Skagway Municipality,Alaska,02,230,16.0
Yakutat City and Borough,Alaska,02,282,10.0
Ketchikan Gateway Borough,Alaska,02,130,166.0
Petersburg Borough,Alaska,02,195,20.0
Prince of Wales-Hyder Census Area,Alaska,02,198,48.0
Wrangell City and Borough,Alaska,02,275,32.0
Apache County,Arizona,04,001,241.0
Cochise County,Arizona,04,003,1182.0
Coconino County,Arizona,04,005,1349.0
Gila County,Arizona,04,007,354.0
Graham County,Arizona,04,009,166.0
Greenlee County,Arizona,04,011,50.0
Maricopa County,Arizona,04,013,50057.0
Mohave County,Arizona,04,015,2184.0
Navajo County,Arizona,04,017,936.0
Pima County,Arizona,04,019,12355.0
Pinal County,Arizona,04,021,2290.0
Santa Cruz County,Arizona,04,023,694.0
Yavapai County,Arizona,04,025,1479.0
La Paz County,Arizona,04,012,69.0
Yuma County,Arizona,04,027,1375.0
Arkansas County,Arkansas,05,001,177.0
Ashley County,Arkansas,05,003,65.0
Baxter County,Arkansas,05,005,376.0
Benton County,Arkansas,05,007,1780.0
Boone County,Arkansas,05,009,386.0
Bradley County,Arkansas,05,011,76.0
Calhoun County,Arkansas,05,013,37.0
Carroll County,Arkansas,05,015,234.0
