County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,412.0
Baldwin County,Alabama,01,003,1771.0
Barbour County,Alabama,01,005,123.0
Bibb County,Alabama,01,007,138.0
Blount County,Alabama,01,009,159.0
Bullock County,Alabama,01,011,88.0
Butler County,Alabama,01,013,168.0
Calhoun County,Alabama,01,015,997.0
Chambers County,Alabama,01,017,436.0
Cherokee County,Alabama,01,019,296.0
Chilton County,Alabama,01,021,283.0
Choctaw County,Alabama,01,023,94.0
Clarke County,Alabama,01,025,379.0
Clay County,Alabama,01,027,75.0
Cleburne County,Alabama,01,029,64.0
Coffee County,Alabama,01,031,378.0
Colbert County,Alabama,01,033,521.0
Conecuh County,Alabama,01,035,79.0
Coosa County,Alabama,01,037,12.0
Covington County,Alabama,01,039,276.0
Crenshaw County,Alabama,01,041,97.0
Cullman County,Alabama,01,043,670.0
Dale County,Alabama,01,045,563.0
Dallas County,Alabama,01,047,546.0
DeKalb County,Alabama,01,049,389.0
Elmore County,Alabama,01,051,716.0
Escambia County,Alabama,01,053,314.0
Etowah County,Alabama,01,055,1006.0
Fayette County,Alabama,01,057,167.0
Franklin County,Alabama,01,059,276.0
Geneva County,Alabama,01,061,215.0
Greene County,Alabama,01,063,69.0
Hale County,Alabama,01,065,52.0
Henry County,Alabama,01,067,23.0
Houston County,Alabama,01,069,1113.0
Jackson County,Alabama,01,071,351.0
Jefferson County,Alabama,01,073,7504.0
Lamar County,Alabama,01,075,31.0
Lauderdale County,Alabama,01,077,796.0
Lawrence County,Alabama,01,079,122.0
Lee County,Alabama,01,081,1448.0
Limestone County,Alabama,01,083,653.0
Lowndes County,Alabama,01,085,82.0
Macon County,Alabama,01,087,187.0
Madison County,Alabama,01,089,3094.0
Marengo County,Alabama,01,091,126.0
Marion County,Alabama,01,093,262.0
Marshall County,Alabama,01,095,632.0
Mobile County,Alabama,01,097,4074.0
Monroe County,Alabama,01,099,86.0
Montgomery County,Alabama,01,101,2594.0
Morgan County,Alabama,01,103,1052.0
Perry County,Alabama,01,105,93.0
Pickens County,Alabama,01,107,178.0
Pike County,Alabama,01,109,385.0
Randolph County,Alabama,01,111,266.0
Russell County,Alabama,01,113,918.0
Saint Clair County,Alabama,01,115,301.0
Shelby County,Alabama,01,117,1199.0
Sumter County,Alabama,01,119,91.0
Talladega County,Alabama,01,121,736.0
Tallapoosa County,Alabama,01,123,432.0
Tuscaloosa County,Alabama,01,125,1712.0
Walker County,Alabama,01,127,493.0
Washington County,Alabama,01,129,66.0
Wilcox County,Alabama,01,131,45.0
Winston County,Alabama,01,133,151.0
Anchorage Municipality,Alaska,02,020,4331.0
Bethel Census Area,Alaska,02,050,54.0
Bristol Bay Borough,Alaska,02,060,13.0
Fairbanks North Star Borough,Alaska,02,090,1544.0
Haines Borough,Alaska,02,100,25.0
Juneau City and Borough,Alaska,02,110,485.0
Kenai Peninsula Borough,Alaska,02,122,372.0
Kodiak Island Borough,Alaska,02,150,110.0
Matanuska-Susitna Borough,Alaska,02,170,547.0
Nome Census Area,Alaska,02,180,88.0
North Slope Borough,Alaska,02,185,28.0
Sitka City and Borough,Alaska,02,220,72.0
Southeast Fairbanks Census Area,Alaska,02,240,52.0
Valdez-Cordova Census Area,Alaska,02,261,65.0
Wade Hampton Census Area,Alaska,02,270,16.0
Northwest Arctic Borough,Alaska,02,188,33.0
Aleutians East Borough,Alaska,02,013,15.0
Aleutians West Census Area,Alaska,02,016,37.0
Dillingham Census Area,Alaska,02,070,39.0
Lake and Peninsula Borough,Alaska,02,164,3.0
Denali Borough,Alaska,02,068,0.0
Yukon-Koyukuk Census Area,Alaska,02,290,22.0
Hoonah-Angoon Census Area,Alaska,02,105,13.0
Skagway Municipality,Alaska,02,230,10.0
Yakutat City and Borough,Alaska,02,282,17.0
Ketchikan Gateway Borough,Alaska,02,130,220.0
Petersburg Borough,Alaska,02,195,30.0
Prince of Wales-Hyder Census Area,Alaska,02,198,43.0
Wrangell City and Borough,Alaska,02,275,37.0
Apache County,Arizona,04,001,179.0
Cochise County,Arizona,04,003,1002.0
Coconino County,Arizona,04,005,1564.0
Gila County,Arizona,04,007,422.0
Graham County,Arizona,04,009,158.0
Greenlee County,Arizona,04,011,63.0
Maricopa County,Arizona,04,013,47542.0
Mohave County,Arizona,04,015,1840.0
Navajo County,Arizona,04,017,753.0
Pima County,Arizona,04,019,11501.0
Pinal County,Arizona,04,021,2661.0
Santa Cruz County,Arizona,04,023,328.0
Yavapai County,Arizona,04,025,2190.0
La Paz County,Arizona,04,012,86.0
Yuma County,Arizona,04,027,1659.0
Arkansas County,Arkansas,05,001,268.0
Ashley County,Arkansas,05,003,82.0
Baxter County,Arkansas,05,005,333.0
Benton County,Arkansas,05,007,2153.0
Boone County,Arkansas,05,009,182.0
Bradley County,Arkansas,05,011,55.0
Calhoun County,Arkansas,05,013,36.0
Carroll County,Arkansas,05,015,172.0
Chicot County,Arkansas,05,017,187.0
Clark County,Arkansas,05,019,318.0
Clay County,Arkansas,05,021,200.0
Cleburne County,Arkansas,05,023,180.0
Cleveland County,Arkansas,05,025,64.0
Columbia County,Arkansas,05,027,143.0
Conway County,Arkansas,05,029,116.0
Craighead County,Arkansas,05,031,1150.0
Crawford County,Arkansas,05,033,417.0
Crittenden County,Arkansas,05,035,787.0
Cross County,Arkansas,05,037,167.0
Dallas County,Arkansas,05,039,118.0
Desha County,Arkansas,05,041,178.0
Drew County,Arkansas,05,043,170.0
Faulkner County,Arkansas,05,045,1484.0
Franklin County,Arkansas,05,047,83.0
Fulton County,Arkansas,05,049,99.0
Garland County,Arkansas,05,051,991.0
Grant County,Arkansas,05,053,54.0
Greene County,Arkansas,05,055,368.0
Hempstead County,Arkansas,05,057,268.0
Hot Spring County,Arkansas,05,059,206.0
Howard County,Arkansas,05,061,223.0
Independence County,Arkansas,05,063,300.0
Izard County,Arkansas,05,065,104.0
Jackson County,Arkansas,05,067,104.0
Jefferson County,Arkansas,05,069,674.0
Johnson County,Arkansas,05,071,259.0
Lafayette County,Arkansas,05,073,54.0
Lawrence County,Arkansas,05,075,127.0
Lee County,Arkansas,05,077,109.0
Lincoln County,Arkansas,05,079,106.0
Little River County,Arkansas,05,081,107.0
Logan County,Arkansas,05,083,128.0
Lonoke County,Arkansas,05,085,543.0
Madison County,Arkansas,05,087,63.0
Marion County,Arkansas,05,089,143.0
Miller County,Arkansas,05,091,384.0
Mississippi County,Arkansas,05,093,493.0
Monroe County,Arkansas,05,095,62.0
Montgomery County,Arkansas,05,097,61.0
Nevada County,Arkansas,05,099,124.0
Newton County,Arkansas,05,101,49.0
Ouachita County,Arkansas,05,103,128.0
Perry County,Arkansas,05,105,30.0
Phillips County,Arkansas,05,107,194.0
Pike County,Arkansas,05,109,84.0
Poinsett County,Arkansas,05,111,446.0
Polk County,Arkansas,05,113,180.0
Pope County,Arkansas,05,115,553.0
Prairie County,Arkansas,05,117,70.0
Pulaski County,Arkansas,05,119,4779.0
Randolph County,Arkansas,05,121,140.0
Saint Francis County,Arkansas,05,123,294.0
Saline County,Arkansas,05,125,737.0
Scott County,Arkansas,05,127,86.0
Searcy County,Arkansas,05,129,39.0
Sebastian County,Arkansas,05,131,1475.0
Sevier County,Arkansas,05,133,176.0
Sharp County,Arkansas,05,135,219.0
Stone County,Arkansas,05,137,116.0
Union County,Arkansas,05,139,260.0
Van Buren County,Arkansas,05,141,126.0
Washington County,Arkansas,05,143,3321.0
White County,Arkansas,05,145,690.0
Woodruff County,Arkansas,05,147,111.0
Yell County,Arkansas,05,149,173.0
Alameda County,California,06,001,23872.0
Alpine County,California,06,003,2.0
Amador County,California,06,005,280.0
Butte County,California,06,007,3096.0
Calaveras County,California,06,009,420.0
Colusa County,California,06,011,206.0
Contra Costa County,California,06,013,12324.0
Del Norte County,California,06,015,246.0
El Dorado County,California,06,017,1392.0
Fresno County,California,06,019,11348.0
Glenn County,California,06,021,298.0
Humboldt County,California,06,023,1890.0
Imperial County,California,06,025,1821.0
Inyo County,California,06,027,211.0
Kern County,California,06,029,8992.0
Kings County,California,06,031,1844.0
Lake County,California,06,033,823.0
Lassen County,California,06,035,243.0
Los Angeles County,California,06,037,152567.0
Madera County,California,06,039,1284.0
Marin County,California,06,041,3300.0
Mariposa County,California,06,043,116.0
Mendocino County,California,06,045,1071.0
Merced County,California,06,047,2964.0
Modoc County,California,06,049,77.0
Mono County,California,06,051,101.0
Monterey County,California,06,053,6479.0
Napa County,California,06,055,2046.0
Nevada County,California,06,057,850.0
Orange County,California,06,059,40576.0
Placer County,California,06,061,3806.0
Plumas County,California,06,063,102.0
Riverside County,California,06,065,22203.0
Sacramento County,California,06,067,19795.0
San Benito County,California,06,069,589.0
San Bernardino County,California,06,071,20928.0
San Diego County,California,06,073,47684.0
San Francisco County,California,06,075,17788.0
San Joaquin County,California,06,077,8017.0
San Luis Obispo County,California,06,079,3501.0
San Mateo County,California,06,081,9016.0
Santa Barbara County,California,06,083,6334.0
Santa Clara County,California,06,085,21835.0
Santa Cruz County,California,06,087,4243.0
Shasta County,California,06,089,2063.0
Sierra County,California,06,091,65.0
Siskiyou County,California,06,093,570.0
Solano County,California,06,095,5274.0
Sonoma County,California,06,097,7048.0
Stanislaus County,California,06,099,6097.0
Sutter County,California,06,101,1389.0
Tehama County,California,06,103,816.0
Trinity County,California,06,105,163.0
Tulare County,California,06,107,4656.0
Tuolumne County,California,06,109,691.0
Ventura County,California,06,111,9102.0
Yolo County,California,06,113,3296.0
Yuba County,California,06,115,850.0
Alamosa County,Colorado,08,003,379.0
Archuleta County,Colorado,08,007,162.0
Baca County,Colorado,08,009,38.0
Bent County,Colorado,08,011,106.0
Chaffee County,Colorado,08,015,175.0
Cheyenne County,Colorado,08,017,18.0
Clear Creek County,Colorado,08,019,35.0
Conejos County,Colorado,08,021,63.0
Costilla County,Colorado,08,023,30.0
Crowley County,Colorado,08,025,20.0
Custer County,Colorado,08,027,33.0
Delta County,Colorado,08,029,234.0
Dolores County,Colorado,08,033,0.0
Douglas County,Colorado,08,035,1573.0
Eagle County,Colorado,08,037,648.0
Elbert County,Colorado,08,039,63.0
El Paso County,Colorado,08,041,8904.0
Fremont County,Colorado,08,043,391.0
Garfield County,Colorado,08,045,757.0
Gilpin County,Colorado,08,047,83.0
Grand County,Colorado,08,049,73.0
Gunnison County,Colorado,08,051,354.0
Huerfano County,Colorado,08,055,87.0
Jackson County,Colorado,08,057,2.0
Kiowa County,Colorado,08,061,13.0
Kit Carson County,Colorado,08,063,59.0
Lake County,Colorado,08,065,37.0
La Plata County,Colorado,08,067,646.0
Larimer County,Colorado,08,069,4034.0
Las Animas County,Colorado,08,071,100.0
Lincoln County,Colorado,08,073,47.0
Logan County,Colorado,08,075,154.0
