County,State,State_FIPS,County_FIPS,people_below_poverty
Autauga County,Alabama,01,001,8340.0
Baldwin County,Alabama,01,003,21704.0
Barbour County,Alabama,01,005,6875.0
Bibb County,Alabama,01,007,3740.0
Blount County,Alabama,01,009,7739.0
Bullock County,Alabama,01,011,2825.0
Butler County,Alabama,01,013,4397.0
Calhoun County,Alabama,01,015,19969.0
Chambers County,Alabama,01,017,5711.0
Cherokee County,Alabama,01,019,3560.0
Chilton County,Alabama,01,021,8302.0
Choctaw County,Alabama,01,023,2968.0
Clarke County,Alabama,01,025,5484.0
Clay County,Alabama,01,027,2342.0
Cleburne County,Alabama,01,029,2531.0
Coffee County,Alabama,01,031,7670.0
Colbert County,Alabama,01,033,8390.0
Conecuh County,Alabama,01,035,2161.0
Coosa County,Alabama,01,037,1399.0
Covington County,Alabama,01,039,6756.0
Crenshaw County,Alabama,01,041,2065.0
Cullman County,Alabama,01,043,12133.0
Dale County,Alabama,01,045,8424.0
Dallas County,Alabama,01,047,11204.0
DeKalb County,Alabama,01,049,14833.0
Elmore County,Alabama,01,051,8820.0
Escambia County,Alabama,01,053,7551.0
Etowah County,Alabama,01,055,17625.0
Fayette County,Alabama,01,057,3146.0
Franklin County,Alabama,01,059,6007.0
Geneva County,Alabama,01,061,5743.0
Greene County,Alabama,01,063,3140.0
Hale County,Alabama,01,065,3522.0
Henry County,Alabama,01,067,2316.0
Houston County,Alabama,01,069,18885.0
Jackson County,Alabama,01,071,9536.0
Jefferson County,Alabama,01,073,103417.0
Lamar County,Alabama,01,075,2827.0
Lauderdale County,Alabama,01,077,13175.0
Lawrence County,Alabama,01,079,5906.0
Lee County,Alabama,01,081,30423.0
Limestone County,Alabama,01,083,12436.0
Lowndes County,Alabama,01,085,2664.0
Macon County,Alabama,01,087,3995.0
Madison County,Alabama,01,089,44038.0
Marengo County,Alabama,01,091,4174.0
Marion County,Alabama,01,093,5137.0
Marshall County,Alabama,01,095,19147.0
Mobile County,Alabama,01,097,76275.0
Monroe County,Alabama,01,099,5869.0
Montgomery County,Alabama,01,101,42442.0
Morgan County,Alabama,01,103,17126.0
Perry County,Alabama,01,105,2612.0
Pickens County,Alabama,01,107,4204.0
Pike County,Alabama,01,109,7701.0
Randolph County,Alabama,01,111,3748.0
Russell County,Alabama,01,113,11775.0
Saint Clair County,Alabama,01,115,10484.0
Shelby County,Alabama,01,117,15742.0
Sumter County,Alabama,01,119,3782.0
Talladega County,Alabama,01,121,14653.0
Tallapoosa County,Alabama,01,123,7546.0
Tuscaloosa County,Alabama,01,125,34749.0
Walker County,Alabama,01,127,11440.0
Washington County,Alabama,01,129,3451.0
Wilcox County,Alabama,01,131,3111.0
Winston County,Alabama,01,133,4127.0
Anchorage Municipality,Alaska,02,020,25861.0
Bethel Census Area,Alaska,02,050,4980.0
Bristol Bay Borough,Alaska,02,060,61.0
Fairbanks North Star Borough,Alaska,02,090,7575.0
Haines Borough,Alaska,02,100,278.0
Juneau City and Borough,Alaska,02,110,2440.0
Kenai Peninsula Borough,Alaska,02,122,6913.0
Kodiak Island Borough,Alaska,02,150,1029.0
Matanuska-Susitna Borough,Alaska,02,170,10624.0
Nome Census Area,Alaska,02,180,2080.0
North Slope Borough,Alaska,02,185,983.0
Sitka City and Borough,Alaska,02,220,731.0
Southeast Fairbanks Census Area,Alaska,02,240,737.0
Valdez-Cordova Census Area,Alaska,02,261,714.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,1995.0
Aleutians East Borough,Alaska,02,013,465.0
Aleutians West Census Area,Alaska,02,016,373.0
Dillingham Census Area,Alaska,02,070,843.0
Lake and Peninsula Borough,Alaska,02,164,229.0
Denali Borough,Alaska,02,068,354.0
Yukon-Koyukuk Census Area,Alaska,02,290,1352.0
Hoonah-Angoon Census Area,Alaska,02,105,221.0
Skagway Municipality,Alaska,02,230,70.0
Yakutat City and Borough,Alaska,02,282,48.0
Ketchikan Gateway Borough,Alaska,02,130,1304.0
Petersburg Borough,Alaska,02,195,186.0
Prince of Wales-Hyder Census Area,Alaska,02,198,1098.0
Wrangell City and Borough,Alaska,02,275,194.0
Apache County,Arizona,04,001,24963.0
Cochise County,Arizona,04,003,19476.0
Coconino County,Arizona,04,005,22539.0
Gila County,Arizona,04,007,11367.0
Graham County,Arizona,04,009,7679.0
Greenlee County,Arizona,04,011,1250.0
Maricopa County,Arizona,04,013,588350.0
Mohave County,Arizona,04,015,33364.0
Navajo County,Arizona,04,017,29663.0
Pima County,Arizona,04,019,167823.0
Pinal County,Arizona,04,021,53276.0
Santa Cruz County,Arizona,04,023,10729.0
Yavapai County,Arizona,04,025,29085.0
La Paz County,Arizona,04,012,4592.0
Yuma County,Arizona,04,027,39608.0
Arkansas County,Arkansas,05,001,3041.0
Ashley County,Arkansas,05,003,3347.0
Baxter County,Arkansas,05,005,5360.0
Benton County,Arkansas,05,007,24767.0
Boone County,Arkansas,05,009,5369.0
Bradley County,Arkansas,05,011,2211.0
Calhoun County,Arkansas,05,013,680.0
Carroll County,Arkansas,05,015,4096.0
Chicot County,Arkansas,05,017,2872.0
Clark County,Arkansas,05,019,4017.0
Clay County,Arkansas,05,021,3106.0
Cleburne County,Arkansas,05,023,3452.0
Cleveland County,Arkansas,05,025,1475.0
Columbia County,Arkansas,05,027,5482.0
Conway County,Arkansas,05,029,3649.0
Craighead County,Arkansas,05,031,17130.0
Crawford County,Arkansas,05,033,10609.0
Crittenden County,Arkansas,05,035,10655.0
Cross County,Arkansas,05,037,2555.0
Dallas County,Arkansas,05,039,955.0
Desha County,Arkansas,05,041,3363.0
Drew County,Arkansas,05,043,3268.0
Faulkner County,Arkansas,05,045,19778.0
Franklin County,Arkansas,05,047,4005.0
Fulton County,Arkansas,05,049,2491.0
Garland County,Arkansas,05,051,18032.0
Grant County,Arkansas,05,053,2596.0
Greene County,Arkansas,05,055,7246.0
Hempstead County,Arkansas,05,057,4892.0
Hot Spring County,Arkansas,05,059,5658.0
Howard County,Arkansas,05,061,2539.0
Independence County,Arkansas,05,063,6049.0
Izard County,Arkansas,05,065,1906.0
Jackson County,Arkansas,05,067,3489.0
Jefferson County,Arkansas,05,069,13960.0
Johnson County,Arkansas,05,071,5833.0
Lafayette County,Arkansas,05,073,1721.0
Lawrence County,Arkansas,05,075,2497.0
Lee County,Arkansas,05,077,1668.0
Lincoln County,Arkansas,05,079,1667.0
Little River County,Arkansas,05,081,1952.0
Logan County,Arkansas,05,083,3995.0
Lonoke County,Arkansas,05,085,8775.0
Madison County,Arkansas,05,087,2798.0
Marion County,Arkansas,05,089,2960.0
Miller County,Arkansas,05,091,8456.0
Mississippi County,Arkansas,05,093,10017.0
Monroe County,Arkansas,05,095,1887.0
Montgomery County,Arkansas,05,097,1875.0
Nevada County,Arkansas,05,099,1883.0
Newton County,Arkansas,05,101,1226.0
Ouachita County,Arkansas,05,103,5428.0
Perry County,Arkansas,05,105,1830.0
Phillips County,Arkansas,05,107,6362.0
Pike County,Arkansas,05,109,1627.0
Poinsett County,Arkansas,05,111,5000.0
Polk County,Arkansas,05,113,4747.0
Pope County,Arkansas,05,115,11349.0
Prairie County,Arkansas,05,117,1180.0
Pulaski County,Arkansas,05,119,64988.0
Randolph County,Arkansas,05,121,3241.0
Saint Francis County,Arkansas,05,123,5585.0
Saline County,Arkansas,05,125,10815.0
Scott County,Arkansas,05,127,1967.0
Searcy County,Arkansas,05,129,1702.0
Sebastian County,Arkansas,05,131,23271.0
Sevier County,Arkansas,05,133,3590.0
Sharp County,Arkansas,05,135,3743.0
Stone County,Arkansas,05,137,2449.0
Union County,Arkansas,05,139,7444.0
Van Buren County,Arkansas,05,141,3041.0
Washington County,Arkansas,05,143,36730.0
White County,Arkansas,05,145,11742.0
Woodruff County,Arkansas,05,147,1596.0
Yell County,Arkansas,05,149,3523.0
Alameda County,California,06,001,161581.0
Alpine County,California,06,003,205.0
Amador County,California,06,005,3451.0
Butte County,California,06,007,41974.0
Calaveras County,California,06,009,5147.0
Colusa County,California,06,011,2774.0
Contra Costa County,California,06,013,98595.0
Del Norte County,California,06,015,4760.0
El Dorado County,California,06,017,15643.0
Fresno County,California,06,019,218254.0
Glenn County,California,06,021,4818.0
Humboldt County,California,06,023,26674.0
Imperial County,California,06,025,41100.0
Inyo County,California,06,027,1635.0
Kern County,California,06,029,179980.0
Kings County,California,06,031,24725.0
Lake County,California,06,033,11753.0
Lassen County,California,06,035,2830.0
Los Angeles County,California,06,037,1480446.0
Madera County,California,06,039,29273.0
Marin County,California,06,041,18349.0
Mariposa County,California,06,043,2616.0
Mendocino County,California,06,045,15251.0
Merced County,California,06,047,56217.0
Modoc County,California,06,049,1618.0
Mono County,California,06,051,1713.0
Monterey County,California,06,053,54393.0
Napa County,California,06,055,10614.0
Nevada County,California,06,057,10844.0
Orange County,California,06,059,340048.0
Placer County,California,06,061,29588.0
Plumas County,California,06,063,2224.0
Riverside County,California,06,065,325279.0
Sacramento County,California,06,067,220713.0
San Benito County,California,06,069,5061.0
San Bernardino County,California,06,071,333613.0
San Diego County,California,06,073,374787.0
San Francisco County,California,06,075,89030.0
San Joaquin County,California,06,077,105461.0
San Luis Obispo County,California,06,079,33261.0
San Mateo County,California,06,081,51085.0
Santa Barbara County,California,06,083,57556.0
Santa Clara County,California,06,085,142534.0
Santa Cruz County,California,06,087,34419.0
Shasta County,California,06,089,29423.0
Sierra County,California,06,091,291.0
Siskiyou County,California,06,093,8102.0
Solano County,California,06,095,41121.0
Sonoma County,California,06,097,45418.0
