County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,53110
Baldwin County,Alabama,01,003,173756
Barbour County,Alabama,01,005,24809
Bibb County,Alabama,01,007,22391
Blount County,Alabama,01,009,56165
Bullock County,Alabama,01,011,10647
Butler County,Alabama,01,013,20546
Calhoun County,Alabama,01,015,114099
Chambers County,Alabama,01,017,34359
Cherokee County,Alabama,01,019,25263
Chilton County,Alabama,01,021,42764
Choctaw County,Alabama,01,023,13838
Clarke County,Alabama,01,025,25930
Clay County,Alabama,01,027,13081
Cleburne County,Alabama,01,029,14474
Coffee County,Alabama,01,031,47413
Colbert County,Alabama,01,033,53391
Conecuh County,Alabama,01,035,13322
Coosa County,Alabama,01,037,11064
Covington County,Alabama,01,039,37175
Crenshaw County,Alabama,01,041,13873
Cullman County,Alabama,01,043,78679
Dale County,Alabama,01,045,48421
Dallas County,Alabama,01,047,43594
DeKalb County,Alabama,01,049,69537
Elmore County,Alabama,01,051,71012
Escambia County,Alabama,01,053,34786
Etowah County,Alabama,01,055,102097
Fayette County,Alabama,01,057,17257
Franklin County,Alabama,01,059,30796
Geneva County,Alabama,01,061,25985
Greene County,Alabama,01,063,9047
Hale County,Alabama,01,065,16147
Henry County,Alabama,01,067,16998
Houston County,Alabama,01,069,97438
Jackson County,Alabama,01,071,52944
Jefferson County,Alabama,01,073,643339
Lamar County,Alabama,01,075,14506
Lauderdale County,Alabama,01,077,89725
Lawrence County,Alabama,01,079,33989
Lee County,Alabama,01,081,130172
Limestone County,Alabama,01,083,75510
Lowndes County,Alabama,01,085,11576
Macon County,Alabama,01,087,18760
Madison County,Alabama,01,089,315161
Marengo County,Alabama,01,091,20804
Marion County,Alabama,01,093,30029
Marshall County,Alabama,01,095,89808
Mobile County,Alabama,01,097,400827
Monroe County,Alabama,01,099,23090
Montgomery County,Alabama,01,101,218107
Morgan County,Alabama,01,103,115815
Perry County,Alabama,01,105,9744
Pickens County,Alabama,01,107,19771
Pike County,Alabama,01,109,30959
Randolph County,Alabama,01,111,21917
Russell County,Alabama,01,113,50896
Saint Clair County,Alabama,01,115,77893
Shelby County,Alabama,01,117,185941
Sumter County,Alabama,01,119,13737
Talladega County,Alabama,01,121,78195
Tallapoosa County,Alabama,01,123,40844
Tuscaloosa County,Alabama,01,125,180521
Walker County,Alabama,01,127,66745
Washington County,Alabama,01,129,17121
Wilcox County,Alabama,01,131,11252
Winston County,Alabama,01,133,23874
Anchorage Municipality,Alaska,02,020,277880
Bethel Census Area,Alaska,02,050,16564
Bristol Bay Borough,Alaska,02,060,1040
Fairbanks North Star Borough,Alaska,02,090,90486
Haines Borough,Alaska,02,100,1633
Juneau City and Borough,Alaska,02,110,30352
Kenai Peninsula Borough,Alaska,02,122,52541
Kodiak Island Borough,Alaska,02,150,13140
Matanuska-Susitna Borough,Alaska,02,170,82725
Nome Census Area,Alaska,02,180,8881
North Slope Borough,Alaska,02,185,8758
Sitka City and Borough,Alaska,02,220,8741
Southeast Fairbanks Census Area,Alaska,02,240,6744
Valdez-Cordova Census Area,Alaska,02,261,9555
Wade Hampton Census Area,Alaska,02,270,7356
Northwest Arctic Borough,Alaska,02,188,7445
Aleutians East Borough,Alaska,02,013,3695
Aleutians West Census Area,Alaska,02,016,5700
Dillingham Census Area,Alaska,02,070,4802
Lake and Peninsula Borough,Alaska,02,164,1615
Denali Borough,Alaska,02,068,947
Yukon-Koyukuk Census Area,Alaska,02,290,5586
Hoonah-Angoon Census Area,Alaska,02,105,2005
