County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,median_household_income,native_american_population,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income
Monroe County,Michigan,26,115,,,1040.0,,,,,,,,,,,,
Montcalm County,Michigan,26,117,,,307.0,,,,,,,,,,,,
Montmorency County,Michigan,26,119,,,44.0,,,,,,,,,,,,
Muskegon County,Michigan,26,121,,,1359.0,,,,,,,,,,,,
Newaygo County,Michigan,26,123,,,268.0,,,,,,,,,,,,
Oakland County,Michigan,26,125,,,11011.0,,,,,,,,,,,,
Oceana County,Michigan,26,127,,,85.0,,,,,,,,,,,,
Ogemaw County,Michigan,26,129,,,120.0,,,,,,,,,,,,
Ontonagon County,Michigan,26,131,,,16.0,,,,,,,,,,,,
Osceola County,Michigan,26,133,,,98.0,,,,,,,,,,,,
Oscoda County,Michigan,26,135,,,64.0,,,,,,,,,,,,
Otsego County,Michigan,26,137,,,204.0,,,,,,,,,,,,
Ottawa County,Michigan,26,139,,,1647.0,,,,,,,,,,,,
Presque Isle County,Michigan,26,141,,,28.0,,,,,,,,,,,,
Roscommon County,Michigan,26,143,,,196.0,,,,,,,,,,,,
Saginaw County,Michigan,26,145,,,1852.0,,,,,,,,,,,,
Saint Clair County,Michigan,26,147,,,1600.0,,,,,,,,,,,,
Saint Joseph County,Michigan,26,149,,,456.0,,,,,,,,,,,,
Sanilac County,Michigan,26,151,,,308.0,,,,,,,,,,,,
Schoolcraft County,Michigan,26,153,,,60.0,,,,,,,,,,,,
Shiawassee County,Michigan,26,155,,,518.0,,,,,,,,,,,,
Tuscola County,Michigan,26,157,,,320.0,,,,,,,,,,,,
Van Buren County,Michigan,26,159,,,607.0,,,,,,,,,,,,
Washtenaw County,Michigan,26,161,,,4234.0,,,,,,,,,,,,
Wayne County,Michigan,26,163,,,18708.0,,,,,,,,,,,,
Wexford County,Michigan,26,165,,,280.0,,,,,,,,,,,,
Aitkin County,Minnesota,27,1,,,91.0,,,,,,,,,,,,
Anoka County,Minnesota,27,3,,,2393.0,,,,,,,,,,,,
Becker County,Minnesota,27,5,,,114.0,,,,,,,,,,,,
Beltrami County,Minnesota,27,7,,,515.0,,,,,,,,,,,,
Benton County,Minnesota,27,9,,,632.0,,,,,,,,,,,,
Big Stone County,Minnesota,27,11,,,8.0,,,,,,,,,,,,
Blue Earth County,Minnesota,27,13,,,885.0,,,,,,,,,,,,
Brown County,Minnesota,27,15,,,137.0,,,,,,,,,,,,
Carlton County,Minnesota,27,17,,,179.0,,,,,,,,,,,,
Carver County,Minnesota,27,19,,,511.0,,,,,,,,,,,,
Cass County,Minnesota,27,21,,,210.0,,,,,,,,,,,,
Chippewa County,Minnesota,27,23,,,70.0,,,,,,,,,,,,
Chisago County,Minnesota,27,25,,,292.0,,,,,,,,,,,,
Clay County,Minnesota,27,27,,,642.0,,,,,,,,,,,,
Clearwater County,Minnesota,27,29,,,28.0,,,,,,,,,,,,
Cook County,Minnesota,27,31,,,23.0,,,,,,,,,,,,
Cottonwood County,Minnesota,27,33,,,87.0,,,,,,,,,,,,
Crow Wing County,Minnesota,27,35,,,593.0,,,,,,,,,,,,
Dakota County,Minnesota,27,37,,,3465.0,,,,,,,,,,,,
Dodge County,Minnesota,27,39,,,75.0,,,,,,,,,,,,
Douglas County,Minnesota,27,41,,,333.0,,,,,,,,,,,,
Faribault County,Minnesota,27,43,,,59.0,,,,,,,,,,,,
Fillmore County,Minnesota,27,45,,,139.0,,,,,,,,,,,,
Freeborn County,Minnesota,27,47,,,327.0,,,,,,,,,,,,
Goodhue County,Minnesota,27,49,,,433.0,,,,,,,,,,,,
Grant County,Minnesota,27,51,,,37.0,,,,,,,,,,,,
Hennepin County,Minnesota,27,53,,,17377.0,,,,,,,,,,,,
Houston County,Minnesota,27,55,,,226.0,,,,,,,,,,,,
Hubbard County,Minnesota,27,57,,,64.0,,,,,,,,,,,,
Isanti County,Minnesota,27,59,,,298.0,,,,,,,,,,,,
Itasca County,Minnesota,27,61,,,291.0,,,,,,,,,,,,
Jackson County,Minnesota,27,63,,,73.0,,,,,,,,,,,,
Kanabec County,Minnesota,27,65,,,184.0,,,,,,,,,,,,
Kandiyohi County,Minnesota,27,67,,,296.0,,,,,,,,,,,,
Kittson County,Minnesota,27,69,,,43.0,,,,,,,,,,,,
Koochiching County,Minnesota,27,71,,,140.0,,,,,,,,,,,,
Lac qui Parle County,Minnesota,27,73,,,21.0,,,,,,,,,,,,
Lake County,Minnesota,27,75,,,107.0,,,,,,,,,,,,
Lake of the Woods County,Minnesota,27,77,,,34.0,,,,,,,,,,,,
Le Sueur County,Minnesota,27,79,,,153.0,,,,,,,,,,,,
Lincoln County,Minnesota,27,81,,,16.0,,,,,,,,,,,,
Lyon County,Minnesota,27,83,,,314.0,,,,,,,,,,,,
McLeod County,Minnesota,27,85,,,298.0,,,,,,,,,,,,
Mahnomen County,Minnesota,27,87,,,47.0,,,,,,,,,,,,
Marshall County,Minnesota,27,89,,,26.0,,,,,,,,,,,,
Martin County,Minnesota,27,91,,,307.0,,,,,,,,,,,,
Meeker County,Minnesota,27,93,,,131.0,,,,,,,,,,,,
Mille Lacs County,Minnesota,27,95,,,193.0,,,,,,,,,,,,
Morrison County,Minnesota,27,97,,,260.0,,,,,,,,,,,,
Mower County,Minnesota,27,99,,,220.0,,,,,,,,,,,,
Murray County,Minnesota,27,101,,,24.0,,,,,,,,,,,,
Nicollet County,Minnesota,27,103,,,272.0,,,,,,,,,,,,
Nobles County,Minnesota,27,105,,,179.0,,,,,,,,,,,,
Norman County,Minnesota,27,107,,,46.0,,,,,,,,,,,,
Olmsted County,Minnesota,27,109,,,1386.0,,,,,,,,,,,,
Otter Tail County,Minnesota,27,111,,,412.0,,,,,,,,,,,,
Pennington County,Minnesota,27,113,,,114.0,,,,,,,,,,,,
Pine County,Minnesota,27,115,,,181.0,,,,,,,,,,,,
Pipestone County,Minnesota,27,117,,,59.0,,,,,,,,,,,,
Polk County,Minnesota,27,119,,,267.0,,,,,,,,,,,,
Pope County,Minnesota,27,121,,,94.0,,,,,,,,,,,,
Ramsey County,Minnesota,27,123,,,7583.0,,,,,,,,,,,,
Red Lake County,Minnesota,27,125,,,26.0,,,,,,,,,,,,
Redwood County,Minnesota,27,127,,,86.0,,,,,,,,,,,,
Renville County,Minnesota,27,129,,,126.0,,,,,,,,,,,,
Rice County,Minnesota,27,131,,,480.0,,,,,,,,,,,,
Rock County,Minnesota,27,133,,,44.0,,,,,,,,,,,,
Roseau County,Minnesota,27,135,,,70.0,,,,,,,,,,,,
Saint Louis County,Minnesota,27,137,,,2622.0,,,,,,,,,,,,
Scott County,Minnesota,27,139,,,712.0,,,,,,,,,,,,
Sherburne County,Minnesota,27,141,,,353.0,,,,,,,,,,,,
Sibley County,Minnesota,27,143,,,105.0,,,,,,,,,,,,
Stearns County,Minnesota,27,145,,,1539.0,,,,,,,,,,,,
Steele County,Minnesota,27,147,,,197.0,,,,,,,,,,,,
Stevens County,Minnesota,27,149,,,29.0,,,,,,,,,,,,
Swift County,Minnesota,27,151,,,65.0,,,,,,,,,,,,
Todd County,Minnesota,27,153,,,162.0,,,,,,,,,,,,
Traverse County,Minnesota,27,155,,,8.0,,,,,,,,,,,,
Wabasha County,Minnesota,27,157,,,71.0,,,,,,,,,,,,
Wadena County,Minnesota,27,159,,,82.0,,,,,,,,,,,,
Waseca County,Minnesota,27,161,,,204.0,,,,,,,,,,,,
Washington County,Minnesota,27,163,,,1469.0,,,,,,,,,,,,
Watonwan County,Minnesota,27,165,,,67.0,,,,,,,,,,,,
Wilkin County,Minnesota,27,167,,,60.0,,,,,,,,,,,,
Winona County,Minnesota,27,169,,,443.0,,,,,,,,,,,,
Wright County,Minnesota,27,171,,,771.0,,,,,,,,,,,,
Yellow Medicine County,Minnesota,27,173,,,79.0,,,,,,,,,,,,
Adams County,Mississippi,28,1,,,233.0,,,,,,,,,,,,
Alcorn County,Mississippi,28,3,,,355.0,,,,,,,,,,,,
Amite County,Mississippi,28,5,,,43.0,,,,,,,,,,,,
Attala County,Mississippi,28,7,,,69.0,,,,,,,,,,,,
Benton County,Mississippi,28,9,,,15.0,,,,,,,,,,,,
Bolivar County,Mississippi,28,11,,,314.0,,,,,,,,,,,,
Calhoun County,Mississippi,28,13,,,145.0,,,,,,,,,,,,
Carroll County,Mississippi,28,15,,,31.0,,,,,,,,,,,,
Chickasaw County,Mississippi,28,17,,,74.0,,,,,,,,,,,,
Choctaw County,Mississippi,28,19,,,48.0,,,,,,,,,,,,
Claiborne County,Mississippi,28,21,,,48.0,,,,,,,,,,,,
Clarke County,Mississippi,28,23,,,114.0,,,,,,,,,,,,
Clay County,Mississippi,28,25,,,39.0,,,,,,,,,,,,
Coahoma County,Mississippi,28,27,,,302.0,,,,,,,,,,,,
Copiah County,Mississippi,28,29,,,62.0,,,,,,,,,,,,
Covington County,Mississippi,28,31,,,84.0,,,,,,,,,,,,
DeSoto County,Mississippi,28,33,,,1576.0,,,,,,,,,,,,
Forrest County,Mississippi,28,35,,,1015.0,,,,,,,,,,,,
Franklin County,Mississippi,28,37,,,79.0,,,,,,,,,,,,
George County,Mississippi,28,39,,,54.0,,,,,,,,,,,,
Greene County,Mississippi,28,41,,,33.0,,,,,,,,,,,,
Grenada County,Mississippi,28,43,,,252.0,,,,,,,,,,,,
Hancock County,Mississippi,28,45,,,466.0,,,,,,,,,,,,
Harrison County,Mississippi,28,47,,,3305.0,,,,,,,,,,,,
Hinds County,Mississippi,28,49,,,3300.0,,,,,,,,,,,,
Holmes County,Mississippi,28,51,,,99.0,,,,,,,,,,,,
Humphreys County,Mississippi,28,53,,,113.0,,,,,,,,,,,,
Issaquena County,Mississippi,28,55,,,8.0,,,,,,,,,,,,
Itawamba County,Mississippi,28,57,,,108.0,,,,,,,,,,,,
Jackson County,Mississippi,28,59,,,1049.0,,,,,,,,,,,,
Jasper County,Mississippi,28,61,,,80.0,,,,,,,,,,,,
Jefferson County,Mississippi,28,63,,,41.0,,,,,,,,,,,,
Jefferson Davis County,Mississippi,28,65,,,60.0,,,,,,,,,,,,
Jones County,Mississippi,28,67,,,731.0,,,,,,,,,,,,
Kemper County,Mississippi,28,69,,,55.0,,,,,,,,,,,,
Lafayette County,Mississippi,28,71,,,444.0,,,,,,,,,,,,
Lamar County,Mississippi,28,73,,,566.0,,,,,,,,,,,,
Lauderdale County,Mississippi,28,75,,,845.0,,,,,,,,,,,,
Lawrence County,Mississippi,28,77,,,22.0,,,,,,,,,,,,
Leake County,Mississippi,28,79,,,76.0,,,,,,,,,,,,
Lee County,Mississippi,28,81,,,783.0,,,,,,,,,,,,
Leflore County,Mississippi,28,83,,,258.0,,,,,,,,,,,,
Lincoln County,Mississippi,28,85,,,126.0,,,,,,,,,,,,
Lowndes County,Mississippi,28,87,,,653.0,,,,,,,,,,,,
Madison County,Mississippi,28,89,,,929.0,,,,,,,,,,,,
Marion County,Mississippi,28,91,,,105.0,,,,,,,,,,,,
Marshall County,Mississippi,28,93,,,106.0,,,,,,,,,,,,
Monroe County,Mississippi,28,95,,,318.0,,,,,,,,,,,,
Montgomery County,Mississippi,28,97,,,35.0,,,,,,,,,,,,
Neshoba County,Mississippi,28,99,,,127.0,,,,,,,,,,,,
Newton County,Mississippi,28,101,,,125.0,,,,,,,,,,,,
Noxubee County,Mississippi,28,103,,,98.0,,,,,,,,,,,,
Oktibbeha County,Mississippi,28,105,,,392.0,,,,,,,,,,,,
Panola County,Mississippi,28,107,,,287.0,,,,,,,,,,,,
Pearl River County,Mississippi,28,109,,,203.0,,,,,,,,,,,,
Perry County,Mississippi,28,111,,,70.0,,,,,,,,,,,,
Pike County,Mississippi,28,113,,,312.0,,,,,,,,,,,,
Pontotoc County,Mississippi,28,115,,,95.0,,,,,,,,,,,,
Prentiss County,Mississippi,28,117,,,184.0,,,,,,,,,,,,
Quitman County,Mississippi,28,119,,,104.0,,,,,,,,,,,,
Rankin County,Mississippi,28,121,,,986.0,,,,,,,,,,,,
Scott County,Mississippi,28,123,,,155.0,,,,,,,,,,,,
Sharkey County,Mississippi,28,125,,,50.0,,,,,,,,,,,,
Simpson County,Mississippi,28,127,,,111.0,,,,,,,,,,,,
Smith County,Mississippi,28,129,,,28.0,,,,,,,,,,,,
Stone County,Mississippi,28,131,,,183.0,,,,,,,,,,,,
Sunflower County,Mississippi,28,133,,,348.0,,,,,,,,,,,,
Tallahatchie County,Mississippi,28,135,,,150.0,,,,,,,,,,,,
Tate County,Mississippi,28,137,,,181.0,,,,,,,,,,,,
Tippah County,Mississippi,28,139,,,185.0,,,,,,,,,,,,
Tishomingo County,Mississippi,28,141,,,83.0,,,,,,,,,,,,
Tunica County,Mississippi,28,143,,,120.0,,,,,,,,,,,,
Union County,Mississippi,28,145,,,49.0,,,,,,,,,,,,
Walthall County,Mississippi,28,147,,,17.0,,,,,,,,,,,,
Warren County,Mississippi,28,149,,,427.0,,,,,,,,,,,,
Washington County,Mississippi,28,151,,,660.0,,,,,,,,,,,,
Wayne County,Mississippi,28,153,,,231.0,,,,,,,,,,,,
Webster County,Mississippi,28,155,,,51.0,,,,,,,,,,,,
Wilkinson County,Mississippi,28,157,,,41.0,,,,,,,,,,,,
Winston County,Mississippi,28,159,,,250.0,,,,,,,,,,,,
Yalobusha County,Mississippi,28,161,,,104.0,,,,,,,,,,,,
Yazoo County,Mississippi,28,163,,,269.0,,,,,,,,,,,,
Adair County,Missouri,29,1,,,252.0,,,,,,,,,,,,
Andrew County,Missouri,29,3,,,87.0,,,,,,,,,,,,
Atchison County,Missouri,29,5,,,35.0,,,,,,,,,,,,
Audrain County,Missouri,29,7,,,147.0,,,,,,,,,,,,
Barry County,Missouri,29,9,,,286.0,,,,,,,,,,,,
Barton County,Missouri,29,11,,,91.0,,,,,,,,,,,,
Bates County,Missouri,29,13,,,144.0,,,,,,,,,,,,
Benton County,Missouri,29,15,,,76.0,,,,,,,,,,,,
Bollinger County,Missouri,29,17,,,91.0,,,,,,,,,,,,
Boone County,Missouri,29,19,,,2045.0,,,,,,,,,,,,
Buchanan County,Missouri,29,21,,,704.0,,,,,,,,,,,,
Butler County,Missouri,29,23,,,541.0,,,,,,,,,,,,
Caldwell County,Missouri,29,25,,,59.0,,,,,,,,,,,,
Callaway County,Missouri,29,27,,,279.0,,,,,,,,,,,,
Camden County,Missouri,29,29,,,290.0,,,,,,,,,,,,
Cape Girardeau County,Missouri,29,31,,,518.0,,,,,,,,,,,,
Carroll County,Missouri,29,33,,,138.0,,,,,,,,,,,,
Carter County,Missouri,29,35,,,20.0,,,,,,,,,,,,
Cass County,Missouri,29,37,,,1026.0,,,,,,,,,,,,
Cedar County,Missouri,29,39,,,230.0,,,,,,,,,,,,
Chariton County,Missouri,29,41,,,31.0,,,,,,,,,,,,
Christian County,Missouri,29,43,,,848.0,,,,,,,,,,,,
Clark County,Missouri,29,45,,,58.0,,,,,,,,,,,,
Clay County,Missouri,29,47,,,2434.0,,,,,,,,,,,,
Clinton County,Missouri,29,49,,,127.0,,,,,,,,,,,,
Cole County,Missouri,29,51,,,462.0,,,,,,,,,,,,
Cooper County,Missouri,29,53,,,159.0,,,,,,,,,,,,
Crawford County,Missouri,29,55,,,209.0,,,,,,,,,,,,
Dade County,Missouri,29,57,,,45.0,,,,,,,,,,,,
Dallas County,Missouri,29,59,,,31.0,,,,,,,,,,,,
Daviess County,Missouri,29,61,,,25.0,,,,,,,,,,,,
DeKalb County,Missouri,29,63,,,78.0,,,,,,,,,,,,
Dent County,Missouri,29,65,,,159.0,,,,,,,,,,,,
Douglas County,Missouri,29,67,,,95.0,,,,,,,,,,,,
Dunklin County,Missouri,29,69,,,382.0,,,,,,,,,,,,
Franklin County,Missouri,29,71,,,637.0,,,,,,,,,,,,
Gasconade County,Missouri,29,73,,,100.0,,,,,,,,,,,,
Gentry County,Missouri,29,75,,,24.0,,,,,,,,,,,,
Greene County,Missouri,29,77,,,4381.0,,,,,,,,,,,,
Grundy County,Missouri,29,79,,,71.0,,,,,,,,,,,,
Harrison County,Missouri,29,81,,,61.0,,,,,,,,,,,,
Henry County,Missouri,29,83,,,259.0,,,,,,,,,,,,
Hickory County,Missouri,29,85,,,45.0,,,,,,,,,,,,
Holt County,Missouri,29,87,,,17.0,,,,,,,,,,,,
Howard County,Missouri,29,89,,,27.0,,,,,,,,,,,,
Howell County,Missouri,29,91,,,390.0,,,,,,,,,,,,
Iron County,Missouri,29,93,,,56.0,,,,,,,,,,,,
Jackson County,Missouri,29,95,,,8966.0,,,,,,,,,,,,
Jasper County,Missouri,29,97,,,1485.0,,,,,,,,,,,,
Jefferson County,Missouri,29,99,,,1567.0,,,,,,,,,,,,
Johnson County,Missouri,29,101,,,588.0,,,,,,,,,,,,
Knox County,Missouri,29,103,,,24.0,,,,,,,,,,,,
Laclede County,Missouri,29,105,,,252.0,,,,,,,,,,,,
Lafayette County,Missouri,29,107,,,191.0,,,,,,,,,,,,
Lawrence County,Missouri,29,109,,,330.0,,,,,,,,,,,,
Lewis County,Missouri,29,111,,,84.0,,,,,,,,,,,,
Lincoln County,Missouri,29,113,,,334.0,,,,,,,,,,,,
Linn County,Missouri,29,115,,,71.0,,,,,,,,,,,,
Livingston County,Missouri,29,117,,,131.0,,,,,,,,,,,,
McDonald County,Missouri,29,119,,,109.0,,,,,,,,,,,,
Macon County,Missouri,29,121,,,156.0,,,,,,,,,,,,
Madison County,Missouri,29,123,,,185.0,,,,,,,,,,,,
Maries County,Missouri,29,125,,,60.0,,,,,,,,,,,,
Marion County,Missouri,29,127,,,274.0,,,,,,,,,,,,
Mercer County,Missouri,29,129,,,13.0,,,,,,,,,,,,
Miller County,Missouri,29,131,,,237.0,,,,,,,,,,,,
Mississippi County,Missouri,29,133,,,88.0,,,,,,,,,,,,
Moniteau County,Missouri,29,135,,,97.0,,,,,,,,,,,,
Monroe County,Missouri,29,137,,,93.0,,,,,,,,,,,,
Montgomery County,Missouri,29,139,,,66.0,,,,,,,,,,,,
Morgan County,Missouri,29,141,,,125.0,,,,,,,,,,,,
New Madrid County,Missouri,29,143,,,169.0,,,,,,,,,,,,
Newton County,Missouri,29,145,,,586.0,,,,,,,,,,,,
Nodaway County,Missouri,29,147,,,164.0,,,,,,,,,,,,
Oregon County,Missouri,29,149,,,110.0,,,,,,,,,,,,
Osage County,Missouri,29,151,,,67.0,,,,,,,,,,,,
Ozark County,Missouri,29,153,,,73.0,,,,,,,,,,,,
Pemiscot County,Missouri,29,155,,,188.0,,,,,,,,,,,,
Perry County,Missouri,29,157,,,154.0,,,,,,,,,,,,
Pettis County,Missouri,29,159,,,357.0,,,,,,,,,,,,
Phelps County,Missouri,29,161,,,480.0,,,,,,,,,,,,
Pike County,Missouri,29,163,,,151.0,,,,,,,,,,,,
Platte County,Missouri,29,165,,,1080.0,,,,,,,,,,,,
Polk County,Missouri,29,167,,,298.0,,,,,,,,,,,,
Pulaski County,Missouri,29,169,,,528.0,,,,,,,,,,,,
Putnam County,Missouri,29,171,,,66.0,,,,,,,,,,,,
Ralls County,Missouri,29,173,,,29.0,,,,,,,,,,,,
Randolph County,Missouri,29,175,,,122.0,,,,,,,,,,,,
Ray County,Missouri,29,177,,,189.0,,,,,,,,,,,,
Reynolds County,Missouri,29,179,,,53.0,,,,,,,,,,,,
Ripley County,Missouri,29,181,,,103.0,,,,,,,,,,,,
Saint Charles County,Missouri,29,183,,,2623.0,,,,,,,,,,,,
Saint Clair County,Missouri,29,185,,,95.0,,,,,,,,,,,,
Sainte Genevieve County,Missouri,29,186,,,154.0,,,,,,,,,,,,
Saint Francois County,Missouri,29,187,,,654.0,,,,,,,,,,,,
Saint Louis County,Missouri,29,189,,,10113.0,,,,,,,,,,,,
Saline County,Missouri,29,195,,,267.0,,,,,,,,,,,,
Schuyler County,Missouri,29,197,,,21.0,,,,,,,,,,,,
Scotland County,Missouri,29,199,,,21.0,,,,,,,,,,,,
Scott County,Missouri,29,201,,,321.0,,,,,,,,,,,,
Shannon County,Missouri,29,203,,,39.0,,,,,,,,,,,,
Shelby County,Missouri,29,205,,,37.0,,,,,,,,,,,,
Stoddard County,Missouri,29,207,,,455.0,,,,,,,,,,,,
Stone County,Missouri,29,209,,,297.0,,,,,,,,,,,,
Sullivan County,Missouri,29,211,,,31.0,,,,,,,,,,,,
Taney County,Missouri,29,213,,,629.0,,,,,,,,,,,,
Texas County,Missouri,29,215,,,95.0,,,,,,,,,,,,
Vernon County,Missouri,29,217,,,194.0,,,,,,,,,,,,
Warren County,Missouri,29,219,,,273.0,,,,,,,,,,,,
Washington County,Missouri,29,221,,,88.0,,,,,,,,,,,,
Wayne County,Missouri,29,223,,,105.0,,,,,,,,,,,,
Webster County,Missouri,29,225,,,377.0,,,,,,,,,,,,
Worth County,Missouri,29,227,,,11.0,,,,,,,,,,,,
Wright County,Missouri,29,229,,,167.0,,,,,,,,,,,,
Saint Louis City,Missouri,29,510,,,5878.0,,,,,,,,,,,,
Beaverhead County,Montana,30,1,,,127.0,,,,,,,,,,,,
Big Horn County,Montana,30,3,,,132.0,,,,,,,,,,,,
Blaine County,Montana,30,5,,,47.0,,,,,,,,,,,,
Broadwater County,Montana,30,7,,,45.0,,,,,,,,,,,,
Carbon County,Montana,30,9,,,80.0,,,,,,,,,,,,
Carter County,Montana,30,11,,,2.0,,,,,,,,,,,,
Cascade County,Montana,30,13,,,991.0,,,,,,,,,,,,
Chouteau County,Montana,30,15,,,20.0,,,,,,,,,,,,
Custer County,Montana,30,17,,,64.0,,,,,,,,,,,,
Daniels County,Montana,30,19,,,14.0,,,,,,,,,,,,
Dawson County,Montana,30,21,,,0.0,,,,,,,,,,,,
Deer Lodge County,Montana,30,23,,,82.0,,,,,,,,,,,,
Fallon County,Montana,30,25,,,2.0,,,,,,,,,,,,
Fergus County,Montana,30,27,,,6.0,,,,,,,,,,,,
Flathead County,Montana,30,29,,,682.0,,,,,,,,,,,,
Gallatin County,Montana,30,31,,,1619.0,,,,,,,,,,,,
Garfield County,Montana,30,33,,,4.0,,,,,,,,,,,,
Glacier County,Montana,30,35,,,97.0,,,,,,,,,,,,
Granite County,Montana,30,39,,,9.0,,,,,,,,,,,,
Hill County,Montana,30,41,,,102.0,,,,,,,,,,,,
Jefferson County,Montana,30,43,,,39.0,,,,,,,,,,,,
Judith Basin County,Montana,30,45,,,4.0,,,,,,,,,,,,
Lake County,Montana,30,47,,,161.0,,,,,,,,,,,,
Lewis and Clark County,Montana,30,49,,,863.0,,,,,,,,,,,,
Liberty County,Montana,30,51,,,17.0,,,,,,,,,,,,
Lincoln County,Montana,30,53,,,165.0,,,,,,,,,,,,
McCone County,Montana,30,55,,,5.0,,,,,,,,,,,,
Madison County,Montana,30,57,,,38.0,,,,,,,,,,,,
Meagher County,Montana,30,59,,,9.0,,,,,,,,,,,,
Mineral County,Montana,30,61,,,92.0,,,,,,,,,,,,
Missoula County,Montana,30,63,,,1507.0,,,,,,,,,,,,
Musselshell County,Montana,30,65,,,48.0,,,,,,,,,,,,
Phillips County,Montana,30,71,,,2.0,,,,,,,,,,,,
Pondera County,Montana,30,73,,,23.0,,,,,,,,,,,,
Powder River County,Montana,30,75,,,0.0,,,,,,,,,,,,
Powell County,Montana,30,77,,,71.0,,,,,,,,,,,,
Prairie County,Montana,30,79,,,10.0,,,,,,,,,,,,
Ravalli County,Montana,30,81,,,347.0,,,,,,,,,,,,
Richland County,Montana,30,83,,,92.0,,,,,,,,,,,,
Roosevelt County,Montana,30,85,,,64.0,,,,,,,,,,,,
Rosebud County,Montana,30,87,,,80.0,,,,,,,,,,,,
Sanders County,Montana,30,89,,,40.0,,,,,,,,,,,,
Sheridan County,Montana,30,91,,,25.0,,,,,,,,,,,,
Silver Bow County,Montana,30,93,,,372.0,,,,,,,,,,,,
Stillwater County,Montana,30,95,,,93.0,,,,,,,,,,,,
Sweet Grass County,Montana,30,97,,,0.0,,,,,,,,,,,,
Teton County,Montana,30,99,,,114.0,,,,,,,,,,,,
Toole County,Montana,30,101,,,36.0,,,,,,,,,,,,
Valley County,Montana,30,105,,,12.0,,,,,,,,,,,,
Wheatland County,Montana,30,107,,,8.0,,,,,,,,,,,,
Wibaux County,Montana,30,109,,,8.0,,,,,,,,,,,,
Yellowstone County,Montana,30,111,,,1616.0,,,,,,,,,,,,
Park County,Montana,30,67,,,216.0,,,,,,,,,,,,
Adams County,Nebraska,31,1,,,258.0,,,,,,,,,,,,
Antelope County,Nebraska,31,3,,,47.0,,,,,,,,,,,,
Boone County,Nebraska,31,11,,,75.0,,,,,,,,,,,,
Box Butte County,Nebraska,31,13,,,102.0,,,,,,,,,,,,
Boyd County,Nebraska,31,15,,,6.0,,,,,,,,,,,,
Brown County,Nebraska,31,17,,,12.0,,,,,,,,,,,,
Buffalo County,Nebraska,31,19,,,442.0,,,,,,,,,,,,
Burt County,Nebraska,31,21,,,38.0,,,,,,,,,,,,
Butler County,Nebraska,31,23,,,36.0,,,,,,,,,,,,
Cass County,Nebraska,31,25,,,191.0,,,,,,,,,,,,
Cedar County,Nebraska,31,27,,,60.0,,,,,,,,,,,,
Chase County,Nebraska,31,29,,,6.0,,,,,,,,,,,,
Cherry County,Nebraska,31,31,,,16.0,,,,,,,,,,,,
Cheyenne County,Nebraska,31,33,,,50.0,,,,,,,,,,,,
Clay County,Nebraska,31,35,,,37.0,,,,,,,,,,,,
Colfax County,Nebraska,31,37,,,71.0,,,,,,,,,,,,
Cuming County,Nebraska,31,39,,,71.0,,,,,,,,,,,,
Custer County,Nebraska,31,41,,,109.0,,,,,,,,,,,,
Dakota County,Nebraska,31,43,,,116.0,,,,,,,,,,,,
Dawes County,Nebraska,31,45,,,52.0,,,,,,,,,,,,
Dawson County,Nebraska,31,47,,,231.0,,,,,,,,,,,,
Deuel County,Nebraska,31,49,,,6.0,,,,,,,,,,,,
Dixon County,Nebraska,31,51,,,49.0,,,,,,,,,,,,
Dodge County,Nebraska,31,53,,,342.0,,,,,,,,,,,,
Douglas County,Nebraska,31,55,,,7356.0,,,,,,,,,,,,
Dundy County,Nebraska,31,57,,,0.0,,,,,,,,,,,,
Fillmore County,Nebraska,31,59,,,41.0,,,,,,,,,,,,
Franklin County,Nebraska,31,61,,,13.0,,,,,,,,,,,,
Frontier County,Nebraska,31,63,,,13.0,,,,,,,,,,,,
Furnas County,Nebraska,31,65,,,53.0,,,,,,,,,,,,
Gage County,Nebraska,31,67,,,193.0,,,,,,,,,,,,
Garden County,Nebraska,31,69,,,0.0,,,,,,,,,,,,
Garfield County,Nebraska,31,71,,,17.0,,,,,,,,,,,,
Gosper County,Nebraska,31,73,,,16.0,,,,,,,,,,,,
Greeley County,Nebraska,31,77,,,12.0,,,,,,,,,,,,
Hall County,Nebraska,31,79,,,673.0,,,,,,,,,,,,
Hamilton County,Nebraska,31,81,,,70.0,,,,,,,,,,,,
Harlan County,Nebraska,31,83,,,22.0,,,,,,,,,,,,
Hitchcock County,Nebraska,31,87,,,16.0,,,,,,,,,,,,
Holt County,Nebraska,31,89,,,98.0,,,,,,,,,,,,
Howard County,Nebraska,31,93,,,25.0,,,,,,,,,,,,
Jefferson County,Nebraska,31,95,,,52.0,,,,,,,,,,,,
Johnson County,Nebraska,31,97,,,40.0,,,,,,,,,,,,
Kearney County,Nebraska,31,99,,,54.0,,,,,,,,,,,,
Keith County,Nebraska,31,101,,,153.0,,,,,,,,,,,,
Kimball County,Nebraska,31,105,,,16.0,,,,,,,,,,,,
Knox County,Nebraska,31,107,,,69.0,,,,,,,,,,,,
Lancaster County,Nebraska,31,109,,,4024.0,,,,,,,,,,,,
Lincoln County,Nebraska,31,111,,,433.0,,,,,,,,,,,,
