County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value
Brookings County,South Dakota,46,11,,,,225.0,,,,,,,,,,,
Brown County,South Dakota,46,13,,,,264.0,,,,,,,,,,,
Brule County,South Dakota,46,15,,,,27.0,,,,,,,,,,,
Buffalo County,South Dakota,46,17,,,,9.0,,,,,,,,,,,
Butte County,South Dakota,46,19,,,,88.0,,,,,,,,,,,
Campbell County,South Dakota,46,21,,,,8.0,,,,,,,,,,,
Charles Mix County,South Dakota,46,23,,,,54.0,,,,,,,,,,,
Clark County,South Dakota,46,25,,,,14.0,,,,,,,,,,,
Clay County,South Dakota,46,27,,,,78.0,,,,,,,,,,,
Codington County,South Dakota,46,29,,,,265.0,,,,,,,,,,,
Corson County,South Dakota,46,31,,,,31.0,,,,,,,,,,,
Custer County,South Dakota,46,33,,,,39.0,,,,,,,,,,,
Davison County,South Dakota,46,35,,,,293.0,,,,,,,,,,,
Day County,South Dakota,46,37,,,,16.0,,,,,,,,,,,
Deuel County,South Dakota,46,39,,,,11.0,,,,,,,,,,,
Dewey County,South Dakota,46,41,,,,24.0,,,,,,,,,,,
Douglas County,South Dakota,46,43,,,,26.0,,,,,,,,,,,
Edmunds County,South Dakota,46,45,,,,25.0,,,,,,,,,,,
Fall River County,South Dakota,46,47,,,,105.0,,,,,,,,,,,
Faulk County,South Dakota,46,49,,,,18.0,,,,,,,,,,,
Grant County,South Dakota,46,51,,,,29.0,,,,,,,,,,,
Gregory County,South Dakota,46,53,,,,49.0,,,,,,,,,,,
Haakon County,South Dakota,46,55,,,,10.0,,,,,,,,,,,
Hamlin County,South Dakota,46,57,,,,21.0,,,,,,,,,,,
Hand County,South Dakota,46,59,,,,15.0,,,,,,,,,,,
Hanson County,South Dakota,46,61,,,,18.0,,,,,,,,,,,
Harding County,South Dakota,46,63,,,,0.0,,,,,,,,,,,
Hughes County,South Dakota,46,65,,,,167.0,,,,,,,,,,,
Hutchinson County,South Dakota,46,67,,,,44.0,,,,,,,,,,,
Hyde County,South Dakota,46,69,,,,0.0,,,,,,,,,,,
Jerauld County,South Dakota,46,73,,,,13.0,,,,,,,,,,,
Jones County,South Dakota,46,75,,,,0.0,,,,,,,,,,,
Kingsbury County,South Dakota,46,77,,,,22.0,,,,,,,,,,,
Lake County,South Dakota,46,79,,,,101.0,,,,,,,,,,,
Lawrence County,South Dakota,46,81,,,,378.0,,,,,,,,,,,
Lincoln County,South Dakota,46,83,,,,322.0,,,,,,,,,,,
Lyman County,South Dakota,46,85,,,,13.0,,,,,,,,,,,
McCook County,South Dakota,46,87,,,,38.0,,,,,,,,,,,
McPherson County,South Dakota,46,89,,,,4.0,,,,,,,,,,,
Marshall County,South Dakota,46,91,,,,25.0,,,,,,,,,,,
Meade County,South Dakota,46,93,,,,344.0,,,,,,,,,,,
Mellette County,South Dakota,46,95,,,,17.0,,,,,,,,,,,
Miner County,South Dakota,46,97,,,,14.0,,,,,,,,,,,
Minnehaha County,South Dakota,46,99,,,,2136.0,,,,,,,,,,,
Moody County,South Dakota,46,101,,,,52.0,,,,,,,,,,,
Pennington County,South Dakota,46,103,,,,1091.0,,,,,,,,,,,
Perkins County,South Dakota,46,105,,,,22.0,,,,,,,,,,,
Potter County,South Dakota,46,107,,,,8.0,,,,,,,,,,,
Roberts County,South Dakota,46,109,,,,31.0,,,,,,,,,,,
Sanborn County,South Dakota,46,111,,,,6.0,,,,,,,,,,,
Shannon County,South Dakota,46,113,,,,93.0,,,,,,,,,,,
Spink County,South Dakota,46,115,,,,31.0,,,,,,,,,,,
Stanley County,South Dakota,46,117,,,,25.0,,,,,,,,,,,
Sully County,South Dakota,46,119,,,,5.0,,,,,,,,,,,
Todd County,South Dakota,46,121,,,,99.0,,,,,,,,,,,
Tripp County,South Dakota,46,123,,,,76.0,,,,,,,,,,,
Turner County,South Dakota,46,125,,,,51.0,,,,,,,,,,,
Union County,South Dakota,46,127,,,,153.0,,,,,,,,,,,
Walworth County,South Dakota,46,129,,,,79.0,,,,,,,,,,,
Yankton County,South Dakota,46,135,,,,189.0,,,,,,,,,,,
Ziebach County,South Dakota,46,137,,,,9.0,,,,,,,,,,,
Jackson County,South Dakota,46,71,,,,16.0,,,,,,,,,,,
Anderson County,Tennessee,47,1,,,,615.0,,,,,,,,,,,
Bedford County,Tennessee,47,3,,,,487.0,,,,,,,,,,,
Benton County,Tennessee,47,5,,,,43.0,,,,,,,,,,,
Bledsoe County,Tennessee,47,7,,,,74.0,,,,,,,,,,,
Blount County,Tennessee,47,9,,,,1132.0,,,,,,,,,,,
Bradley County,Tennessee,47,11,,,,1138.0,,,,,,,,,,,
Campbell County,Tennessee,47,13,,,,486.0,,,,,,,,,,,
Cannon County,Tennessee,47,15,,,,75.0,,,,,,,,,,,
Carroll County,Tennessee,47,17,,,,211.0,,,,,,,,,,,
Carter County,Tennessee,47,19,,,,443.0,,,,,,,,,,,
Cheatham County,Tennessee,47,21,,,,214.0,,,,,,,,,,,
Chester County,Tennessee,47,23,,,,109.0,,,,,,,,,,,
Claiborne County,Tennessee,47,25,,,,309.0,,,,,,,,,,,
Clay County,Tennessee,47,27,,,,41.0,,,,,,,,,,,
Cocke County,Tennessee,47,29,,,,216.0,,,,,,,,,,,
Coffee County,Tennessee,47,31,,,,466.0,,,,,,,,,,,
Crockett County,Tennessee,47,33,,,,144.0,,,,,,,,,,,
Cumberland County,Tennessee,47,35,,,,648.0,,,,,,,,,,,
Davidson County,Tennessee,47,37,,,,9791.0,,,,,,,,,,,
Decatur County,Tennessee,47,39,,,,63.0,,,,,,,,,,,
DeKalb County,Tennessee,47,41,,,,118.0,,,,,,,,,,,
Dickson County,Tennessee,47,43,,,,274.0,,,,,,,,,,,
Dyer County,Tennessee,47,45,,,,597.0,,,,,,,,,,,
Fayette County,Tennessee,47,47,,,,191.0,,,,,,,,,,,
Fentress County,Tennessee,47,49,,,,130.0,,,,,,,,,,,
Franklin County,Tennessee,47,51,,,,155.0,,,,,,,,,,,
Gibson County,Tennessee,47,53,,,,321.0,,,,,,,,,,,
Giles County,Tennessee,47,55,,,,274.0,,,,,,,,,,,
Grainger County,Tennessee,47,57,,,,130.0,,,,,,,,,,,
Greene County,Tennessee,47,59,,,,703.0,,,,,,,,,,,
Grundy County,Tennessee,47,61,,,,11.0,,,,,,,,,,,
Hamblen County,Tennessee,47,63,,,,559.0,,,,,,,,,,,
Hamilton County,Tennessee,47,65,,,,3721.0,,,,,,,,,,,
Hancock County,Tennessee,47,67,,,,40.0,,,,,,,,,,,
Hardeman County,Tennessee,47,69,,,,135.0,,,,,,,,,,,
Hardin County,Tennessee,47,71,,,,147.0,,,,,,,,,,,
Hawkins County,Tennessee,47,73,,,,365.0,,,,,,,,,,,
Haywood County,Tennessee,47,75,,,,296.0,,,,,,,,,,,
Henderson County,Tennessee,47,77,,,,232.0,,,,,,,,,,,
Henry County,Tennessee,47,79,,,,230.0,,,,,,,,,,,
Hickman County,Tennessee,47,81,,,,208.0,,,,,,,,,,,
Houston County,Tennessee,47,83,,,,116.0,,,,,,,,,,,
Humphreys County,Tennessee,47,85,,,,70.0,,,,,,,,,,,
Jackson County,Tennessee,47,87,,,,98.0,,,,,,,,,,,
Jefferson County,Tennessee,47,89,,,,327.0,,,,,,,,,,,
Johnson County,Tennessee,47,91,,,,106.0,,,,,,,,,,,
Knox County,Tennessee,47,93,,,,6417.0,,,,,,,,,,,
Lake County,Tennessee,47,95,,,,69.0,,,,,,,,,,,
Lauderdale County,Tennessee,47,97,,,,193.0,,,,,,,,,,,
Lawrence County,Tennessee,47,99,,,,358.0,,,,,,,,,,,
Lewis County,Tennessee,47,101,,,,49.0,,,,,,,,,,,
Lincoln County,Tennessee,47,103,,,,171.0,,,,,,,,,,,
Loudon County,Tennessee,47,105,,,,337.0,,,,,,,,,,,
McMinn County,Tennessee,47,107,,,,554.0,,,,,,,,,,,
McNairy County,Tennessee,47,109,,,,197.0,,,,,,,,,,,
Macon County,Tennessee,47,111,,,,106.0,,,,,,,,,,,
Madison County,Tennessee,47,113,,,,1014.0,,,,,,,,,,,
Marion County,Tennessee,47,115,,,,207.0,,,,,,,,,,,
Marshall County,Tennessee,47,117,,,,344.0,,,,,,,,,,,
Maury County,Tennessee,47,119,,,,1036.0,,,,,,,,,,,
Meigs County,Tennessee,47,121,,,,12.0,,,,,,,,,,,
Monroe County,Tennessee,47,123,,,,300.0,,,,,,,,,,,
Montgomery County,Tennessee,47,125,,,,2632.0,,,,,,,,,,,
Moore County,Tennessee,47,127,,,,46.0,,,,,,,,,,,
Morgan County,Tennessee,47,129,,,,86.0,,,,,,,,,,,
Obion County,Tennessee,47,131,,,,300.0,,,,,,,,,,,
Overton County,Tennessee,47,133,,,,70.0,,,,,,,,,,,
Perry County,Tennessee,47,135,,,,49.0,,,,,,,,,,,
Pickett County,Tennessee,47,137,,,,11.0,,,,,,,,,,,
Polk County,Tennessee,47,139,,,,103.0,,,,,,,,,,,
Putnam County,Tennessee,47,141,,,,680.0,,,,,,,,,,,
Rhea County,Tennessee,47,143,,,,290.0,,,,,,,,,,,
Roane County,Tennessee,47,145,,,,573.0,,,,,,,,,,,
Robertson County,Tennessee,47,147,,,,494.0,,,,,,,,,,,
Rutherford County,Tennessee,47,149,,,,2586.0,,,,,,,,,,,
Scott County,Tennessee,47,151,,,,125.0,,,,,,,,,,,
Sequatchie County,Tennessee,47,153,,,,104.0,,,,,,,,,,,
Sevier County,Tennessee,47,155,,,,727.0,,,,,,,,,,,
Shelby County,Tennessee,47,157,,,,11545.0,,,,,,,,,,,
Smith County,Tennessee,47,159,,,,163.0,,,,,,,,,,,
Stewart County,Tennessee,47,161,,,,144.0,,,,,,,,,,,
Sullivan County,Tennessee,47,163,,,,1462.0,,,,,,,,,,,
Sumner County,Tennessee,47,165,,,,1392.0,,,,,,,,,,,
Tipton County,Tennessee,47,167,,,,507.0,,,,,,,,,,,
Trousdale County,Tennessee,47,169,,,,36.0,,,,,,,,,,,
Unicoi County,Tennessee,47,171,,,,199.0,,,,,,,,,,,
Union County,Tennessee,47,173,,,,112.0,,,,,,,,,,,
Van Buren County,Tennessee,47,175,,,,26.0,,,,,,,,,,,
Warren County,Tennessee,47,177,,,,355.0,,,,,,,,,,,
Washington County,Tennessee,47,179,,,,1380.0,,,,,,,,,,,
Wayne County,Tennessee,47,181,,,,40.0,,,,,,,,,,,
Weakley County,Tennessee,47,183,,,,239.0,,,,,,,,,,,
White County,Tennessee,47,185,,,,211.0,,,,,,,,,,,
Williamson County,Tennessee,47,187,,,,1443.0,,,,,,,,,,,
Wilson County,Tennessee,47,189,,,,789.0,,,,,,,,,,,
Anderson County,Texas,48,1,,,,337.0,,,,,,,,,,,
Andrews County,Texas,48,3,,,,3.0,,,,,,,,,,,
Angelina County,Texas,48,5,,,,762.0,,,,,,,,,,,
Aransas County,Texas,48,7,,,,156.0,,,,,,,,,,,
Archer County,Texas,48,9,,,,82.0,,,,,,,,,,,
Armstrong County,Texas,48,11,,,,18.0,,,,,,,,,,,
Atascosa County,Texas,48,13,,,,240.0,,,,,,,,,,,
Austin County,Texas,48,15,,,,93.0,,,,,,,,,,,
Bailey County,Texas,48,17,,,,40.0,,,,,,,,,,,
Bandera County,Texas,48,19,,,,149.0,,,,,,,,,,,
Bastrop County,Texas,48,21,,,,419.0,,,,,,,,,,,
Baylor County,Texas,48,23,,,,99.0,,,,,,,,,,,
Bee County,Texas,48,25,,,,88.0,,,,,,,,,,,
Bell County,Texas,48,27,,,,4046.0,,,,,,,,,,,
Bexar County,Texas,48,29,,,,20977.0,,,,,,,,,,,
Blanco County,Texas,48,31,,,,74.0,,,,,,,,,,,
Bosque County,Texas,48,35,,,,135.0,,,,,,,,,,,
Bowie County,Texas,48,37,,,,876.0,,,,,,,,,,,
Brazoria County,Texas,48,39,,,,2259.0,,,,,,,,,,,
Brazos County,Texas,48,41,,,,2105.0,,,,,,,,,,,
Brewster County,Texas,48,43,,,,146.0,,,,,,,,,,,
Briscoe County,Texas,48,45,,,,3.0,,,,,,,,,,,
Brooks County,Texas,48,47,,,,59.0,,,,,,,,,,,
Brown County,Texas,48,49,,,,300.0,,,,,,,,,,,
Burleson County,Texas,48,51,,,,81.0,,,,,,,,,,,
Burnet County,Texas,48,53,,,,424.0,,,,,,,,,,,
Caldwell County,Texas,48,55,,,,289.0,,,,,,,,,,,
Calhoun County,Texas,48,57,,,,112.0,,,,,,,,,,,
Callahan County,Texas,48,59,,,,65.0,,,,,,,,,,,
Cameron County,Texas,48,61,,,,2883.0,,,,,,,,,,,
Camp County,Texas,48,63,,,,113.0,,,,,,,,,,,
Carson County,Texas,48,65,,,,16.0,,,,,,,,,,,
Cass County,Texas,48,67,,,,228.0,,,,,,,,,,,
Castro County,Texas,48,69,,,,113.0,,,,,,,,,,,
Chambers County,Texas,48,71,,,,55.0,,,,,,,,,,,
Cherokee County,Texas,48,73,,,,261.0,,,,,,,,,,,
Childress County,Texas,48,75,,,,22.0,,,,,,,,,,,
Clay County,Texas,48,77,,,,12.0,,,,,,,,,,,
Cochran County,Texas,48,79,,,,11.0,,,,,,,,,,,
Coke County,Texas,48,81,,,,14.0,,,,,,,,,,,
Coleman County,Texas,48,83,,,,35.0,,,,,,,,,,,
Collin County,Texas,48,85,,,,8235.0,,,,,,,,,,,
Collingsworth County,Texas,48,87,,,,0.0,,,,,,,,,,,
Colorado County,Texas,48,89,,,,62.0,,,,,,,,,,,
Comal County,Texas,48,91,,,,985.0,,,,,,,,,,,
Comanche County,Texas,48,93,,,,27.0,,,,,,,,,,,
Concho County,Texas,48,95,,,,0.0,,,,,,,,,,,
Cooke County,Texas,48,97,,,,315.0,,,,,,,,,,,
Coryell County,Texas,48,99,,,,752.0,,,,,,,,,,,
Cottle County,Texas,48,101,,,,30.0,,,,,,,,,,,
Crane County,Texas,48,103,,,,14.0,,,,,,,,,,,
Crockett County,Texas,48,105,,,,26.0,,,,,,,,,,,
Crosby County,Texas,48,107,,,,21.0,,,,,,,,,,,
Culberson County,Texas,48,109,,,,25.0,,,,,,,,,,,
Dallam County,Texas,48,111,,,,75.0,,,,,,,,,,,
Dallas County,Texas,48,113,,,,34383.0,,,,,,,,,,,
Dawson County,Texas,48,115,,,,57.0,,,,,,,,,,,
Deaf Smith County,Texas,48,117,,,,158.0,,,,,,,,,,,
Delta County,Texas,48,119,,,,14.0,,,,,,,,,,,
Denton County,Texas,48,121,,,,6835.0,,,,,,,,,,,
DeWitt County,Texas,48,123,,,,106.0,,,,,,,,,,,
Dickens County,Texas,48,125,,,,17.0,,,,,,,,,,,
Dimmit County,Texas,48,127,,,,13.0,,,,,,,,,,,
Donley County,Texas,48,129,,,,5.0,,,,,,,,,,,
Duval County,Texas,48,131,,,,44.0,,,,,,,,,,,
Eastland County,Texas,48,133,,,,98.0,,,,,,,,,,,
Ector County,Texas,48,135,,,,1030.0,,,,,,,,,,,
Edwards County,Texas,48,137,,,,0.0,,,,,,,,,,,
Ellis County,Texas,48,139,,,,1193.0,,,,,,,,,,,
El Paso County,Texas,48,141,,,,9894.0,,,,,,,,,,,
Erath County,Texas,48,143,,,,305.0,,,,,,,,,,,
Falls County,Texas,48,145,,,,184.0,,,,,,,,,,,
Fannin County,Texas,48,147,,,,203.0,,,,,,,,,,,
Fayette County,Texas,48,149,,,,103.0,,,,,,,,,,,
Fisher County,Texas,48,151,,,,15.0,,,,,,,,,,,
Floyd County,Texas,48,153,,,,52.0,,,,,,,,,,,
Foard County,Texas,48,155,,,,12.0,,,,,,,,,,,
Fort Bend County,Texas,48,157,,,,2788.0,,,,,,,,,,,
Franklin County,Texas,48,159,,,,55.0,,,,,,,,,,,
Freestone County,Texas,48,161,,,,122.0,,,,,,,,,,,
Frio County,Texas,48,163,,,,138.0,,,,,,,,,,,
Gaines County,Texas,48,165,,,,130.0,,,,,,,,,,,
Galveston County,Texas,48,167,,,,2427.0,,,,,,,,,,,
Garza County,Texas,48,169,,,,24.0,,,,,,,,,,,
Gillespie County,Texas,48,171,,,,179.0,,,,,,,,,,,
Glasscock County,Texas,48,173,,,,0.0,,,,,,,,,,,
Goliad County,Texas,48,175,,,,56.0,,,,,,,,,,,
Gonzales County,Texas,48,177,,,,176.0,,,,,,,,,,,
Gray County,Texas,48,179,,,,174.0,,,,,,,,,,,
Grayson County,Texas,48,181,,,,1070.0,,,,,,,,,,,
Gregg County,Texas,48,183,,,,1152.0,,,,,,,,,,,
Grimes County,Texas,48,185,,,,105.0,,,,,,,,,,,
Guadalupe County,Texas,48,187,,,,892.0,,,,,,,,,,,
Hale County,Texas,48,189,,,,290.0,,,,,,,,,,,
Hall County,Texas,48,191,,,,39.0,,,,,,,,,,,
Hamilton County,Texas,48,193,,,,20.0,,,,,,,,,,,
Hansford County,Texas,48,195,,,,14.0,,,,,,,,,,,
Hardeman County,Texas,48,197,,,,62.0,,,,,,,,,,,
Hardin County,Texas,48,199,,,,302.0,,,,,,,,,,,
Harris County,Texas,48,201,,,,53121.0,,,,,,,,,,,
Harrison County,Texas,48,203,,,,422.0,,,,,,,,,,,
Hartley County,Texas,48,205,,,,28.0,,,,,,,,,,,
Haskell County,Texas,48,207,,,,32.0,,,,,,,,,,,
Hays County,Texas,48,209,,,,1492.0,,,,,,,,,,,
Hemphill County,Texas,48,211,,,,18.0,,,,,,,,,,,
Henderson County,Texas,48,213,,,,874.0,,,,,,,,,,,
Hidalgo County,Texas,48,215,,,,4793.0,,,,,,,,,,,
Hill County,Texas,48,217,,,,228.0,,,,,,,,,,,
Hockley County,Texas,48,219,,,,131.0,,,,,,,,,,,
Hood County,Texas,48,221,,,,523.0,,,,,,,,,,,
Hopkins County,Texas,48,223,,,,261.0,,,,,,,,,,,
Houston County,Texas,48,225,,,,142.0,,,,,,,,,,,
Howard County,Texas,48,227,,,,238.0,,,,,,,,,,,
Hudspeth County,Texas,48,229,,,,0.0,,,,,,,,,,,
Hunt County,Texas,48,231,,,,870.0,,,,,,,,,,,
Hutchinson County,Texas,48,233,,,,112.0,,,,,,,,,,,
Irion County,Texas,48,235,,,,22.0,,,,,,,,,,,
Jack County,Texas,48,237,,,,86.0,,,,,,,,,,,
Jackson County,Texas,48,239,,,,40.0,,,,,,,,,,,
Jasper County,Texas,48,241,,,,277.0,,,,,,,,,,,
Jeff Davis County,Texas,48,243,,,,0.0,,,,,,,,,,,
Jefferson County,Texas,48,245,,,,2344.0,,,,,,,,,,,
Jim Hogg County,Texas,48,247,,,,13.0,,,,,,,,,,,
Jim Wells County,Texas,48,249,,,,291.0,,,,,,,,,,,
Johnson County,Texas,48,251,,,,1036.0,,,,,,,,,,,
Jones County,Texas,48,253,,,,51.0,,,,,,,,,,,
Karnes County,Texas,48,255,,,,126.0,,,,,,,,,,,
Kaufman County,Texas,48,257,,,,485.0,,,,,,,,,,,
Kendall County,Texas,48,259,,,,307.0,,,,,,,,,,,
Kerr County,Texas,48,265,,,,504.0,,,,,,,,,,,
Kimble County,Texas,48,267,,,,37.0,,,,,,,,,,,
Kinney County,Texas,48,271,,,,10.0,,,,,,,,,,,
Kleberg County,Texas,48,273,,,,330.0,,,,,,,,,,,
Knox County,Texas,48,275,,,,24.0,,,,,,,,,,,
Lamar County,Texas,48,277,,,,409.0,,,,,,,,,,,
Lamb County,Texas,48,279,,,,32.0,,,,,,,,,,,
Lampasas County,Texas,48,281,,,,138.0,,,,,,,,,,,
La Salle County,Texas,48,283,,,,31.0,,,,,,,,,,,
Lavaca County,Texas,48,285,,,,140.0,,,,,,,,,,,
Lee County,Texas,48,287,,,,71.0,,,,,,,,,,,
Leon County,Texas,48,289,,,,52.0,,,,,,,,,,,
Liberty County,Texas,48,291,,,,187.0,,,,,,,,,,,
Limestone County,Texas,48,293,,,,208.0,,,,,,,,,,,
Lipscomb County,Texas,48,295,,,,5.0,,,,,,,,,,,
Live Oak County,Texas,48,297,,,,44.0,,,,,,,,,,,
Llano County,Texas,48,299,,,,186.0,,,,,,,,,,,
Lubbock County,Texas,48,303,,,,3283.0,,,,,,,,,,,
Lynn County,Texas,48,305,,,,45.0,,,,,,,,,,,
McCulloch County,Texas,48,307,,,,55.0,,,,,,,,,,,
McLennan County,Texas,48,309,,,,2595.0,,,,,,,,,,,
Madison County,Texas,48,313,,,,85.0,,,,,,,,,,,
Marion County,Texas,48,315,,,,75.0,,,,,,,,,,,
Martin County,Texas,48,317,,,,22.0,,,,,,,,,,,
Mason County,Texas,48,319,,,,28.0,,,,,,,,,,,
Matagorda County,Texas,48,321,,,,229.0,,,,,,,,,,,
Maverick County,Texas,48,323,,,,302.0,,,,,,,,,,,
Medina County,Texas,48,325,,,,123.0,,,,,,,,,,,
Menard County,Texas,48,327,,,,7.0,,,,,,,,,,,
Midland County,Texas,48,329,,,,1269.0,,,,,,,,,,,
Milam County,Texas,48,331,,,,211.0,,,,,,,,,,,
Mills County,Texas,48,333,,,,26.0,,,,,,,,,,,
Mitchell County,Texas,48,335,,,,74.0,,,,,,,,,,,
Montague County,Texas,48,337,,,,218.0,,,,,,,,,,,
Montgomery County,Texas,48,339,,,,3961.0,,,,,,,,,,,
Moore County,Texas,48,341,,,,118.0,,,,,,,,,,,
Morris County,Texas,48,343,,,,52.0,,,,,,,,,,,
Motley County,Texas,48,345,,,,3.0,,,,,,,,,,,
Nacogdoches County,Texas,48,347,,,,902.0,,,,,,,,,,,
Navarro County,Texas,48,349,,,,399.0,,,,,,,,,,,
Newton County,Texas,48,351,,,,68.0,,,,,,,,,,,
Nolan County,Texas,48,353,,,,58.0,,,,,,,,,,,
Nueces County,Texas,48,355,,,,4692.0,,,,,,,,,,,
Ochiltree County,Texas,48,357,,,,91.0,,,,,,,,,,,
Oldham County,Texas,48,359,,,,6.0,,,,,,,,,,,
Orange County,Texas,48,361,,,,445.0,,,,,,,,,,,
Palo Pinto County,Texas,48,363,,,,305.0,,,,,,,,,,,
Panola County,Texas,48,365,,,,138.0,,,,,,,,,,,
Parker County,Texas,48,367,,,,717.0,,,,,,,,,,,
Parmer County,Texas,48,369,,,,47.0,,,,,,,,,,,
Pecos County,Texas,48,371,,,,80.0,,,,,,,,,,,
Polk County,Texas,48,373,,,,253.0,,,,,,,,,,,
Potter County,Texas,48,375,,,,1650.0,,,,,,,,,,,
Presidio County,Texas,48,377,,,,74.0,,,,,,,,,,,
Rains County,Texas,48,379,,,,67.0,,,,,,,,,,,
Randall County,Texas,48,381,,,,1328.0,,,,,,,,,,,
Reagan County,Texas,48,383,,,,0.0,,,,,,,,,,,
Real County,Texas,48,385,,,,20.0,,,,,,,,,,,
Red River County,Texas,48,387,,,,55.0,,,,,,,,,,,
Reeves County,Texas,48,389,,,,47.0,,,,,,,,,,,
Refugio County,Texas,48,391,,,,55.0,,,,,,,,,,,
Robertson County,Texas,48,395,,,,163.0,,,,,,,,,,,
Rockwall County,Texas,48,397,,,,235.0,,,,,,,,,,,
Runnels County,Texas,48,399,,,,183.0,,,,,,,,,,,
Rusk County,Texas,48,401,,,,178.0,,,,,,,,,,,
Sabine County,Texas,48,403,,,,36.0,,,,,,,,,,,
San Augustine County,Texas,48,405,,,,101.0,,,,,,,,,,,
San Jacinto County,Texas,48,407,,,,9.0,,,,,,,,,,,
San Patricio County,Texas,48,409,,,,679.0,,,,,,,,,,,
San Saba County,Texas,48,411,,,,30.0,,,,,,,,,,,
Schleicher County,Texas,48,413,,,,13.0,,,,,,,,,,,
Scurry County,Texas,48,415,,,,144.0,,,,,,,,,,,
Shackelford County,Texas,48,417,,,,20.0,,,,,,,,,,,
Shelby County,Texas,48,419,,,,189.0,,,,,,,,,,,
Sherman County,Texas,48,421,,,,12.0,,,,,,,,,,,
Smith County,Texas,48,423,,,,2360.0,,,,,,,,,,,
Somervell County,Texas,48,425,,,,71.0,,,,,,,,,,,
Starr County,Texas,48,427,,,,402.0,,,,,,,,,,,
Stephens County,Texas,48,429,,,,68.0,,,,,,,,,,,
Sterling County,Texas,48,431,,,,0.0,,,,,,,,,,,
Stonewall County,Texas,48,433,,,,9.0,,,,,,,,,,,
Sutton County,Texas,48,435,,,,48.0,,,,,,,,,,,
Swisher County,Texas,48,437,,,,17.0,,,,,,,,,,,
Tarrant County,Texas,48,439,,,,22825.0,,,,,,,,,,,
Taylor County,Texas,48,441,,,,1467.0,,,,,,,,,,,
Terry County,Texas,48,445,,,,94.0,,,,,,,,,,,
Throckmorton County,Texas,48,447,,,,12.0,,,,,,,,,,,
Titus County,Texas,48,449,,,,223.0,,,,,,,,,,,
Tom Green County,Texas,48,451,,,,1396.0,,,,,,,,,,,
Travis County,Texas,48,453,,,,17449.0,,,,,,,,,,,
Trinity County,Texas,48,455,,,,96.0,,,,,,,,,,,
Tyler County,Texas,48,457,,,,56.0,,,,,,,,,,,
Upshur County,Texas,48,459,,,,147.0,,,,,,,,,,,
Upton County,Texas,48,461,,,,12.0,,,,,,,,,,,
Uvalde County,Texas,48,463,,,,150.0,,,,,,,,,,,
Val Verde County,Texas,48,465,,,,538.0,,,,,,,,,,,
Van Zandt County,Texas,48,467,,,,290.0,,,,,,,,,,,
Victoria County,Texas,48,469,,,,770.0,,,,,,,,,,,
Walker County,Texas,48,471,,,,414.0,,,,,,,,,,,
Waller County,Texas,48,473,,,,231.0,,,,,,,,,,,
Ward County,Texas,48,475,,,,34.0,,,,,,,,,,,
Washington County,Texas,48,477,,,,250.0,,,,,,,,,,,
Webb County,Texas,48,479,,,,2006.0,,,,,,,,,,,
Wharton County,Texas,48,481,,,,313.0,,,,,,,,,,,
Wheeler County,Texas,48,483,,,,23.0,,,,,,,,,,,
Wichita County,Texas,48,485,,,,1601.0,,,,,,,,,,,
Wilbarger County,Texas,48,487,,,,109.0,,,,,,,,,,,
Willacy County,Texas,48,489,,,,64.0,,,,,,,,,,,
Williamson County,Texas,48,491,,,,5032.0,,,,,,,,,,,
Wilson County,Texas,48,493,,,,112.0,,,,,,,,,,,
Winkler County,Texas,48,495,,,,30.0,,,,,,,,,,,
Wise County,Texas,48,497,,,,254.0,,,,,,,,,,,
Wood County,Texas,48,499,,,,293.0,,,,,,,,,,,
Yoakum County,Texas,48,501,,,,48.0,,,,,,,,,,,
Young County,Texas,48,503,,,,151.0,,,,,,,,,,,
Zapata County,Texas,48,505,,,,45.0,,,,,,,,,,,
Zavala County,Texas,48,507,,,,98.0,,,,,,,,,,,
Beaver County,Utah,49,1,,,,42.0,,,,,,,,,,,
Box Elder County,Utah,49,3,,,,208.0,,,,,,,,,,,
Cache County,Utah,49,5,,,,1278.0,,,,,,,,,,,
Carbon County,Utah,49,7,,,,229.0,,,,,,,,,,,
Daggett County,Utah,49,9,,,,0.0,,,,,,,,,,,
Davis County,Utah,49,11,,,,2026.0,,,,,,,,,,,
Duchesne County,Utah,49,13,,,,97.0,,,,,,,,,,,
Emery County,Utah,49,15,,,,61.0,,,,,,,,,,,
Garfield County,Utah,49,17,,,,13.0,,,,,,,,,,,
Grand County,Utah,49,19,,,,61.0,,,,,,,,,,,
Iron County,Utah,49,21,,,,443.0,,,,,,,,,,,
Juab County,Utah,49,23,,,,16.0,,,,,,,,,,,
Kane County,Utah,49,25,,,,41.0,,,,,,,,,,,
Millard County,Utah,49,27,,,,75.0,,,,,,,,,,,
Morgan County,Utah,49,29,,,,39.0,,,,,,,,,,,
Piute County,Utah,49,31,,,,3.0,,,,,,,,,,,
Rich County,Utah,49,33,,,,7.0,,,,,,,,,,,
Salt Lake County,Utah,49,35,,,,10752.0,,,,,,,,,,,
San Juan County,Utah,49,37,,,,25.0,,,,,,,,,,,
