County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,median_gross_rent,age_15_to_44_percentage
Denali Borough,Alaska,2,68,1810.0,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,2,290,1229.0,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2,105,971.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,917.0,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,309.0,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,9219.0,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,2346.0,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,3053.0,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,1670.0,,,,,,,,,,,,,,
Apache County,Arizona,4,1,16362.0,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,107243.0,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,89502.0,,,,,,,,,,,,,,
Gila County,Arizona,4,7,41095.0,,,,,,,,,,,,,,
Graham County,Arizona,4,9,29917.0,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,8642.0,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,3301814.0,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,186510.0,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,51934.0,,,,,,,,,,,,,,
Pima County,Arizona,4,19,777452.0,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,336611.0,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,39656.0,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,205647.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,15914.0,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,155842.0,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,13146.0,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,14737.0,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,39814.0,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,227609.0,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,35843.0,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,7158.0,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,3962.0,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,25826.0,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,4733.0,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,15939.0,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,14443.0,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,24473.0,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,7106.0,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,14476.0,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,17805.0,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,83979.0,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,55196.0,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,21763.0,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,12695.0,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,4123.0,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,5855.0,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,12701.0,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,100652.0,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,16743.0,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,11686.0,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,84747.0,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,17182.0,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,42566.0,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,13067.0,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,28346.0,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,8964.0,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,34252.0,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,12835.0,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,13516.0,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,28231.0,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,24033.0,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,4196.0,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,16127.0,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,3978.0,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,9104.0,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,9128.0,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,19905.0,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,64282.0,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,15105.0,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,15805.0,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,30846.0,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,25863.0,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,4058.0,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,8205.0,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,5348.0,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,7435.0,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,13655.0,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,9578.0,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,6893.0,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,9740.0,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,21306.0,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,18538.0,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,58030.0,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,7037.0,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,222468.0,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,16854.0,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,10743.0,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,105202.0,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,9179.0,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,7421.0,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,95473.0,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,10858.0,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,16216.0,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,12024.0,,,,,,,,,,,,,,
Union County,Arkansas,5,139,25485.0,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,15996.0,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,177357.0,,,,,,,,,,,,,,
White County,Arkansas,5,145,71645.0,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,4633.0,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,16956.0,,,,,,,,,,,,,,
Alameda County,California,6,1,681725.0,,,,,,,,,,,,,,
Alpine County,California,6,3,723.0,,,,,,,,,,,,,,
Amador County,California,6,5,32989.0,,,,,,,,,,,,,,
Butte County,California,6,7,186095.0,,,,,,,,,,,,,,
Calaveras County,California,6,9,41375.0,,,,,,,,,,,,,,
Colusa County,California,6,11,18854.0,,,,,,,,,,,,,,
Contra Costa County,California,6,13,648325.0,,,,,,,,,,,,,,
Del Norte County,California,6,15,20958.0,,,,,,,,,,,,,,
El Dorado County,California,6,17,164202.0,,,,,,,,,,,,,,
Fresno County,California,6,19,627437.0,,,,,,,,,,,,,,
Glenn County,California,6,21,23127.0,,,,,,,,,,,,,,
Humboldt County,California,6,23,108784.0,,,,,,,,,,,,,,
Imperial County,California,6,25,115817.0,,,,,,,,,,,,,,
Inyo County,California,6,27,14557.0,,,,,,,,,,,,,,
Kern County,California,6,29,663592.0,,,,,,,,,,,,,,
Kings County,California,6,31,98429.0,,,,,,,,,,,,,,
Lake County,California,6,33,49463.0,,,,,,,,,,,,,,
Lassen County,California,6,35,25672.0,,,,,,,,,,,,,,
Los Angeles County,California,6,37,5186859.0,,,,,,,,,,,,,,
Madera County,California,6,39,111621.0,,,,,,,,,,,,,,
Marin County,California,6,41,203342.0,,,,,,,,,,,,,,
Mariposa County,California,6,43,15579.0,,,,,,,,,,,,,,
Mendocino County,California,6,45,73121.0,,,,,,,,,,,,,,
Merced County,California,6,47,154376.0,,,,,,,,,,,,,,
Modoc County,California,6,49,8046.0,,,,,,,,,,,,,,
Mono County,California,6,51,12017.0,,,,,,,,,,,,,,
Monterey County,California,6,53,256709.0,,,,,,,,,,,,,,
Napa County,California,6,55,102711.0,,,,,,,,,,,,,,
Nevada County,California,6,57,91579.0,,,,,,,,,,,,,,
Orange County,California,6,59,1950902.0,,,,,,,,,,,,,,
Placer County,California,6,61,313636.0,,,,,,,,,,,,,,
Plumas County,California,6,63,16654.0,,,,,,,,,,,,,,
Riverside County,California,6,65,1450134.0,,,,,,,,,,,,,,
Sacramento County,California,6,67,875793.0,,,,,,,,,,,,,,
San Benito County,California,6,69,48851.0,,,,,,,,,,,,,,
San Bernardino County,California,6,71,1305047.0,,,,,,,,,,,,,,
San Diego County,California,6,73,2335447.0,,,,,,,,,,,,,,
San Francisco County,California,6,75,406538.0,,,,,,,,,,,,,,
San Joaquin County,California,6,77,411958.0,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,242078.0,,,,,,,,,,,,,,
San Mateo County,California,6,81,391024.0,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,344026.0,,,,,,,,,,,,,,
Santa Clara County,California,6,85,865460.0,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,208476.0,,,,,,,,,,,,,,
Shasta County,California,6,89,155840.0,,,,,,,,,,,,,,
Sierra County,California,6,91,2890.0,,,,,,,,,,,,,,
Siskiyou County,California,6,93,36971.0,,,,,,,,,,,,,,
Solano County,California,6,95,231149.0,,,,,,,,,,,,,,
Sonoma County,California,6,97,375519.0,,,,,,,,,,,,,,
Stanislaus County,California,6,99,408817.0,,,,,,,,,,,,,,
Sutter County,California,6,101,66752.0,,,,,,,,,,,,,,
Tehama County,California,6,103,54119.0,,,,,,,,,,,,,,
Trinity County,California,6,105,11136.0,,,,,,,,,,,,,,
Tulare County,California,6,107,352259.0,,,,,,,,,,,,,,
Tuolumne County,California,6,109,47189.0,,,,,,,,,,,,,,
Ventura County,California,6,111,680197.0,,,,,,,,,,,,,,
Yolo County,California,6,113,145778.0,,,,,,,,,,,,,,
Yuba County,California,6,115,56344.0,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,14297.0,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,10810.0,,,,,,,,,,,,,,
Baca County,Colorado,8,9,3377.0,,,,,,,,,,,,,,
Bent County,Colorado,8,11,5315.0,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,17857.0,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,1916.0,,,,,,,,,,,,,,
Clear Creek County,Colorado,8,19,8880.0,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,7349.0,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,3343.0,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,4978.0,,,,,,,,,,,,,,
Custer County,Colorado,8,27,4333.0,,,,,,,,,,,,,,
Delta County,Colorado,8,29,28768.0,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,1780.0,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,293266.0,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,48258.0,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,23476.0,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,547369.0,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,42213.0,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,51120.0,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,5566.0,,,,,,,,,,,,,,
Grand County,Colorado,8,49,14284.0,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,15748.0,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,6199.0,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,1211.0,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,1333.0,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,6885.0,,,,,,,,,,,,,,
Lake County,Colorado,8,65,6532.0,,,,,,,,,,,,,,
La Plata County,Colorado,8,67,48385.0,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,309269.0,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,12117.0,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,4812.0,,,,,,,,,,,,,,
Logan County,Colorado,8,75,20060.0,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,141076.0,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,12330.0,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,21054.0,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,38909.0,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,24964.0,,,,,,,,,,,,,,
Otero County,Colorado,8,89,16346.0,,,,,,,,,,,,,,
Ouray County,Colorado,8,91,4599.0,,,,,,,,,,,,,,
Park County,Colorado,8,93,16467.0,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,4158.0,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,16316.0,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,11429.0,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,131054.0,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,6038.0,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,10344.0,,,,,,,,,,,,,,
Routt County,Colorado,8,107,23601.0,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,5944.0,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,7617.0,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,2165.0,,,,,,,,,,,,,,
Summit County,Colorado,8,117,27530.0,,,,,,,,,,,,,,
Teller County,Colorado,8,119,22823.0,,,,,,,,,,,,,,
Washington County,Colorado,8,121,4636.0,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,9353.0,,,,,,,,,,,,,,
Adams County,Colorado,8,1,410132.0,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,455987.0,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,284719.0,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,57355.0,,,,,,,,,,,,,,
Denver County,Colorado,8,31,530278.0,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,517644.0,,,,,,,,,,,,,,
Weld County,Colorado,8,123,267514.0,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,691642.0,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,639528.0,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,170083.0,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,144844.0,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,634586.0,,,,,,,,,,,,,,
New London County,Connecticut,9,11,216974.0,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,133656.0,,,,,,,,,,,,,,
Windham County,Connecticut,9,15,103567.0,,,,,,,,,,,,,,
Kent County,Delaware,10,1,115960.0,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,358183.0,,,,,,,,,,,,,,
Sussex County,Delaware,10,5,180762.0,,,,,,,,,,,,,,
Alachua County,Florida,12,1,182692.0,,,,,,,,,,,,,,
Baker County,Florida,12,3,23033.0,,,,,,,,,,,,,,
Bay County,Florida,12,5,148220.0,,,,,,,,,,,,,,
Bradford County,Florida,12,7,20935.0,,,,,,,,,,,,,,
Brevard County,Florida,12,9,476767.0,,,,,,,,,,,,,,
Broward County,Florida,12,11,1167526.0,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,11598.0,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,159598.0,,,,,,,,,,,,,,
Citrus County,Florida,12,17,132656.0,,,,,,,,,,,,,,
Clay County,Florida,12,19,165931.0,,,,,,,,,,,,,,
Collier County,Florida,12,21,320642.0,,,,,,,,,,,,,,
Columbia County,Florida,12,23,53246.0,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,2041796.0,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,30464.0,,,,,,,,,,,,,,
Dixie County,Florida,12,29,14240.0,,,,,,,,,,,,,,
Duval County,Florida,12,31,557139.0,,,,,,,,,,,,,,
Escambia County,Florida,12,33,212230.0,,,,,,,,,,,,,,
Flagler County,Florida,12,35,88531.0,,,,,,,,,,,,,,
Franklin County,Florida,12,37,9476.0,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,19100.0,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,16104.0,,,,,,,,,,,,,,
Glades County,Florida,12,43,10627.0,,,,,,,,,,,,,,
Gulf County,Florida,12,45,12522.0,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,8649.0,,,,,,,,,,,,,,
Hardee County,Florida,12,49,22163.0,,,,,,,,,,,,,,
Hendry County,Florida,12,51,32150.0,,,,,,,,,,,,,,
Hernando County,Florida,12,53,163329.0,,,,,,,,,,,,,,
Highlands County,Florida,12,55,81423.0,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,970497.0,,,,,,,,,,,,,,
Holmes County,Florida,12,59,17275.0,,,,,,,,,,,,,,
Indian River County,Florida,12,61,130147.0,,,,,,,,,,,,,,
Jackson County,Florida,12,63,33431.0,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,8824.0,,,,,,,,,,,,,,
Lafayette County,Florida,12,67,6916.0,,,,,,,,,,,,,,
Lake County,Florida,12,69,278353.0,,,,,,,,,,,,,,
Lee County,Florida,12,71,609126.0,,,,,,,,,,,,,,
Leon County,Florida,12,73,177852.0,,,,,,,,,,,,,,
Levy County,Florida,12,75,35008.0,,,,,,,,,,,,,,
Liberty County,Florida,12,77,6750.0,,,,,,,,,,,,,,
Madison County,Florida,12,79,10651.0,,,,,,,,,,,,,,
Manatee County,Florida,12,81,319715.0,,,,,,,,,,,,,,
Marion County,Florida,12,83,285189.0,,,,,,,,,,,,,,
Martin County,Florida,12,85,138394.0,,,,,,,,,,,,,,
Monroe County,Florida,12,87,67672.0,,,,,,,,,,,,,,
Nassau County,Florida,12,89,73061.0,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,157460.0,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,35136.0,,,,,,,,,,,,,,
Orange County,Florida,12,95,844074.0,,,,,,,,,,,,,,
Osceola County,Florida,12,97,246757.0,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,1070496.0,,,,,,,,,,,,,,
Pasco County,Florida,12,101,447358.0,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,782632.0,,,,,,,,,,,,,,
Polk County,Florida,12,105,520186.0,,,,,,,,,,,,,,
Putnam County,Florida,12,107,58172.0,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,208720.0,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,223755.0,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,145869.0,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,375993.0,,,,,,,,,,,,,,
Seminole County,Florida,12,117,351484.0,,,,,,,,,,,,,,
Sumter County,Florida,12,119,107444.0,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,36387.0,,,,,,,,,,,,,,
Taylor County,Florida,12,123,16497.0,,,,,,,,,,,,,,
Union County,Florida,12,125,11229.0,,,,,,,,,,,,,,
Volusia County,Florida,12,127,434732.0,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,26203.0,,,,,,,,,,,,,,
Walton County,Florida,12,131,57089.0,,,,,,,,,,,,,,
Washington County,Florida,12,133,19777.0,,,,,,,,,,,,,,
Appling County,Georgia,13,1,14033.0,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,5967.0,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,9073.0,,,,,,,,,,,,,,
Baker County,Georgia,13,7,1810.0,,,,,,,,,,,,,,
Baldwin County,Georgia,13,9,24371.0,,,,,,,,,,,,,,
Banks County,Georgia,13,11,17211.0,,,,,,,,,,,,,,
Barrow County,Georgia,13,13,61173.0,,,,,,,,,,,,,,
Bartow County,Georgia,13,15,87027.0,,,,,,,,,,,,,,
Ben Hill County,Georgia,13,17,10375.0,,,,,,,,,,,,,,
Berrien County,Georgia,13,19,16067.0,,,,,,,,,,,,,,
Bibb County,Georgia,13,21,62851.0,,,,,,,,,,,,,,
Bleckley County,Georgia,13,23,8903.0,,,,,,,,,,,,,,
Brantley County,Georgia,13,25,17399.0,,,,,,,,,,,,,,
Brooks County,Georgia,13,27,9618.0,,,,,,,,,,,,,,
Bryan County,Georgia,13,29,27652.0,,,,,,,,,,,,,,
Bulloch County,Georgia,13,31,49030.0,,,,,,,,,,,,,,
