County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Autauga County,Alabama,01,001,39.3
Baldwin County,Alabama,01,003,35.1
Barbour County,Alabama,01,005,38.7
Bibb County,Alabama,01,007,40.3
Blount County,Alabama,01,009,36.2
Bullock County,Alabama,01,011,39.0
Butler County,Alabama,01,013,36.2
Calhoun County,Alabama,01,015,38.7
Chambers County,Alabama,01,017,35.5
Cherokee County,Alabama,01,019,32.5
Chilton County,Alabama,01,021,38.3
Choctaw County,Alabama,01,023,32.9
Clarke County,Alabama,01,025,35.9
Clay County,Alabama,01,027,34.4
Cleburne County,Alabama,01,029,34.8
Coffee County,Alabama,01,031,38.2
Colbert County,Alabama,01,033,35.6
Conecuh County,Alabama,01,035,32.6
Coosa County,Alabama,01,037,34.3
Covington County,Alabama,01,039,33.8
Crenshaw County,Alabama,01,041,35.4
Cullman County,Alabama,01,043,36.7
Dale County,Alabama,01,045,39.6
Dallas County,Alabama,01,047,36.6
DeKalb County,Alabama,01,049,37.5
Elmore County,Alabama,01,051,40.6
Escambia County,Alabama,01,053,38.3
Etowah County,Alabama,01,055,37.0
Fayette County,Alabama,01,057,35.0
Franklin County,Alabama,01,059,38.8
Geneva County,Alabama,01,061,35.1
Greene County,Alabama,01,063,33.0
Hale County,Alabama,01,065,35.2
Henry County,Alabama,01,067,34.3
Houston County,Alabama,01,069,37.7
Jackson County,Alabama,01,071,35.2
Jefferson County,Alabama,01,073,40.0
Lamar County,Alabama,01,075,33.2
Lauderdale County,Alabama,01,077,38.1
Lawrence County,Alabama,01,079,35.8
Lee County,Alabama,01,081,49.5
Limestone County,Alabama,01,083,39.1
Lowndes County,Alabama,01,085,35.4
Macon County,Alabama,01,087,42.0
Madison County,Alabama,01,089,39.7
Marengo County,Alabama,01,091,35.5
Marion County,Alabama,01,093,34.6
Marshall County,Alabama,01,095,37.4
Mobile County,Alabama,01,097,39.3
Monroe County,Alabama,01,099,34.6
Montgomery County,Alabama,01,101,41.5
Morgan County,Alabama,01,103,37.2
Perry County,Alabama,01,105,39.5
Pickens County,Alabama,01,107,36.6
Pike County,Alabama,01,109,48.0
Randolph County,Alabama,01,111,35.2
Russell County,Alabama,01,113,40.8
Saint Clair County,Alabama,01,115,37.8
Shelby County,Alabama,01,117,39.5
Sumter County,Alabama,01,119,41.8
Talladega County,Alabama,01,121,37.8
Tallapoosa County,Alabama,01,123,33.8
Tuscaloosa County,Alabama,01,125,47.7
Walker County,Alabama,01,127,35.7
Washington County,Alabama,01,129,34.3
Wilcox County,Alabama,01,131,36.3
Winston County,Alabama,01,133,33.1
Anchorage Municipality,Alaska,02,020,44.8
Bethel Census Area,Alaska,02,050,42.5
Bristol Bay Borough,Alaska,02,060,35.4
Fairbanks North Star Borough,Alaska,02,090,47.8
Haines Borough,Alaska,02,100,33.5
Juneau City and Borough,Alaska,02,110,41.3
Kenai Peninsula Borough,Alaska,02,122,36.4
Kodiak Island Borough,Alaska,02,150,43.8
Matanuska-Susitna Borough,Alaska,02,170,40.5
Nome Census Area,Alaska,02,180,42.1
North Slope Borough,Alaska,02,185,40.9
Sitka City and Borough,Alaska,02,220,39.6
Southeast Fairbanks Census Area,Alaska,02,240,37.8
Valdez-Cordova Census Area,Alaska,02,261,37.6
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,43.1
Aleutians East Borough,Alaska,02,013,41.7
Aleutians West Census Area,Alaska,02,016,46.9
Dillingham Census Area,Alaska,02,070,41.4
Lake and Peninsula Borough,Alaska,02,164,43.0
Denali Borough,Alaska,02,068,45.6
Yukon-Koyukuk Census Area,Alaska,02,290,37.7
Hoonah-Angoon Census Area,Alaska,02,105,29.0
Skagway Municipality,Alaska,02,230,43.7
Yakutat City and Borough,Alaska,02,282,38.7
Ketchikan Gateway Borough,Alaska,02,130,38.0
Petersburg Borough,Alaska,02,195,35.5
Prince of Wales-Hyder Census Area,Alaska,02,198,34.9
Wrangell City and Borough,Alaska,02,275,28.7
Apache County,Arizona,04,001,38.4
Cochise County,Arizona,04,003,36.0
Coconino County,Arizona,04,005,48.3
Gila County,Arizona,04,007,28.2
Graham County,Arizona,04,009,43.0
Greenlee County,Arizona,04,011,41.7
Maricopa County,Arizona,04,013,41.2
Mohave County,Arizona,04,015,29.1
Navajo County,Arizona,04,017,36.4
Pima County,Arizona,04,019,39.6
Pinal County,Arizona,04,021,38.3
Santa Cruz County,Arizona,04,023,36.2
Yavapai County,Arizona,04,025,27.7
La Paz County,Arizona,04,012,24.9
Yuma County,Arizona,04,027,40.3
Arkansas County,Arkansas,05,001,36.1
Ashley County,Arkansas,05,003,34.8
Baxter County,Arkansas,05,005,27.5
Benton County,Arkansas,05,007,41.3
Boone County,Arkansas,05,009,34.8
Bradley County,Arkansas,05,011,34.6
Calhoun County,Arkansas,05,013,33.7
Carroll County,Arkansas,05,015,32.1
Chicot County,Arkansas,05,017,33.3
Clark County,Arkansas,05,019,45.8
Clay County,Arkansas,05,021,34.0
Cleburne County,Arkansas,05,023,30.4
Cleveland County,Arkansas,05,025,35.2
Columbia County,Arkansas,05,027,42.5
Conway County,Arkansas,05,029,35.1
Craighead County,Arkansas,05,031,43.5
Crawford County,Arkansas,05,033,37.6
Crittenden County,Arkansas,05,035,39.0
Cross County,Arkansas,05,037,36.3
Dallas County,Arkansas,05,039,33.2
Desha County,Arkansas,05,041,34.3
Drew County,Arkansas,05,043,41.2
Faulkner County,Arkansas,05,045,46.5
Franklin County,Arkansas,05,047,35.7
Fulton County,Arkansas,05,049,29.3
Garland County,Arkansas,05,051,33.5
Grant County,Arkansas,05,053,36.7
Greene County,Arkansas,05,055,39.5
Hempstead County,Arkansas,05,057,35.2
Hot Spring County,Arkansas,05,059,36.7
Howard County,Arkansas,05,061,35.3
Independence County,Arkansas,05,063,36.7
Izard County,Arkansas,05,065,31.1
Jackson County,Arkansas,05,067,38.2
Jefferson County,Arkansas,05,069,38.7
Johnson County,Arkansas,05,071,38.4
Lafayette County,Arkansas,05,073,32.7
Lawrence County,Arkansas,05,075,36.1
Lee County,Arkansas,05,077,39.7
Lincoln County,Arkansas,05,079,44.1
Little River County,Arkansas,05,081,35.3
Logan County,Arkansas,05,083,34.4
Lonoke County,Arkansas,05,085,40.9
Madison County,Arkansas,05,087,33.9
Marion County,Arkansas,05,089,26.7
Miller County,Arkansas,05,091,38.1
Mississippi County,Arkansas,05,093,38.8
Monroe County,Arkansas,05,095,32.0
Montgomery County,Arkansas,05,097,28.5
Nevada County,Arkansas,05,099,31.9
Newton County,Arkansas,05,101,30.3
Ouachita County,Arkansas,05,103,33.6
Perry County,Arkansas,05,105,33.5
Phillips County,Arkansas,05,107,35.2
Pike County,Arkansas,05,109,35.2
Poinsett County,Arkansas,05,111,36.8
Polk County,Arkansas,05,113,32.8
Pope County,Arkansas,05,115,41.8
Prairie County,Arkansas,05,117,31.5
Pulaski County,Arkansas,05,119,40.6
Randolph County,Arkansas,05,121,35.0
Saint Francis County,Arkansas,05,123,41.2
Saline County,Arkansas,05,125,38.4
Scott County,Arkansas,05,127,33.9
Searcy County,Arkansas,05,129,30.9
Sebastian County,Arkansas,05,131,39.2
Sevier County,Arkansas,05,133,38.4
Sharp County,Arkansas,05,135,29.4
Stone County,Arkansas,05,137,29.5
Union County,Arkansas,05,139,36.1
Van Buren County,Arkansas,05,141,30.2
Washington County,Arkansas,05,143,47.1
White County,Arkansas,05,145,40.2
Woodruff County,Arkansas,05,147,31.5
Yell County,Arkansas,05,149,35.8
Alameda County,California,06,001,43.4
Alpine County,California,06,003,36.7
Amador County,California,06,005,30.0
Butte County,California,06,007,41.3
Calaveras County,California,06,009,27.8
Colusa County,California,06,011,38.8
Contra Costa County,California,06,013,38.6
Del Norte County,California,06,015,38.8
El Dorado County,California,06,017,32.7
Fresno County,California,06,019,42.6
Glenn County,California,06,021,37.8
Humboldt County,California,06,023,42.2
Imperial County,California,06,025,42.0
Inyo County,California,06,027,32.6
Kern County,California,06,029,43.2
Kings County,California,06,031,46.0
Lake County,California,06,033,32.1
Lassen County,California,06,035,49.2
Los Angeles County,California,06,037,43.7
Madera County,California,06,039,41.0
Marin County,California,06,041,31.3
Mariposa County,California,06,043,29.5
Mendocino County,California,06,045,34.6
Merced County,California,06,047,43.1
Modoc County,California,06,049,29.8
Mono County,California,06,051,40.1
Monterey County,California,06,053,42.2
Napa County,California,06,055,37.9
Nevada County,California,06,057,30.5
Orange County,California,06,059,41.3
Placer County,California,06,061,35.7
Plumas County,California,06,063,28.3
Riverside County,California,06,065,41.3
Sacramento County,California,06,067,41.6
San Benito County,California,06,069,40.6
San Bernardino County,California,06,071,43.3
San Diego County,California,06,073,44.0
San Francisco County,California,06,075,48.4
San Joaquin County,California,06,077,41.4
San Luis Obispo County,California,06,079,40.9
San Mateo County,California,06,081,39.8
Santa Barbara County,California,06,083,44.2
Santa Clara County,California,06,085,42.7
Santa Cruz County,California,06,087,42.4
Shasta County,California,06,089,35.2
Sierra County,California,06,091,23.4
Siskiyou County,California,06,093,30.3
Solano County,California,06,095,40.0
Sonoma County,California,06,097,37.6
Stanislaus County,California,06,099,41.4
Sutter County,California,06,101,39.5
Tehama County,California,06,103,34.7
Trinity County,California,06,105,28.6
Tulare County,California,06,107,42.1
Tuolumne County,California,06,109,32.1
Ventura County,California,06,111,39.7
Yolo County,California,06,113,49.0
Yuba County,California,06,115,42.1
Alamosa County,Colorado,08,003,45.5
Archuleta County,Colorado,08,007,29.3
Baca County,Colorado,08,009,30.6
Bent County,Colorado,08,011,43.9
Chaffee County,Colorado,08,015,31.8
Cheyenne County,Colorado,08,017,35.0
Clear Creek County,Colorado,08,019,32.6
Conejos County,Colorado,08,021,33.9
Costilla County,Colorado,08,023,28.0
Crowley County,Colorado,08,025,49.1
Custer County,Colorado,08,027,19.3
Delta County,Colorado,08,029,30.7
Dolores County,Colorado,08,033,25.1
Douglas County,Colorado,08,035,38.5
Eagle County,Colorado,08,037,44.2
Elbert County,Colorado,08,039,31.4
El Paso County,Colorado,08,041,43.2
Fremont County,Colorado,08,043,37.4
Garfield County,Colorado,08,045,40.3
Gilpin County,Colorado,08,047,34.0
Grand County,Colorado,08,049,36.7
Gunnison County,Colorado,08,051,48.7
Huerfano County,Colorado,08,055,25.6
Jackson County,Colorado,08,057,25.9
Kiowa County,Colorado,08,061,29.9
Kit Carson County,Colorado,08,063,37.3
Lake County,Colorado,08,065,45.8
La Plata County,Colorado,08,067,40.2
Larimer County,Colorado,08,069,44.3
Las Animas County,Colorado,08,071,33.9
Lincoln County,Colorado,08,073,40.8
Logan County,Colorado,08,075,40.1
Mesa County,Colorado,08,077,38.4
Moffat County,Colorado,08,081,37.8
Montezuma County,Colorado,08,083,32.1
Montrose County,Colorado,08,085,32.1
Morgan County,Colorado,08,087,37.5
Otero County,Colorado,08,089,35.8
Ouray County,Colorado,08,091,25.6
Park County,Colorado,08,093,28.6
Phillips County,Colorado,08,095,34.6
Pitkin County,Colorado,08,097,39.1
Prowers County,Colorado,08,099,37.0
Pueblo County,Colorado,08,101,37.6
Rio Blanco County,Colorado,08,103,39.4
Rio Grande County,Colorado,08,105,35.2
Routt County,Colorado,08,107,41.9
