County,State,mean_life_expectancy,State_FIPS,County_FIPS,age_18_and_under_percentage
Autauga County,Alabama,76.3458016126412,01,001,24.2
Baldwin County,Alabama,78.1131187069305,01,003,21.9
Barbour County,Alabama,74.7743309934985,01,005,21.1
Bibb County,Alabama,73.7903133744892,01,007,20.7
Blount County,Alabama,75.013449464969,01,009,23.4
Bullock County,Alabama,73.6842860486569,01,011,20.8
Butler County,Alabama,73.9019445955979,01,013,22.8
Calhoun County,Alabama,73.4088629777792,01,015,21.9
Chambers County,Alabama,74.5258741295021,01,017,20.7
Cherokee County,Alabama,74.4293661472186,01,019,20.4
Chilton County,Alabama,74.3574576379216,01,021,24.2
Choctaw County,Alabama,74.5791676770029,01,023,20.3
Clarke County,Alabama,74.8950304256062,01,025,22.1
Clay County,Alabama,74.5316289536644,01,027,21.1
Cleburne County,Alabama,74.3862420952093,01,029,23.0
Coffee County,Alabama,76.3613073583135,01,031,23.7
Colbert County,Alabama,74.531880399761,01,033,21.3
Conecuh County,Alabama,73.5208362803517,01,035,21.2
Coosa County,Alabama,75.5688098046964,01,037,17.0
Covington County,Alabama,74.094051609186,01,039,21.9
Crenshaw County,Alabama,74.1434109951944,01,041,22.5
Cullman County,Alabama,74.4187888904678,01,043,22.6
Dale County,Alabama,75.6212203924387,01,045,23.4
Dallas County,Alabama,72.300300454957,01,047,24.4
DeKalb County,Alabama,74.664298896307,01,049,24.6
Elmore County,Alabama,76.0666411732753,01,051,22.5
Escambia County,Alabama,73.1785510386588,01,053,22.3
Etowah County,Alabama,73.310801891145,01,055,21.6
Fayette County,Alabama,73.7501826390878,01,057,21.5
Franklin County,Alabama,73.6994529156054,01,059,24.7
Geneva County,Alabama,74.2429861050731,01,061,22.1
Greene County,Alabama,74.0541627291715,01,063,22.1
Hale County,Alabama,73.8211347225773,01,065,23.4
Henry County,Alabama,75.5345409164455,01,067,20.9
Houston County,Alabama,76.2003724907021,01,069,23.4
Jackson County,Alabama,73.4860798339663,01,071,21.4
Jefferson County,Alabama,74.8266754858777,01,073,23.0
Lamar County,Alabama,74.6405751275356,01,075,22.0
Lauderdale County,Alabama,76.2332477342409,01,077,20.0
Lawrence County,Alabama,73.8448626457253,01,079,21.8
Lee County,Alabama,77.6449270835747,01,081,21.5
Limestone County,Alabama,77.5937481419663,01,083,23.0
Lowndes County,Alabama,72.0555793694128,01,085,22.8
Macon County,Alabama,73.143855116616,01,087,17.9
Madison County,Alabama,77.6056196958447,01,089,22.1
Marengo County,Alabama,73.5140531961641,01,091,22.9
Marion County,Alabama,74.2254868593688,01,093,21.1
Marshall County,Alabama,74.360519855914,01,095,24.9
Mobile County,Alabama,74.9863591340308,01,097,23.7
Monroe County,Alabama,74.9978896242308,01,099,22.9
Montgomery County,Alabama,76.1656562262215,01,101,23.6
Morgan County,Alabama,75.4261590776826,01,103,23.0
Perry County,Alabama,72.770250342339,01,105,21.8
Pickens County,Alabama,74.6249282141329,01,107,19.7
Pike County,Alabama,75.0187640137986,01,109,19.6
Randolph County,Alabama,74.3982802569113,01,111,21.8
Russell County,Alabama,73.6803490665368,01,113,24.7
Saint Clair County,Alabama,75.0107121083288,01,115,22.9
Shelby County,Alabama,80.205250224518,01,117,24.0
Sumter County,Alabama,74.7139987528402,01,119,19.4
Talladega County,Alabama,73.5793518144223,01,121,21.5
Tallapoosa County,Alabama,74.9365477647865,01,123,21.1
Tuscaloosa County,Alabama,76.5059658159458,01,125,20.9
Walker County,Alabama,70.5636130208947,01,127,22.3
Washington County,Alabama,74.6032396661542,01,129,22.2
Wilcox County,Alabama,71.5241341237713,01,131,24.4
Winston County,Alabama,74.7102062206126,01,133,20.9
Anchorage Municipality,Alaska,79.167117979683,02,020,24.7
Bethel Census Area,Alaska,72.53346154146,02,050,35.7
Bristol Bay Borough,Alaska,76.2417287283227,02,060,21.8
Fairbanks North Star Borough,Alaska,80.2495817828855,02,090,24.2
Haines Borough,Alaska,82.3340851154886,02,100,22.2
Juneau City and Borough,Alaska,80.7356793660287,02,110,21.6
Kenai Peninsula Borough,Alaska,78.641406388572,02,122,22.8
Kodiak Island Borough,Alaska,80.3116543907809,02,150,26.2
Matanuska-Susitna Borough,Alaska,78.8829024347706,02,170,27.2
Nome Census Area,Alaska,70.7530594988732,02,180,34.3
North Slope Borough,Alaska,75.8434189819725,02,185,25.9
Sitka City and Borough,Alaska,80.454277274944,02,220,22.2
Southeast Fairbanks Census Area,Alaska,77.6892419463187,02,240,27.1
Valdez-Cordova Census Area,Alaska,79.0550286546822,02,261,23.6
Wade Hampton Census Area,Alaska,68.2919702704407,02,270,
Northwest Arctic Borough,Alaska,72.6945119305142,02,188,35.2
Aleutians East Borough,Alaska,84.54019994971,02,013,14.2
Aleutians West Census Area,Alaska,84.54019994971,02,016,16.7
Dillingham Census Area,Alaska,74.2728982123458,02,070,30.9
Lake and Peninsula Borough,Alaska,74.2728982123458,02,164,27.1
Denali Borough,Alaska,74.5030411727533,02,068,11.5
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,02,290,27.7
Hoonah-Angoon Census Area,Alaska,81.2101394560811,02,105,15.5
Skagway Municipality,Alaska,81.2101394560811,02,230,17.4
Yakutat City and Borough,Alaska,81.2101394560811,02,282,27.1
Ketchikan Gateway Borough,Alaska,79.3321255610105,02,130,22.3
Petersburg Borough,Alaska,79.3321255610105,02,195,22.5
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,02,198,23.8
Wrangell City and Borough,Alaska,79.3321255610105,02,275,19.8
Apache County,Arizona,72.3010290005178,04,001,27.7
Cochise County,Arizona,77.8408033972637,04,003,22.0
Coconino County,Arizona,78.8052809079821,04,005,21.1
Gila County,Arizona,74.3746289869468,04,007,20.3
Graham County,Arizona,77.1556460234304,04,009,27.3
Greenlee County,Arizona,78.3645024836664,04,011,27.8
Maricopa County,Arizona,79.7386604099472,04,013,24.5
Mohave County,Arizona,75.0984065448903,04,015,17.9
Navajo County,Arizona,73.7972740690661,04,017,27.3
Pima County,Arizona,78.7518294309296,04,019,21.4
Pinal County,Arizona,81.2155424915528,04,021,23.4
Santa Cruz County,Arizona,81.7071020187176,04,023,27.6
Yavapai County,Arizona,78.051524295411,04,025,16.8
La Paz County,Arizona,81.2378999209795,04,012,16.5
Yuma County,Arizona,81.2378999209795,04,027,25.6
Arkansas County,Arkansas,73.699664085667,05,001,23.0
Ashley County,Arkansas,74.0622583712188,05,003,23.3
Baxter County,Arkansas,76.0355516425297,05,005,17.5
Benton County,Arkansas,79.5515977691344,05,007,26.8
Boone County,Arkansas,76.2920818267331,05,009,22.8
Bradley County,Arkansas,73.9154085027933,05,011,23.7
Calhoun County,Arkansas,74.7753643476493,05,013,19.9
Carroll County,Arkansas,77.2088767175722,05,015,22.0
Chicot County,Arkansas,73.4191359082146,05,017,22.7
Clark County,Arkansas,75.9107071055062,05,019,19.1
Clay County,Arkansas,73.0282818142332,05,021,22.0
Cleburne County,Arkansas,75.8897883042267,05,023,19.0
Cleveland County,Arkansas,74.9601675422995,05,025,22.6
Columbia County,Arkansas,74.3920918341417,05,027,21.2
Conway County,Arkansas,74.8124099395122,05,029,22.9
Craighead County,Arkansas,76.2618331131667,05,031,24.8
Crawford County,Arkansas,76.0303039795828,05,033,24.8
Crittenden County,Arkansas,72.9678543864573,05,035,27.4
Cross County,Arkansas,73.2798919731548,05,037,24.0
Dallas County,Arkansas,73.7130043686649,05,039,22.8
Desha County,Arkansas,72.7276609628183,05,041,25.7
Drew County,Arkansas,75.2211103202167,05,043,21.7
Faulkner County,Arkansas,76.5427391151303,05,045,23.5
Franklin County,Arkansas,74.6633798673886,05,047,23.5
Fulton County,Arkansas,75.0726412158052,05,049,20.5
Garland County,Arkansas,74.6917741981376,05,051,20.4
Grant County,Arkansas,75.3837861639195,05,053,22.9
Greene County,Arkansas,74.2408679220059,05,055,24.6
Hempstead County,Arkansas,75.3276249243193,05,057,26.0
Hot Spring County,Arkansas,74.4739215374817,05,059,20.9
Howard County,Arkansas,74.2175286904666,05,061,25.8
Independence County,Arkansas,75.9418583152842,05,063,23.9
Izard County,Arkansas,75.4317695846984,05,065,18.2
Jackson County,Arkansas,73.3266666408661,05,067,20.2
Jefferson County,Arkansas,73.3590923821139,05,069,22.4
Johnson County,Arkansas,75.8064818743859,05,071,24.3
Lafayette County,Arkansas,74.6587982386832,05,073,19.7
Lawrence County,Arkansas,74.0656088368156,05,075,22.4
Lee County,Arkansas,73.3490156735839,05,077,18.9
Lincoln County,Arkansas,75.1131078790431,05,079,17.3
Little River County,Arkansas,74.1807882572467,05,081,22.1
Logan County,Arkansas,74.4320848649481,05,083,22.2
Lonoke County,Arkansas,74.9345664780834,05,085,26.1
Madison County,Arkansas,75.5976399371591,05,087,23.7
Marion County,Arkansas,75.4429778062734,05,089,18.5
Miller County,Arkansas,74.6268522519816,05,091,23.8
Mississippi County,Arkansas,71.4920842695116,05,093,26.6
Monroe County,Arkansas,72.4674227246369,05,095,20.4
Montgomery County,Arkansas,75.793052336322,05,097,18.9
Nevada County,Arkansas,74.2958611849283,05,099,22.7
Newton County,Arkansas,77.1907959033018,05,101,19.8
Ouachita County,Arkansas,73.0491101838795,05,103,22.6
Perry County,Arkansas,75.0236567504255,05,105,22.8
Phillips County,Arkansas,71.1931915908736,05,107,26.0
Pike County,Arkansas,75.0824421118564,05,109,21.7
Poinsett County,Arkansas,71.3031716770786,05,111,23.8
Polk County,Arkansas,75.2198849618385,05,113,23.3
Pope County,Arkansas,76.6203759107694,05,115,22.9
Prairie County,Arkansas,75.966819358482,05,117,20.4
Pulaski County,Arkansas,76.0611102581848,05,119,23.5
Randolph County,Arkansas,74.3973999793014,05,121,22.9
Saint Francis County,Arkansas,74.1021367670649,05,123,22.0
Saline County,Arkansas,77.1843392125055,05,125,23.6
Scott County,Arkansas,74.7730329022547,05,127,25.9
Searcy County,Arkansas,75.2517345364764,05,129,20.1
Sebastian County,Arkansas,75.9956131141566,05,131,24.2
Sevier County,Arkansas,75.4897788457826,05,133,28.7
Sharp County,Arkansas,73.8772637972242,05,135,21.3
Stone County,Arkansas,76.1304929728617,05,137,19.9
Union County,Arkansas,73.4174077792713,05,139,24.1
Van Buren County,Arkansas,76.1831675574109,05,141,20.1
Washington County,Arkansas,77.990955582861,05,143,24.8
White County,Arkansas,75.3891115505783,05,145,23.6
Woodruff County,Arkansas,72.862006974415,05,147,21.7
Yell County,Arkansas,74.6715621808677,05,149,24.9
Alameda County,California,82.5117230510974,06,001,21.0
Alpine County,California,78.6184132405496,06,003,20.9
Amador County,California,79.6700527007408,06,005,15.4
Butte County,California,77.5510398533407,06,007,20.1
Calaveras County,California,79.4937097704614,06,009,17.2
Colusa County,California,79.8121558402712,06,011,27.4
Contra Costa County,California,82.1166155136634,06,013,23.1
Del Norte County,California,75.5876660864016,06,015,21.7
El Dorado County,California,81.7175928361167,06,017,20.4
Fresno County,California,78.5774233152407,06,019,28.6
Glenn County,California,77.3237108142528,06,021,26.8
Humboldt County,California,76.9699850790142,06,023,19.3
Imperial County,California,80.8834382757586,06,025,28.7
