County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Autauga County,Alabama,01,001,39.3
Baldwin County,Alabama,01,003,34.5
Barbour County,Alabama,01,005,38.2
Bibb County,Alabama,01,007,39.3
Blount County,Alabama,01,009,36.3
Bullock County,Alabama,01,011,39.7
Butler County,Alabama,01,013,36.5
Calhoun County,Alabama,01,015,38.4
Chambers County,Alabama,01,017,35.6
Cherokee County,Alabama,01,019,31.9
Chilton County,Alabama,01,021,38.6
Choctaw County,Alabama,01,023,32.4
Clarke County,Alabama,01,025,35.4
Clay County,Alabama,01,027,34.5
Cleburne County,Alabama,01,029,34.3
Coffee County,Alabama,01,031,37.8
Colbert County,Alabama,01,033,35.6
Conecuh County,Alabama,01,035,32.9
Coosa County,Alabama,01,037,31.7
Covington County,Alabama,01,039,33.8
Crenshaw County,Alabama,01,041,35.0
Cullman County,Alabama,01,043,36.4
Dale County,Alabama,01,045,39.1
Dallas County,Alabama,01,047,36.2
DeKalb County,Alabama,01,049,37.0
Elmore County,Alabama,01,051,40.0
Escambia County,Alabama,01,053,37.9
Etowah County,Alabama,01,055,36.5
Fayette County,Alabama,01,057,34.7
Franklin County,Alabama,01,059,37.7
Geneva County,Alabama,01,061,33.8
Greene County,Alabama,01,063,33.4
Hale County,Alabama,01,065,35.4
Henry County,Alabama,01,067,33.8
Houston County,Alabama,01,069,37.3
Jackson County,Alabama,01,071,34.9
Jefferson County,Alabama,01,073,39.8
Lamar County,Alabama,01,075,32.4
Lauderdale County,Alabama,01,077,38.0
Lawrence County,Alabama,01,079,34.9
Lee County,Alabama,01,081,48.3
Limestone County,Alabama,01,083,38.8
Lowndes County,Alabama,01,085,35.1
Macon County,Alabama,01,087,41.3
Madison County,Alabama,01,089,39.5
Marengo County,Alabama,01,091,35.2
Marion County,Alabama,01,093,33.9
Marshall County,Alabama,01,095,36.6
Mobile County,Alabama,01,097,38.9
Monroe County,Alabama,01,099,34.7
Montgomery County,Alabama,01,101,40.9
Morgan County,Alabama,01,103,36.7
Perry County,Alabama,01,105,43.1
Pickens County,Alabama,01,107,37.3
Pike County,Alabama,01,109,47.4
Randolph County,Alabama,01,111,34.0
Russell County,Alabama,01,113,39.9
Saint Clair County,Alabama,01,115,37.3
Shelby County,Alabama,01,117,38.7
Sumter County,Alabama,01,119,41.7
Talladega County,Alabama,01,121,37.4
Tallapoosa County,Alabama,01,123,33.1
Tuscaloosa County,Alabama,01,125,46.8
Walker County,Alabama,01,127,35.3
Washington County,Alabama,01,129,34.7
Wilcox County,Alabama,01,131,36.7
Winston County,Alabama,01,133,32.9
Anchorage Municipality,Alaska,02,020,44.5
Bethel Census Area,Alaska,02,050,42.8
Bristol Bay Borough,Alaska,02,060,36.2
Fairbanks North Star Borough,Alaska,02,090,47.6
Haines Borough,Alaska,02,100,27.4
Juneau City and Borough,Alaska,02,110,41.0
Kenai Peninsula Borough,Alaska,02,122,36.2
Kodiak Island Borough,Alaska,02,150,44.0
Matanuska-Susitna Borough,Alaska,02,170,40.4
Nome Census Area,Alaska,02,180,42.0
North Slope Borough,Alaska,02,185,40.9
Sitka City and Borough,Alaska,02,220,39.6
Southeast Fairbanks Census Area,Alaska,02,240,36.7
Valdez-Cordova Census Area,Alaska,02,261,37.7
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,41.2
Aleutians East Borough,Alaska,02,013,41.4
Aleutians West Census Area,Alaska,02,016,45.2
Dillingham Census Area,Alaska,02,070,41.8
Lake and Peninsula Borough,Alaska,02,164,45.7
Denali Borough,Alaska,02,068,45.1
Yukon-Koyukuk Census Area,Alaska,02,290,37.2
Hoonah-Angoon Census Area,Alaska,02,105,28.6
Skagway Municipality,Alaska,02,230,45.6
Yakutat City and Borough,Alaska,02,282,38.2
Ketchikan Gateway Borough,Alaska,02,130,38.2
Petersburg Borough,Alaska,02,195,35.3
Prince of Wales-Hyder Census Area,Alaska,02,198,33.7
Wrangell City and Borough,Alaska,02,275,29.6
Apache County,Arizona,04,001,38.4
Cochise County,Arizona,04,003,35.8
Coconino County,Arizona,04,005,48.7
Gila County,Arizona,04,007,28.1
Graham County,Arizona,04,009,42.9
Greenlee County,Arizona,04,011,42.2
Maricopa County,Arizona,04,013,41.1
Mohave County,Arizona,04,015,28.6
Navajo County,Arizona,04,017,35.9
Pima County,Arizona,04,019,39.6
Pinal County,Arizona,04,021,38.0
Santa Cruz County,Arizona,04,023,36.4
Yavapai County,Arizona,04,025,27.5
La Paz County,Arizona,04,012,25.7
Yuma County,Arizona,04,027,40.2
Arkansas County,Arkansas,05,001,34.4
Ashley County,Arkansas,05,003,33.5
Baxter County,Arkansas,05,005,28.0
Benton County,Arkansas,05,007,41.5
Boone County,Arkansas,05,009,34.6
Bradley County,Arkansas,05,011,35.3
Calhoun County,Arkansas,05,013,35.5
Carroll County,Arkansas,05,015,32.1
Chicot County,Arkansas,05,017,33.5
Clark County,Arkansas,05,019,45.3
Clay County,Arkansas,05,021,34.3
Cleburne County,Arkansas,05,023,30.2
Cleveland County,Arkansas,05,025,33.7
Columbia County,Arkansas,05,027,42.5
Conway County,Arkansas,05,029,34.4
Craighead County,Arkansas,05,031,43.2
Crawford County,Arkansas,05,033,37.1
Crittenden County,Arkansas,05,035,38.8
Cross County,Arkansas,05,037,35.8
Dallas County,Arkansas,05,039,35.1
Desha County,Arkansas,05,041,34.3
Drew County,Arkansas,05,043,41.2
Faulkner County,Arkansas,05,045,46.1
Franklin County,Arkansas,05,047,35.0
Fulton County,Arkansas,05,049,29.6
Garland County,Arkansas,05,051,33.4
Grant County,Arkansas,05,053,35.9
Greene County,Arkansas,05,055,38.6
Hempstead County,Arkansas,05,057,34.4
Hot Spring County,Arkansas,05,059,37.1
Howard County,Arkansas,05,061,36.5
Independence County,Arkansas,05,063,36.6
Izard County,Arkansas,05,065,30.7
Jackson County,Arkansas,05,067,39.3
Jefferson County,Arkansas,05,069,38.9
Johnson County,Arkansas,05,071,37.9
Lafayette County,Arkansas,05,073,31.6
Lawrence County,Arkansas,05,075,36.3
Lee County,Arkansas,05,077,39.8
Lincoln County,Arkansas,05,079,44.9
Little River County,Arkansas,05,081,34.6
Logan County,Arkansas,05,083,34.6
Lonoke County,Arkansas,05,085,40.7
Madison County,Arkansas,05,087,34.0
Marion County,Arkansas,05,089,26.4
Miller County,Arkansas,05,091,38.0
Mississippi County,Arkansas,05,093,38.8
Monroe County,Arkansas,05,095,30.6
Montgomery County,Arkansas,05,097,29.3
Nevada County,Arkansas,05,099,32.1
Newton County,Arkansas,05,101,30.3
Ouachita County,Arkansas,05,103,33.1
Perry County,Arkansas,05,105,33.5
Phillips County,Arkansas,05,107,34.9
Pike County,Arkansas,05,109,34.7
Poinsett County,Arkansas,05,111,36.1
Polk County,Arkansas,05,113,32.9
Pope County,Arkansas,05,115,41.1
Prairie County,Arkansas,05,117,31.4
Pulaski County,Arkansas,05,119,40.2
Randolph County,Arkansas,05,121,35.6
Saint Francis County,Arkansas,05,123,40.0
Saline County,Arkansas,05,125,38.0
Scott County,Arkansas,05,127,33.1
Searcy County,Arkansas,05,129,30.3
Sebastian County,Arkansas,05,131,38.8
Sevier County,Arkansas,05,133,38.3
Sharp County,Arkansas,05,135,29.8
Stone County,Arkansas,05,137,29.5
Union County,Arkansas,05,139,35.5
Van Buren County,Arkansas,05,141,29.7
Washington County,Arkansas,05,143,46.9
White County,Arkansas,05,145,39.4
Woodruff County,Arkansas,05,147,30.7
Yell County,Arkansas,05,149,35.8
Alameda County,California,06,001,43.4
Alpine County,California,06,003,30.4
Amador County,California,06,005,30.6
Butte County,California,06,007,41.6
Calaveras County,California,06,009,28.1
Colusa County,California,06,011,39.0
Contra Costa County,California,06,013,38.4
Del Norte County,California,06,015,38.5
El Dorado County,California,06,017,32.4
Fresno County,California,06,019,42.4
Glenn County,California,06,021,38.0
Humboldt County,California,06,023,42.1
Imperial County,California,06,025,41.9
Inyo County,California,06,027,32.1
Kern County,California,06,029,43.1
Kings County,California,06,031,45.8
Lake County,California,06,033,32.0
Lassen County,California,06,035,49.1
Los Angeles County,California,06,037,43.3
Madera County,California,06,039,40.4
Marin County,California,06,041,30.8
Mariposa County,California,06,043,28.5
Mendocino County,California,06,045,34.0
Merced County,California,06,047,43.0
Modoc County,California,06,049,30.2
Mono County,California,06,051,43.4
Monterey County,California,06,053,41.7
Napa County,California,06,055,37.5
Nevada County,California,06,057,30.0
Orange County,California,06,059,40.7
Placer County,California,06,061,35.4
Plumas County,California,06,063,27.9
Riverside County,California,06,065,41.0
Sacramento County,California,06,067,41.5
San Benito County,California,06,069,40.8
San Bernardino County,California,06,071,43.1
San Diego County,California,06,073,43.8
San Francisco County,California,06,075,48.3
San Joaquin County,California,06,077,41.3
San Luis Obispo County,California,06,079,40.8
San Mateo County,California,06,081,39.9
Santa Barbara County,California,06,083,44.1
Santa Clara County,California,06,085,42.7
Santa Cruz County,California,06,087,42.2
Shasta County,California,06,089,35.2
Sierra County,California,06,091,26.5
