County,State,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,01,001,19.5
Baldwin County,Alabama,01,003,26.7
Barbour County,Alabama,01,005,24.4
Bibb County,Alabama,01,007,21.6
Blount County,Alabama,01,009,24.0
Bullock County,Alabama,01,011,23.9
Butler County,Alabama,01,013,25.8
Calhoun County,Alabama,01,015,23.9
Chambers County,Alabama,01,017,25.5
Cherokee County,Alabama,01,019,29.2
Chilton County,Alabama,01,021,22.0
Choctaw County,Alabama,01,023,28.9
Clarke County,Alabama,01,025,25.0
Clay County,Alabama,01,027,26.1
Cleburne County,Alabama,01,029,25.7
Coffee County,Alabama,01,031,22.0
Colbert County,Alabama,01,033,26.4
Conecuh County,Alabama,01,035,28.2
Coosa County,Alabama,01,037,29.1
Covington County,Alabama,01,039,28.1
Crenshaw County,Alabama,01,041,25.0
Cullman County,Alabama,01,043,24.5
Dale County,Alabama,01,045,21.6
Dallas County,Alabama,01,047,23.7
DeKalb County,Alabama,01,049,22.4
Elmore County,Alabama,01,051,20.2
Escambia County,Alabama,01,053,23.7
Etowah County,Alabama,01,055,24.9
Fayette County,Alabama,01,057,27.9
Franklin County,Alabama,01,059,22.7
Geneva County,Alabama,01,061,25.9
Greene County,Alabama,01,063,28.2
Hale County,Alabama,01,065,26.2
Henry County,Alabama,01,067,28.3
Houston County,Alabama,01,069,23.0
Jackson County,Alabama,01,071,26.1
Jefferson County,Alabama,01,073,21.4
Lamar County,Alabama,01,075,28.1
Lauderdale County,Alabama,01,077,26.1
Lawrence County,Alabama,01,079,24.2
Lee County,Alabama,01,081,16.2
Limestone County,Alabama,01,083,20.4
Lowndes County,Alabama,01,085,24.4
Macon County,Alabama,01,087,25.5
Madison County,Alabama,01,089,20.2
Marengo County,Alabama,01,091,26.4
Marion County,Alabama,01,093,27.7
Marshall County,Alabama,01,095,23.0
Mobile County,Alabama,01,097,21.7
Monroe County,Alabama,01,099,25.9
Montgomery County,Alabama,01,101,20.1
Morgan County,Alabama,01,103,23.2
Perry County,Alabama,01,105,25.1
Pickens County,Alabama,01,107,24.6
Pike County,Alabama,01,109,19.7
Randolph County,Alabama,01,111,28.1
Russell County,Alabama,01,113,19.1
Saint Clair County,Alabama,01,115,22.0
Shelby County,Alabama,01,117,20.6
Sumter County,Alabama,01,119,23.4
Talladega County,Alabama,01,121,24.3
Tallapoosa County,Alabama,01,123,28.1
Tuscaloosa County,Alabama,01,125,18.3
Walker County,Alabama,01,127,25.3
Washington County,Alabama,01,129,26.6
Wilcox County,Alabama,01,131,25.6
Winston County,Alabama,01,133,28.1
Anchorage Municipality,Alaska,02,020,15.4
Bethel Census Area,Alaska,02,050,12.2
Bristol Bay Borough,Alaska,02,060,18.0
Fairbanks North Star Borough,Alaska,02,090,14.4
Haines Borough,Alaska,02,100,28.2
Juneau City and Borough,Alaska,02,110,18.8
Kenai Peninsula Borough,Alaska,02,122,23.7
Kodiak Island Borough,Alaska,02,150,15.3
Matanuska-Susitna Borough,Alaska,02,170,16.8
Nome Census Area,Alaska,02,180,11.4
North Slope Borough,Alaska,02,185,11.8
Sitka City and Borough,Alaska,02,220,21.0
Southeast Fairbanks Census Area,Alaska,02,240,18.8
Valdez-Cordova Census Area,Alaska,02,261,21.5
