County,State,mean_life_expectancy,State_FIPS,County_FIPS,age_15_to_44_percentage
Autauga County,Alabama,76.0923839492951,01,001,76.1
Baldwin County,Alabama,77.9590260303945,01,003,79.2
Barbour County,Alabama,75.723760010315,01,005,81.0
Bibb County,Alabama,74.0704786684836,01,007,82.2
Blount County,Alabama,75.57623817677,01,009,78.4
Bullock County,Alabama,73.9667452558383,01,011,80.3
Butler County,Alabama,74.1879513563979,01,013,76.5
Calhoun County,Alabama,73.7500629106712,01,015,78.5
Chambers County,Alabama,74.4744393001101,01,017,79.6
Cherokee County,Alabama,74.8083588255097,01,019,80.8
Chilton County,Alabama,74.361687582335,01,021,77.7
Choctaw County,Alabama,74.767407753043,01,023,79.7
Clarke County,Alabama,75.234900184891,01,025,78.8
Clay County,Alabama,74.7573360142862,01,027,79.7
Cleburne County,Alabama,74.1228766542021,01,029,77.5
Coffee County,Alabama,76.7812212244236,01,031,78.0
Colbert County,Alabama,74.7421988900332,01,033,79.6
Conecuh County,Alabama,73.8726045151823,01,035,79.2
Coosa County,Alabama,75.2580877653134,01,037,83.1
Covington County,Alabama,74.8659701913572,01,039,79.7
Crenshaw County,Alabama,74.4189555245288,01,041,77.9
Cullman County,Alabama,74.9300732935393,01,043,78.8
Dale County,Alabama,75.9998085962609,01,045,77.8
Dallas County,Alabama,72.1686309532854,01,047,73.6
DeKalb County,Alabama,74.7318781453857,01,049,76.7
Elmore County,Alabama,75.9399909370708,01,051,78.4
Escambia County,Alabama,73.7808302047218,01,053,80.8
Etowah County,Alabama,73.3708247850727,01,055,78.9
Fayette County,Alabama,74.0659626546655,01,057,78.5
Franklin County,Alabama,73.5137577154115,01,059,77.0
Geneva County,Alabama,75.0218977493571,01,061,79.3
Greene County,Alabama,74.4811078615176,01,063,78.8
Hale County,Alabama,74.1560323615994,01,065,78.1
Henry County,Alabama,75.7543594558265,01,067,79.9
Houston County,Alabama,76.559115914522,01,069,77.1
Jackson County,Alabama,73.5264035395202,01,071,79.5
Jefferson County,Alabama,74.9798554080244,01,073,77.8
Lamar County,Alabama,74.7116839103121,01,075,80.0
Lauderdale County,Alabama,76.1300402688184,01,077,80.2
Lawrence County,Alabama,73.989537746666,01,079,79.5
Lee County,Alabama,77.5595991086487,01,081,79.7
Limestone County,Alabama,77.4754459389285,01,083,78.9
Lowndes County,Alabama,72.2634055675833,01,085,77.8
Macon County,Alabama,73.4904632643591,01,087,81.7
Madison County,Alabama,77.8536736827048,01,089,78.9
Marengo County,Alabama,74.0363714016051,01,091,78.9
Marion County,Alabama,74.4921559001086,01,093,80.3
Marshall County,Alabama,74.1039393352051,01,095,76.9
Mobile County,Alabama,75.1117597992232,01,097,77.0
Monroe County,Alabama,75.0245488974323,01,099,78.0
Montgomery County,Alabama,76.1126905968678,01,101,76.8
Morgan County,Alabama,75.7548165522007,01,103,78.6
Perry County,Alabama,72.5637425616024,01,105,79.0
Pickens County,Alabama,74.4392811093029,01,107,79.8
Pike County,Alabama,75.2623836523974,01,109,82.1
Randolph County,Alabama,74.7053091696992,01,111,77.9
Russell County,Alabama,74.3805861878772,01,113,76.4
Saint Clair County,Alabama,75.1216644950582,01,115,78.1
Shelby County,Alabama,79.9186609893026,01,117,76.9
Sumter County,Alabama,74.4570441053706,01,119,81.1
Talladega County,Alabama,73.6869492872818,01,121,79.4
Tallapoosa County,Alabama,75.1270284243972,01,123,79.4
Tuscaloosa County,Alabama,76.2841722904781,01,125,80.0
Walker County,Alabama,70.7322477452283,01,127,78.9
Washington County,Alabama,74.6503643642396,01,129,77.3
