County,State,mean_life_expectancy,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,75.7292435880376,01,001,10.6
Baldwin County,Alabama,77.9271776584132,01,003,16.1
Barbour County,Alabama,75.726345615993,01,005,11.8
Bibb County,Alabama,73.8549042153188,01,007,10.4
Blount County,Alabama,75.7031620249924,01,009,13.4
Bullock County,Alabama,74.5147146410295,01,011,10.7
Butler County,Alabama,74.0029270174073,01,013,14.1
Calhoun County,Alabama,73.7720318613506,01,015,12.5
Chambers County,Alabama,74.4618272098825,01,017,14.3
Cherokee County,Alabama,74.9073645339479,01,019,16.6
Chilton County,Alabama,74.1680381073103,01,021,12.3
Choctaw County,Alabama,75.0330369420346,01,023,16.5
Clarke County,Alabama,75.3627746026001,01,025,14.6
Clay County,Alabama,74.5556200097281,01,027,16.1
Cleburne County,Alabama,74.0892819227667,01,029,14.7
Coffee County,Alabama,76.8920779757569,01,031,12.5
Colbert County,Alabama,74.7919396971864,01,033,15.2
Conecuh County,Alabama,73.9629702481659,01,035,16.6
Coosa County,Alabama,75.1116367329605,01,037,15.1
Covington County,Alabama,75.0377160434361,01,039,16.5
Crenshaw County,Alabama,74.4090115093279,01,041,13.5
Cullman County,Alabama,75.0285246631596,01,043,14.0
Dale County,Alabama,76.2376078137941,01,045,11.8
Dallas County,Alabama,72.3485612905477,01,047,12.4
DeKalb County,Alabama,74.9900686798499,01,049,12.2
Elmore County,Alabama,75.972036154942,01,051,11.1
Escambia County,Alabama,74.0158797821032,01,053,12.6
Etowah County,Alabama,73.2531150461842,01,055,13.6
Fayette County,Alabama,74.2005416942204,01,057,16.0
Franklin County,Alabama,73.4441492092538,01,059,12.9
Geneva County,Alabama,75.2391510545445,01,061,15.4
Greene County,Alabama,74.6190084135484,01,063,14.7
Hale County,Alabama,74.1705015045921,01,065,13.5
Henry County,Alabama,75.8618642097371,01,067,16.4
Houston County,Alabama,76.6654865118704,01,069,12.8
Jackson County,Alabama,73.8971307190983,01,071,14.7
Jefferson County,Alabama,74.9923234793925,01,073,11.1
Lamar County,Alabama,74.6375257695077,01,075,16.5
Lauderdale County,Alabama,76.3717334494033,01,077,14.9
Lawrence County,Alabama,74.0874083511881,01,079,13.1
Lee County,Alabama,77.5552230695894,01,081,8.1
Limestone County,Alabama,77.5349339425497,01,083,10.9
Lowndes County,Alabama,72.5169545782714,01,085,13.5
Macon County,Alabama,73.472029298343,01,087,12.6
Madison County,Alabama,77.7777375113583,01,089,10.8
Marengo County,Alabama,74.31817729379,01,091,15.1
Marion County,Alabama,74.3185965980805,01,093,16.6
Marshall County,Alabama,74.2594225666453,01,095,12.9
Mobile County,Alabama,74.9254454523935,01,097,11.3
Monroe County,Alabama,75.3055057626381,01,099,13.7
Montgomery County,Alabama,76.0363412800295,01,101,10.2
Morgan County,Alabama,75.7692598409346,01,103,12.6
Perry County,Alabama,72.0683801705565,01,105,14.5
Pickens County,Alabama,74.4214021607815,01,107,15.2
Pike County,Alabama,75.324182967647,01,109,11.6
Randolph County,Alabama,74.4748298659528,01,111,15.4
Russell County,Alabama,74.2849040636452,01,113,10.5
Saint Clair County,Alabama,75.1409064937624,01,115,12.0
Shelby County,Alabama,79.6179282707985,01,117,9.9
Sumter County,Alabama,74.3938821811206,01,119,12.4
Talladega County,Alabama,73.5547810443691,01,121,12.4
Tallapoosa County,Alabama,75.2700066121829,01,123,15.8
Tuscaloosa County,Alabama,75.9567690035619,01,125,9.3
Walker County,Alabama,71.0086526303479,01,127,14.3
Washington County,Alabama,74.7671249776603,01,129,13.5
Wilcox County,Alabama,72.1727031543216,01,131,12.7
Winston County,Alabama,74.1868543786886,01,133,15.9
Anchorage Municipality,Alaska,78.7324733774199,02,020,6.8
Bethel Census Area,Alaska,72.9375771624196,02,050,5.6
Bristol Bay Borough,Alaska,75.4523499871574,02,060,9.3
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,6.2
Haines Borough,Alaska,79.7853560050767,02,100,13.2
Juneau City and Borough,Alaska,79.6549904893737,02,110,7.6
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,11.2
Kodiak Island Borough,Alaska,78.9325295918541,02,150,6.7
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,7.8
Nome Census Area,Alaska,71.2209696012473,02,180,6.2
North Slope Borough,Alaska,75.1130295005676,02,185,3.4
Sitka City and Borough,Alaska,79.6650631553651,02,220,9.9
Southeast Fairbanks Census Area,Alaska,77.5612030905116,02,240,9.6
