County,State,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,01,001,11.6
Baldwin County,Alabama,01,003,16.8
Barbour County,Alabama,01,005,12.4
Bibb County,Alabama,01,007,11.8
Blount County,Alabama,01,009,14.3
Bullock County,Alabama,01,011,11.0
Butler County,Alabama,01,013,15.0
Calhoun County,Alabama,01,015,13.2
Chambers County,Alabama,01,017,15.2
Cherokee County,Alabama,01,019,17.4
Chilton County,Alabama,01,021,13.2
Choctaw County,Alabama,01,023,17.9
Clarke County,Alabama,01,025,15.5
Clay County,Alabama,01,027,16.7
Cleburne County,Alabama,01,029,15.6
Coffee County,Alabama,01,031,13.2
Colbert County,Alabama,01,033,15.7
Conecuh County,Alabama,01,035,17.7
Coosa County,Alabama,01,037,15.2
Covington County,Alabama,01,039,16.7
Crenshaw County,Alabama,01,041,14.2
Cullman County,Alabama,01,043,14.8
Dale County,Alabama,01,045,12.4
Dallas County,Alabama,01,047,13.2
DeKalb County,Alabama,01,049,13.0
Elmore County,Alabama,01,051,11.9
Escambia County,Alabama,01,053,13.2
Etowah County,Alabama,01,055,14.4
Fayette County,Alabama,01,057,16.3
Franklin County,Alabama,01,059,13.8
Geneva County,Alabama,01,061,16.3
Greene County,Alabama,01,063,15.3
Hale County,Alabama,01,065,14.5
Henry County,Alabama,01,067,17.6
Houston County,Alabama,01,069,13.6
Jackson County,Alabama,01,071,15.5
Jefferson County,Alabama,01,073,11.6
Lamar County,Alabama,01,075,16.8
Lauderdale County,Alabama,01,077,15.5
Lawrence County,Alabama,01,079,14.2
Lee County,Alabama,01,081,8.7
Limestone County,Alabama,01,083,11.4
Lowndes County,Alabama,01,085,14.3
Macon County,Alabama,01,087,13.8
Madison County,Alabama,01,089,11.4
Marengo County,Alabama,01,091,15.9
Marion County,Alabama,01,093,17.2
Marshall County,Alabama,01,095,13.6
Mobile County,Alabama,01,097,12.0
Monroe County,Alabama,01,099,15.0
Montgomery County,Alabama,01,101,10.8
Morgan County,Alabama,01,103,13.2
Perry County,Alabama,01,105,18.0
Pickens County,Alabama,01,107,15.6
Pike County,Alabama,01,109,12.0
Randolph County,Alabama,01,111,16.3
Russell County,Alabama,01,113,10.4
Saint Clair County,Alabama,01,115,12.8
Shelby County,Alabama,01,117,10.8
Sumter County,Alabama,01,119,13.1
Talladega County,Alabama,01,121,13.4
Tallapoosa County,Alabama,01,123,16.9
Tuscaloosa County,Alabama,01,125,9.8
Walker County,Alabama,01,127,15.2
Washington County,Alabama,01,129,14.1
Wilcox County,Alabama,01,131,14.3
Winston County,Alabama,01,133,17.1
Anchorage Municipality,Alaska,02,020,7.4
Bethel Census Area,Alaska,02,050,6.0
Bristol Bay Borough,Alaska,02,060,7.7
Fairbanks North Star Borough,Alaska,02,090,6.8
Haines Borough,Alaska,02,100,12.7
Juneau City and Borough,Alaska,02,110,8.5
Kenai Peninsula Borough,Alaska,02,122,12.6
Kodiak Island Borough,Alaska,02,150,6.9
Matanuska-Susitna Borough,Alaska,02,170,8.5
Nome Census Area,Alaska,02,180,6.6
North Slope Borough,Alaska,02,185,4.4
Sitka City and Borough,Alaska,02,220,10.9
Southeast Fairbanks Census Area,Alaska,02,240,10.4
Valdez-Cordova Census Area,Alaska,02,261,8.7
Wade Hampton Census Area,Alaska,02,270,4.5
Northwest Arctic Borough,Alaska,02,188,5.3
Aleutians East Borough,Alaska,02,013,3.9
Aleutians West Census Area,Alaska,02,016,6.3
Dillingham Census Area,Alaska,02,070,7.7
Lake and Peninsula Borough,Alaska,02,164,6.3
Denali Borough,Alaska,02,068,6.4
Yukon-Koyukuk Census Area,Alaska,02,290,12.4
Hoonah-Angoon Census Area,Alaska,02,105,17.4
Skagway Municipality,Alaska,02,230,8.9
Yakutat City and Borough,Alaska,02,282,10.6
Ketchikan Gateway Borough,Alaska,02,130,10.2
Petersburg Borough,Alaska,02,195,10.4
Prince of Wales-Hyder Census Area,Alaska,02,198,11.1
Wrangell City and Borough,Alaska,02,275,25.4
Apache County,Arizona,04,001,11.5
Cochise County,Arizona,04,003,17.2
Coconino County,Arizona,04,005,9.4
Gila County,Arizona,04,007,23.8
Graham County,Arizona,04,009,10.2
Greenlee County,Arizona,04,011,10.4
Maricopa County,Arizona,04,013,11.8
Mohave County,Arizona,04,015,24.6
Navajo County,Arizona,04,017,13.7
Pima County,Arizona,04,019,15.1
Pinal County,Arizona,04,021,14.9
Santa Cruz County,Arizona,04,023,13.8
Yavapai County,Arizona,04,025,25.5
La Paz County,Arizona,04,012,35.3
Yuma County,Arizona,04,027,15.4
Arkansas County,Arkansas,05,001,15.5
Ashley County,Arkansas,05,003,16.0
Baxter County,Arkansas,05,005,28.5
Benton County,Arkansas,05,007,11.3
Boone County,Arkansas,05,009,17.3
Bradley County,Arkansas,05,011,15.4
Calhoun County,Arkansas,05,013,15.8
Carroll County,Arkansas,05,015,18.7
Chicot County,Arkansas,05,017,15.5
Clark County,Arkansas,05,019,13.8
Clay County,Arkansas,05,021,18.1
Cleburne County,Arkansas,05,023,23.5
Cleveland County,Arkansas,05,025,15.6
Columbia County,Arkansas,05,027,14.0
Conway County,Arkansas,05,029,16.1
Craighead County,Arkansas,05,031,10.8
Crawford County,Arkansas,05,033,13.0
Crittenden County,Arkansas,05,035,10.2
Cross County,Arkansas,05,037,14.6
Dallas County,Arkansas,05,039,15.9
Desha County,Arkansas,05,041,14.7
Drew County,Arkansas,05,043,14.1
Faulkner County,Arkansas,05,045,9.4
Franklin County,Arkansas,05,047,15.6
Fulton County,Arkansas,05,049,23.6
Garland County,Arkansas,05,051,19.7
Grant County,Arkansas,05,053,14.0
Greene County,Arkansas,05,055,12.9
Hempstead County,Arkansas,05,057,15.1
Hot Spring County,Arkansas,05,059,15.0
Howard County,Arkansas,05,061,14.1
Independence County,Arkansas,05,063,13.9
Izard County,Arkansas,05,065,21.9
Jackson County,Arkansas,05,067,14.3
Jefferson County,Arkansas,05,069,12.3
Johnson County,Arkansas,05,071,13.8
Lafayette County,Arkansas,05,073,18.9
Lawrence County,Arkansas,05,075,16.7
Lee County,Arkansas,05,077,12.9
Lincoln County,Arkansas,05,079,9.3
Little River County,Arkansas,05,081,16.4
Logan County,Arkansas,05,083,16.9
Lonoke County,Arkansas,05,085,10.5
Madison County,Arkansas,05,087,15.1
Marion County,Arkansas,05,089,25.0
Miller County,Arkansas,05,091,12.6
Mississippi County,Arkansas,05,093,11.1
Monroe County,Arkansas,05,095,17.5
Montgomery County,Arkansas,05,097,22.1
Nevada County,Arkansas,05,099,17.5
Newton County,Arkansas,05,101,20.1
Ouachita County,Arkansas,05,103,15.3
Perry County,Arkansas,05,105,16.5
Phillips County,Arkansas,05,107,13.8
Pike County,Arkansas,05,109,16.2
Poinsett County,Arkansas,05,111,14.8
Polk County,Arkansas,05,113,19.0
Pope County,Arkansas,05,115,12.1
Prairie County,Arkansas,05,117,19.2
Pulaski County,Arkansas,05,119,11.0
Randolph County,Arkansas,05,121,16.9
