County,State,State_FIPS,County_FIPS,professional_degree
Autauga County,Alabama,01,001,499.0
Baldwin County,Alabama,01,003,2912.0
Barbour County,Alabama,01,005,128.0
Bibb County,Alabama,01,007,80.0
Blount County,Alabama,01,009,266.0
Bullock County,Alabama,01,011,69.0
Butler County,Alabama,01,013,121.0
Calhoun County,Alabama,01,015,987.0
Chambers County,Alabama,01,017,209.0
Cherokee County,Alabama,01,019,369.0
Chilton County,Alabama,01,021,237.0
Choctaw County,Alabama,01,023,40.0
Clarke County,Alabama,01,025,118.0
Clay County,Alabama,01,027,71.0
Cleburne County,Alabama,01,029,116.0
Coffee County,Alabama,01,031,252.0
Colbert County,Alabama,01,033,334.0
Conecuh County,Alabama,01,035,19.0
Coosa County,Alabama,01,037,48.0
Covington County,Alabama,01,039,204.0
Crenshaw County,Alabama,01,041,39.0
Cullman County,Alabama,01,043,464.0
Dale County,Alabama,01,045,231.0
Dallas County,Alabama,01,047,175.0
DeKalb County,Alabama,01,049,391.0
Elmore County,Alabama,01,051,610.0
Escambia County,Alabama,01,053,115.0
Etowah County,Alabama,01,055,968.0
Fayette County,Alabama,01,057,38.0
Franklin County,Alabama,01,059,144.0
Geneva County,Alabama,01,061,75.0
Greene County,Alabama,01,063,25.0
Hale County,Alabama,01,065,90.0
Henry County,Alabama,01,067,109.0
Houston County,Alabama,01,069,1120.0
Jackson County,Alabama,01,071,184.0
Jefferson County,Alabama,01,073,13998.0
Lamar County,Alabama,01,075,54.0
Lauderdale County,Alabama,01,077,722.0
Lawrence County,Alabama,01,079,73.0
Lee County,Alabama,01,081,1887.0
Limestone County,Alabama,01,083,638.0
Lowndes County,Alabama,01,085,37.0
Macon County,Alabama,01,087,91.0
Madison County,Alabama,01,089,3767.0
Marengo County,Alabama,01,091,78.0
Marion County,Alabama,01,093,88.0
Marshall County,Alabama,01,095,526.0
Mobile County,Alabama,01,097,3452.0
Monroe County,Alabama,01,099,98.0
Montgomery County,Alabama,01,101,3634.0
Morgan County,Alabama,01,103,980.0
Perry County,Alabama,01,105,25.0
Pickens County,Alabama,01,107,88.0
Pike County,Alabama,01,109,239.0
Randolph County,Alabama,01,111,159.0
Russell County,Alabama,01,113,273.0
Saint Clair County,Alabama,01,115,410.0
Shelby County,Alabama,01,117,3410.0
Sumter County,Alabama,01,119,71.0
Talladega County,Alabama,01,121,469.0
Tallapoosa County,Alabama,01,123,433.0
Tuscaloosa County,Alabama,01,125,2038.0
Walker County,Alabama,01,127,375.0
Washington County,Alabama,01,129,88.0
Wilcox County,Alabama,01,131,43.0
Winston County,Alabama,01,133,169.0
Anchorage Municipality,Alaska,02,020,5893.0
Bethel Census Area,Alaska,02,050,116.0
Bristol Bay Borough,Alaska,02,060,2.0
Fairbanks North Star Borough,Alaska,02,090,1371.0
Haines Borough,Alaska,02,100,84.0
Juneau City and Borough,Alaska,02,110,669.0
Kenai Peninsula Borough,Alaska,02,122,563.0
Kodiak Island Borough,Alaska,02,150,118.0
Matanuska-Susitna Borough,Alaska,02,170,827.0
Nome Census Area,Alaska,02,180,75.0
North Slope Borough,Alaska,02,185,12.0
Sitka City and Borough,Alaska,02,220,160.0
Southeast Fairbanks Census Area,Alaska,02,240,55.0
Valdez-Cordova Census Area,Alaska,02,261,58.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,19.0
Aleutians East Borough,Alaska,02,013,0.0
Aleutians West Census Area,Alaska,02,016,16.0
Dillingham Census Area,Alaska,02,070,108.0
Lake and Peninsula Borough,Alaska,02,164,34.0
Denali Borough,Alaska,02,068,11.0
Yukon-Koyukuk Census Area,Alaska,02,290,4.0
Hoonah-Angoon Census Area,Alaska,02,105,5.0
Skagway Municipality,Alaska,02,230,0.0
Yakutat City and Borough,Alaska,02,282,1.0
Ketchikan Gateway Borough,Alaska,02,130,133.0
Petersburg Borough,Alaska,02,195,9.0
Prince of Wales-Hyder Census Area,Alaska,02,198,21.0
Wrangell City and Borough,Alaska,02,275,9.0
Apache County,Arizona,04,001,220.0
Cochise County,Arizona,04,003,937.0
Coconino County,Arizona,04,005,1969.0
Gila County,Arizona,04,007,394.0
Graham County,Arizona,04,009,181.0
Greenlee County,Arizona,04,011,21.0
Maricopa County,Arizona,04,013,57597.0
Mohave County,Arizona,04,015,1889.0
