County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,37166.0
Baldwin County,Alabama,01,003,146989.0
Barbour County,Alabama,01,005,18173.0
Bibb County,Alabama,01,007,15780.0
Blount County,Alabama,01,009,39627.0
Bullock County,Alabama,01,011,7104.0
Butler County,Alabama,01,013,13888.0
Calhoun County,Alabama,01,015,79135.0
Chambers County,Alabama,01,017,23564.0
Cherokee County,Alabama,01,019,18673.0
Chilton County,Alabama,01,021,29793.0
Choctaw County,Alabama,01,023,9436.0
Clarke County,Alabama,01,025,16870.0
Clay County,Alabama,01,027,9285.0
Cleburne County,Alabama,01,029,10445.0
Coffee County,Alabama,01,031,34912.0
Colbert County,Alabama,01,033,38638.0
Conecuh County,Alabama,01,035,8848.0
Coosa County,Alabama,01,037,8230.0
Covington County,Alabama,01,039,26438.0
Crenshaw County,Alabama,01,041,9675.0
Cullman County,Alabama,01,043,57212.0
Dale County,Alabama,01,045,33382.0
Dallas County,Alabama,01,047,26600.0
DeKalb County,Alabama,01,049,47876.0
Elmore County,Alabama,01,051,55759.0
Escambia County,Alabama,01,053,25965.0
Etowah County,Alabama,01,055,71995.0
Fayette County,Alabama,01,057,11717.0
Franklin County,Alabama,01,059,20812.0
Geneva County,Alabama,01,061,18598.0
Greene County,Alabama,01,063,5833.0
Hale County,Alabama,01,065,10071.0
Henry County,Alabama,01,067,12167.0
Houston County,Alabama,01,069,71698.0
Jackson County,Alabama,01,071,37225.0
Jefferson County,Alabama,01,073,448732.0
Lamar County,Alabama,01,075,9893.0
Lauderdale County,Alabama,01,077,63429.0
Lawrence County,Alabama,01,079,23395.0
Lee County,Alabama,01,081,94988.0
Limestone County,Alabama,01,083,64294.0
Lowndes County,Alabama,01,085,7056.0
Macon County,Alabama,01,087,12135.0
Madison County,Alabama,01,089,243785.0
Marengo County,Alabama,01,091,13523.0
Marion County,Alabama,01,093,21354.0
Marshall County,Alabama,01,095,63644.0
Mobile County,Alabama,01,097,277699.0
Monroe County,Alabama,01,099,14756.0
Montgomery County,Alabama,01,101,150042.0
Morgan County,Alabama,01,103,82261.0
Perry County,Alabama,01,105,5815.0
Pickens County,Alabama,01,107,14565.0
Pike County,Alabama,01,109,19258.0
Randolph County,Alabama,01,111,15738.0
Russell County,Alabama,01,113,38950.0
Saint Clair County,Alabama,01,115,60698.0
Shelby County,Alabama,01,117,143422.0
Sumter County,Alabama,01,119,7858.0
Talladega County,Alabama,01,121,56122.0
Tallapoosa County,Alabama,01,123,28582.0
Tuscaloosa County,Alabama,01,125,127554.0
Walker County,Alabama,01,127,44974.0
Washington County,Alabama,01,129,11469.0
Wilcox County,Alabama,01,131,7204.0
Winston County,Alabama,01,133,17184.0
Anchorage Municipality,Alaska,02,020,191994.0
Bethel Census Area,Alaska,02,050,9677.0
Bristol Bay Borough,Alaska,02,060,645.0
Fairbanks North Star Borough,Alaska,02,090,61838.0
Haines Borough,Alaska,02,100,1872.0
Juneau City and Borough,Alaska,02,110,22479.0
Kenai Peninsula Borough,Alaska,02,122,40277.0
Kodiak Island Borough,Alaska,02,150,8784.0
Matanuska-Susitna Borough,Alaska,02,170,66421.0
Nome Census Area,Alaska,02,180,5475.0
North Slope Borough,Alaska,02,185,6510.0
Sitka City and Borough,Alaska,02,220,6142.0
Southeast Fairbanks Census Area,Alaska,02,240,4455.0
Valdez-Cordova Census Area,Alaska,02,261,6465.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,4186.0
Aleutians East Borough,Alaska,02,013,2637.0
Aleutians West Census Area,Alaska,02,016,4107.0
Dillingham Census Area,Alaska,02,070,2902.0
Lake and Peninsula Borough,Alaska,02,164,850.0
Denali Borough,Alaska,02,068,1601.0
Yukon-Koyukuk Census Area,Alaska,02,290,3461.0
Hoonah-Angoon Census Area,Alaska,02,105,1680.0
Skagway Municipality,Alaska,02,230,809.0
Yakutat City and Borough,Alaska,02,282,451.0
Ketchikan Gateway Borough,Alaska,02,130,9580.0
Petersburg Borough,Alaska,02,195,2135.0
Prince of Wales-Hyder Census Area,Alaska,02,198,4472.0
Wrangell City and Borough,Alaska,02,275,1875.0
Apache County,Arizona,04,001,44426.0
Cochise County,Arizona,04,003,87467.0
Coconino County,Arizona,04,005,82119.0
Gila County,Arizona,04,007,38955.0
Graham County,Arizona,04,009,23531.0
Greenlee County,Arizona,04,011,5955.0
Maricopa County,Arizona,04,013,2811491.0
Mohave County,Arizona,04,015,155888.0
Navajo County,Arizona,04,017,69653.0
Pima County,Arizona,04,019,678427.0
Pinal County,Arizona,04,021,288250.0
Santa Cruz County,Arizona,04,023,29228.0
Yavapai County,Arizona,04,025,171813.0
La Paz County,Arizona,04,012,15910.0
Yuma County,Arizona,04,027,130819.0
Arkansas County,Arkansas,05,001,12478.0
Ashley County,Arkansas,05,003,13932.0
Baxter County,Arkansas,05,005,31646.0
Benton County,Arkansas,05,007,168838.0
Boone County,Arkansas,05,009,25951.0
Bradley County,Arkansas,05,011,7494.0
Calhoun County,Arkansas,05,013,3750.0
Carroll County,Arkansas,05,015,19646.0
Chicot County,Arkansas,05,017,7527.0
Clark County,Arkansas,05,019,13175.0
Clay County,Arkansas,05,021,10582.0
Cleburne County,Arkansas,05,023,18755.0
Cleveland County,Arkansas,05,025,5696.0
Columbia County,Arkansas,05,027,14720.0
Conway County,Arkansas,05,029,14592.0
Craighead County,Arkansas,05,031,67712.0
Crawford County,Arkansas,05,033,41955.0
Crittenden County,Arkansas,05,035,31090.0
Cross County,Arkansas,05,037,11477.0
Dallas County,Arkansas,05,039,5268.0
Desha County,Arkansas,05,041,7920.0
Drew County,Arkansas,05,043,11728.0
Faulkner County,Arkansas,05,045,74787.0
Franklin County,Arkansas,05,047,12074.0
Fulton County,Arkansas,05,049,8829.0
Garland County,Arkansas,05,051,70968.0
Grant County,Arkansas,05,053,12494.0
Greene County,Arkansas,05,055,29705.0
Hempstead County,Arkansas,05,057,14390.0
Hot Spring County,Arkansas,05,059,23974.0
Howard County,Arkansas,05,061,8868.0
Independence County,Arkansas,05,063,25151.0
Izard County,Arkansas,05,065,10126.0
Jackson County,Arkansas,05,067,12323.0
Jefferson County,Arkansas,05,069,47396.0
Johnson County,Arkansas,05,071,17284.0
Lafayette County,Arkansas,05,073,4977.0
Lawrence County,Arkansas,05,075,11276.0
Lee County,Arkansas,05,077,6786.0
Lincoln County,Arkansas,05,079,10199.0
Little River County,Arkansas,05,081,8791.0
Logan County,Arkansas,05,083,15283.0
Lonoke County,Arkansas,05,085,47523.0
Madison County,Arkansas,05,087,11036.0
Marion County,Arkansas,05,089,12458.0
Miller County,Arkansas,05,091,29751.0
Mississippi County,Arkansas,05,093,27522.0
Monroe County,Arkansas,05,095,5109.0
Montgomery County,Arkansas,05,097,6708.0
Nevada County,Arkansas,05,099,5952.0
Newton County,Arkansas,05,101,5727.0
Ouachita County,Arkansas,05,103,16716.0
Perry County,Arkansas,05,105,7224.0
