County,State,State_FIPS,County_FIPS,doctorate_degree
Autauga County,Alabama,01,001,243
Baldwin County,Alabama,01,003,1470
Barbour County,Alabama,01,005,55
Bibb County,Alabama,01,007,110
Blount County,Alabama,01,009,114
Bullock County,Alabama,01,011,28
Butler County,Alabama,01,013,72
Calhoun County,Alabama,01,015,602
Chambers County,Alabama,01,017,110
Cherokee County,Alabama,01,019,130
Chilton County,Alabama,01,021,102
Choctaw County,Alabama,01,023,8
Clarke County,Alabama,01,025,51
Clay County,Alabama,01,027,33
Cleburne County,Alabama,01,029,69
Coffee County,Alabama,01,031,224
Colbert County,Alabama,01,033,296
Conecuh County,Alabama,01,035,17
Coosa County,Alabama,01,037,25
Covington County,Alabama,01,039,126
Crenshaw County,Alabama,01,041,36
Cullman County,Alabama,01,043,268
Dale County,Alabama,01,045,71
Dallas County,Alabama,01,047,131
DeKalb County,Alabama,01,049,90
Elmore County,Alabama,01,051,214
Escambia County,Alabama,01,053,54
Etowah County,Alabama,01,055,236
Fayette County,Alabama,01,057,28
Franklin County,Alabama,01,059,19
Geneva County,Alabama,01,061,3
Greene County,Alabama,01,063,0
Hale County,Alabama,01,065,11
Henry County,Alabama,01,067,40
Houston County,Alabama,01,069,503
Jackson County,Alabama,01,071,107
Jefferson County,Alabama,01,073,6272
Lamar County,Alabama,01,075,22
Lauderdale County,Alabama,01,077,754
Lawrence County,Alabama,01,079,59
Lee County,Alabama,01,081,2909
Limestone County,Alabama,01,083,299
Lowndes County,Alabama,01,085,5
Macon County,Alabama,01,087,200
Madison County,Alabama,01,089,3829
Marengo County,Alabama,01,091,99
Marion County,Alabama,01,093,33
Marshall County,Alabama,01,095,211
Mobile County,Alabama,01,097,2393
Monroe County,Alabama,01,099,98
Montgomery County,Alabama,01,101,1992
Morgan County,Alabama,01,103,498
Perry County,Alabama,01,105,26
Pickens County,Alabama,01,107,97
Pike County,Alabama,01,109,356
Randolph County,Alabama,01,111,20
Russell County,Alabama,01,113,88
Saint Clair County,Alabama,01,115,395
Shelby County,Alabama,01,117,1818
Sumter County,Alabama,01,119,67
Talladega County,Alabama,01,121,211
Tallapoosa County,Alabama,01,123,192
Tuscaloosa County,Alabama,01,125,1885
Walker County,Alabama,01,127,122
Washington County,Alabama,01,129,9
Wilcox County,Alabama,01,131,10
Winston County,Alabama,01,133,136
Anchorage Municipality,Alaska,02,020,2312
Bethel Census Area,Alaska,02,050,49
Bristol Bay Borough,Alaska,02,060,0
Fairbanks North Star Borough,Alaska,02,090,1356
Haines Borough,Alaska,02,100,19
Juneau City and Borough,Alaska,02,110,202
Kenai Peninsula Borough,Alaska,02,122,271
Kodiak Island Borough,Alaska,02,150,34
Matanuska-Susitna Borough,Alaska,02,170,439
Nome Census Area,Alaska,02,180,19
North Slope Borough,Alaska,02,185,38
Sitka City and Borough,Alaska,02,220,103
Southeast Fairbanks Census Area,Alaska,02,240,19
Valdez-Cordova Census Area,Alaska,02,261,54
Wade Hampton Census Area,Alaska,02,270,0
Northwest Arctic Borough,Alaska,02,188,22
Aleutians East Borough,Alaska,02,013,5
Aleutians West Census Area,Alaska,02,016,4
Dillingham Census Area,Alaska,02,070,3
Lake and Peninsula Borough,Alaska,02,164,2
Denali Borough,Alaska,02,068,6
Yukon-Koyukuk Census Area,Alaska,02,290,2
Hoonah-Angoon Census Area,Alaska,02,105,0
Skagway Municipality,Alaska,02,230,4
Yakutat City and Borough,Alaska,02,282,2
Ketchikan Gateway Borough,Alaska,02,130,60
Petersburg Borough,Alaska,02,195,25
Prince of Wales-Hyder Census Area,Alaska,02,198,16
Wrangell City and Borough,Alaska,02,275,2
Apache County,Arizona,04,001,130
Cochise County,Arizona,04,003,703
Coconino County,Arizona,04,005,2167
Gila County,Arizona,04,007,421
Graham County,Arizona,04,009,106
Greenlee County,Arizona,04,011,5
Maricopa County,Arizona,04,013,27350
Mohave County,Arizona,04,015,874
Navajo County,Arizona,04,017,377
Pima County,Arizona,04,019,11826
Pinal County,Arizona,04,021,1654
Santa Cruz County,Arizona,04,023,299
Yavapai County,Arizona,04,025,1698
La Paz County,Arizona,04,012,41
Yuma County,Arizona,04,027,552
Arkansas County,Arkansas,05,001,65
Ashley County,Arkansas,05,003,58
Baxter County,Arkansas,05,005,104
Benton County,Arkansas,05,007,1239
Boone County,Arkansas,05,009,139
Bradley County,Arkansas,05,011,27
Calhoun County,Arkansas,05,013,11
Carroll County,Arkansas,05,015,114
Chicot County,Arkansas,05,017,54
Clark County,Arkansas,05,019,213
Clay County,Arkansas,05,021,21
Cleburne County,Arkansas,05,023,183
Cleveland County,Arkansas,05,025,12
Columbia County,Arkansas,05,027,122
Conway County,Arkansas,05,029,37
Craighead County,Arkansas,05,031,918
Crawford County,Arkansas,05,033,188
Crittenden County,Arkansas,05,035,82
Cross County,Arkansas,05,037,53
Dallas County,Arkansas,05,039,0
Desha County,Arkansas,05,041,34
Drew County,Arkansas,05,043,153
Faulkner County,Arkansas,05,045,1097
Franklin County,Arkansas,05,047,15
Fulton County,Arkansas,05,049,9
Garland County,Arkansas,05,051,558
Grant County,Arkansas,05,053,57
Greene County,Arkansas,05,055,133
Hempstead County,Arkansas,05,057,28
Hot Spring County,Arkansas,05,059,53
Howard County,Arkansas,05,061,17
