County,State,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,01,001,33.5
Baldwin County,Alabama,01,003,28.8
Barbour County,Alabama,01,005,34.5
Bibb County,Alabama,01,007,42.1
Blount County,Alabama,01,009,33.4
Bullock County,Alabama,01,011,33.3
Butler County,Alabama,01,013,37.7
Calhoun County,Alabama,01,015,31.8
Chambers County,Alabama,01,017,38.4
Cherokee County,Alabama,01,019,36.4
Chilton County,Alabama,01,021,39.2
Choctaw County,Alabama,01,023,36.8
Clarke County,Alabama,01,025,43.9
Clay County,Alabama,01,027,36.3
Cleburne County,Alabama,01,029,38.3
Coffee County,Alabama,01,031,29.5
Colbert County,Alabama,01,033,34.5
Conecuh County,Alabama,01,035,44.5
Coosa County,Alabama,01,037,37.6
Covington County,Alabama,01,039,33.6
Crenshaw County,Alabama,01,041,38.0
Cullman County,Alabama,01,043,34.7
Dale County,Alabama,01,045,32.2
Dallas County,Alabama,01,047,34.6
DeKalb County,Alabama,01,049,35.2
Elmore County,Alabama,01,051,35.4
Escambia County,Alabama,01,053,42.1
Etowah County,Alabama,01,055,31.9
Fayette County,Alabama,01,057,38.8
Franklin County,Alabama,01,059,37.5
Geneva County,Alabama,01,061,37.1
Greene County,Alabama,01,063,38.9
Hale County,Alabama,01,065,42.9
Henry County,Alabama,01,067,35.5
Houston County,Alabama,01,069,33.1
Jackson County,Alabama,01,071,39.8
Jefferson County,Alabama,01,073,26.5
Lamar County,Alabama,01,075,37.1
Lauderdale County,Alabama,01,077,34.1
Lawrence County,Alabama,01,079,40.6
Lee County,Alabama,01,081,25.5
Limestone County,Alabama,01,083,32.1
Lowndes County,Alabama,01,085,35.3
Macon County,Alabama,01,087,30.9
Madison County,Alabama,01,089,21.3
Marengo County,Alabama,01,091,42.0
Marion County,Alabama,01,093,34.5
Marshall County,Alabama,01,095,31.9
Mobile County,Alabama,01,097,32.8
Monroe County,Alabama,01,099,44.7
Montgomery County,Alabama,01,101,26.0
Morgan County,Alabama,01,103,31.0
Perry County,Alabama,01,105,38.6
Pickens County,Alabama,01,107,42.2
Pike County,Alabama,01,109,33.9
Randolph County,Alabama,01,111,35.6
Russell County,Alabama,01,113,31.4
Saint Clair County,Alabama,01,115,35.5
Shelby County,Alabama,01,117,21.4
Sumter County,Alabama,01,119,40.5
Talladega County,Alabama,01,121,36.3
Tallapoosa County,Alabama,01,123,34.4
Tuscaloosa County,Alabama,01,125,30.5
Walker County,Alabama,01,127,36.5
Washington County,Alabama,01,129,46.1
Wilcox County,Alabama,01,131,41.3
Winston County,Alabama,01,133,33.7
Anchorage Municipality,Alaska,02,020,24.1
Bethel Census Area,Alaska,02,050,43.6
Bristol Bay Borough,Alaska,02,060,30.7
Fairbanks North Star Borough,Alaska,02,090,23.4
Haines Borough,Alaska,02,100,27.7
Juneau City and Borough,Alaska,02,110,21.1
Kenai Peninsula Borough,Alaska,02,122,33.1
Kodiak Island Borough,Alaska,02,150,27.3
Matanuska-Susitna Borough,Alaska,02,170,31.6
Nome Census Area,Alaska,02,180,41.3
North Slope Borough,Alaska,02,185,36.8
Sitka City and Borough,Alaska,02,220,22.1
Southeast Fairbanks Census Area,Alaska,02,240,33.2
Valdez-Cordova Census Area,Alaska,02,261,27.2
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,43.6
Aleutians East Borough,Alaska,02,013,39.4
Aleutians West Census Area,Alaska,02,016,37.0
Dillingham Census Area,Alaska,02,070,38.1
Lake and Peninsula Borough,Alaska,02,164,42.9
Denali Borough,Alaska,02,068,23.9
Yukon-Koyukuk Census Area,Alaska,02,290,40.1
Hoonah-Angoon Census Area,Alaska,02,105,31.3
Skagway Municipality,Alaska,02,230,29.0
Yakutat City and Borough,Alaska,02,282,44.7
Ketchikan Gateway Borough,Alaska,02,130,32.8
Petersburg Borough,Alaska,02,195,31.2
Prince of Wales-Hyder Census Area,Alaska,02,198,40.9
Wrangell City and Borough,Alaska,02,275,35.6
Apache County,Arizona,04,001,33.4
Cochise County,Arizona,04,003,23.4
Coconino County,Arizona,04,005,21.3
Gila County,Arizona,04,007,30.0
Graham County,Arizona,04,009,32.9
Greenlee County,Arizona,04,011,37.5
Maricopa County,Arizona,04,013,23.0
Mohave County,Arizona,04,015,35.7
Navajo County,Arizona,04,017,29.5
Pima County,Arizona,04,019,22.8
Pinal County,Arizona,04,021,30.1
Santa Cruz County,Arizona,04,023,25.3
Yavapai County,Arizona,04,025,25.6
La Paz County,Arizona,04,012,36.6
Yuma County,Arizona,04,027,25.0
Arkansas County,Arkansas,05,001,42.5
Ashley County,Arkansas,05,003,41.4
Baxter County,Arkansas,05,005,35.6
Benton County,Arkansas,05,007,30.8
Boone County,Arkansas,05,009,35.9
Bradley County,Arkansas,05,011,42.1
Calhoun County,Arkansas,05,013,49.3
Carroll County,Arkansas,05,015,35.0
