County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2686
Baldwin County,Alabama,01,003,8398
Barbour County,Alabama,01,005,1040
Bibb County,Alabama,01,007,564
Blount County,Alabama,01,009,2814
Bullock County,Alabama,01,011,98
Butler County,Alabama,01,013,666
Calhoun County,Alabama,01,015,5462
Chambers County,Alabama,01,017,1602
Cherokee County,Alabama,01,019,1419
Chilton County,Alabama,01,021,1390
Choctaw County,Alabama,01,023,555
Clarke County,Alabama,01,025,892
Clay County,Alabama,01,027,578
Cleburne County,Alabama,01,029,749
Coffee County,Alabama,01,031,2259
Colbert County,Alabama,01,033,2889
Conecuh County,Alabama,01,035,398
Coosa County,Alabama,01,037,459
Covington County,Alabama,01,039,1698
Crenshaw County,Alabama,01,041,544
Cullman County,Alabama,01,043,3709
Dale County,Alabama,01,045,2563
Dallas County,Alabama,01,047,1731
DeKalb County,Alabama,01,049,2475
Elmore County,Alabama,01,051,3305
Escambia County,Alabama,01,053,1471
Etowah County,Alabama,01,055,5273
Fayette County,Alabama,01,057,736
Franklin County,Alabama,01,059,1188
Geneva County,Alabama,01,061,1582
Greene County,Alabama,01,063,308
Hale County,Alabama,01,065,472
Henry County,Alabama,01,067,664
Houston County,Alabama,01,069,4647
Jackson County,Alabama,01,071,2186
Jefferson County,Alabama,01,073,22913
Lamar County,Alabama,01,075,797
Lauderdale County,Alabama,01,077,3997
Lawrence County,Alabama,01,079,1314
Lee County,Alabama,01,081,4866
Limestone County,Alabama,01,083,4022
Lowndes County,Alabama,01,085,336
Macon County,Alabama,01,087,578
Madison County,Alabama,01,089,12418
Marengo County,Alabama,01,091,717
Marion County,Alabama,01,093,1674
Marshall County,Alabama,01,095,3741
Mobile County,Alabama,01,097,15452
Monroe County,Alabama,01,099,718
Montgomery County,Alabama,01,101,7708
Morgan County,Alabama,01,103,5956
Perry County,Alabama,01,105,159
Pickens County,Alabama,01,107,966
Pike County,Alabama,01,109,1015
Randolph County,Alabama,01,111,1057
Russell County,Alabama,01,113,2648
Saint Clair County,Alabama,01,115,4390
Shelby County,Alabama,01,117,7299
Sumter County,Alabama,01,119,257
Talladega County,Alabama,01,121,3500
Tallapoosa County,Alabama,01,123,1789
Tuscaloosa County,Alabama,01,125,5938
Walker County,Alabama,01,127,3592
Washington County,Alabama,01,129,585
Wilcox County,Alabama,01,131,433
Winston County,Alabama,01,133,1108
Anchorage Municipality,Alaska,02,020,13368
Bethel Census Area,Alaska,02,050,812
Bristol Bay Borough,Alaska,02,060,47
Fairbanks North Star Borough,Alaska,02,090,3935
Haines Borough,Alaska,02,100,146
Juneau City and Borough,Alaska,02,110,1873
Kenai Peninsula Borough,Alaska,02,122,2709
Kodiak Island Borough,Alaska,02,150,920
Matanuska-Susitna Borough,Alaska,02,170,5078
Nome Census Area,Alaska,02,180,490
North Slope Borough,Alaska,02,185,470
Sitka City and Borough,Alaska,02,220,535
Southeast Fairbanks Census Area,Alaska,02,240,275
Valdez-Cordova Census Area,Alaska,02,261,698
Wade Hampton Census Area,Alaska,02,270,290
Northwest Arctic Borough,Alaska,02,188,326
Aleutians East Borough,Alaska,02,013,53
Aleutians West Census Area,Alaska,02,016,194
Dillingham Census Area,Alaska,02,070,314
Lake and Peninsula Borough,Alaska,02,164,56
Denali Borough,Alaska,02,068,68
Yukon-Koyukuk Census Area,Alaska,02,290,343
Hoonah-Angoon Census Area,Alaska,02,105,91
Skagway Municipality,Alaska,02,230,53
Yakutat City and Borough,Alaska,02,282,23
Ketchikan Gateway Borough,Alaska,02,130,728
Petersburg Borough,Alaska,02,195,208
Prince of Wales-Hyder Census Area,Alaska,02,198,198
Wrangell City and Borough,Alaska,02,275,96
Apache County,Arizona,04,001,1879
Cochise County,Arizona,04,003,7167
Coconino County,Arizona,04,005,5169
Gila County,Arizona,04,007,3873
Graham County,Arizona,04,009,2136
Greenlee County,Arizona,04,011,417
Maricopa County,Arizona,04,013,180729
Mohave County,Arizona,04,015,14596
Navajo County,Arizona,04,017,4926
Pima County,Arizona,04,019,47032
Pinal County,Arizona,04,021,22943
Santa Cruz County,Arizona,04,023,1372
Yavapai County,Arizona,04,025,14699
La Paz County,Arizona,04,012,1198
Yuma County,Arizona,04,027,10138
Arkansas County,Arkansas,05,001,886
Ashley County,Arkansas,05,003,1076
Baxter County,Arkansas,05,005,2916
Benton County,Arkansas,05,007,8816
Boone County,Arkansas,05,009,2209
Bradley County,Arkansas,05,011,476
Calhoun County,Arkansas,05,013,168
Carroll County,Arkansas,05,015,1685
Chicot County,Arkansas,05,017,393
Clark County,Arkansas,05,019,768
Clay County,Arkansas,05,021,816
Cleburne County,Arkansas,05,023,1593
Cleveland County,Arkansas,05,025,264
Columbia County,Arkansas,05,027,934
Conway County,Arkansas,05,029,1159
Craighead County,Arkansas,05,031,3928
Crawford County,Arkansas,05,033,3151
Crittenden County,Arkansas,05,035,1873
Cross County,Arkansas,05,037,605
Dallas County,Arkansas,05,039,291
Desha County,Arkansas,05,041,506
Drew County,Arkansas,05,043,714
Faulkner County,Arkansas,05,045,4148
Franklin County,Arkansas,05,047,1041
Fulton County,Arkansas,05,049,986
Garland County,Arkansas,05,051,5458
Grant County,Arkansas,05,053,849
Greene County,Arkansas,05,055,2014
Hempstead County,Arkansas,05,057,846
Hot Spring County,Arkansas,05,059,1581
Howard County,Arkansas,05,061,645
Independence County,Arkansas,05,063,1632
Izard County,Arkansas,05,065,789
