County,State,State_FIPS,County_FIPS,professional_degree
White County,Arkansas,05,145,507.0
Woodruff County,Arkansas,05,147,14.0
Yell County,Arkansas,05,149,53.0
Alameda County,California,06,001,29431.0
Alpine County,California,06,003,11.0
Amador County,California,06,005,534.0
Butte County,California,06,007,2738.0
Calaveras County,California,06,009,353.0
Colusa County,California,06,011,150.0
Contra Costa County,California,06,013,21514.0
Del Norte County,California,06,015,174.0
El Dorado County,California,06,017,2953.0
Fresno County,California,06,019,8743.0
Glenn County,California,06,021,246.0
Humboldt County,California,06,023,1629.0
Imperial County,California,06,025,718.0
Inyo County,California,06,027,190.0
Kern County,California,06,029,5099.0
Kings County,California,06,031,1000.0
Lake County,California,06,033,420.0
Lassen County,California,06,035,318.0
Los Angeles County,California,06,037,153552.0
Madera County,California,06,039,895.0
Marin County,California,06,041,11635.0
Mariposa County,California,06,043,228.0
Mendocino County,California,06,045,1152.0
Merced County,California,06,047,1706.0
Modoc County,California,06,049,95.0
Mono County,California,06,051,309.0
Monterey County,California,06,053,4471.0
Napa County,California,06,055,2502.0
Nevada County,California,06,057,2063.0
Orange County,California,06,059,57096.0
Placer County,California,06,061,6064.0
Plumas County,California,06,063,290.0
Riverside County,California,06,065,19204.0
Sacramento County,California,06,067,20863.0
San Benito County,California,06,069,481.0
San Bernardino County,California,06,071,14483.0
San Diego County,California,06,073,53877.0
San Francisco County,California,06,075,31068.0
San Joaquin County,California,06,077,5186.0
San Luis Obispo County,California,06,079,4299.0
San Mateo County,California,06,081,19275.0
Santa Barbara County,California,06,083,6943.0
Santa Clara County,California,06,085,33585.0
Santa Cruz County,California,06,087,4353.0
Shasta County,California,06,089,1844.0
Sierra County,California,06,091,12.0
Siskiyou County,California,06,093,410.0
Solano County,California,06,095,4821.0
Sonoma County,California,06,097,9416.0
Stanislaus County,California,06,099,4635.0
Sutter County,California,06,101,788.0
Tehama County,California,06,103,520.0
Trinity County,California,06,105,63.0
Tulare County,California,06,107,2887.0
Tuolumne County,California,06,109,576.0
Ventura County,California,06,111,12323.0
Yolo County,California,06,113,4518.0
Yuba County,California,06,115,384.0
Alamosa County,Colorado,08,003,140.0
Archuleta County,Colorado,08,007,152.0
Baca County,Colorado,08,009,31.0
Bent County,Colorado,08,011,15.0
Chaffee County,Colorado,08,015,397.0
Cheyenne County,Colorado,08,017,0.0
Clear Creek County,Colorado,08,019,83.0
Conejos County,Colorado,08,021,22.0
Costilla County,Colorado,08,023,14.0
Crowley County,Colorado,08,025,20.0
Custer County,Colorado,08,027,52.0
Delta County,Colorado,08,029,216.0
Dolores County,Colorado,08,033,4.0
Douglas County,Colorado,08,035,4716.0
Eagle County,Colorado,08,037,932.0
Elbert County,Colorado,08,039,210.0
El Paso County,Colorado,08,041,6888.0
Fremont County,Colorado,08,043,278.0
Garfield County,Colorado,08,045,621.0
Gilpin County,Colorado,08,047,48.0
Grand County,Colorado,08,049,234.0
Gunnison County,Colorado,08,051,102.0
Huerfano County,Colorado,08,055,111.0
Jackson County,Colorado,08,057,11.0
Kiowa County,Colorado,08,061,6.0
Kit Carson County,Colorado,08,063,84.0
Lake County,Colorado,08,065,27.0
La Plata County,Colorado,08,067,1100.0
Larimer County,Colorado,08,069,4619.0
Las Animas County,Colorado,08,071,142.0
Lincoln County,Colorado,08,073,20.0
Logan County,Colorado,08,075,142.0
Mesa County,Colorado,08,077,1140.0
Moffat County,Colorado,08,081,21.0
Montezuma County,Colorado,08,083,264.0
Montrose County,Colorado,08,085,336.0
Morgan County,Colorado,08,087,188.0
Otero County,Colorado,08,089,83.0
Ouray County,Colorado,08,091,129.0
Park County,Colorado,08,093,63.0
Phillips County,Colorado,08,095,37.0
Pitkin County,Colorado,08,097,502.0
Prowers County,Colorado,08,099,56.0
Pueblo County,Colorado,08,101,1047.0
Rio Blanco County,Colorado,08,103,7.0
Rio Grande County,Colorado,08,105,79.0
Routt County,Colorado,08,107,623.0
Saguache County,Colorado,08,109,19.0
San Miguel County,Colorado,08,113,165.0
Sedgwick County,Colorado,08,115,4.0
Summit County,Colorado,08,117,301.0
Teller County,Colorado,08,119,279.0
Washington County,Colorado,08,121,12.0
Yuma County,Colorado,08,125,26.0
Adams County,Colorado,08,001,2557.0
Arapahoe County,Colorado,08,005,9435.0
Boulder County,Colorado,08,013,6617.0
Broomfield County,Colorado,08,014,775.0
Denver County,Colorado,08,031,16869.0
Jefferson County,Colorado,08,059,8529.0
Weld County,Colorado,08,123,1675.0
Fairfield County,Connecticut,09,001,23755.0
Hartford County,Connecticut,09,003,18555.0
Litchfield County,Connecticut,09,005,3064.0
Middlesex County,Connecticut,09,007,2824.0
New Haven County,Connecticut,09,009,16453.0
New London County,Connecticut,09,011,3940.0
Tolland County,Connecticut,09,013,1894.0
Windham County,Connecticut,09,015,1003.0
Kent County,Delaware,10,001,1222.0
New Castle County,Delaware,10,003,7810.0
Sussex County,Delaware,10,005,2114.0
Alachua County,Florida,12,001,6299.0
Baker County,Florida,12,003,74.0
Bay County,Florida,12,005,1417.0
Bradford County,Florida,12,007,134.0
Brevard County,Florida,12,009,5684.0
Broward County,Florida,12,011,29639.0
Calhoun County,Florida,12,013,7.0
Charlotte County,Florida,12,015,2149.0
Citrus County,Florida,12,017,1595.0
Clay County,Florida,12,019,1163.0
Collier County,Florida,12,021,8254.0
Columbia County,Florida,12,023,443.0
Miami-Dade County,Florida,12,086,48208.0
DeSoto County,Florida,12,027,147.0
Dixie County,Florida,12,029,20.0
Duval County,Florida,12,031,9597.0
Escambia County,Florida,12,033,2924.0
Flagler County,Florida,12,035,910.0
Franklin County,Florida,12,037,101.0
Gadsden County,Florida,12,039,149.0
Gilchrist County,Florida,12,041,52.0
Glades County,Florida,12,043,48.0
Gulf County,Florida,12,045,86.0
Hamilton County,Florida,12,047,95.0
Hardee County,Florida,12,049,84.0
Hendry County,Florida,12,051,71.0
Hernando County,Florida,12,053,924.0
Highlands County,Florida,12,055,676.0
Hillsborough County,Florida,12,057,17299.0
Holmes County,Florida,12,059,113.0
Indian River County,Florida,12,061,2098.0
Jackson County,Florida,12,063,325.0
Jefferson County,Florida,12,065,61.0
Lafayette County,Florida,12,067,14.0
Lake County,Florida,12,069,2589.0
Lee County,Florida,12,071,8811.0
Leon County,Florida,12,073,5522.0
Levy County,Florida,12,075,136.0
Liberty County,Florida,12,077,28.0
Madison County,Florida,12,079,22.0
Manatee County,Florida,12,081,4687.0
Marion County,Florida,12,083,3104.0
Martin County,Florida,12,085,3334.0
Monroe County,Florida,12,087,1643.0
Nassau County,Florida,12,089,776.0
Okaloosa County,Florida,12,091,1830.0
Okeechobee County,Florida,12,093,245.0
Orange County,Florida,12,095,14451.0
Osceola County,Florida,12,097,1413.0
Palm Beach County,Florida,12,099,28959.0
Pasco County,Florida,12,101,3136.0
Pinellas County,Florida,12,103,14475.0
Polk County,Florida,12,105,3195.0
Putnam County,Florida,12,107,360.0
Saint Johns County,Florida,12,109,3568.0
Saint Lucie County,Florida,12,111,1931.0
Santa Rosa County,Florida,12,113,1055.0
Sarasota County,Florida,12,115,8102.0
Seminole County,Florida,12,117,6181.0
Sumter County,Florida,12,119,1112.0
Suwannee County,Florida,12,121,124.0
Taylor County,Florida,12,123,60.0
Union County,Florida,12,125,46.0
Volusia County,Florida,12,127,5099.0
Wakulla County,Florida,12,129,90.0
Walton County,Florida,12,131,637.0
Washington County,Florida,12,133,82.0
Appling County,Georgia,13,001,143.0
Atkinson County,Georgia,13,003,25.0
Bacon County,Georgia,13,005,67.0
Baker County,Georgia,13,007,17.0
Baldwin County,Georgia,13,009,341.0
Banks County,Georgia,13,011,130.0
Barrow County,Georgia,13,013,430.0
Bartow County,Georgia,13,015,877.0
Ben Hill County,Georgia,13,017,61.0
Berrien County,Georgia,13,019,85.0
Bibb County,Georgia,13,021,2078.0
Bleckley County,Georgia,13,023,64.0
Brantley County,Georgia,13,025,64.0
Brooks County,Georgia,13,027,52.0
Bryan County,Georgia,13,029,329.0
Bulloch County,Georgia,13,031,652.0
Burke County,Georgia,13,033,125.0
Butts County,Georgia,13,035,155.0
Calhoun County,Georgia,13,037,5.0
Camden County,Georgia,13,039,339.0
Candler County,Georgia,13,043,86.0
Carroll County,Georgia,13,045,900.0
Catoosa County,Georgia,13,047,548.0
Charlton County,Georgia,13,049,41.0
Chatham County,Georgia,13,051,3663.0
Chattahoochee County,Georgia,13,053,113.0
Chattooga County,Georgia,13,055,95.0
Cherokee County,Georgia,13,057,2595.0
Clarke County,Georgia,13,059,1854.0
Clay County,Georgia,13,061,10.0
Clayton County,Georgia,13,063,1430.0
Clinch County,Georgia,13,065,59.0
Cobb County,Georgia,13,067,11195.0
Coffee County,Georgia,13,069,214.0
Colquitt County,Georgia,13,071,224.0
Columbia County,Georgia,13,073,2355.0
Cook County,Georgia,13,075,179.0
Coweta County,Georgia,13,077,1103.0
Crawford County,Georgia,13,079,37.0
Crisp County,Georgia,13,081,213.0
Dade County,Georgia,13,083,50.0
Dawson County,Georgia,13,085,205.0
Decatur County,Georgia,13,087,155.0
DeKalb County,Georgia,13,089,15082.0
Dodge County,Georgia,13,091,144.0
Dooly County,Georgia,13,093,67.0
Dougherty County,Georgia,13,095,1037.0
Douglas County,Georgia,13,097,1111.0
Early County,Georgia,13,099,72.0
Echols County,Georgia,13,101,9.0
Effingham County,Georgia,13,103,289.0
Elbert County,Georgia,13,105,188.0
Emanuel County,Georgia,13,107,136.0
Evans County,Georgia,13,109,31.0
Fannin County,Georgia,13,111,199.0
Fayette County,Georgia,13,113,2025.0
Floyd County,Georgia,13,115,1411.0
Forsyth County,Georgia,13,117,2219.0
Franklin County,Georgia,13,119,153.0
Fulton County,Georgia,13,121,23792.0
Gilmer County,Georgia,13,123,213.0
Glascock County,Georgia,13,125,11.0
Glynn County,Georgia,13,127,1282.0
Gordon County,Georgia,13,129,416.0
Grady County,Georgia,13,131,111.0
Greene County,Georgia,13,133,313.0
Gwinnett County,Georgia,13,135,8405.0
Habersham County,Georgia,13,137,398.0
Hall County,Georgia,13,139,2409.0
Hancock County,Georgia,13,141,98.0
Haralson County,Georgia,13,143,294.0
Harris County,Georgia,13,145,711.0
Hart County,Georgia,13,147,212.0
Heard County,Georgia,13,149,49.0
Henry County,Georgia,13,151,1831.0
Houston County,Georgia,13,153,1067.0
Irwin County,Georgia,13,155,90.0
Jackson County,Georgia,13,157,547.0
Jasper County,Georgia,13,159,81.0
Jeff Davis County,Georgia,13,161,146.0
Jefferson County,Georgia,13,163,34.0
Jenkins County,Georgia,13,165,25.0
Johnson County,Georgia,13,167,0.0
Jones County,Georgia,13,169,196.0
Lamar County,Georgia,13,171,88.0
Lanier County,Georgia,13,173,130.0
Laurens County,Georgia,13,175,497.0
Lee County,Georgia,13,177,336.0
Liberty County,Georgia,13,179,286.0
Lincoln County,Georgia,13,181,50.0
Long County,Georgia,13,183,36.0
Lowndes County,Georgia,13,185,976.0
Lumpkin County,Georgia,13,187,425.0
McDuffie County,Georgia,13,189,185.0
McIntosh County,Georgia,13,191,82.0
Macon County,Georgia,13,193,54.0
Madison County,Georgia,13,195,201.0
Marion County,Georgia,13,197,107.0
Meriwether County,Georgia,13,199,146.0
Miller County,Georgia,13,201,64.0
Mitchell County,Georgia,13,205,27.0
Monroe County,Georgia,13,207,269.0
Montgomery County,Georgia,13,209,112.0
Morgan County,Georgia,13,211,132.0
Murray County,Georgia,13,213,290.0
Muscogee County,Georgia,13,215,2293.0
Newton County,Georgia,13,217,740.0
Oconee County,Georgia,13,219,967.0
Oglethorpe County,Georgia,13,221,99.0
Paulding County,Georgia,13,223,1391.0
Peach County,Georgia,13,225,150.0
Pickens County,Georgia,13,227,315.0
Pierce County,Georgia,13,229,159.0
Pike County,Georgia,13,231,189.0
Polk County,Georgia,13,233,347.0
Pulaski County,Georgia,13,235,89.0
Putnam County,Georgia,13,237,125.0
Quitman County,Georgia,13,239,0.0
Rabun County,Georgia,13,241,241.0
Randolph County,Georgia,13,243,28.0
Richmond County,Georgia,13,245,2186.0
Rockdale County,Georgia,13,247,849.0
Schley County,Georgia,13,249,20.0
Screven County,Georgia,13,251,102.0
Seminole County,Georgia,13,253,53.0
Spalding County,Georgia,13,255,590.0
Stephens County,Georgia,13,257,303.0
Stewart County,Georgia,13,259,43.0
Sumter County,Georgia,13,261,491.0
Talbot County,Georgia,13,263,42.0
Taliaferro County,Georgia,13,265,0.0
Tattnall County,Georgia,13,267,94.0
Taylor County,Georgia,13,269,39.0
Telfair County,Georgia,13,271,89.0
Terrell County,Georgia,13,273,79.0
Thomas County,Georgia,13,275,587.0
Tift County,Georgia,13,277,443.0
Toombs County,Georgia,13,279,282.0
Towns County,Georgia,13,281,167.0
Treutlen County,Georgia,13,283,22.0
Troup County,Georgia,13,285,701.0
Turner County,Georgia,13,287,134.0
Twiggs County,Georgia,13,289,26.0
Union County,Georgia,13,291,172.0
Upson County,Georgia,13,293,129.0
Walker County,Georgia,13,295,476.0
Walton County,Georgia,13,297,621.0
Ware County,Georgia,13,299,309.0
Warren County,Georgia,13,301,11.0
Washington County,Georgia,13,303,66.0
Wayne County,Georgia,13,305,215.0
Webster County,Georgia,13,307,12.0
Wheeler County,Georgia,13,309,15.0
White County,Georgia,13,311,289.0
Whitfield County,Georgia,13,313,1000.0
Wilcox County,Georgia,13,315,16.0
Wilkes County,Georgia,13,317,194.0
Wilkinson County,Georgia,13,319,39.0
Worth County,Georgia,13,321,27.0
Hawaii County,Hawaii,15,001,2040.0
Honolulu County,Hawaii,15,003,15622.0
Kauai County,Hawaii,15,007,983.0
Kalawao County,Hawaii,15,005,0.0
Maui County,Hawaii,15,009,2088.0
Ada County,Idaho,16,001,6526.0
Adams County,Idaho,16,003,32.0
Bannock County,Idaho,16,005,937.0
Bear Lake County,Idaho,16,007,8.0
Benewah County,Idaho,16,009,60.0
Bingham County,Idaho,16,011,261.0
Blaine County,Idaho,16,013,268.0
Boise County,Idaho,16,015,88.0
Bonner County,Idaho,16,017,454.0
Bonneville County,Idaho,16,019,743.0
Boundary County,Idaho,16,021,93.0
Butte County,Idaho,16,023,0.0
Camas County,Idaho,16,025,12.0
Canyon County,Idaho,16,027,573.0
Caribou County,Idaho,16,029,45.0
Cassia County,Idaho,16,031,145.0
Clearwater County,Idaho,16,035,91.0
Custer County,Idaho,16,037,69.0
Elmore County,Idaho,16,039,109.0
Franklin County,Idaho,16,041,34.0
Fremont County,Idaho,16,043,49.0
Gem County,Idaho,16,045,123.0
Gooding County,Idaho,16,047,63.0
Idaho County,Idaho,16,049,53.0
Jefferson County,Idaho,16,051,123.0
Jerome County,Idaho,16,053,98.0
Kootenai County,Idaho,16,055,1559.0
Latah County,Idaho,16,057,479.0
Lemhi County,Idaho,16,059,81.0
Lewis County,Idaho,16,061,7.0
Lincoln County,Idaho,16,063,8.0
Madison County,Idaho,16,065,223.0
Minidoka County,Idaho,16,067,141.0
Nez Perce County,Idaho,16,069,334.0
Oneida County,Idaho,16,071,13.0
Owyhee County,Idaho,16,073,8.0
Payette County,Idaho,16,075,75.0
Power County,Idaho,16,077,28.0
Shoshone County,Idaho,16,079,67.0
Teton County,Idaho,16,081,61.0
Twin Falls County,Idaho,16,083,622.0
Valley County,Idaho,16,085,9.0
Washington County,Idaho,16,087,24.0
Adams County,Illinois,17,001,322.0
Alexander County,Illinois,17,003,3.0
Bond County,Illinois,17,005,138.0
Boone County,Illinois,17,007,445.0
Brown County,Illinois,17,009,11.0
Bureau County,Illinois,17,011,302.0
Calhoun County,Illinois,17,013,25.0
Carroll County,Illinois,17,015,70.0
Cass County,Illinois,17,017,97.0
Champaign County,Illinois,17,019,2847.0
Christian County,Illinois,17,021,120.0
Clark County,Illinois,17,023,62.0
Clay County,Illinois,17,025,57.0
Clinton County,Illinois,17,027,85.0
Coles County,Illinois,17,029,288.0
Cook County,Illinois,17,031,98753.0
Crawford County,Illinois,17,033,157.0
Cumberland County,Illinois,17,035,23.0
DeKalb County,Illinois,17,037,625.0
De Witt County,Illinois,17,039,119.0
Douglas County,Illinois,17,041,58.0
DuPage County,Illinois,17,043,19423.0
Edgar County,Illinois,17,045,54.0
Edwards County,Illinois,17,047,34.0
Effingham County,Illinois,17,049,244.0
Fayette County,Illinois,17,051,128.0
Ford County,Illinois,17,053,33.0
Franklin County,Illinois,17,055,126.0
Fulton County,Illinois,17,057,144.0
Gallatin County,Illinois,17,059,5.0
Greene County,Illinois,17,061,32.0
Grundy County,Illinois,17,063,191.0
Hamilton County,Illinois,17,065,54.0
Hancock County,Illinois,17,067,89.0
Hardin County,Illinois,17,069,43.0
Henderson County,Illinois,17,071,28.0
Henry County,Illinois,17,073,359.0
Iroquois County,Illinois,17,075,134.0
Jackson County,Illinois,17,077,707.0
Jasper County,Illinois,17,079,39.0
Jefferson County,Illinois,17,081,296.0
Jersey County,Illinois,17,083,82.0
Jo Daviess County,Illinois,17,085,124.0
Johnson County,Illinois,17,087,60.0
Kane County,Illinois,17,089,4997.0
Kankakee County,Illinois,17,091,538.0
Kendall County,Illinois,17,093,924.0
Knox County,Illinois,17,095,293.0
Lake County,Illinois,17,097,14607.0
LaSalle County,Illinois,17,099,695.0
Lawrence County,Illinois,17,101,52.0
Lee County,Illinois,17,103,228.0
Livingston County,Illinois,17,105,235.0
Logan County,Illinois,17,107,141.0
McDonough County,Illinois,17,109,235.0
McHenry County,Illinois,17,111,2692.0
McLean County,Illinois,17,113,1670.0
Macon County,Illinois,17,115,856.0
Macoupin County,Illinois,17,117,261.0
Madison County,Illinois,17,119,2020.0
Marion County,Illinois,17,121,154.0
Marshall County,Illinois,17,123,79.0
Mason County,Illinois,17,125,74.0
Massac County,Illinois,17,127,91.0
Menard County,Illinois,17,129,66.0
Mercer County,Illinois,17,131,99.0
Monroe County,Illinois,17,133,259.0
Montgomery County,Illinois,17,135,120.0
Morgan County,Illinois,17,137,319.0
Moultrie County,Illinois,17,139,59.0
Ogle County,Illinois,17,141,421.0
Peoria County,Illinois,17,143,2281.0
Perry County,Illinois,17,145,59.0
Piatt County,Illinois,17,147,146.0
Pike County,Illinois,17,149,52.0
Pope County,Illinois,17,151,21.0
Pulaski County,Illinois,17,153,0.0
Putnam County,Illinois,17,155,30.0
Randolph County,Illinois,17,157,140.0
Richland County,Illinois,17,159,78.0
Rock Island County,Illinois,17,161,1069.0
Saint Clair County,Illinois,17,163,2015.0
Saline County,Illinois,17,165,98.0
Sangamon County,Illinois,17,167,3395.0
Schuyler County,Illinois,17,169,39.0
Scott County,Illinois,17,171,19.0
Shelby County,Illinois,17,173,74.0
Stark County,Illinois,17,175,43.0
Stephenson County,Illinois,17,177,313.0
Tazewell County,Illinois,17,179,1001.0
Union County,Illinois,17,181,164.0
Vermilion County,Illinois,17,183,272.0
Wabash County,Illinois,17,185,38.0
Warren County,Illinois,17,187,89.0
Washington County,Illinois,17,189,100.0
Wayne County,Illinois,17,191,91.0
White County,Illinois,17,193,41.0
Whiteside County,Illinois,17,195,375.0
Will County,Illinois,17,197,6845.0
Williamson County,Illinois,17,199,646.0
Winnebago County,Illinois,17,201,2876.0
Woodford County,Illinois,17,203,138.0
Adams County,Indiana,18,001,176.0
Allen County,Indiana,18,003,3736.0
Bartholomew County,Indiana,18,005,577.0
Benton County,Indiana,18,007,53.0
Blackford County,Indiana,18,009,49.0
Boone County,Indiana,18,011,1816.0
Brown County,Indiana,18,013,217.0
Carroll County,Indiana,18,015,155.0
Cass County,Indiana,18,017,156.0
Clark County,Indiana,18,019,715.0
Clay County,Indiana,18,021,119.0
Clinton County,Indiana,18,023,138.0
Crawford County,Indiana,18,025,41.0
Daviess County,Indiana,18,027,122.0
Dearborn County,Indiana,18,029,310.0
Decatur County,Indiana,18,031,168.0
DeKalb County,Indiana,18,033,200.0
Delaware County,Indiana,18,035,692.0
Dubois County,Indiana,18,037,228.0
Elkhart County,Indiana,18,039,936.0
Fayette County,Indiana,18,041,104.0
Floyd County,Indiana,18,043,470.0
Fountain County,Indiana,18,045,67.0
Franklin County,Indiana,18,047,66.0
Fulton County,Indiana,18,049,44.0
Gibson County,Indiana,18,051,116.0
Grant County,Indiana,18,053,363.0
Greene County,Indiana,18,055,123.0
Hamilton County,Indiana,18,057,7305.0
Hancock County,Indiana,18,059,741.0
Harrison County,Indiana,18,061,144.0
