County,State,State_FIPS,County_FIPS,professional_degree
Autauga County,Alabama,01,001,480.0
Baldwin County,Alabama,01,003,2967.0
Barbour County,Alabama,01,005,124.0
Bibb County,Alabama,01,007,56.0
Blount County,Alabama,01,009,239.0
Bullock County,Alabama,01,011,90.0
Butler County,Alabama,01,013,136.0
Calhoun County,Alabama,01,015,860.0
Chambers County,Alabama,01,017,203.0
Cherokee County,Alabama,01,019,279.0
Chilton County,Alabama,01,021,236.0
Choctaw County,Alabama,01,023,81.0
Clarke County,Alabama,01,025,110.0
Clay County,Alabama,01,027,64.0
Cleburne County,Alabama,01,029,138.0
Coffee County,Alabama,01,031,436.0
Colbert County,Alabama,01,033,353.0
Conecuh County,Alabama,01,035,39.0
Coosa County,Alabama,01,037,7.0
Covington County,Alabama,01,039,272.0
Crenshaw County,Alabama,01,041,21.0
Cullman County,Alabama,01,043,641.0
Dale County,Alabama,01,045,292.0
Dallas County,Alabama,01,047,277.0
DeKalb County,Alabama,01,049,371.0
Elmore County,Alabama,01,051,571.0
Escambia County,Alabama,01,053,259.0
Etowah County,Alabama,01,055,805.0
Fayette County,Alabama,01,057,19.0
Franklin County,Alabama,01,059,131.0
Geneva County,Alabama,01,061,46.0
Greene County,Alabama,01,063,30.0
Hale County,Alabama,01,065,121.0
Henry County,Alabama,01,067,120.0
Houston County,Alabama,01,069,951.0
Jackson County,Alabama,01,071,183.0
Jefferson County,Alabama,01,073,13929.0
Lamar County,Alabama,01,075,64.0
Lauderdale County,Alabama,01,077,725.0
Lawrence County,Alabama,01,079,73.0
Lee County,Alabama,01,081,1497.0
Limestone County,Alabama,01,083,477.0
Lowndes County,Alabama,01,085,20.0
Macon County,Alabama,01,087,175.0
Madison County,Alabama,01,089,3884.0
Marengo County,Alabama,01,091,90.0
Marion County,Alabama,01,093,123.0
Marshall County,Alabama,01,095,546.0
Mobile County,Alabama,01,097,3390.0
Monroe County,Alabama,01,099,57.0
Montgomery County,Alabama,01,101,3287.0
Morgan County,Alabama,01,103,853.0
Perry County,Alabama,01,105,13.0
Pickens County,Alabama,01,107,60.0
Pike County,Alabama,01,109,123.0
Randolph County,Alabama,01,111,60.0
Russell County,Alabama,01,113,336.0
Saint Clair County,Alabama,01,115,471.0
Shelby County,Alabama,01,117,3520.0
Sumter County,Alabama,01,119,61.0
Talladega County,Alabama,01,121,408.0
Tallapoosa County,Alabama,01,123,326.0
Tuscaloosa County,Alabama,01,125,1937.0
Walker County,Alabama,01,127,480.0
Washington County,Alabama,01,129,77.0
Wilcox County,Alabama,01,131,81.0
Winston County,Alabama,01,133,132.0
Anchorage Municipality,Alaska,02,020,4873.0
Bethel Census Area,Alaska,02,050,81.0
Bristol Bay Borough,Alaska,02,060,0.0
Fairbanks North Star Borough,Alaska,02,090,1074.0
Haines Borough,Alaska,02,100,66.0
Juneau City and Borough,Alaska,02,110,577.0
Kenai Peninsula Borough,Alaska,02,122,483.0
Kodiak Island Borough,Alaska,02,150,58.0
Matanuska-Susitna Borough,Alaska,02,170,711.0
Nome Census Area,Alaska,02,180,20.0
North Slope Borough,Alaska,02,185,21.0
Sitka City and Borough,Alaska,02,220,154.0
Southeast Fairbanks Census Area,Alaska,02,240,36.0
Valdez-Cordova Census Area,Alaska,02,261,29.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,14.0
Aleutians East Borough,Alaska,02,013,0.0
Aleutians West Census Area,Alaska,02,016,10.0
Dillingham Census Area,Alaska,02,070,33.0
Lake and Peninsula Borough,Alaska,02,164,0.0
Denali Borough,Alaska,02,068,18.0
Yukon-Koyukuk Census Area,Alaska,02,290,3.0
Hoonah-Angoon Census Area,Alaska,02,105,28.0
Skagway Municipality,Alaska,02,230,0.0
Yakutat City and Borough,Alaska,02,282,2.0
Ketchikan Gateway Borough,Alaska,02,130,179.0
Petersburg Borough,Alaska,02,195,10.0
Prince of Wales-Hyder Census Area,Alaska,02,198,35.0
Wrangell City and Borough,Alaska,02,275,6.0
Apache County,Arizona,04,001,145.0
Cochise County,Arizona,04,003,853.0
Coconino County,Arizona,04,005,1640.0
Gila County,Arizona,04,007,331.0
Graham County,Arizona,04,009,171.0
Greenlee County,Arizona,04,011,5.0
Maricopa County,Arizona,04,013,52167.0
Mohave County,Arizona,04,015,1006.0
Navajo County,Arizona,04,017,502.0
Pima County,Arizona,04,019,14222.0
Pinal County,Arizona,04,021,1809.0
Santa Cruz County,Arizona,04,023,513.0
Yavapai County,Arizona,04,025,2566.0
La Paz County,Arizona,04,012,37.0
Yuma County,Arizona,04,027,1020.0
Arkansas County,Arkansas,05,001,22.0
Ashley County,Arkansas,05,003,70.0
Baxter County,Arkansas,05,005,321.0
Benton County,Arkansas,05,007,2548.0
Boone County,Arkansas,05,009,122.0
Bradley County,Arkansas,05,011,38.0
Calhoun County,Arkansas,05,013,10.0
Carroll County,Arkansas,05,015,119.0
Chicot County,Arkansas,05,017,58.0
Clark County,Arkansas,05,019,96.0
Clay County,Arkansas,05,021,67.0
Cleburne County,Arkansas,05,023,242.0
Cleveland County,Arkansas,05,025,52.0
Columbia County,Arkansas,05,027,49.0
Conway County,Arkansas,05,029,76.0
