County,State,State_FIPS,County_FIPS,doctorate_degree
Autauga County,Alabama,01,001,171.0
Baldwin County,Alabama,01,003,1257.0
Barbour County,Alabama,01,005,64.0
Bibb County,Alabama,01,007,77.0
Blount County,Alabama,01,009,149.0
Bullock County,Alabama,01,011,34.0
Butler County,Alabama,01,013,106.0
Calhoun County,Alabama,01,015,559.0
Chambers County,Alabama,01,017,92.0
Cherokee County,Alabama,01,019,98.0
Chilton County,Alabama,01,021,113.0
Choctaw County,Alabama,01,023,12.0
Clarke County,Alabama,01,025,54.0
Clay County,Alabama,01,027,32.0
Cleburne County,Alabama,01,029,38.0
Coffee County,Alabama,01,031,243.0
Colbert County,Alabama,01,033,353.0
Conecuh County,Alabama,01,035,10.0
Coosa County,Alabama,01,037,26.0
Covington County,Alabama,01,039,102.0
Crenshaw County,Alabama,01,041,29.0
Cullman County,Alabama,01,043,231.0
Dale County,Alabama,01,045,87.0
Dallas County,Alabama,01,047,101.0
DeKalb County,Alabama,01,049,158.0
Elmore County,Alabama,01,051,288.0
Escambia County,Alabama,01,053,60.0
Etowah County,Alabama,01,055,311.0
Fayette County,Alabama,01,057,63.0
Franklin County,Alabama,01,059,47.0
Geneva County,Alabama,01,061,5.0
Greene County,Alabama,01,063,3.0
Hale County,Alabama,01,065,26.0
Henry County,Alabama,01,067,17.0
Houston County,Alabama,01,069,500.0
Jackson County,Alabama,01,071,136.0
Jefferson County,Alabama,01,073,6785.0
Lamar County,Alabama,01,075,20.0
Lauderdale County,Alabama,01,077,836.0
Lawrence County,Alabama,01,079,29.0
Lee County,Alabama,01,081,2900.0
Limestone County,Alabama,01,083,375.0
Lowndes County,Alabama,01,085,3.0
Macon County,Alabama,01,087,201.0
Madison County,Alabama,01,089,3607.0
Marengo County,Alabama,01,091,59.0
Marion County,Alabama,01,093,36.0
Marshall County,Alabama,01,095,245.0
Mobile County,Alabama,01,097,2584.0
Monroe County,Alabama,01,099,133.0
Montgomery County,Alabama,01,101,2037.0
Morgan County,Alabama,01,103,514.0
Perry County,Alabama,01,105,35.0
Pickens County,Alabama,01,107,90.0
Pike County,Alabama,01,109,379.0
Randolph County,Alabama,01,111,24.0
Russell County,Alabama,01,113,151.0
Saint Clair County,Alabama,01,115,408.0
Shelby County,Alabama,01,117,1825.0
Sumter County,Alabama,01,119,58.0
Talladega County,Alabama,01,121,216.0
Tallapoosa County,Alabama,01,123,147.0
Tuscaloosa County,Alabama,01,125,2204.0
Walker County,Alabama,01,127,143.0
Washington County,Alabama,01,129,2.0
Wilcox County,Alabama,01,131,29.0
Winston County,Alabama,01,133,88.0
Anchorage Municipality,Alaska,02,020,2437.0
Bethel Census Area,Alaska,02,050,57.0
Bristol Bay Borough,Alaska,02,060,0.0
Fairbanks North Star Borough,Alaska,02,090,1314.0
Haines Borough,Alaska,02,100,19.0
Juneau City and Borough,Alaska,02,110,216.0
Kenai Peninsula Borough,Alaska,02,122,241.0
Kodiak Island Borough,Alaska,02,150,39.0
Matanuska-Susitna Borough,Alaska,02,170,470.0
Nome Census Area,Alaska,02,180,20.0
North Slope Borough,Alaska,02,185,18.0
Sitka City and Borough,Alaska,02,220,74.0
Southeast Fairbanks Census Area,Alaska,02,240,16.0
Valdez-Cordova Census Area,Alaska,02,261,35.0
Wade Hampton Census Area,Alaska,02,270,0.0
Northwest Arctic Borough,Alaska,02,188,22.0
Aleutians East Borough,Alaska,02,013,6.0
Aleutians West Census Area,Alaska,02,016,3.0
Dillingham Census Area,Alaska,02,070,4.0
Lake and Peninsula Borough,Alaska,02,164,2.0
Denali Borough,Alaska,02,068,14.0
Yukon-Koyukuk Census Area,Alaska,02,290,4.0
Hoonah-Angoon Census Area,Alaska,02,105,6.0
Skagway Municipality,Alaska,02,230,5.0
Yakutat City and Borough,Alaska,02,282,2.0
Ketchikan Gateway Borough,Alaska,02,130,64.0
Petersburg Borough,Alaska,02,195,7.0
Prince of Wales-Hyder Census Area,Alaska,02,198,29.0
Wrangell City and Borough,Alaska,02,275,2.0
Apache County,Arizona,04,001,88.0
Cochise County,Arizona,04,003,678.0
Coconino County,Arizona,04,005,2078.0
Gila County,Arizona,04,007,416.0
Graham County,Arizona,04,009,95.0
Greenlee County,Arizona,04,011,3.0
Maricopa County,Arizona,04,013,28091.0
Mohave County,Arizona,04,015,728.0
Navajo County,Arizona,04,017,271.0
Pima County,Arizona,04,019,12382.0
Pinal County,Arizona,04,021,1752.0
Santa Cruz County,Arizona,04,023,309.0
Yavapai County,Arizona,04,025,1796.0
La Paz County,Arizona,04,012,109.0
Yuma County,Arizona,04,027,456.0
Arkansas County,Arkansas,05,001,59.0
Ashley County,Arkansas,05,003,67.0
Baxter County,Arkansas,05,005,68.0
Benton County,Arkansas,05,007,1343.0
Boone County,Arkansas,05,009,158.0
Bradley County,Arkansas,05,011,32.0
Calhoun County,Arkansas,05,013,11.0
Carroll County,Arkansas,05,015,77.0
Chicot County,Arkansas,05,017,24.0
Clark County,Arkansas,05,019,187.0
Clay County,Arkansas,05,021,26.0
Cleburne County,Arkansas,05,023,192.0
Cleveland County,Arkansas,05,025,9.0
Columbia County,Arkansas,05,027,105.0
Conway County,Arkansas,05,029,56.0
Craighead County,Arkansas,05,031,911.0
Crawford County,Arkansas,05,033,151.0
Crittenden County,Arkansas,05,035,77.0
Cross County,Arkansas,05,037,48.0
Dallas County,Arkansas,05,039,0.0
Desha County,Arkansas,05,041,36.0
Drew County,Arkansas,05,043,191.0
Faulkner County,Arkansas,05,045,1183.0
Franklin County,Arkansas,05,047,46.0
Fulton County,Arkansas,05,049,7.0
Garland County,Arkansas,05,051,587.0
Grant County,Arkansas,05,053,52.0
Greene County,Arkansas,05,055,156.0
Hempstead County,Arkansas,05,057,49.0
Hot Spring County,Arkansas,05,059,70.0
Howard County,Arkansas,05,061,21.0
Independence County,Arkansas,05,063,168.0
Izard County,Arkansas,05,065,34.0
Jackson County,Arkansas,05,067,12.0
Jefferson County,Arkansas,05,069,292.0
Johnson County,Arkansas,05,071,81.0
Lafayette County,Arkansas,05,073,0.0
Lawrence County,Arkansas,05,075,38.0
Lee County,Arkansas,05,077,12.0
Lincoln County,Arkansas,05,079,9.0
Little River County,Arkansas,05,081,13.0
Logan County,Arkansas,05,083,37.0
Lonoke County,Arkansas,05,085,176.0
Madison County,Arkansas,05,087,32.0
Marion County,Arkansas,05,089,59.0
Miller County,Arkansas,05,091,106.0
Mississippi County,Arkansas,05,093,165.0
Monroe County,Arkansas,05,095,2.0
Montgomery County,Arkansas,05,097,46.0
Nevada County,Arkansas,05,099,23.0
Newton County,Arkansas,05,101,18.0
Ouachita County,Arkansas,05,103,63.0
Perry County,Arkansas,05,105,6.0
Phillips County,Arkansas,05,107,55.0
Pike County,Arkansas,05,109,13.0
Poinsett County,Arkansas,05,111,20.0
Polk County,Arkansas,05,113,42.0
Pope County,Arkansas,05,115,415.0
Prairie County,Arkansas,05,117,18.0
Pulaski County,Arkansas,05,119,3930.0
Randolph County,Arkansas,05,121,79.0
Saint Francis County,Arkansas,05,123,87.0
Saline County,Arkansas,05,125,704.0
Scott County,Arkansas,05,127,44.0
Searcy County,Arkansas,05,129,9.0
Sebastian County,Arkansas,05,131,598.0
Sevier County,Arkansas,05,133,17.0
Sharp County,Arkansas,05,135,70.0
Stone County,Arkansas,05,137,0.0
Union County,Arkansas,05,139,107.0
Van Buren County,Arkansas,05,141,23.0
Washington County,Arkansas,05,143,2333.0
White County,Arkansas,05,145,671.0
Woodruff County,Arkansas,05,147,6.0
Yell County,Arkansas,05,149,31.0
Alameda County,California,06,001,29385.0
Alpine County,California,06,003,46.0
Amador County,California,06,005,181.0
Butte County,California,06,007,1532.0
Calaveras County,California,06,009,176.0
Colusa County,California,06,011,30.0
Contra Costa County,California,06,013,13504.0
Del Norte County,California,06,015,265.0
El Dorado County,California,06,017,1649.0
Fresno County,California,06,019,4395.0
Glenn County,California,06,021,77.0
Humboldt County,California,06,023,1411.0
Imperial County,California,06,025,132.0
Inyo County,California,06,027,115.0
Kern County,California,06,029,2765.0
Kings County,California,06,031,114.0
Lake County,California,06,033,344.0
Lassen County,California,06,035,113.0
Los Angeles County,California,06,037,83602.0
Madera County,California,06,039,457.0
Marin County,California,06,041,5917.0
Mariposa County,California,06,043,126.0
Mendocino County,California,06,045,463.0
Merced County,California,06,047,885.0
Modoc County,California,06,049,59.0
Mono County,California,06,051,0.0
Monterey County,California,06,053,3441.0
Napa County,California,06,055,1152.0
Nevada County,California,06,057,877.0
Orange County,California,06,059,30554.0
Placer County,California,06,061,3073.0
Plumas County,California,06,063,173.0
Riverside County,California,06,065,11808.0
Sacramento County,California,06,067,10029.0
San Benito County,California,06,069,169.0
San Bernardino County,California,06,071,9367.0
San Diego County,California,06,073,42120.0
San Francisco County,California,06,075,15524.0
San Joaquin County,California,06,077,3305.0
San Luis Obispo County,California,06,079,3299.0
San Mateo County,California,06,081,15044.0
Santa Barbara County,California,06,083,5951.0
Santa Clara County,California,06,085,41452.0
Santa Cruz County,California,06,087,3716.0
Shasta County,California,06,089,1004.0
Sierra County,California,06,091,0.0
Siskiyou County,California,06,093,220.0
Solano County,California,06,095,2536.0
Sonoma County,California,06,097,4201.0
Stanislaus County,California,06,099,1368.0
Sutter County,California,06,101,318.0
Tehama County,California,06,103,159.0
Trinity County,California,06,105,45.0
Tulare County,California,06,107,868.0
Tuolumne County,California,06,109,305.0
Ventura County,California,06,111,7646.0
Yolo County,California,06,113,6049.0
Yuba County,California,06,115,136.0
Alamosa County,Colorado,08,003,128.0
Archuleta County,Colorado,08,007,182.0
Baca County,Colorado,08,009,3.0
Bent County,Colorado,08,011,5.0
Chaffee County,Colorado,08,015,171.0
Cheyenne County,Colorado,08,017,4.0
Clear Creek County,Colorado,08,019,235.0
Conejos County,Colorado,08,021,26.0
Costilla County,Colorado,08,023,13.0
Crowley County,Colorado,08,025,7.0
Custer County,Colorado,08,027,33.0
Delta County,Colorado,08,029,73.0
Dolores County,Colorado,08,033,2.0
Douglas County,Colorado,08,035,3258.0
Eagle County,Colorado,08,037,244.0
Elbert County,Colorado,08,039,136.0
El Paso County,Colorado,08,041,5453.0
Fremont County,Colorado,08,043,175.0
Garfield County,Colorado,08,045,177.0
Gilpin County,Colorado,08,047,87.0
Grand County,Colorado,08,049,52.0
Gunnison County,Colorado,08,051,216.0
Huerfano County,Colorado,08,055,64.0
Jackson County,Colorado,08,057,8.0
Kiowa County,Colorado,08,061,6.0
Kit Carson County,Colorado,08,063,0.0
Lake County,Colorado,08,065,60.0
La Plata County,Colorado,08,067,812.0
Larimer County,Colorado,08,069,6015.0
Las Animas County,Colorado,08,071,32.0
Lincoln County,Colorado,08,073,3.0
Logan County,Colorado,08,075,176.0
Mesa County,Colorado,08,077,1192.0
Moffat County,Colorado,08,081,47.0
Montezuma County,Colorado,08,083,173.0
Montrose County,Colorado,08,085,283.0
Morgan County,Colorado,08,087,54.0
Otero County,Colorado,08,089,31.0
Ouray County,Colorado,08,091,125.0
Park County,Colorado,08,093,156.0
Phillips County,Colorado,08,095,23.0
Pitkin County,Colorado,08,097,172.0
Prowers County,Colorado,08,099,41.0
Pueblo County,Colorado,08,101,871.0
Rio Blanco County,Colorado,08,103,54.0
Rio Grande County,Colorado,08,105,57.0
Routt County,Colorado,08,107,220.0
Saguache County,Colorado,08,109,58.0
San Miguel County,Colorado,08,113,24.0
Sedgwick County,Colorado,08,115,11.0
Summit County,Colorado,08,117,555.0
Teller County,Colorado,08,119,277.0
Washington County,Colorado,08,121,4.0
Yuma County,Colorado,08,125,0.0
Adams County,Colorado,08,001,1479.0
Arapahoe County,Colorado,08,005,4914.0
Boulder County,Colorado,08,013,10678.0
Broomfield County,Colorado,08,014,800.0
Denver County,Colorado,08,031,8024.0
Jefferson County,Colorado,08,059,5903.0
Weld County,Colorado,08,123,1589.0
Fairfield County,Connecticut,09,001,9529.0
Hartford County,Connecticut,09,003,8256.0
Litchfield County,Connecticut,09,005,1318.0
Middlesex County,Connecticut,09,007,2007.0
New Haven County,Connecticut,09,009,12604.0
New London County,Connecticut,09,011,2874.0
Tolland County,Connecticut,09,013,2400.0
Windham County,Connecticut,09,015,999.0
Kent County,Delaware,10,001,1087.0
New Castle County,Delaware,10,003,7483.0
Sussex County,Delaware,10,005,1668.0
Alachua County,Florida,12,001,7444.0
Baker County,Florida,12,003,108.0
Bay County,Florida,12,005,798.0
Bradford County,Florida,12,007,58.0
Brevard County,Florida,12,009,4357.0
Broward County,Florida,12,011,14190.0
Calhoun County,Florida,12,013,3.0
Charlotte County,Florida,12,015,777.0
Citrus County,Florida,12,017,554.0
Clay County,Florida,12,019,780.0
Collier County,Florida,12,021,3635.0
Columbia County,Florida,12,023,185.0
Miami-Dade County,Florida,12,086,20832.0
DeSoto County,Florida,12,027,65.0
Dixie County,Florida,12,029,3.0
Duval County,Florida,12,031,4787.0
Escambia County,Florida,12,033,1683.0
Flagler County,Florida,12,035,676.0
Franklin County,Florida,12,037,48.0
Gadsden County,Florida,12,039,310.0
Gilchrist County,Florida,12,041,12.0
Glades County,Florida,12,043,22.0
Gulf County,Florida,12,045,58.0
Hamilton County,Florida,12,047,7.0
Hardee County,Florida,12,049,49.0
Hendry County,Florida,12,051,53.0
Hernando County,Florida,12,053,625.0
Highlands County,Florida,12,055,617.0
Hillsborough County,Florida,12,057,9734.0
Holmes County,Florida,12,059,28.0
Indian River County,Florida,12,061,1094.0
Jackson County,Florida,12,063,190.0
Jefferson County,Florida,12,065,107.0
Lafayette County,Florida,12,067,15.0
Lake County,Florida,12,069,1262.0
Lee County,Florida,12,071,5364.0
Leon County,Florida,12,073,5238.0
Levy County,Florida,12,075,124.0
Liberty County,Florida,12,077,32.0
Madison County,Florida,12,079,70.0
Manatee County,Florida,12,081,2700.0
Marion County,Florida,12,083,1648.0
Martin County,Florida,12,085,1438.0
Monroe County,Florida,12,087,898.0
Nassau County,Florida,12,089,410.0
Okaloosa County,Florida,12,091,1424.0
Okeechobee County,Florida,12,093,98.0
Orange County,Florida,12,095,7479.0
Osceola County,Florida,12,097,1226.0
Palm Beach County,Florida,12,099,13108.0
Pasco County,Florida,12,101,1946.0
Pinellas County,Florida,12,103,7675.0
Polk County,Florida,12,105,3021.0
Putnam County,Florida,12,107,289.0
Saint Johns County,Florida,12,109,2597.0
Saint Lucie County,Florida,12,111,1229.0
Santa Rosa County,Florida,12,113,1112.0
Sarasota County,Florida,12,115,4217.0
Seminole County,Florida,12,117,3224.0
Sumter County,Florida,12,119,1077.0
Suwannee County,Florida,12,121,86.0
Taylor County,Florida,12,123,0.0
Union County,Florida,12,125,20.0
Volusia County,Florida,12,127,3569.0
Wakulla County,Florida,12,129,96.0
Walton County,Florida,12,131,344.0
Washington County,Florida,12,133,73.0
Appling County,Georgia,13,001,96.0
Atkinson County,Georgia,13,003,12.0
Bacon County,Georgia,13,005,19.0
Baker County,Georgia,13,007,0.0
Baldwin County,Georgia,13,009,394.0
Banks County,Georgia,13,011,33.0
Barrow County,Georgia,13,013,218.0
Bartow County,Georgia,13,015,292.0
Ben Hill County,Georgia,13,017,16.0
Berrien County,Georgia,13,019,40.0
Bibb County,Georgia,13,021,1118.0
Bleckley County,Georgia,13,023,133.0
Brantley County,Georgia,13,025,22.0
Brooks County,Georgia,13,027,28.0
Bryan County,Georgia,13,029,266.0
Bulloch County,Georgia,13,031,1011.0
Burke County,Georgia,13,033,48.0
Butts County,Georgia,13,035,45.0
Calhoun County,Georgia,13,037,17.0
Camden County,Georgia,13,039,252.0
Candler County,Georgia,13,043,41.0
Carroll County,Georgia,13,045,652.0
Catoosa County,Georgia,13,047,227.0
Charlton County,Georgia,13,049,40.0
Chatham County,Georgia,13,051,2864.0
Chattahoochee County,Georgia,13,053,29.0
Chattooga County,Georgia,13,055,21.0
Cherokee County,Georgia,13,057,1296.0
Clarke County,Georgia,13,059,3290.0
Clay County,Georgia,13,061,0.0
Clayton County,Georgia,13,063,987.0
Clinch County,Georgia,13,065,13.0
Cobb County,Georgia,13,067,6805.0
Coffee County,Georgia,13,069,64.0
Colquitt County,Georgia,13,071,84.0
Columbia County,Georgia,13,073,1538.0
Cook County,Georgia,13,075,48.0
Coweta County,Georgia,13,077,696.0
Crawford County,Georgia,13,079,6.0
Crisp County,Georgia,13,081,73.0
Dade County,Georgia,13,083,101.0
Dawson County,Georgia,13,085,23.0
Decatur County,Georgia,13,087,149.0
DeKalb County,Georgia,13,089,11574.0
Dodge County,Georgia,13,091,114.0
Dooly County,Georgia,13,093,7.0
Dougherty County,Georgia,13,095,669.0
Douglas County,Georgia,13,097,717.0
Early County,Georgia,13,099,28.0
Echols County,Georgia,13,101,0.0
Effingham County,Georgia,13,103,94.0
Elbert County,Georgia,13,105,23.0
Emanuel County,Georgia,13,107,74.0
Evans County,Georgia,13,109,131.0
Fannin County,Georgia,13,111,109.0
Fayette County,Georgia,13,113,1137.0
Floyd County,Georgia,13,115,567.0
Forsyth County,Georgia,13,117,1414.0
Franklin County,Georgia,13,119,43.0
