County,State,mean_life_expectancy,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,76.0037780188588,01,001,3.8
Baldwin County,Alabama,77.883491815899,01,003,3.2
Barbour County,Alabama,75.0673228497808,01,005,9.2
Bibb County,Alabama,73.9292406132677,01,007,6.9
Blount County,Alabama,75.4045795365122,01,009,7.0
Bullock County,Alabama,73.9942587358532,01,011,11.9
Butler County,Alabama,73.8747097831596,01,013,7.6
Calhoun County,Alabama,73.4914898222883,01,015,5.8
Chambers County,Alabama,74.3558450542163,01,017,6.2
Cherokee County,Alabama,74.3869269438084,01,019,7.7
Chilton County,Alabama,74.1846042084152,01,021,8.1
Choctaw County,Alabama,74.4079125158607,01,023,8.1
Clarke County,Alabama,75.0600852353112,01,025,4.7
Clay County,Alabama,74.5433505768891,01,027,10.6
Cleburne County,Alabama,73.9868040627659,01,029,6.5
Coffee County,Alabama,76.3605391350353,01,031,5.5
Colbert County,Alabama,74.4371800102949,01,033,4.5
Conecuh County,Alabama,73.5347778763338,01,035,7.4
Coosa County,Alabama,75.1708542815166,01,037,9.0
Covington County,Alabama,74.5258130018285,01,039,7.5
Crenshaw County,Alabama,74.3461382236033,01,041,9.3
Cullman County,Alabama,74.594611891369,01,043,6.4
Dale County,Alabama,75.8955853753065,01,045,4.9
Dallas County,Alabama,72.0822622575986,01,047,6.2
DeKalb County,Alabama,74.708246577618,01,049,12.1
Elmore County,Alabama,75.7371836971991,01,051,3.8
Escambia County,Alabama,73.4683660064676,01,053,6.7
Etowah County,Alabama,73.1955443341744,01,055,6.3
Fayette County,Alabama,73.9431045571677,01,057,8.3
Franklin County,Alabama,73.589235938182,01,059,11.1
Geneva County,Alabama,74.6570847479417,01,061,8.4
Greene County,Alabama,74.2538349549859,01,063,7.8
Hale County,Alabama,73.9653852957873,01,065,6.3
Henry County,Alabama,75.6190349537947,01,067,7.1
Houston County,Alabama,76.3382467172531,01,069,4.9
Jackson County,Alabama,73.4843045744864,01,071,8.1
Jefferson County,Alabama,74.806564666839,01,073,3.2
Lamar County,Alabama,74.4774859000498,01,075,8.8
Lauderdale County,Alabama,75.9992408194207,01,077,5.0
Lawrence County,Alabama,73.7066029348587,01,079,7.5
Lee County,Alabama,77.5898607027561,01,081,3.7
Limestone County,Alabama,77.3894821829376,01,083,6.4
Lowndes County,Alabama,72.0601797573648,01,085,7.1
Macon County,Alabama,73.2131086140897,01,087,6.2
Madison County,Alabama,77.542194549947,01,089,2.7
Marengo County,Alabama,73.8566544196385,01,091,5.5
Marion County,Alabama,74.1929234345737,01,093,6.9
Marshall County,Alabama,74.0778968695931,01,095,9.7
Mobile County,Alabama,74.9316859921305,01,097,4.2
Monroe County,Alabama,74.6797751742885,01,099,6.5
Montgomery County,Alabama,75.9457637313632,01,101,4.9
Morgan County,Alabama,75.4240194723048,01,103,6.1
