County,State,State_FIPS,County_FIPS,associates_degree
Autauga County,Alabama,01,001,2837.0
Baldwin County,Alabama,01,003,11647.0
Barbour County,Alabama,01,005,1331.0
Bibb County,Alabama,01,007,963.0
Blount County,Alabama,01,009,3518.0
Bullock County,Alabama,01,011,280.0
Butler County,Alabama,01,013,1089.0
Calhoun County,Alabama,01,015,5797.0
Chambers County,Alabama,01,017,1721.0
Cherokee County,Alabama,01,019,1253.0
Chilton County,Alabama,01,021,2052.0
Choctaw County,Alabama,01,023,731.0
Clarke County,Alabama,01,025,1332.0
Clay County,Alabama,01,027,713.0
Cleburne County,Alabama,01,029,487.0
Coffee County,Alabama,01,031,3084.0
Colbert County,Alabama,01,033,2978.0
Conecuh County,Alabama,01,035,612.0
Coosa County,Alabama,01,037,523.0
Covington County,Alabama,01,039,2453.0
Crenshaw County,Alabama,01,041,704.0
Cullman County,Alabama,01,043,5762.0
Dale County,Alabama,01,045,3480.0
Dallas County,Alabama,01,047,2003.0
DeKalb County,Alabama,01,049,4002.0
Elmore County,Alabama,01,051,4689.0
Escambia County,Alabama,01,053,1564.0
Etowah County,Alabama,01,055,6114.0
Fayette County,Alabama,01,057,845.0
Franklin County,Alabama,01,059,1259.0
Geneva County,Alabama,01,061,1303.0
Greene County,Alabama,01,063,348.0
Hale County,Alabama,01,065,742.0
Henry County,Alabama,01,067,942.0
Houston County,Alabama,01,069,5935.0
Jackson County,Alabama,01,071,2623.0
Jefferson County,Alabama,01,073,33605.0
Lamar County,Alabama,01,075,660.0
Lauderdale County,Alabama,01,077,4031.0
Lawrence County,Alabama,01,079,1491.0
Lee County,Alabama,01,081,6408.0
Limestone County,Alabama,01,083,4265.0
Lowndes County,Alabama,01,085,461.0
Macon County,Alabama,01,087,716.0
Madison County,Alabama,01,089,18296.0
Marengo County,Alabama,01,091,927.0
Marion County,Alabama,01,093,1703.0
Marshall County,Alabama,01,095,4931.0
Mobile County,Alabama,01,097,20736.0
Monroe County,Alabama,01,099,1134.0
Montgomery County,Alabama,01,101,8844.0
Morgan County,Alabama,01,103,5887.0
Perry County,Alabama,01,105,430.0
Pickens County,Alabama,01,107,838.0
Pike County,Alabama,01,109,954.0
Randolph County,Alabama,01,111,1024.0
Russell County,Alabama,01,113,3207.0
Saint Clair County,Alabama,01,115,4709.0
Shelby County,Alabama,01,117,9895.0
Sumter County,Alabama,01,119,455.0
Talladega County,Alabama,01,121,4371.0
Tallapoosa County,Alabama,01,123,2198.0
Tuscaloosa County,Alabama,01,125,7841.0
Walker County,Alabama,01,127,3514.0
Washington County,Alabama,01,129,803.0
Wilcox County,Alabama,01,131,436.0
Winston County,Alabama,01,133,1387.0
Anchorage Municipality,Alaska,02,020,16118.0
Bethel Census Area,Alaska,02,050,342.0
Bristol Bay Borough,Alaska,02,060,40.0
Fairbanks North Star Borough,Alaska,02,090,5512.0
Haines Borough,Alaska,02,100,114.0
Juneau City and Borough,Alaska,02,110,1539.0
Kenai Peninsula Borough,Alaska,02,122,2994.0
Kodiak Island Borough,Alaska,02,150,948.0
Matanuska-Susitna Borough,Alaska,02,170,5515.0
Nome Census Area,Alaska,02,180,216.0
North Slope Borough,Alaska,02,185,489.0
Sitka City and Borough,Alaska,02,220,486.0
Southeast Fairbanks Census Area,Alaska,02,240,447.0
Valdez-Cordova Census Area,Alaska,02,261,590.0
Wade Hampton Census Area,Alaska,02,270,97.0
Northwest Arctic Borough,Alaska,02,188,134.0
Aleutians East Borough,Alaska,02,013,145.0
Aleutians West Census Area,Alaska,02,016,185.0
Dillingham Census Area,Alaska,02,070,152.0
Lake and Peninsula Borough,Alaska,02,164,34.0
Denali Borough,Alaska,02,068,140.0
Yukon-Koyukuk Census Area,Alaska,02,290,197.0
Hoonah-Angoon Census Area,Alaska,02,105,105.0
Skagway Municipality,Alaska,02,230,30.0
Yakutat City and Borough,Alaska,02,282,21.0
Ketchikan Gateway Borough,Alaska,02,130,597.0
Petersburg Borough,Alaska,02,195,185.0
Prince of Wales-Hyder Census Area,Alaska,02,198,204.0
Wrangell City and Borough,Alaska,02,275,108.0
