County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2140.0
Baldwin County,Alabama,01,003,10521.0
Barbour County,Alabama,01,005,1282.0
Bibb County,Alabama,01,007,761.0
Blount County,Alabama,01,009,3092.0
Bullock County,Alabama,01,011,314.0
Butler County,Alabama,01,013,453.0
Calhoun County,Alabama,01,015,5592.0
Chambers County,Alabama,01,017,1411.0
Cherokee County,Alabama,01,019,983.0
Chilton County,Alabama,01,021,1539.0
Choctaw County,Alabama,01,023,652.0
Clarke County,Alabama,01,025,879.0
Clay County,Alabama,01,027,485.0
Cleburne County,Alabama,01,029,666.0
Coffee County,Alabama,01,031,2519.0
Colbert County,Alabama,01,033,1989.0
Conecuh County,Alabama,01,035,275.0
Coosa County,Alabama,01,037,537.0
Covington County,Alabama,01,039,1874.0
Crenshaw County,Alabama,01,041,412.0
Cullman County,Alabama,01,043,4534.0
Dale County,Alabama,01,045,2649.0
Dallas County,Alabama,01,047,1129.0
DeKalb County,Alabama,01,049,3182.0
Elmore County,Alabama,01,051,3343.0
Escambia County,Alabama,01,053,1302.0
Etowah County,Alabama,01,055,5281.0
Fayette County,Alabama,01,057,973.0
Franklin County,Alabama,01,059,1308.0
Geneva County,Alabama,01,061,1388.0
Greene County,Alabama,01,063,219.0
Hale County,Alabama,01,065,453.0
Henry County,Alabama,01,067,779.0
Houston County,Alabama,01,069,4879.0
Jackson County,Alabama,01,071,2177.0
Jefferson County,Alabama,01,073,24762.0
Lamar County,Alabama,01,075,535.0
Lauderdale County,Alabama,01,077,4016.0
Lawrence County,Alabama,01,079,1160.0
Lee County,Alabama,01,081,6241.0
Limestone County,Alabama,01,083,3947.0
Lowndes County,Alabama,01,085,227.0
Macon County,Alabama,01,087,612.0
Madison County,Alabama,01,089,13802.0
Marengo County,Alabama,01,091,942.0
Marion County,Alabama,01,093,1647.0
Marshall County,Alabama,01,095,4569.0
Mobile County,Alabama,01,097,15271.0
Monroe County,Alabama,01,099,527.0
Montgomery County,Alabama,01,101,7862.0
Morgan County,Alabama,01,103,5273.0
Perry County,Alabama,01,105,225.0
Pickens County,Alabama,01,107,892.0
Pike County,Alabama,01,109,1133.0
Randolph County,Alabama,01,111,1218.0
Russell County,Alabama,01,113,2789.0
Saint Clair County,Alabama,01,115,4542.0
Shelby County,Alabama,01,117,9469.0
Sumter County,Alabama,01,119,355.0
Talladega County,Alabama,01,121,3765.0
Tallapoosa County,Alabama,01,123,1897.0
Tuscaloosa County,Alabama,01,125,6647.0
Walker County,Alabama,01,127,3978.0
Washington County,Alabama,01,129,748.0
Wilcox County,Alabama,01,131,441.0
Winston County,Alabama,01,133,1459.0
Anchorage Municipality,Alaska,02,020,13696.0
Bethel Census Area,Alaska,02,050,572.0
Bristol Bay Borough,Alaska,02,060,29.0
Fairbanks North Star Borough,Alaska,02,090,5660.0
Haines Borough,Alaska,02,100,123.0
Juneau City and Borough,Alaska,02,110,1635.0
Kenai Peninsula Borough,Alaska,02,122,3211.0
Kodiak Island Borough,Alaska,02,150,659.0
Matanuska-Susitna Borough,Alaska,02,170,5929.0
Nome Census Area,Alaska,02,180,482.0
North Slope Borough,Alaska,02,185,348.0
Sitka City and Borough,Alaska,02,220,478.0
Southeast Fairbanks Census Area,Alaska,02,240,394.0
Valdez-Cordova Census Area,Alaska,02,261,527.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,214.0
Aleutians East Borough,Alaska,02,013,130.0
Aleutians West Census Area,Alaska,02,016,130.0
Dillingham Census Area,Alaska,02,070,252.0
Lake and Peninsula Borough,Alaska,02,164,55.0
Denali Borough,Alaska,02,068,67.0
Yukon-Koyukuk Census Area,Alaska,02,290,254.0
Hoonah-Angoon Census Area,Alaska,02,105,102.0
Skagway Municipality,Alaska,02,230,43.0
Yakutat City and Borough,Alaska,02,282,29.0
