County,State,State_FIPS,County_FIPS,professional_degree
Autauga County,Alabama,01,001,415
Baldwin County,Alabama,01,003,2124
Barbour County,Alabama,01,005,224
Bibb County,Alabama,01,007,84
Blount County,Alabama,01,009,334
Bullock County,Alabama,01,011,125
Butler County,Alabama,01,013,48
Calhoun County,Alabama,01,015,624
Chambers County,Alabama,01,017,123
Cherokee County,Alabama,01,019,162
Chilton County,Alabama,01,021,150
Choctaw County,Alabama,01,023,71
Clarke County,Alabama,01,025,133
Clay County,Alabama,01,027,30
Cleburne County,Alabama,01,029,71
Coffee County,Alabama,01,031,439
Colbert County,Alabama,01,033,416
Conecuh County,Alabama,01,035,53
Coosa County,Alabama,01,037,23
Covington County,Alabama,01,039,192
Crenshaw County,Alabama,01,041,40
Cullman County,Alabama,01,043,678
Dale County,Alabama,01,045,233
Dallas County,Alabama,01,047,234
DeKalb County,Alabama,01,049,254
Elmore County,Alabama,01,051,486
Escambia County,Alabama,01,053,99
Etowah County,Alabama,01,055,879
Fayette County,Alabama,01,057,21
Franklin County,Alabama,01,059,171
Geneva County,Alabama,01,061,46
Greene County,Alabama,01,063,35
Hale County,Alabama,01,065,40
Henry County,Alabama,01,067,91
Houston County,Alabama,01,069,951
Jackson County,Alabama,01,071,435
Jefferson County,Alabama,01,073,11646
Lamar County,Alabama,01,075,77
Lauderdale County,Alabama,01,077,752
Lawrence County,Alabama,01,079,152
Lee County,Alabama,01,081,1346
Limestone County,Alabama,01,083,330
Lowndes County,Alabama,01,085,31
Macon County,Alabama,01,087,122
Madison County,Alabama,01,089,4053
Marengo County,Alabama,01,091,121
Marion County,Alabama,01,093,153
Marshall County,Alabama,01,095,608
Mobile County,Alabama,01,097,3395
Monroe County,Alabama,01,099,93
Montgomery County,Alabama,01,101,2756
Morgan County,Alabama,01,103,835
Perry County,Alabama,01,105,50
Pickens County,Alabama,01,107,30
Pike County,Alabama,01,109,142
Randolph County,Alabama,01,111,40
Russell County,Alabama,01,113,237
Saint Clair County,Alabama,01,115,356
Shelby County,Alabama,01,117,3133
Sumter County,Alabama,01,119,20
Talladega County,Alabama,01,121,503
Tallapoosa County,Alabama,01,123,300
Tuscaloosa County,Alabama,01,125,2071
Walker County,Alabama,01,127,553
Washington County,Alabama,01,129,41
Wilcox County,Alabama,01,131,42
Winston County,Alabama,01,133,140
Anchorage Municipality,Alaska,02,020,4187
Bethel Census Area,Alaska,02,050,69
Bristol Bay Borough,Alaska,02,060,0
Fairbanks North Star Borough,Alaska,02,090,1070
Haines Borough,Alaska,02,100,3
Juneau City and Borough,Alaska,02,110,652
Kenai Peninsula Borough,Alaska,02,122,274
Kodiak Island Borough,Alaska,02,150,92
Matanuska-Susitna Borough,Alaska,02,170,614
Nome Census Area,Alaska,02,180,24
North Slope Borough,Alaska,02,185,40
Sitka City and Borough,Alaska,02,220,124
Southeast Fairbanks Census Area,Alaska,02,240,21
Valdez-Cordova Census Area,Alaska,02,261,73
Wade Hampton Census Area,Alaska,02,270,2
Northwest Arctic Borough,Alaska,02,188,37
Aleutians East Borough,Alaska,02,013,0
Aleutians West Census Area,Alaska,02,016,3
Dillingham Census Area,Alaska,02,070,52
Lake and Peninsula Borough,Alaska,02,164,2
Denali Borough,Alaska,02,068,0
Yukon-Koyukuk Census Area,Alaska,02,290,6
Hoonah-Angoon Census Area,Alaska,02,105,25
Skagway Municipality,Alaska,02,230,0
Yakutat City and Borough,Alaska,02,282,3
Ketchikan Gateway Borough,Alaska,02,130,90
Petersburg Borough,Alaska,02,195,21
Prince of Wales-Hyder Census Area,Alaska,02,198,9
Wrangell City and Borough,Alaska,02,275,4
Apache County,Arizona,04,001,150
Cochise County,Arizona,04,003,730
Coconino County,Arizona,04,005,1282
Gila County,Arizona,04,007,289
Graham County,Arizona,04,009,121
Greenlee County,Arizona,04,011,0
Maricopa County,Arizona,04,013,46303
Mohave County,Arizona,04,015,1215
Navajo County,Arizona,04,017,661
Pima County,Arizona,04,019,12921
Pinal County,Arizona,04,021,1603
Santa Cruz County,Arizona,04,023,387
Yavapai County,Arizona,04,025,2315
La Paz County,Arizona,04,012,57
Yuma County,Arizona,04,027,910
Arkansas County,Arkansas,05,001,98
Ashley County,Arkansas,05,003,113
Baxter County,Arkansas,05,005,317
Benton County,Arkansas,05,007,1684
Boone County,Arkansas,05,009,300
