County,State,State_FIPS,County_FIPS,masters_degree
Autauga County,Alabama,01,001,2875.0
Baldwin County,Alabama,01,003,11812.0
Barbour County,Alabama,01,005,495.0
Bibb County,Alabama,01,007,488.0
Blount County,Alabama,01,009,1393.0
Bullock County,Alabama,01,011,212.0
Butler County,Alabama,01,013,726.0
Calhoun County,Alabama,01,015,4484.0
Chambers County,Alabama,01,017,634.0
Cherokee County,Alabama,01,019,677.0
Chilton County,Alabama,01,021,1056.0
Choctaw County,Alabama,01,023,321.0
Clarke County,Alabama,01,025,635.0
Clay County,Alabama,01,027,345.0
Cleburne County,Alabama,01,029,378.0
Coffee County,Alabama,01,031,2200.0
Colbert County,Alabama,01,033,2108.0
Conecuh County,Alabama,01,035,323.0
Coosa County,Alabama,01,037,289.0
Covington County,Alabama,01,039,1078.0
Crenshaw County,Alabama,01,041,377.0
Cullman County,Alabama,01,043,2251.0
Dale County,Alabama,01,045,1688.0
Dallas County,Alabama,01,047,1278.0
DeKalb County,Alabama,01,049,1956.0
Elmore County,Alabama,01,051,3696.0
Escambia County,Alabama,01,053,916.0
Etowah County,Alabama,01,055,3444.0
Fayette County,Alabama,01,057,319.0
Franklin County,Alabama,01,059,815.0
Geneva County,Alabama,01,061,834.0
Greene County,Alabama,01,063,171.0
Hale County,Alabama,01,065,344.0
Henry County,Alabama,01,067,688.0
Houston County,Alabama,01,069,4385.0
Jackson County,Alabama,01,071,1284.0
Jefferson County,Alabama,01,073,36620.0
Lamar County,Alabama,01,075,279.0
Lauderdale County,Alabama,01,077,4131.0
Lawrence County,Alabama,01,079,819.0
Lee County,Alabama,01,081,10682.0
Limestone County,Alabama,01,083,4418.0
Lowndes County,Alabama,01,085,321.0
Macon County,Alabama,01,087,812.0
Madison County,Alabama,01,089,33016.0
Marengo County,Alabama,01,091,816.0
Marion County,Alabama,01,093,913.0
Marshall County,Alabama,01,095,3221.0
Mobile County,Alabama,01,097,16229.0
Monroe County,Alabama,01,099,535.0
Montgomery County,Alabama,01,101,15141.0
Morgan County,Alabama,01,103,4374.0
Perry County,Alabama,01,105,479.0
Pickens County,Alabama,01,107,485.0
Pike County,Alabama,01,109,1277.0
Randolph County,Alabama,01,111,839.0
Russell County,Alabama,01,113,2014.0
Saint Clair County,Alabama,01,115,2666.0
Shelby County,Alabama,01,117,15372.0
Sumter County,Alabama,01,119,696.0
Talladega County,Alabama,01,121,2406.0
Tallapoosa County,Alabama,01,123,1351.0
Tuscaloosa County,Alabama,01,125,10933.0
Walker County,Alabama,01,127,1266.0
Washington County,Alabama,01,129,545.0
Wilcox County,Alabama,01,131,215.0
Winston County,Alabama,01,133,682.0
Anchorage Municipality,Alaska,02,020,18242.0
Bethel Census Area,Alaska,02,050,291.0
Bristol Bay Borough,Alaska,02,060,21.0
Fairbanks North Star Borough,Alaska,02,090,4803.0
Haines Borough,Alaska,02,100,232.0
