County,State,State_FIPS,County_FIPS,doctorate_degree
Autauga County,Alabama,01,001,376.0
Baldwin County,Alabama,01,003,1132.0
Barbour County,Alabama,01,005,69.0
Bibb County,Alabama,01,007,99.0
Blount County,Alabama,01,009,162.0
Bullock County,Alabama,01,011,56.0
Butler County,Alabama,01,013,112.0
Calhoun County,Alabama,01,015,740.0
Chambers County,Alabama,01,017,41.0
Cherokee County,Alabama,01,019,117.0
Chilton County,Alabama,01,021,118.0
Choctaw County,Alabama,01,023,34.0
Clarke County,Alabama,01,025,107.0
Clay County,Alabama,01,027,46.0
Cleburne County,Alabama,01,029,38.0
Coffee County,Alabama,01,031,266.0
Colbert County,Alabama,01,033,176.0
Conecuh County,Alabama,01,035,13.0
Coosa County,Alabama,01,037,14.0
Covington County,Alabama,01,039,66.0
Crenshaw County,Alabama,01,041,21.0
Cullman County,Alabama,01,043,208.0
Dale County,Alabama,01,045,109.0
Dallas County,Alabama,01,047,101.0
DeKalb County,Alabama,01,049,261.0
Elmore County,Alabama,01,051,429.0
Escambia County,Alabama,01,053,104.0
Etowah County,Alabama,01,055,438.0
Fayette County,Alabama,01,057,37.0
Franklin County,Alabama,01,059,126.0
Geneva County,Alabama,01,061,0.0
Greene County,Alabama,01,063,37.0
Hale County,Alabama,01,065,34.0
Henry County,Alabama,01,067,35.0
Houston County,Alabama,01,069,488.0
Jackson County,Alabama,01,071,272.0
Jefferson County,Alabama,01,073,7629.0
Lamar County,Alabama,01,075,44.0
Lauderdale County,Alabama,01,077,757.0
Lawrence County,Alabama,01,079,42.0
Lee County,Alabama,01,081,2922.0
Limestone County,Alabama,01,083,446.0
Lowndes County,Alabama,01,085,21.0
Macon County,Alabama,01,087,168.0
Madison County,Alabama,01,089,4228.0
Marengo County,Alabama,01,091,80.0
Marion County,Alabama,01,093,20.0
Marshall County,Alabama,01,095,311.0
Mobile County,Alabama,01,097,2130.0
Monroe County,Alabama,01,099,121.0
Montgomery County,Alabama,01,101,2058.0
Morgan County,Alabama,01,103,383.0
Perry County,Alabama,01,105,67.0
Pickens County,Alabama,01,107,30.0
Pike County,Alabama,01,109,364.0
Randolph County,Alabama,01,111,40.0
Russell County,Alabama,01,113,181.0
Saint Clair County,Alabama,01,115,443.0
Shelby County,Alabama,01,117,1983.0
Sumter County,Alabama,01,119,41.0
Talladega County,Alabama,01,121,216.0
Tallapoosa County,Alabama,01,123,150.0
Tuscaloosa County,Alabama,01,125,2598.0
Walker County,Alabama,01,127,103.0
Washington County,Alabama,01,129,0.0
Wilcox County,Alabama,01,131,27.0
Winston County,Alabama,01,133,110.0
Anchorage Municipality,Alaska,02,020,2337.0
Bethel Census Area,Alaska,02,050,25.0
Bristol Bay Borough,Alaska,02,060,0.0
Fairbanks North Star Borough,Alaska,02,090,1146.0
Haines Borough,Alaska,02,100,5.0
Juneau City and Borough,Alaska,02,110,332.0
Kenai Peninsula Borough,Alaska,02,122,200.0
Kodiak Island Borough,Alaska,02,150,19.0
Matanuska-Susitna Borough,Alaska,02,170,368.0
Nome Census Area,Alaska,02,180,20.0
North Slope Borough,Alaska,02,185,20.0
Sitka City and Borough,Alaska,02,220,126.0
Southeast Fairbanks Census Area,Alaska,02,240,15.0
Valdez-Cordova Census Area,Alaska,02,261,27.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,9.0
Aleutians East Borough,Alaska,02,013,19.0
Aleutians West Census Area,Alaska,02,016,18.0
Dillingham Census Area,Alaska,02,070,23.0
Lake and Peninsula Borough,Alaska,02,164,0.0
Denali Borough,Alaska,02,068,15.0
Yukon-Koyukuk Census Area,Alaska,02,290,6.0
Hoonah-Angoon Census Area,Alaska,02,105,9.0
Skagway Municipality,Alaska,02,230,9.0
Yakutat City and Borough,Alaska,02,282,2.0
Ketchikan Gateway Borough,Alaska,02,130,71.0
Petersburg Borough,Alaska,02,195,3.0
Prince of Wales-Hyder Census Area,Alaska,02,198,30.0
Wrangell City and Borough,Alaska,02,275,9.0
Apache County,Arizona,04,001,221.0
Cochise County,Arizona,04,003,575.0
Coconino County,Arizona,04,005,1917.0
Gila County,Arizona,04,007,323.0
Graham County,Arizona,04,009,65.0
Greenlee County,Arizona,04,011,13.0
Maricopa County,Arizona,04,013,32641.0
Mohave County,Arizona,04,015,634.0
Navajo County,Arizona,04,017,447.0
Pima County,Arizona,04,019,13699.0
Pinal County,Arizona,04,021,1933.0
Santa Cruz County,Arizona,04,023,157.0
Yavapai County,Arizona,04,025,2082.0
La Paz County,Arizona,04,012,110.0
Yuma County,Arizona,04,027,407.0
Arkansas County,Arkansas,05,001,75.0
Ashley County,Arkansas,05,003,47.0
Baxter County,Arkansas,05,005,162.0
Benton County,Arkansas,05,007,1238.0
Boone County,Arkansas,05,009,183.0
Bradley County,Arkansas,05,011,18.0
Calhoun County,Arkansas,05,013,30.0
Carroll County,Arkansas,05,015,277.0
Chicot County,Arkansas,05,017,37.0
Clark County,Arkansas,05,019,251.0
Clay County,Arkansas,05,021,10.0
Cleburne County,Arkansas,05,023,178.0
Cleveland County,Arkansas,05,025,12.0
Columbia County,Arkansas,05,027,151.0
Conway County,Arkansas,05,029,109.0
Craighead County,Arkansas,05,031,928.0
Crawford County,Arkansas,05,033,212.0
Crittenden County,Arkansas,05,035,173.0
Cross County,Arkansas,05,037,29.0
Dallas County,Arkansas,05,039,3.0
Desha County,Arkansas,05,041,15.0
Drew County,Arkansas,05,043,149.0
Faulkner County,Arkansas,05,045,1190.0
Franklin County,Arkansas,05,047,64.0
Fulton County,Arkansas,05,049,9.0
Garland County,Arkansas,05,051,618.0
Grant County,Arkansas,05,053,114.0
Greene County,Arkansas,05,055,152.0
Hempstead County,Arkansas,05,057,65.0
Hot Spring County,Arkansas,05,059,76.0
Howard County,Arkansas,05,061,0.0
Independence County,Arkansas,05,063,227.0
Izard County,Arkansas,05,065,31.0
Jackson County,Arkansas,05,067,34.0
Jefferson County,Arkansas,05,069,380.0
Johnson County,Arkansas,05,071,113.0
Lafayette County,Arkansas,05,073,23.0
Lawrence County,Arkansas,05,075,56.0
Lee County,Arkansas,05,077,2.0
Lincoln County,Arkansas,05,079,32.0
Little River County,Arkansas,05,081,5.0
Logan County,Arkansas,05,083,16.0
Lonoke County,Arkansas,05,085,163.0
Madison County,Arkansas,05,087,101.0
Marion County,Arkansas,05,089,56.0
Miller County,Arkansas,05,091,148.0
Mississippi County,Arkansas,05,093,228.0
Monroe County,Arkansas,05,095,0.0
Montgomery County,Arkansas,05,097,30.0
Nevada County,Arkansas,05,099,33.0
Newton County,Arkansas,05,101,36.0
Ouachita County,Arkansas,05,103,72.0
Perry County,Arkansas,05,105,27.0
Phillips County,Arkansas,05,107,76.0
Pike County,Arkansas,05,109,45.0
Poinsett County,Arkansas,05,111,68.0
Polk County,Arkansas,05,113,85.0
Pope County,Arkansas,05,115,358.0
Prairie County,Arkansas,05,117,7.0
Pulaski County,Arkansas,05,119,4890.0
Randolph County,Arkansas,05,121,61.0
Saint Francis County,Arkansas,05,123,49.0
Saline County,Arkansas,05,125,794.0
Scott County,Arkansas,05,127,42.0
Searcy County,Arkansas,05,129,13.0
Sebastian County,Arkansas,05,131,696.0
Sevier County,Arkansas,05,133,40.0
Sharp County,Arkansas,05,135,40.0
Stone County,Arkansas,05,137,0.0
Union County,Arkansas,05,139,120.0
Van Buren County,Arkansas,05,141,54.0
Washington County,Arkansas,05,143,2753.0
White County,Arkansas,05,145,865.0
Woodruff County,Arkansas,05,147,0.0
Yell County,Arkansas,05,149,57.0
Alameda County,California,06,001,32665.0
Alpine County,California,06,003,20.0
Amador County,California,06,005,289.0
Butte County,California,06,007,1440.0
Calaveras County,California,06,009,210.0
Colusa County,California,06,011,36.0
Contra Costa County,California,06,013,14617.0
Del Norte County,California,06,015,145.0
El Dorado County,California,06,017,1885.0
Fresno County,California,06,019,5035.0
Glenn County,California,06,021,68.0
Humboldt County,California,06,023,1263.0
Imperial County,California,06,025,187.0
Inyo County,California,06,027,166.0
Kern County,California,06,029,3263.0
Kings County,California,06,031,252.0
Lake County,California,06,033,273.0
Lassen County,California,06,035,120.0
Los Angeles County,California,06,037,88238.0
Madera County,California,06,039,602.0
Marin County,California,06,041,5886.0
Mariposa County,California,06,043,132.0
Mendocino County,California,06,045,752.0
Merced County,California,06,047,1135.0
Modoc County,California,06,049,0.0
Mono County,California,06,051,29.0
Monterey County,California,06,053,3414.0
Napa County,California,06,055,1418.0
Nevada County,California,06,057,941.0
Orange County,California,06,059,33381.0
Placer County,California,06,061,2985.0
Plumas County,California,06,063,80.0
Riverside County,California,06,065,13123.0
Sacramento County,California,06,067,10702.0
San Benito County,California,06,069,261.0
San Bernardino County,California,06,071,9730.0
San Diego County,California,06,073,45618.0
San Francisco County,California,06,075,18718.0
San Joaquin County,California,06,077,2932.0
San Luis Obispo County,California,06,079,3809.0
San Mateo County,California,06,081,17695.0
Santa Barbara County,California,06,083,6240.0
Santa Clara County,California,06,085,47562.0
Santa Cruz County,California,06,087,4869.0
Shasta County,California,06,089,721.0
Sierra County,California,06,091,17.0
Siskiyou County,California,06,093,183.0
Solano County,California,06,095,2444.0
Sonoma County,California,06,097,5073.0
Stanislaus County,California,06,099,1748.0
Sutter County,California,06,101,258.0
Tehama County,California,06,103,122.0
Trinity County,California,06,105,52.0
Tulare County,California,06,107,1130.0
Tuolumne County,California,06,109,296.0
Ventura County,California,06,111,9202.0
Yolo County,California,06,113,6487.0
Yuba County,California,06,115,84.0
Alamosa County,Colorado,08,003,184.0
Archuleta County,Colorado,08,007,178.0
Baca County,Colorado,08,009,9.0
Bent County,Colorado,08,011,10.0
Chaffee County,Colorado,08,015,166.0
Cheyenne County,Colorado,08,017,0.0
Clear Creek County,Colorado,08,019,147.0
Conejos County,Colorado,08,021,23.0
Costilla County,Colorado,08,023,24.0
Crowley County,Colorado,08,025,0.0
Custer County,Colorado,08,027,54.0
Delta County,Colorado,08,029,84.0
Dolores County,Colorado,08,033,0.0
Douglas County,Colorado,08,035,3728.0
Eagle County,Colorado,08,037,298.0
Elbert County,Colorado,08,039,152.0
El Paso County,Colorado,08,041,5738.0
Fremont County,Colorado,08,043,210.0
Garfield County,Colorado,08,045,364.0
Gilpin County,Colorado,08,047,116.0
Grand County,Colorado,08,049,66.0
Gunnison County,Colorado,08,051,152.0
Huerfano County,Colorado,08,055,16.0
Jackson County,Colorado,08,057,3.0
Kiowa County,Colorado,08,061,3.0
Kit Carson County,Colorado,08,063,20.0
Lake County,Colorado,08,065,122.0
La Plata County,Colorado,08,067,1216.0
Larimer County,Colorado,08,069,7219.0
Las Animas County,Colorado,08,071,21.0
Lincoln County,Colorado,08,073,16.0
Logan County,Colorado,08,075,84.0
Mesa County,Colorado,08,077,1117.0
Moffat County,Colorado,08,081,21.0
Montezuma County,Colorado,08,083,193.0
Montrose County,Colorado,08,085,174.0
Morgan County,Colorado,08,087,61.0
Otero County,Colorado,08,089,87.0
Ouray County,Colorado,08,091,102.0
Park County,Colorado,08,093,227.0
Phillips County,Colorado,08,095,29.0
Pitkin County,Colorado,08,097,166.0
Prowers County,Colorado,08,099,18.0
Pueblo County,Colorado,08,101,734.0
Rio Blanco County,Colorado,08,103,37.0
Rio Grande County,Colorado,08,105,58.0
Routt County,Colorado,08,107,212.0
Saguache County,Colorado,08,109,69.0
San Miguel County,Colorado,08,113,76.0
Sedgwick County,Colorado,08,115,10.0
Summit County,Colorado,08,117,256.0
Teller County,Colorado,08,119,175.0
Washington County,Colorado,08,121,8.0
Yuma County,Colorado,08,125,24.0
Adams County,Colorado,08,001,1964.0
Arapahoe County,Colorado,08,005,5645.0
Boulder County,Colorado,08,013,10905.0
Broomfield County,Colorado,08,014,931.0
Denver County,Colorado,08,031,9049.0
Jefferson County,Colorado,08,059,7011.0
Weld County,Colorado,08,123,1667.0
Fairfield County,Connecticut,09,001,10645.0
Hartford County,Connecticut,09,003,8559.0
Litchfield County,Connecticut,09,005,1747.0
Middlesex County,Connecticut,09,007,2287.0
New Haven County,Connecticut,09,009,12706.0
New London County,Connecticut,09,011,3011.0
Tolland County,Connecticut,09,013,2034.0
Windham County,Connecticut,09,015,853.0
Kent County,Delaware,10,001,1314.0
New Castle County,Delaware,10,003,8338.0
Sussex County,Delaware,10,005,1694.0
Alachua County,Florida,12,001,7422.0
Baker County,Florida,12,003,88.0
Bay County,Florida,12,005,1020.0
Bradford County,Florida,12,007,34.0
Brevard County,Florida,12,009,4845.0
Broward County,Florida,12,011,14677.0
Calhoun County,Florida,12,013,17.0
Charlotte County,Florida,12,015,1011.0
Citrus County,Florida,12,017,719.0
Clay County,Florida,12,019,1109.0
Collier County,Florida,12,021,4295.0
Columbia County,Florida,12,023,229.0
Miami-Dade County,Florida,12,086,20911.0
DeSoto County,Florida,12,027,53.0
Dixie County,Florida,12,029,52.0
Duval County,Florida,12,031,4947.0
Escambia County,Florida,12,033,1847.0
Flagler County,Florida,12,035,524.0
Franklin County,Florida,12,037,88.0
Gadsden County,Florida,12,039,244.0
Gilchrist County,Florida,12,041,39.0
Glades County,Florida,12,043,26.0
Gulf County,Florida,12,045,66.0
Hamilton County,Florida,12,047,14.0
Hardee County,Florida,12,049,26.0
Hendry County,Florida,12,051,68.0
Hernando County,Florida,12,053,846.0
Highlands County,Florida,12,055,554.0
Hillsborough County,Florida,12,057,12010.0
Holmes County,Florida,12,059,30.0
Indian River County,Florida,12,061,1269.0
Jackson County,Florida,12,063,260.0
Jefferson County,Florida,12,065,165.0
Lafayette County,Florida,12,067,0.0
Lake County,Florida,12,069,1578.0
Lee County,Florida,12,071,5864.0
Leon County,Florida,12,073,6136.0
Levy County,Florida,12,075,204.0
Liberty County,Florida,12,077,77.0
Madison County,Florida,12,079,92.0
Manatee County,Florida,12,081,3487.0
Marion County,Florida,12,083,1261.0
Martin County,Florida,12,085,1712.0
Monroe County,Florida,12,087,985.0
Nassau County,Florida,12,089,523.0
Okaloosa County,Florida,12,091,1599.0
Okeechobee County,Florida,12,093,52.0
Orange County,Florida,12,095,8420.0
