County,State,State_FIPS,County_FIPS,masters_degree
Autauga County,Alabama,01,001,2876.0
Baldwin County,Alabama,01,003,9344.0
Barbour County,Alabama,01,005,745.0
Bibb County,Alabama,01,007,617.0
Blount County,Alabama,01,009,1353.0
Bullock County,Alabama,01,011,379.0
Butler County,Alabama,01,013,631.0
Calhoun County,Alabama,01,015,3945.0
Chambers County,Alabama,01,017,705.0
Cherokee County,Alabama,01,019,730.0
Chilton County,Alabama,01,021,1166.0
Choctaw County,Alabama,01,023,335.0
Clarke County,Alabama,01,025,534.0
Clay County,Alabama,01,027,265.0
Cleburne County,Alabama,01,029,335.0
Coffee County,Alabama,01,031,2279.0
Colbert County,Alabama,01,033,1980.0
Conecuh County,Alabama,01,035,270.0
Coosa County,Alabama,01,037,219.0
Covington County,Alabama,01,039,890.0
Crenshaw County,Alabama,01,041,352.0
Cullman County,Alabama,01,043,2117.0
Dale County,Alabama,01,045,1481.0
Dallas County,Alabama,01,047,1192.0
DeKalb County,Alabama,01,049,1729.0
Elmore County,Alabama,01,051,3604.0
Escambia County,Alabama,01,053,793.0
Etowah County,Alabama,01,055,3026.0
Fayette County,Alabama,01,057,595.0
Franklin County,Alabama,01,059,670.0
Geneva County,Alabama,01,061,498.0
Greene County,Alabama,01,063,132.0
Hale County,Alabama,01,065,263.0
Henry County,Alabama,01,067,707.0
Houston County,Alabama,01,069,3620.0
Jackson County,Alabama,01,071,1373.0
Jefferson County,Alabama,01,073,33489.0
Lamar County,Alabama,01,075,379.0
Lauderdale County,Alabama,01,077,4150.0
Lawrence County,Alabama,01,079,671.0
Lee County,Alabama,01,081,8243.0
Limestone County,Alabama,01,083,4030.0
Lowndes County,Alabama,01,085,203.0
Macon County,Alabama,01,087,716.0
Madison County,Alabama,01,089,26677.0
Marengo County,Alabama,01,091,593.0
Marion County,Alabama,01,093,737.0
Marshall County,Alabama,01,095,2865.0
Mobile County,Alabama,01,097,14200.0
Monroe County,Alabama,01,099,449.0
Montgomery County,Alabama,01,101,12607.0
Morgan County,Alabama,01,103,4222.0
Perry County,Alabama,01,105,286.0
Pickens County,Alabama,01,107,296.0
Pike County,Alabama,01,109,1312.0
Randolph County,Alabama,01,111,763.0
Russell County,Alabama,01,113,1842.0
Saint Clair County,Alabama,01,115,2444.0
Shelby County,Alabama,01,117,13759.0
Sumter County,Alabama,01,119,432.0
Talladega County,Alabama,01,121,2117.0
Tallapoosa County,Alabama,01,123,1290.0
Tuscaloosa County,Alabama,01,125,9109.0
Walker County,Alabama,01,127,1332.0
Washington County,Alabama,01,129,289.0
Wilcox County,Alabama,01,131,207.0
Winston County,Alabama,01,133,538.0
Anchorage Municipality,Alaska,02,020,16182.0
Bethel Census Area,Alaska,02,050,269.0
Bristol Bay Borough,Alaska,02,060,42.0
Fairbanks North Star Borough,Alaska,02,090,5080.0
Haines Borough,Alaska,02,100,143.0
Juneau City and Borough,Alaska,02,110,2259.0
Kenai Peninsula Borough,Alaska,02,122,2549.0
Kodiak Island Borough,Alaska,02,150,439.0
Matanuska-Susitna Borough,Alaska,02,170,3108.0
Nome Census Area,Alaska,02,180,161.0
North Slope Borough,Alaska,02,185,192.0
Sitka City and Borough,Alaska,02,220,537.0
Southeast Fairbanks Census Area,Alaska,02,240,235.0
Valdez-Cordova Census Area,Alaska,02,261,505.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,100.0
Aleutians East Borough,Alaska,02,013,39.0
Aleutians West Census Area,Alaska,02,016,151.0
Dillingham Census Area,Alaska,02,070,122.0
Lake and Peninsula Borough,Alaska,02,164,37.0
Denali Borough,Alaska,02,068,91.0
Yukon-Koyukuk Census Area,Alaska,02,290,125.0
Hoonah-Angoon Census Area,Alaska,02,105,108.0
Skagway Municipality,Alaska,02,230,64.0
Yakutat City and Borough,Alaska,02,282,12.0
Ketchikan Gateway Borough,Alaska,02,130,487.0
Petersburg Borough,Alaska,02,195,116.0
