County,State,State_FIPS,County_FIPS,ged_or_alternative
Autauga County,Alabama,01,001,2231.0
Baldwin County,Alabama,01,003,7514.0
Barbour County,Alabama,01,005,1407.0
Bibb County,Alabama,01,007,1382.0
Blount County,Alabama,01,009,2134.0
Bullock County,Alabama,01,011,202.0
Butler County,Alabama,01,013,695.0
Calhoun County,Alabama,01,015,5061.0
Chambers County,Alabama,01,017,1786.0
Cherokee County,Alabama,01,019,1091.0
Chilton County,Alabama,01,021,1784.0
Choctaw County,Alabama,01,023,526.0
Clarke County,Alabama,01,025,1057.0
Clay County,Alabama,01,027,430.0
Cleburne County,Alabama,01,029,748.0
Coffee County,Alabama,01,031,2014.0
Colbert County,Alabama,01,033,2955.0
Conecuh County,Alabama,01,035,386.0
Coosa County,Alabama,01,037,560.0
Covington County,Alabama,01,039,1832.0
Crenshaw County,Alabama,01,041,538.0
Cullman County,Alabama,01,043,4008.0
Dale County,Alabama,01,045,2458.0
Dallas County,Alabama,01,047,1395.0
DeKalb County,Alabama,01,049,3247.0
Elmore County,Alabama,01,051,4836.0
Escambia County,Alabama,01,053,2675.0
Etowah County,Alabama,01,055,4810.0
Fayette County,Alabama,01,057,983.0
Franklin County,Alabama,01,059,1451.0
Geneva County,Alabama,01,061,1451.0
Greene County,Alabama,01,063,172.0
Hale County,Alabama,01,065,711.0
Henry County,Alabama,01,067,809.0
Houston County,Alabama,01,069,3974.0
Jackson County,Alabama,01,071,2966.0
Jefferson County,Alabama,01,073,17551.0
Lamar County,Alabama,01,075,642.0
Lauderdale County,Alabama,01,077,3942.0
Lawrence County,Alabama,01,079,1736.0
Lee County,Alabama,01,081,4450.0
Limestone County,Alabama,01,083,4877.0
Lowndes County,Alabama,01,085,294.0
Macon County,Alabama,01,087,592.0
Madison County,Alabama,01,089,10129.0
Marengo County,Alabama,01,091,453.0
Marion County,Alabama,01,093,1494.0
Marshall County,Alabama,01,095,4065.0
Mobile County,Alabama,01,097,13444.0
Monroe County,Alabama,01,099,572.0
Montgomery County,Alabama,01,101,7402.0
Morgan County,Alabama,01,103,5524.0
Perry County,Alabama,01,105,439.0
Pickens County,Alabama,01,107,712.0
Pike County,Alabama,01,109,957.0
Randolph County,Alabama,01,111,1066.0
Russell County,Alabama,01,113,2124.0
Saint Clair County,Alabama,01,115,4455.0
Shelby County,Alabama,01,117,4456.0
Sumter County,Alabama,01,119,240.0
Talladega County,Alabama,01,121,4105.0
Tallapoosa County,Alabama,01,123,1998.0
Tuscaloosa County,Alabama,01,125,5663.0
Walker County,Alabama,01,127,3709.0
Washington County,Alabama,01,129,615.0
Wilcox County,Alabama,01,131,242.0
Winston County,Alabama,01,133,1161.0
Anchorage Municipality,Alaska,02,020,8507.0
Bethel Census Area,Alaska,02,050,741.0
Bristol Bay Borough,Alaska,02,060,19.0
Fairbanks North Star Borough,Alaska,02,090,3079.0
Haines Borough,Alaska,02,100,53.0
Juneau City and Borough,Alaska,02,110,1094.0
Kenai Peninsula Borough,Alaska,02,122,2568.0
Kodiak Island Borough,Alaska,02,150,441.0
Matanuska-Susitna Borough,Alaska,02,170,3859.0
Nome Census Area,Alaska,02,180,368.0
North Slope Borough,Alaska,02,185,316.0
Sitka City and Borough,Alaska,02,220,340.0
Southeast Fairbanks Census Area,Alaska,02,240,231.0
Valdez-Cordova Census Area,Alaska,02,261,192.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,352.0
Aleutians East Borough,Alaska,02,013,79.0
Aleutians West Census Area,Alaska,02,016,177.0
Dillingham Census Area,Alaska,02,070,120.0
Lake and Peninsula Borough,Alaska,02,164,56.0
Denali Borough,Alaska,02,068,23.0
Yukon-Koyukuk Census Area,Alaska,02,290,275.0
Hoonah-Angoon Census Area,Alaska,02,105,76.0
Skagway Municipality,Alaska,02,230,21.0
Yakutat City and Borough,Alaska,02,282,14.0
Ketchikan Gateway Borough,Alaska,02,130,691.0
Petersburg Borough,Alaska,02,195,75.0
Prince of Wales-Hyder Census Area,Alaska,02,198,257.0
Wrangell City and Borough,Alaska,02,275,56.0
Apache County,Arizona,04,001,1438.0
Cochise County,Arizona,04,003,4522.0
Coconino County,Arizona,04,005,2392.0
Gila County,Arizona,04,007,1771.0
Graham County,Arizona,04,009,2048.0
Greenlee County,Arizona,04,011,500.0
Maricopa County,Arizona,04,013,94090.0
Mohave County,Arizona,04,015,9954.0
Navajo County,Arizona,04,017,3318.0
Pima County,Arizona,04,019,27163.0
Pinal County,Arizona,04,021,16852.0
Santa Cruz County,Arizona,04,023,1036.0
Yavapai County,Arizona,04,025,7172.0
La Paz County,Arizona,04,012,1057.0
Yuma County,Arizona,04,027,6388.0
Arkansas County,Arkansas,05,001,773.0
Ashley County,Arkansas,05,003,782.0
Baxter County,Arkansas,05,005,2200.0
Benton County,Arkansas,05,007,7362.0
Boone County,Arkansas,05,009,1660.0
Bradley County,Arkansas,05,011,361.0
Calhoun County,Arkansas,05,013,221.0
Carroll County,Arkansas,05,015,1346.0
Chicot County,Arkansas,05,017,627.0
Clark County,Arkansas,05,019,628.0
Clay County,Arkansas,05,021,1172.0
Cleburne County,Arkansas,05,023,1533.0
Cleveland County,Arkansas,05,025,376.0
Columbia County,Arkansas,05,027,475.0
Conway County,Arkansas,05,029,938.0
Craighead County,Arkansas,05,031,5062.0
Crawford County,Arkansas,05,033,3160.0
Crittenden County,Arkansas,05,035,1559.0
Cross County,Arkansas,05,037,727.0
Dallas County,Arkansas,05,039,219.0
Desha County,Arkansas,05,041,412.0
Drew County,Arkansas,05,043,665.0
Faulkner County,Arkansas,05,045,4185.0
Franklin County,Arkansas,05,047,865.0
Fulton County,Arkansas,05,049,485.0
Garland County,Arkansas,05,051,4011.0
Grant County,Arkansas,05,053,930.0
Greene County,Arkansas,05,055,3419.0
Hempstead County,Arkansas,05,057,598.0
Hot Spring County,Arkansas,05,059,2332.0
Howard County,Arkansas,05,061,350.0
Independence County,Arkansas,05,063,1857.0
Izard County,Arkansas,05,065,884.0
Jackson County,Arkansas,05,067,1586.0
Jefferson County,Arkansas,05,069,2765.0
Johnson County,Arkansas,05,071,1713.0
Lafayette County,Arkansas,05,073,356.0
Lawrence County,Arkansas,05,075,951.0
Lee County,Arkansas,05,077,445.0
Lincoln County,Arkansas,05,079,963.0
Little River County,Arkansas,05,081,742.0
Logan County,Arkansas,05,083,1331.0
Lonoke County,Arkansas,05,085,3358.0
Madison County,Arkansas,05,087,847.0
Marion County,Arkansas,05,089,898.0
Miller County,Arkansas,05,091,2185.0
Mississippi County,Arkansas,05,093,2305.0
Monroe County,Arkansas,05,095,316.0
Montgomery County,Arkansas,05,097,404.0
Nevada County,Arkansas,05,099,376.0
Newton County,Arkansas,05,101,330.0
Ouachita County,Arkansas,05,103,858.0
