County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2677.0
Baldwin County,Alabama,01,003,8637.0
Barbour County,Alabama,01,005,1151.0
Bibb County,Alabama,01,007,724.0
Blount County,Alabama,01,009,3448.0
Bullock County,Alabama,01,011,173.0
Butler County,Alabama,01,013,567.0
Calhoun County,Alabama,01,015,5835.0
Chambers County,Alabama,01,017,1337.0
Cherokee County,Alabama,01,019,1234.0
Chilton County,Alabama,01,021,1569.0
Choctaw County,Alabama,01,023,654.0
Clarke County,Alabama,01,025,760.0
Clay County,Alabama,01,027,472.0
Cleburne County,Alabama,01,029,815.0
Coffee County,Alabama,01,031,2407.0
Colbert County,Alabama,01,033,2559.0
Conecuh County,Alabama,01,035,536.0
Coosa County,Alabama,01,037,364.0
Covington County,Alabama,01,039,1893.0
Crenshaw County,Alabama,01,041,540.0
Cullman County,Alabama,01,043,3800.0
Dale County,Alabama,01,045,2673.0
Dallas County,Alabama,01,047,1504.0
DeKalb County,Alabama,01,049,2787.0
Elmore County,Alabama,01,051,3157.0
Escambia County,Alabama,01,053,1308.0
Etowah County,Alabama,01,055,4660.0
Fayette County,Alabama,01,057,909.0
Franklin County,Alabama,01,059,1069.0
Geneva County,Alabama,01,061,1517.0
Greene County,Alabama,01,063,381.0
Hale County,Alabama,01,065,517.0
Henry County,Alabama,01,067,736.0
Houston County,Alabama,01,069,4809.0
Jackson County,Alabama,01,071,1809.0
Jefferson County,Alabama,01,073,23406.0
Lamar County,Alabama,01,075,713.0
Lauderdale County,Alabama,01,077,3858.0
Lawrence County,Alabama,01,079,1369.0
Lee County,Alabama,01,081,5885.0
Limestone County,Alabama,01,083,3787.0
Lowndes County,Alabama,01,085,224.0
Macon County,Alabama,01,087,568.0
Madison County,Alabama,01,089,12795.0
Marengo County,Alabama,01,091,728.0
Marion County,Alabama,01,093,1730.0
Marshall County,Alabama,01,095,4469.0
Mobile County,Alabama,01,097,16224.0
Monroe County,Alabama,01,099,860.0
Montgomery County,Alabama,01,101,8390.0
Morgan County,Alabama,01,103,5916.0
Perry County,Alabama,01,105,169.0
Pickens County,Alabama,01,107,1072.0
Pike County,Alabama,01,109,940.0
Randolph County,Alabama,01,111,843.0
Russell County,Alabama,01,113,3006.0
Saint Clair County,Alabama,01,115,3950.0
Shelby County,Alabama,01,117,8385.0
Sumter County,Alabama,01,119,251.0
Talladega County,Alabama,01,121,4194.0
Tallapoosa County,Alabama,01,123,1888.0
Tuscaloosa County,Alabama,01,125,5878.0
Walker County,Alabama,01,127,3314.0
Washington County,Alabama,01,129,523.0
Wilcox County,Alabama,01,131,402.0
Winston County,Alabama,01,133,1353.0
Anchorage Municipality,Alaska,02,020,13467.0
Bethel Census Area,Alaska,02,050,690.0
Bristol Bay Borough,Alaska,02,060,36.0
Fairbanks North Star Borough,Alaska,02,090,4821.0
Haines Borough,Alaska,02,100,91.0
Juneau City and Borough,Alaska,02,110,1527.0
Kenai Peninsula Borough,Alaska,02,122,2893.0
Kodiak Island Borough,Alaska,02,150,723.0
Matanuska-Susitna Borough,Alaska,02,170,5398.0
Nome Census Area,Alaska,02,180,416.0
North Slope Borough,Alaska,02,185,361.0
Sitka City and Borough,Alaska,02,220,470.0
Southeast Fairbanks Census Area,Alaska,02,240,262.0
Valdez-Cordova Census Area,Alaska,02,261,426.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,242.0
Aleutians East Borough,Alaska,02,013,103.0
Aleutians West Census Area,Alaska,02,016,90.0
Dillingham Census Area,Alaska,02,070,276.0
Lake and Peninsula Borough,Alaska,02,164,49.0
Denali Borough,Alaska,02,068,72.0
Yukon-Koyukuk Census Area,Alaska,02,290,269.0
Hoonah-Angoon Census Area,Alaska,02,105,86.0
Skagway Municipality,Alaska,02,230,39.0
Yakutat City and Borough,Alaska,02,282,28.0
Ketchikan Gateway Borough,Alaska,02,130,975.0
Petersburg Borough,Alaska,02,195,131.0
Prince of Wales-Hyder Census Area,Alaska,02,198,263.0
Wrangell City and Borough,Alaska,02,275,125.0
Apache County,Arizona,04,001,1713.0
Cochise County,Arizona,04,003,6706.0
Coconino County,Arizona,04,005,4829.0
Gila County,Arizona,04,007,3817.0
Graham County,Arizona,04,009,2139.0
Greenlee County,Arizona,04,011,381.0
Maricopa County,Arizona,04,013,194505.0
Mohave County,Arizona,04,015,14481.0
Navajo County,Arizona,04,017,4356.0
Pima County,Arizona,04,019,48243.0
Pinal County,Arizona,04,021,26343.0
Santa Cruz County,Arizona,04,023,1408.0
Yavapai County,Arizona,04,025,14171.0
La Paz County,Arizona,04,012,866.0
Yuma County,Arizona,04,027,9292.0
Arkansas County,Arkansas,05,001,835.0
Ashley County,Arkansas,05,003,822.0
Baxter County,Arkansas,05,005,3025.0
Benton County,Arkansas,05,007,9958.0
Boone County,Arkansas,05,009,2325.0
Bradley County,Arkansas,05,011,321.0
Calhoun County,Arkansas,05,013,191.0
Carroll County,Arkansas,05,015,1543.0
Chicot County,Arkansas,05,017,374.0
Clark County,Arkansas,05,019,821.0
Clay County,Arkansas,05,021,822.0
Cleburne County,Arkansas,05,023,1439.0
Cleveland County,Arkansas,05,025,310.0
Columbia County,Arkansas,05,027,912.0
Conway County,Arkansas,05,029,979.0
Craighead County,Arkansas,05,031,4386.0
Crawford County,Arkansas,05,033,3534.0
Crittenden County,Arkansas,05,035,1979.0
Cross County,Arkansas,05,037,692.0
Dallas County,Arkansas,05,039,301.0
Desha County,Arkansas,05,041,577.0
Drew County,Arkansas,05,043,568.0
Faulkner County,Arkansas,05,045,4266.0
Franklin County,Arkansas,05,047,962.0
Fulton County,Arkansas,05,049,1056.0
Garland County,Arkansas,05,051,5758.0
Grant County,Arkansas,05,053,1034.0
Greene County,Arkansas,05,055,2213.0
Hempstead County,Arkansas,05,057,837.0
Hot Spring County,Arkansas,05,059,1745.0
Howard County,Arkansas,05,061,481.0
Independence County,Arkansas,05,063,1913.0
Izard County,Arkansas,05,065,603.0
Jackson County,Arkansas,05,067,764.0
Jefferson County,Arkansas,05,069,3714.0
Johnson County,Arkansas,05,071,1025.0
Lafayette County,Arkansas,05,073,208.0
Lawrence County,Arkansas,05,075,924.0
Lee County,Arkansas,05,077,370.0
Lincoln County,Arkansas,05,079,482.0
Little River County,Arkansas,05,081,919.0
Logan County,Arkansas,05,083,920.0
Lonoke County,Arkansas,05,085,3596.0
Madison County,Arkansas,05,087,657.0
Marion County,Arkansas,05,089,978.0
Miller County,Arkansas,05,091,2920.0
Mississippi County,Arkansas,05,093,2324.0
Monroe County,Arkansas,05,095,297.0
Montgomery County,Arkansas,05,097,574.0
Nevada County,Arkansas,05,099,231.0
Newton County,Arkansas,05,101,234.0
Ouachita County,Arkansas,05,103,1215.0
Perry County,Arkansas,05,105,540.0
Phillips County,Arkansas,05,107,996.0
Pike County,Arkansas,05,109,724.0
Poinsett County,Arkansas,05,111,1134.0
Polk County,Arkansas,05,113,1418.0
Pope County,Arkansas,05,115,2982.0
Prairie County,Arkansas,05,117,361.0
Pulaski County,Arkansas,05,119,15678.0
Randolph County,Arkansas,05,121,878.0
Saint Francis County,Arkansas,05,123,1056.0
Saline County,Arkansas,05,125,5492.0
Scott County,Arkansas,05,127,525.0
Searcy County,Arkansas,05,129,393.0
Sebastian County,Arkansas,05,131,6514.0
Sevier County,Arkansas,05,133,688.0
Sharp County,Arkansas,05,135,1021.0
Stone County,Arkansas,05,137,580.0
Union County,Arkansas,05,139,1707.0
