County,State,State_FIPS,County_FIPS,doctorate_degree
Autauga County,Alabama,01,001,179.0
Baldwin County,Alabama,01,003,1411.0
Barbour County,Alabama,01,005,66.0
Bibb County,Alabama,01,007,55.0
Blount County,Alabama,01,009,126.0
Bullock County,Alabama,01,011,33.0
Butler County,Alabama,01,013,97.0
Calhoun County,Alabama,01,015,649.0
Chambers County,Alabama,01,017,71.0
Cherokee County,Alabama,01,019,111.0
Chilton County,Alabama,01,021,129.0
Choctaw County,Alabama,01,023,10.0
Clarke County,Alabama,01,025,89.0
Clay County,Alabama,01,027,58.0
Cleburne County,Alabama,01,029,50.0
Coffee County,Alabama,01,031,227.0
Colbert County,Alabama,01,033,333.0
Conecuh County,Alabama,01,035,10.0
Coosa County,Alabama,01,037,27.0
Covington County,Alabama,01,039,59.0
Crenshaw County,Alabama,01,041,28.0
Cullman County,Alabama,01,043,201.0
Dale County,Alabama,01,045,106.0
Dallas County,Alabama,01,047,132.0
DeKalb County,Alabama,01,049,186.0
Elmore County,Alabama,01,051,230.0
Escambia County,Alabama,01,053,76.0
Etowah County,Alabama,01,055,404.0
Fayette County,Alabama,01,057,61.0
Franklin County,Alabama,01,059,37.0
Geneva County,Alabama,01,061,7.0
Greene County,Alabama,01,063,5.0
Hale County,Alabama,01,065,26.0
Henry County,Alabama,01,067,30.0
Houston County,Alabama,01,069,526.0
Jackson County,Alabama,01,071,147.0
Jefferson County,Alabama,01,073,7222.0
Lamar County,Alabama,01,075,33.0
Lauderdale County,Alabama,01,077,748.0
Lawrence County,Alabama,01,079,26.0
Lee County,Alabama,01,081,2893.0
Limestone County,Alabama,01,083,404.0
Lowndes County,Alabama,01,085,11.0
Macon County,Alabama,01,087,118.0
Madison County,Alabama,01,089,3774.0
Marengo County,Alabama,01,091,65.0
Marion County,Alabama,01,093,43.0
Marshall County,Alabama,01,095,266.0
Mobile County,Alabama,01,097,2343.0
Monroe County,Alabama,01,099,111.0
Montgomery County,Alabama,01,101,1905.0
Morgan County,Alabama,01,103,516.0
Perry County,Alabama,01,105,56.0
Pickens County,Alabama,01,107,97.0
Pike County,Alabama,01,109,318.0
Randolph County,Alabama,01,111,65.0
Russell County,Alabama,01,113,232.0
Saint Clair County,Alabama,01,115,381.0
Shelby County,Alabama,01,117,1698.0
Sumter County,Alabama,01,119,62.0
Talladega County,Alabama,01,121,219.0
Tallapoosa County,Alabama,01,123,154.0
Tuscaloosa County,Alabama,01,125,2281.0
Walker County,Alabama,01,127,161.0
Washington County,Alabama,01,129,3.0
Wilcox County,Alabama,01,131,25.0
Winston County,Alabama,01,133,110.0
Anchorage Municipality,Alaska,02,020,2358.0
Bethel Census Area,Alaska,02,050,47.0
Bristol Bay Borough,Alaska,02,060,0.0
Fairbanks North Star Borough,Alaska,02,090,1235.0
Haines Borough,Alaska,02,100,20.0
Juneau City and Borough,Alaska,02,110,268.0
Kenai Peninsula Borough,Alaska,02,122,232.0
Kodiak Island Borough,Alaska,02,150,41.0
Matanuska-Susitna Borough,Alaska,02,170,417.0
Nome Census Area,Alaska,02,180,23.0
North Slope Borough,Alaska,02,185,13.0
Sitka City and Borough,Alaska,02,220,68.0
Southeast Fairbanks Census Area,Alaska,02,240,14.0
Valdez-Cordova Census Area,Alaska,02,261,39.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,29.0
Aleutians East Borough,Alaska,02,013,9.0
Aleutians West Census Area,Alaska,02,016,16.0
Dillingham Census Area,Alaska,02,070,6.0
Lake and Peninsula Borough,Alaska,02,164,1.0
Denali Borough,Alaska,02,068,19.0
Yukon-Koyukuk Census Area,Alaska,02,290,5.0
Hoonah-Angoon Census Area,Alaska,02,105,7.0
Skagway Municipality,Alaska,02,230,8.0
Yakutat City and Borough,Alaska,02,282,1.0
Ketchikan Gateway Borough,Alaska,02,130,74.0
Petersburg Borough,Alaska,02,195,5.0
Prince of Wales-Hyder Census Area,Alaska,02,198,39.0
Wrangell City and Borough,Alaska,02,275,7.0
Apache County,Arizona,04,001,117.0
Cochise County,Arizona,04,003,669.0
Coconino County,Arizona,04,005,1895.0
Gila County,Arizona,04,007,334.0
Graham County,Arizona,04,009,77.0
Greenlee County,Arizona,04,011,0.0
Maricopa County,Arizona,04,013,29964.0
Mohave County,Arizona,04,015,794.0
Navajo County,Arizona,04,017,393.0
Pima County,Arizona,04,019,12384.0
Pinal County,Arizona,04,021,1963.0
Santa Cruz County,Arizona,04,023,317.0
Yavapai County,Arizona,04,025,1797.0
La Paz County,Arizona,04,012,123.0
Yuma County,Arizona,04,027,447.0
Arkansas County,Arkansas,05,001,69.0
Ashley County,Arkansas,05,003,91.0
Baxter County,Arkansas,05,005,79.0
Benton County,Arkansas,05,007,1415.0
Boone County,Arkansas,05,009,166.0
Bradley County,Arkansas,05,011,35.0
Calhoun County,Arkansas,05,013,16.0
Carroll County,Arkansas,05,015,179.0
Chicot County,Arkansas,05,017,22.0
Clark County,Arkansas,05,019,265.0
Clay County,Arkansas,05,021,25.0
Cleburne County,Arkansas,05,023,180.0
Cleveland County,Arkansas,05,025,15.0
Columbia County,Arkansas,05,027,85.0
Conway County,Arkansas,05,029,75.0
Craighead County,Arkansas,05,031,959.0
Crawford County,Arkansas,05,033,216.0
Crittenden County,Arkansas,05,035,96.0
Cross County,Arkansas,05,037,50.0
Dallas County,Arkansas,05,039,0.0
Desha County,Arkansas,05,041,24.0
Drew County,Arkansas,05,043,173.0
Faulkner County,Arkansas,05,045,1182.0
Franklin County,Arkansas,05,047,50.0
Fulton County,Arkansas,05,049,10.0
Garland County,Arkansas,05,051,627.0
Grant County,Arkansas,05,053,61.0
Greene County,Arkansas,05,055,136.0
Hempstead County,Arkansas,05,057,46.0
Hot Spring County,Arkansas,05,059,70.0
Howard County,Arkansas,05,061,7.0
Independence County,Arkansas,05,063,212.0
Izard County,Arkansas,05,065,24.0
Jackson County,Arkansas,05,067,16.0
Jefferson County,Arkansas,05,069,336.0
Johnson County,Arkansas,05,071,80.0
Lafayette County,Arkansas,05,073,0.0
Lawrence County,Arkansas,05,075,43.0
Lee County,Arkansas,05,077,12.0
Lincoln County,Arkansas,05,079,36.0
Little River County,Arkansas,05,081,13.0
Logan County,Arkansas,05,083,38.0
Lonoke County,Arkansas,05,085,101.0
Madison County,Arkansas,05,087,93.0
Marion County,Arkansas,05,089,55.0
Miller County,Arkansas,05,091,92.0
Mississippi County,Arkansas,05,093,214.0
Monroe County,Arkansas,05,095,3.0
Montgomery County,Arkansas,05,097,26.0
Nevada County,Arkansas,05,099,28.0
Newton County,Arkansas,05,101,17.0
Ouachita County,Arkansas,05,103,51.0
Perry County,Arkansas,05,105,32.0
Phillips County,Arkansas,05,107,71.0
Pike County,Arkansas,05,109,39.0
Poinsett County,Arkansas,05,111,56.0
Polk County,Arkansas,05,113,43.0
Pope County,Arkansas,05,115,408.0
Prairie County,Arkansas,05,117,17.0
Pulaski County,Arkansas,05,119,4645.0
Randolph County,Arkansas,05,121,53.0
Saint Francis County,Arkansas,05,123,79.0
Saline County,Arkansas,05,125,686.0
Scott County,Arkansas,05,127,49.0
Searcy County,Arkansas,05,129,15.0
Sebastian County,Arkansas,05,131,637.0
Sevier County,Arkansas,05,133,7.0
Sharp County,Arkansas,05,135,45.0
Stone County,Arkansas,05,137,0.0
Union County,Arkansas,05,139,133.0
Van Buren County,Arkansas,05,141,28.0
Washington County,Arkansas,05,143,2593.0
White County,Arkansas,05,145,756.0
Woodruff County,Arkansas,05,147,6.0
Yell County,Arkansas,05,149,36.0
Alameda County,California,06,001,30802.0
Alpine County,California,06,003,38.0
Amador County,California,06,005,201.0
Butte County,California,06,007,1516.0
Calaveras County,California,06,009,130.0
Colusa County,California,06,011,47.0
Contra Costa County,California,06,013,14077.0
Del Norte County,California,06,015,265.0
El Dorado County,California,06,017,1673.0
Fresno County,California,06,019,4546.0
Glenn County,California,06,021,90.0
Humboldt County,California,06,023,1533.0
Imperial County,California,06,025,121.0
Inyo County,California,06,027,113.0
Kern County,California,06,029,3038.0
Kings County,California,06,031,204.0
Lake County,California,06,033,291.0
Lassen County,California,06,035,80.0
Los Angeles County,California,06,037,85223.0
Madera County,California,06,039,486.0
Marin County,California,06,041,6055.0
Mariposa County,California,06,043,167.0
Mendocino County,California,06,045,617.0
Merced County,California,06,047,922.0
Modoc County,California,06,049,39.0
Mono County,California,06,051,21.0
Monterey County,California,06,053,3617.0
Napa County,California,06,055,1401.0
Nevada County,California,06,057,875.0
Orange County,California,06,059,32667.0
Placer County,California,06,061,3225.0
Plumas County,California,06,063,118.0
Riverside County,California,06,065,12654.0
Sacramento County,California,06,067,9891.0
San Benito County,California,06,069,214.0
San Bernardino County,California,06,071,9298.0
San Diego County,California,06,073,43493.0
San Francisco County,California,06,075,16567.0
San Joaquin County,California,06,077,3161.0
San Luis Obispo County,California,06,079,3332.0
San Mateo County,California,06,081,15389.0
Santa Barbara County,California,06,083,6027.0
Santa Clara County,California,06,085,43627.0
Santa Cruz County,California,06,087,4247.0
Shasta County,California,06,089,954.0
Sierra County,California,06,091,9.0
Siskiyou County,California,06,093,225.0
Solano County,California,06,095,2557.0
Sonoma County,California,06,097,4499.0
Stanislaus County,California,06,099,1515.0
Sutter County,California,06,101,250.0
Tehama County,California,06,103,193.0
Trinity County,California,06,105,43.0
Tulare County,California,06,107,953.0
Tuolumne County,California,06,109,300.0
Ventura County,California,06,111,7647.0
Yolo County,California,06,113,6422.0
Yuba County,California,06,115,128.0
Alamosa County,Colorado,08,003,171.0
Archuleta County,Colorado,08,007,183.0
Baca County,Colorado,08,009,3.0
Bent County,Colorado,08,011,3.0
Chaffee County,Colorado,08,015,198.0
Cheyenne County,Colorado,08,017,3.0
Clear Creek County,Colorado,08,019,234.0
Conejos County,Colorado,08,021,26.0
Costilla County,Colorado,08,023,15.0
Crowley County,Colorado,08,025,2.0
Custer County,Colorado,08,027,42.0
Delta County,Colorado,08,029,80.0
Dolores County,Colorado,08,033,0.0
Douglas County,Colorado,08,035,3470.0
Eagle County,Colorado,08,037,209.0
Elbert County,Colorado,08,039,151.0
El Paso County,Colorado,08,041,5283.0
Fremont County,Colorado,08,043,180.0
Garfield County,Colorado,08,045,277.0
Gilpin County,Colorado,08,047,121.0
Grand County,Colorado,08,049,25.0
Gunnison County,Colorado,08,051,201.0
Huerfano County,Colorado,08,055,60.0
Jackson County,Colorado,08,057,12.0
