County,State,State_FIPS,County_FIPS,professional_degree
Autauga County,Alabama,01,001,426.0
Baldwin County,Alabama,01,003,2885.0
Barbour County,Alabama,01,005,90.0
Bibb County,Alabama,01,007,92.0
Blount County,Alabama,01,009,216.0
Bullock County,Alabama,01,011,115.0
Butler County,Alabama,01,013,132.0
Calhoun County,Alabama,01,015,997.0
Chambers County,Alabama,01,017,273.0
Cherokee County,Alabama,01,019,280.0
Chilton County,Alabama,01,021,289.0
Choctaw County,Alabama,01,023,45.0
Clarke County,Alabama,01,025,85.0
Clay County,Alabama,01,027,45.0
Cleburne County,Alabama,01,029,120.0
Coffee County,Alabama,01,031,307.0
Colbert County,Alabama,01,033,331.0
Conecuh County,Alabama,01,035,30.0
Coosa County,Alabama,01,037,12.0
Covington County,Alabama,01,039,265.0
Crenshaw County,Alabama,01,041,21.0
Cullman County,Alabama,01,043,634.0
Dale County,Alabama,01,045,270.0
Dallas County,Alabama,01,047,252.0
DeKalb County,Alabama,01,049,428.0
Elmore County,Alabama,01,051,603.0
Escambia County,Alabama,01,053,238.0
Etowah County,Alabama,01,055,918.0
Fayette County,Alabama,01,057,34.0
Franklin County,Alabama,01,059,142.0
Geneva County,Alabama,01,061,66.0
Greene County,Alabama,01,063,15.0
Hale County,Alabama,01,065,136.0
Henry County,Alabama,01,067,117.0
Houston County,Alabama,01,069,1058.0
Jackson County,Alabama,01,071,161.0
Jefferson County,Alabama,01,073,13878.0
Lamar County,Alabama,01,075,28.0
Lauderdale County,Alabama,01,077,667.0
Lawrence County,Alabama,01,079,62.0
Lee County,Alabama,01,081,1694.0
Limestone County,Alabama,01,083,553.0
Lowndes County,Alabama,01,085,33.0
Macon County,Alabama,01,087,165.0
Madison County,Alabama,01,089,3758.0
Marengo County,Alabama,01,091,83.0
Marion County,Alabama,01,093,104.0
Marshall County,Alabama,01,095,512.0
Mobile County,Alabama,01,097,3606.0
Monroe County,Alabama,01,099,67.0
Montgomery County,Alabama,01,101,3348.0
Morgan County,Alabama,01,103,897.0
Perry County,Alabama,01,105,11.0
Pickens County,Alabama,01,107,46.0
Pike County,Alabama,01,109,149.0
Randolph County,Alabama,01,111,89.0
Russell County,Alabama,01,113,251.0
Saint Clair County,Alabama,01,115,443.0
Shelby County,Alabama,01,117,3304.0
Sumter County,Alabama,01,119,52.0
Talladega County,Alabama,01,121,474.0
Tallapoosa County,Alabama,01,123,321.0
Tuscaloosa County,Alabama,01,125,1987.0
Walker County,Alabama,01,127,442.0
Washington County,Alabama,01,129,95.0
Wilcox County,Alabama,01,131,59.0
Winston County,Alabama,01,133,146.0
Anchorage Municipality,Alaska,02,020,5077.0
Bethel Census Area,Alaska,02,050,90.0
Bristol Bay Borough,Alaska,02,060,0.0
Fairbanks North Star Borough,Alaska,02,090,1073.0
Haines Borough,Alaska,02,100,89.0
Juneau City and Borough,Alaska,02,110,589.0
Kenai Peninsula Borough,Alaska,02,122,459.0
Kodiak Island Borough,Alaska,02,150,88.0
Matanuska-Susitna Borough,Alaska,02,170,714.0
Nome Census Area,Alaska,02,180,48.0
North Slope Borough,Alaska,02,185,6.0
Sitka City and Borough,Alaska,02,220,167.0
Southeast Fairbanks Census Area,Alaska,02,240,39.0
Valdez-Cordova Census Area,Alaska,02,261,61.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,21.0
Aleutians East Borough,Alaska,02,013,0.0
Aleutians West Census Area,Alaska,02,016,9.0
Dillingham Census Area,Alaska,02,070,71.0
Lake and Peninsula Borough,Alaska,02,164,27.0
Denali Borough,Alaska,02,068,16.0
Yukon-Koyukuk Census Area,Alaska,02,290,2.0
Hoonah-Angoon Census Area,Alaska,02,105,16.0
Skagway Municipality,Alaska,02,230,0.0
Yakutat City and Borough,Alaska,02,282,3.0
Ketchikan Gateway Borough,Alaska,02,130,167.0
Petersburg Borough,Alaska,02,195,7.0
