County,State,State_FIPS,County_FIPS,associates_degree
Autauga County,Alabama,01,001,2622
Baldwin County,Alabama,01,003,11164
Barbour County,Alabama,01,005,1377
Bibb County,Alabama,01,007,925
Blount County,Alabama,01,009,3396
Bullock County,Alabama,01,011,297
Butler County,Alabama,01,013,1027
Calhoun County,Alabama,01,015,5445
Chambers County,Alabama,01,017,1442
Cherokee County,Alabama,01,019,1234
Chilton County,Alabama,01,021,1991
Choctaw County,Alabama,01,023,764
Clarke County,Alabama,01,025,1431
Clay County,Alabama,01,027,806
Cleburne County,Alabama,01,029,664
Coffee County,Alabama,01,031,3076
Colbert County,Alabama,01,033,2828
Conecuh County,Alabama,01,035,766
Coosa County,Alabama,01,037,382
Covington County,Alabama,01,039,2210
Crenshaw County,Alabama,01,041,698
Cullman County,Alabama,01,043,5501
Dale County,Alabama,01,045,3498
Dallas County,Alabama,01,047,2002
DeKalb County,Alabama,01,049,3835
Elmore County,Alabama,01,051,4180
Escambia County,Alabama,01,053,1839
Etowah County,Alabama,01,055,5811
Fayette County,Alabama,01,057,780
Franklin County,Alabama,01,059,1503
Geneva County,Alabama,01,061,1331
Greene County,Alabama,01,063,225
Hale County,Alabama,01,065,619
Henry County,Alabama,01,067,1045
Houston County,Alabama,01,069,5833
Jackson County,Alabama,01,071,2308
Jefferson County,Alabama,01,073,32547
Lamar County,Alabama,01,075,566
Lauderdale County,Alabama,01,077,4047
Lawrence County,Alabama,01,079,1479
Lee County,Alabama,01,081,6035
Limestone County,Alabama,01,083,4154
Lowndes County,Alabama,01,085,368
Macon County,Alabama,01,087,701
Madison County,Alabama,01,089,17206
Marengo County,Alabama,01,091,841
Marion County,Alabama,01,093,1718
Marshall County,Alabama,01,095,4822
Mobile County,Alabama,01,097,20967
Monroe County,Alabama,01,099,1205
Montgomery County,Alabama,01,101,8344
Morgan County,Alabama,01,103,5998
Perry County,Alabama,01,105,422
Pickens County,Alabama,01,107,815
Pike County,Alabama,01,109,708
Randolph County,Alabama,01,111,1062
Russell County,Alabama,01,113,3153
Saint Clair County,Alabama,01,115,4321
Shelby County,Alabama,01,117,9754
Sumter County,Alabama,01,119,458
Talladega County,Alabama,01,121,4221
Tallapoosa County,Alabama,01,123,2294
Tuscaloosa County,Alabama,01,125,7128
Walker County,Alabama,01,127,3612
Washington County,Alabama,01,129,775
Wilcox County,Alabama,01,131,452
Winston County,Alabama,01,133,1445
Anchorage Municipality,Alaska,02,020,15235
Bethel Census Area,Alaska,02,050,298
Bristol Bay Borough,Alaska,02,060,28
Fairbanks North Star Borough,Alaska,02,090,5826
Haines Borough,Alaska,02,100,99
Juneau City and Borough,Alaska,02,110,1537
Kenai Peninsula Borough,Alaska,02,122,2850
Kodiak Island Borough,Alaska,02,150,780
Matanuska-Susitna Borough,Alaska,02,170,5119
Nome Census Area,Alaska,02,180,224
North Slope Borough,Alaska,02,185,497
Sitka City and Borough,Alaska,02,220,448
Southeast Fairbanks Census Area,Alaska,02,240,428
Valdez-Cordova Census Area,Alaska,02,261,633
Wade Hampton Census Area,Alaska,02,270,82
Northwest Arctic Borough,Alaska,02,188,116
Aleutians East Borough,Alaska,02,013,97
Aleutians West Census Area,Alaska,02,016,234
Dillingham Census Area,Alaska,02,070,154
Lake and Peninsula Borough,Alaska,02,164,29
Denali Borough,Alaska,02,068,114
Yukon-Koyukuk Census Area,Alaska,02,290,179
Hoonah-Angoon Census Area,Alaska,02,105,106
Skagway Municipality,Alaska,02,230,27
Yakutat City and Borough,Alaska,02,282,20
Ketchikan Gateway Borough,Alaska,02,130,661
Petersburg Borough,Alaska,02,195,264
Prince of Wales-Hyder Census Area,Alaska,02,198,174
Wrangell City and Borough,Alaska,02,275,92
Apache County,Arizona,04,001,3191
Cochise County,Arizona,04,003,8732
Coconino County,Arizona,04,005,6965
Gila County,Arizona,04,007,3389
Graham County,Arizona,04,009,1636
Greenlee County,Arizona,04,011,378
Maricopa County,Arizona,04,013,207240
Mohave County,Arizona,04,015,11111
Navajo County,Arizona,04,017,5493
Pima County,Arizona,04,019,53567
Pinal County,Arizona,04,021,23352
Santa Cruz County,Arizona,04,023,1914
Yavapai County,Arizona,04,025,14074
La Paz County,Arizona,04,012,1086
Yuma County,Arizona,04,027,8375
Arkansas County,Arkansas,05,001,830
Ashley County,Arkansas,05,003,613
Baxter County,Arkansas,05,005,2462
Benton County,Arkansas,05,007,8256
Boone County,Arkansas,05,009,1702
Bradley County,Arkansas,05,011,337
Calhoun County,Arkansas,05,013,255
Carroll County,Arkansas,05,015,1118
Chicot County,Arkansas,05,017,211
Clark County,Arkansas,05,019,994
Clay County,Arkansas,05,021,518
Cleburne County,Arkansas,05,023,1120
Cleveland County,Arkansas,05,025,499
Columbia County,Arkansas,05,027,1147
Conway County,Arkansas,05,029,639
Craighead County,Arkansas,05,031,3325
Crawford County,Arkansas,05,033,3165
Crittenden County,Arkansas,05,035,1668
Cross County,Arkansas,05,037,534
Dallas County,Arkansas,05,039,282
Desha County,Arkansas,05,041,333
Drew County,Arkansas,05,043,521
Faulkner County,Arkansas,05,045,4671
Franklin County,Arkansas,05,047,858
Fulton County,Arkansas,05,049,611
Garland County,Arkansas,05,051,5336
Grant County,Arkansas,05,053,815
Greene County,Arkansas,05,055,1263
Hempstead County,Arkansas,05,057,978
Hot Spring County,Arkansas,05,059,1946
Howard County,Arkansas,05,061,414
Independence County,Arkansas,05,063,1401
Izard County,Arkansas,05,065,567
Jackson County,Arkansas,05,067,645
Jefferson County,Arkansas,05,069,2601
Johnson County,Arkansas,05,071,506
Lafayette County,Arkansas,05,073,178
Lawrence County,Arkansas,05,075,752
Lee County,Arkansas,05,077,321
Lincoln County,Arkansas,05,079,393
Little River County,Arkansas,05,081,709
Logan County,Arkansas,05,083,922
Lonoke County,Arkansas,05,085,3676
Madison County,Arkansas,05,087,306
Marion County,Arkansas,05,089,646
Miller County,Arkansas,05,091,1482
Mississippi County,Arkansas,05,093,2021
Monroe County,Arkansas,05,095,385
Montgomery County,Arkansas,05,097,504
Nevada County,Arkansas,05,099,358
Newton County,Arkansas,05,101,343
Ouachita County,Arkansas,05,103,1178
Perry County,Arkansas,05,105,383
Phillips County,Arkansas,05,107,1287
Pike County,Arkansas,05,109,511
Poinsett County,Arkansas,05,111,735
Polk County,Arkansas,05,113,1130
Pope County,Arkansas,05,115,1845
Prairie County,Arkansas,05,117,276
Pulaski County,Arkansas,05,119,16478
Randolph County,Arkansas,05,121,864
Saint Francis County,Arkansas,05,123,1138
Saline County,Arkansas,05,125,5147
Scott County,Arkansas,05,127,405
