County,State,State_FIPS,County_FIPS,professional_degree
Autauga County,Alabama,01,001,350
Baldwin County,Alabama,01,003,2111
Barbour County,Alabama,01,005,171
Bibb County,Alabama,01,007,58
Blount County,Alabama,01,009,253
Bullock County,Alabama,01,011,158
Butler County,Alabama,01,013,61
Calhoun County,Alabama,01,015,609
Chambers County,Alabama,01,017,122
Cherokee County,Alabama,01,019,192
Chilton County,Alabama,01,021,161
Choctaw County,Alabama,01,023,79
Clarke County,Alabama,01,025,133
Clay County,Alabama,01,027,35
Cleburne County,Alabama,01,029,102
Coffee County,Alabama,01,031,404
Colbert County,Alabama,01,033,440
Conecuh County,Alabama,01,035,55
Coosa County,Alabama,01,037,29
Covington County,Alabama,01,039,190
Crenshaw County,Alabama,01,041,33
Cullman County,Alabama,01,043,739
Dale County,Alabama,01,045,284
Dallas County,Alabama,01,047,210
DeKalb County,Alabama,01,049,274
Elmore County,Alabama,01,051,452
Escambia County,Alabama,01,053,143
Etowah County,Alabama,01,055,703
Fayette County,Alabama,01,057,15
Franklin County,Alabama,01,059,137
Geneva County,Alabama,01,061,48
Greene County,Alabama,01,063,44
Hale County,Alabama,01,065,37
Henry County,Alabama,01,067,100
Houston County,Alabama,01,069,881
Jackson County,Alabama,01,071,425
Jefferson County,Alabama,01,073,12244
Lamar County,Alabama,01,075,78
Lauderdale County,Alabama,01,077,707
Lawrence County,Alabama,01,079,151
Lee County,Alabama,01,081,1457
Limestone County,Alabama,01,083,349
Lowndes County,Alabama,01,085,52
Macon County,Alabama,01,087,129
Madison County,Alabama,01,089,4049
Marengo County,Alabama,01,091,106
Marion County,Alabama,01,093,159
Marshall County,Alabama,01,095,589
Mobile County,Alabama,01,097,3617
Monroe County,Alabama,01,099,117
Montgomery County,Alabama,01,101,2993
Morgan County,Alabama,01,103,927
Perry County,Alabama,01,105,18
Pickens County,Alabama,01,107,44
Pike County,Alabama,01,109,162
Randolph County,Alabama,01,111,34
Russell County,Alabama,01,113,219
Saint Clair County,Alabama,01,115,434
Shelby County,Alabama,01,117,3106
Sumter County,Alabama,01,119,17
Talladega County,Alabama,01,121,502
Tallapoosa County,Alabama,01,123,251
Tuscaloosa County,Alabama,01,125,2260
Walker County,Alabama,01,127,443
Washington County,Alabama,01,129,60
Wilcox County,Alabama,01,131,41
Winston County,Alabama,01,133,93
Anchorage Municipality,Alaska,02,020,4101
Bethel Census Area,Alaska,02,050,66
Bristol Bay Borough,Alaska,02,060,0
Fairbanks North Star Borough,Alaska,02,090,853
Haines Borough,Alaska,02,100,27
Juneau City and Borough,Alaska,02,110,673
Kenai Peninsula Borough,Alaska,02,122,326
Kodiak Island Borough,Alaska,02,150,122
Matanuska-Susitna Borough,Alaska,02,170,687
Nome Census Area,Alaska,02,180,34
North Slope Borough,Alaska,02,185,19
Sitka City and Borough,Alaska,02,220,84
Southeast Fairbanks Census Area,Alaska,02,240,26
Valdez-Cordova Census Area,Alaska,02,261,76
Wade Hampton Census Area,Alaska,02,270,2
Northwest Arctic Borough,Alaska,02,188,47
Aleutians East Borough,Alaska,02,013,0
Aleutians West Census Area,Alaska,02,016,5
Dillingham Census Area,Alaska,02,070,53
Lake and Peninsula Borough,Alaska,02,164,2
Denali Borough,Alaska,02,068,8
Yukon-Koyukuk Census Area,Alaska,02,290,6
Hoonah-Angoon Census Area,Alaska,02,105,27
Skagway Municipality,Alaska,02,230,0
Yakutat City and Borough,Alaska,02,282,2
Ketchikan Gateway Borough,Alaska,02,130,146
Petersburg Borough,Alaska,02,195,22
Prince of Wales-Hyder Census Area,Alaska,02,198,12
Wrangell City and Borough,Alaska,02,275,5
Apache County,Arizona,04,001,148
Cochise County,Arizona,04,003,737
Coconino County,Arizona,04,005,1452
Gila County,Arizona,04,007,337
Graham County,Arizona,04,009,125
Greenlee County,Arizona,04,011,5
Maricopa County,Arizona,04,013,46882
Mohave County,Arizona,04,015,1166
Navajo County,Arizona,04,017,697
Pima County,Arizona,04,019,12862
Pinal County,Arizona,04,021,1666
Santa Cruz County,Arizona,04,023,384
Yavapai County,Arizona,04,025,2279
La Paz County,Arizona,04,012,58
Yuma County,Arizona,04,027,1021
Arkansas County,Arkansas,05,001,68
Ashley County,Arkansas,05,003,97
Baxter County,Arkansas,05,005,293
Benton County,Arkansas,05,007,1752
Boone County,Arkansas,05,009,274
Bradley County,Arkansas,05,011,80
Calhoun County,Arkansas,05,013,13
Carroll County,Arkansas,05,015,156
Chicot County,Arkansas,05,017,45
Clark County,Arkansas,05,019,187
Clay County,Arkansas,05,021,63
Cleburne County,Arkansas,05,023,257
Cleveland County,Arkansas,05,025,16
Columbia County,Arkansas,05,027,54
Conway County,Arkansas,05,029,108
Craighead County,Arkansas,05,031,964
Crawford County,Arkansas,05,033,331
Crittenden County,Arkansas,05,035,177
Cross County,Arkansas,05,037,63
Dallas County,Arkansas,05,039,35
Desha County,Arkansas,05,041,6
Drew County,Arkansas,05,043,62
Faulkner County,Arkansas,05,045,710
Franklin County,Arkansas,05,047,127
Fulton County,Arkansas,05,049,56
Garland County,Arkansas,05,051,1116
Grant County,Arkansas,05,053,108
Greene County,Arkansas,05,055,245
Hempstead County,Arkansas,05,057,61
Hot Spring County,Arkansas,05,059,29
Howard County,Arkansas,05,061,74
Independence County,Arkansas,05,063,257
Izard County,Arkansas,05,065,45
Jackson County,Arkansas,05,067,31
Jefferson County,Arkansas,05,069,492
Johnson County,Arkansas,05,071,110
Lafayette County,Arkansas,05,073,6
Lawrence County,Arkansas,05,075,69
Lee County,Arkansas,05,077,35
Lincoln County,Arkansas,05,079,8
Little River County,Arkansas,05,081,8
Logan County,Arkansas,05,083,49
Lonoke County,Arkansas,05,085,209
Madison County,Arkansas,05,087,35
