County,State,State_FIPS,County_FIPS,masters_degree
Autauga County,Alabama,01,001,3406.0
Baldwin County,Alabama,01,003,11338.0
Barbour County,Alabama,01,005,606.0
Bibb County,Alabama,01,007,442.0
Blount County,Alabama,01,009,1405.0
Bullock County,Alabama,01,011,229.0
Butler County,Alabama,01,013,655.0
Calhoun County,Alabama,01,015,4372.0
Chambers County,Alabama,01,017,602.0
Cherokee County,Alabama,01,019,665.0
Chilton County,Alabama,01,021,1120.0
Choctaw County,Alabama,01,023,376.0
Clarke County,Alabama,01,025,599.0
Clay County,Alabama,01,027,354.0
Cleburne County,Alabama,01,029,335.0
Coffee County,Alabama,01,031,2225.0
Colbert County,Alabama,01,033,2141.0
Conecuh County,Alabama,01,035,233.0
Coosa County,Alabama,01,037,226.0
Covington County,Alabama,01,039,1063.0
Crenshaw County,Alabama,01,041,348.0
Cullman County,Alabama,01,043,2076.0
Dale County,Alabama,01,045,1548.0
Dallas County,Alabama,01,047,1362.0
DeKalb County,Alabama,01,049,1822.0
Elmore County,Alabama,01,051,3589.0
Escambia County,Alabama,01,053,951.0
Etowah County,Alabama,01,055,3483.0
Fayette County,Alabama,01,057,369.0
Franklin County,Alabama,01,059,850.0
Geneva County,Alabama,01,061,685.0
Greene County,Alabama,01,063,151.0
Hale County,Alabama,01,065,308.0
Henry County,Alabama,01,067,718.0
Houston County,Alabama,01,069,4015.0
Jackson County,Alabama,01,071,1402.0
Jefferson County,Alabama,01,073,35007.0
Lamar County,Alabama,01,075,360.0
Lauderdale County,Alabama,01,077,4326.0
Lawrence County,Alabama,01,079,816.0
Lee County,Alabama,01,081,9311.0
Limestone County,Alabama,01,083,4363.0
Lowndes County,Alabama,01,085,285.0
Macon County,Alabama,01,087,845.0
Madison County,Alabama,01,089,30633.0
Marengo County,Alabama,01,091,737.0
Marion County,Alabama,01,093,994.0
Marshall County,Alabama,01,095,3411.0
Mobile County,Alabama,01,097,16118.0
Monroe County,Alabama,01,099,682.0
Montgomery County,Alabama,01,101,14343.0
Morgan County,Alabama,01,103,4098.0
Perry County,Alabama,01,105,347.0
Pickens County,Alabama,01,107,499.0
Pike County,Alabama,01,109,1180.0
Randolph County,Alabama,01,111,748.0
Russell County,Alabama,01,113,2067.0
Saint Clair County,Alabama,01,115,2550.0
Shelby County,Alabama,01,117,14877.0
Sumter County,Alabama,01,119,674.0
Talladega County,Alabama,01,121,2275.0
Tallapoosa County,Alabama,01,123,1285.0
Tuscaloosa County,Alabama,01,125,10342.0
Walker County,Alabama,01,127,1375.0
Washington County,Alabama,01,129,416.0
Wilcox County,Alabama,01,131,175.0
Winston County,Alabama,01,133,634.0
Anchorage Municipality,Alaska,02,020,17709.0
Bethel Census Area,Alaska,02,050,341.0
Bristol Bay Borough,Alaska,02,060,26.0
Fairbanks North Star Borough,Alaska,02,090,4970.0
Haines Borough,Alaska,02,100,187.0
