County,State,State_FIPS,County_FIPS,professional_degree
Autauga County,Alabama,01,001,510.0
Baldwin County,Alabama,01,003,2992.0
Barbour County,Alabama,01,005,92.0
Bibb County,Alabama,01,007,87.0
Blount County,Alabama,01,009,240.0
Bullock County,Alabama,01,011,142.0
Butler County,Alabama,01,013,136.0
Calhoun County,Alabama,01,015,987.0
Chambers County,Alabama,01,017,245.0
Cherokee County,Alabama,01,019,358.0
Chilton County,Alabama,01,021,267.0
Choctaw County,Alabama,01,023,38.0
Clarke County,Alabama,01,025,99.0
Clay County,Alabama,01,027,58.0
Cleburne County,Alabama,01,029,130.0
Coffee County,Alabama,01,031,310.0
Colbert County,Alabama,01,033,381.0
Conecuh County,Alabama,01,035,29.0
Coosa County,Alabama,01,037,21.0
Covington County,Alabama,01,039,257.0
Crenshaw County,Alabama,01,041,35.0
Cullman County,Alabama,01,043,572.0
Dale County,Alabama,01,045,263.0
Dallas County,Alabama,01,047,263.0
DeKalb County,Alabama,01,049,433.0
Elmore County,Alabama,01,051,647.0
Escambia County,Alabama,01,053,150.0
Etowah County,Alabama,01,055,992.0
Fayette County,Alabama,01,057,37.0
Franklin County,Alabama,01,059,90.0
Geneva County,Alabama,01,061,77.0
Greene County,Alabama,01,063,17.0
Hale County,Alabama,01,065,135.0
Henry County,Alabama,01,067,130.0
Houston County,Alabama,01,069,1101.0
Jackson County,Alabama,01,071,159.0
Jefferson County,Alabama,01,073,13882.0
Lamar County,Alabama,01,075,26.0
Lauderdale County,Alabama,01,077,681.0
Lawrence County,Alabama,01,079,88.0
Lee County,Alabama,01,081,1825.0
Limestone County,Alabama,01,083,626.0
Lowndes County,Alabama,01,085,32.0
Macon County,Alabama,01,087,167.0
Madison County,Alabama,01,089,3796.0
Marengo County,Alabama,01,091,67.0
Marion County,Alabama,01,093,83.0
Marshall County,Alabama,01,095,589.0
Mobile County,Alabama,01,097,3454.0
Monroe County,Alabama,01,099,75.0
Montgomery County,Alabama,01,101,3439.0
