County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Autauga County,Alabama,01,001,5319.0
Baldwin County,Alabama,01,003,22336.0
Barbour County,Alabama,01,005,2030.0
Bibb County,Alabama,01,007,2186.0
Blount County,Alabama,01,009,5648.0
Bullock County,Alabama,01,011,994.0
Butler County,Alabama,01,013,1820.0
Calhoun County,Alabama,01,015,14406.0
Chambers County,Alabama,01,017,3554.0
Cherokee County,Alabama,01,019,2895.0
Chilton County,Alabama,01,021,3557.0
Choctaw County,Alabama,01,023,1193.0
Clarke County,Alabama,01,025,2104.0
Clay County,Alabama,01,027,1366.0
Cleburne County,Alabama,01,029,1262.0
Coffee County,Alabama,01,031,5856.0
Colbert County,Alabama,01,033,6426.0
Conecuh County,Alabama,01,035,841.0
Coosa County,Alabama,01,037,1399.0
Covington County,Alabama,01,039,3870.0
Crenshaw County,Alabama,01,041,1196.0
Cullman County,Alabama,01,043,8274.0
Dale County,Alabama,01,045,6164.0
Dallas County,Alabama,01,047,4243.0
DeKalb County,Alabama,01,049,5838.0
Elmore County,Alabama,01,051,8000.0
Escambia County,Alabama,01,053,3222.0
Etowah County,Alabama,01,055,13040.0
Fayette County,Alabama,01,057,1582.0
Franklin County,Alabama,01,059,2648.0
Geneva County,Alabama,01,061,2678.0
Greene County,Alabama,01,063,1020.0
Hale County,Alabama,01,065,1446.0
Henry County,Alabama,01,067,1734.0
Houston County,Alabama,01,069,12257.0
Jackson County,Alabama,01,071,4861.0
Jefferson County,Alabama,01,073,75481.0
Lamar County,Alabama,01,075,1495.0
Lauderdale County,Alabama,01,077,9488.0
Lawrence County,Alabama,01,079,3199.0
Lee County,Alabama,01,081,16113.0
Limestone County,Alabama,01,083,9783.0
Lowndes County,Alabama,01,085,971.0
Macon County,Alabama,01,087,2308.0
Madison County,Alabama,01,089,36225.0
Marengo County,Alabama,01,091,1797.0
Marion County,Alabama,01,093,3136.0
Marshall County,Alabama,01,095,9588.0
Mobile County,Alabama,01,097,45361.0
Monroe County,Alabama,01,099,1683.0
Montgomery County,Alabama,01,101,23661.0
Morgan County,Alabama,01,103,13833.0
Perry County,Alabama,01,105,857.0
Pickens County,Alabama,01,107,2502.0
Pike County,Alabama,01,109,2616.0
Randolph County,Alabama,01,111,1931.0
Russell County,Alabama,01,113,6740.0
Saint Clair County,Alabama,01,115,9914.0
Shelby County,Alabama,01,117,22790.0
Sumter County,Alabama,01,119,1172.0
Talladega County,Alabama,01,121,9041.0
Tallapoosa County,Alabama,01,123,4017.0
Tuscaloosa County,Alabama,01,125,20402.0
Walker County,Alabama,01,127,6396.0
Washington County,Alabama,01,129,1334.0
Wilcox County,Alabama,01,131,1005.0
Winston County,Alabama,01,133,2017.0
Anchorage Municipality,Alaska,02,020,36098.0
Bethel Census Area,Alaska,02,050,1218.0
Bristol Bay Borough,Alaska,02,060,163.0
Fairbanks North Star Borough,Alaska,02,090,13695.0
Haines Borough,Alaska,02,100,329.0
Juneau City and Borough,Alaska,02,110,4912.0
Kenai Peninsula Borough,Alaska,02,122,8302.0
Kodiak Island Borough,Alaska,02,150,1640.0
Matanuska-Susitna Borough,Alaska,02,170,14044.0
Nome Census Area,Alaska,02,180,818.0
North Slope Borough,Alaska,02,185,1235.0
Sitka City and Borough,Alaska,02,220,968.0
Southeast Fairbanks Census Area,Alaska,02,240,934.0
Valdez-Cordova Census Area,Alaska,02,261,1134.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,527.0
Aleutians East Borough,Alaska,02,013,558.0
Aleutians West Census Area,Alaska,02,016,940.0
Dillingham Census Area,Alaska,02,070,448.0
Lake and Peninsula Borough,Alaska,02,164,158.0
Denali Borough,Alaska,02,068,291.0
Yukon-Koyukuk Census Area,Alaska,02,290,723.0
Hoonah-Angoon Census Area,Alaska,02,105,319.0
Skagway Municipality,Alaska,02,230,209.0
Yakutat City and Borough,Alaska,02,282,111.0
Ketchikan Gateway Borough,Alaska,02,130,1827.0
Petersburg Borough,Alaska,02,195,385.0
Prince of Wales-Hyder Census Area,Alaska,02,198,976.0
Wrangell City and Borough,Alaska,02,275,279.0
Apache County,Arizona,04,001,10718.0
Cochise County,Arizona,04,003,18657.0
Coconino County,Arizona,04,005,14615.0
Gila County,Arizona,04,007,7831.0
Graham County,Arizona,04,009,4959.0
Greenlee County,Arizona,04,011,1401.0
Maricopa County,Arizona,04,013,479209.0
Mohave County,Arizona,04,015,29922.0
Navajo County,Arizona,04,017,16127.0
Pima County,Arizona,04,019,120769.0
Pinal County,Arizona,04,021,50924.0
Santa Cruz County,Arizona,04,023,4775.0
Yavapai County,Arizona,04,025,35080.0
La Paz County,Arizona,04,012,3018.0
Yuma County,Arizona,04,027,22120.0
Arkansas County,Arkansas,05,001,1941.0
Ashley County,Arkansas,05,003,2261.0
Baxter County,Arkansas,05,005,5210.0
Benton County,Arkansas,05,007,24759.0
Boone County,Arkansas,05,009,4876.0
Bradley County,Arkansas,05,011,1270.0
Calhoun County,Arkansas,05,013,521.0
Carroll County,Arkansas,05,015,3635.0
Chicot County,Arkansas,05,017,1285.0
Clark County,Arkansas,05,019,2101.0
Clay County,Arkansas,05,021,1440.0
Cleburne County,Arkansas,05,023,2764.0
Cleveland County,Arkansas,05,025,773.0
Columbia County,Arkansas,05,027,2021.0
Conway County,Arkansas,05,029,1857.0
Craighead County,Arkansas,05,031,10165.0
Crawford County,Arkansas,05,033,6353.0
Crittenden County,Arkansas,05,035,4973.0
Cross County,Arkansas,05,037,1284.0
Dallas County,Arkansas,05,039,761.0
Desha County,Arkansas,05,041,915.0
Drew County,Arkansas,05,043,1876.0
Faulkner County,Arkansas,05,045,12641.0
Franklin County,Arkansas,05,047,1796.0
Fulton County,Arkansas,05,049,1492.0
Garland County,Arkansas,05,051,14289.0
Grant County,Arkansas,05,053,1722.0
Greene County,Arkansas,05,055,4341.0
Hempstead County,Arkansas,05,057,2047.0
Hot Spring County,Arkansas,05,059,3363.0
Howard County,Arkansas,05,061,1592.0
Independence County,Arkansas,05,063,4093.0
Izard County,Arkansas,05,065,1629.0
Jackson County,Arkansas,05,067,1872.0
Jefferson County,Arkansas,05,069,7225.0
Johnson County,Arkansas,05,071,2078.0
Lafayette County,Arkansas,05,073,595.0
Lawrence County,Arkansas,05,075,1654.0
Lee County,Arkansas,05,077,887.0
Lincoln County,Arkansas,05,079,1166.0
Little River County,Arkansas,05,081,1705.0
Logan County,Arkansas,05,083,2279.0
Lonoke County,Arkansas,05,085,7446.0
Madison County,Arkansas,05,087,1372.0
Marion County,Arkansas,05,089,2122.0
Miller County,Arkansas,05,091,5493.0
Mississippi County,Arkansas,05,093,3717.0
Monroe County,Arkansas,05,095,724.0
Montgomery County,Arkansas,05,097,1010.0
Nevada County,Arkansas,05,099,909.0
Newton County,Arkansas,05,101,1021.0
Ouachita County,Arkansas,05,103,2435.0
Perry County,Arkansas,05,105,1081.0
Phillips County,Arkansas,05,107,2136.0
Pike County,Arkansas,05,109,1066.0
Poinsett County,Arkansas,05,111,2525.0
Polk County,Arkansas,05,113,2232.0
Pope County,Arkansas,05,115,5792.0
Prairie County,Arkansas,05,117,941.0
Pulaski County,Arkansas,05,119,46474.0
Randolph County,Arkansas,05,121,1866.0
Saint Francis County,Arkansas,05,123,3180.0
Saline County,Arkansas,05,125,14151.0
Scott County,Arkansas,05,127,770.0
Searcy County,Arkansas,05,129,767.0
Sebastian County,Arkansas,05,131,13700.0
Sevier County,Arkansas,05,133,1633.0
Sharp County,Arkansas,05,135,1944.0
Stone County,Arkansas,05,137,1337.0
Union County,Arkansas,05,139,4415.0
Van Buren County,Arkansas,05,141,1839.0
Washington County,Arkansas,05,143,20606.0
White County,Arkansas,05,145,6563.0
Woodruff County,Arkansas,05,147,615.0
Yell County,Arkansas,05,149,1915.0
Alameda County,California,06,001,156161.0
Alpine County,California,06,003,154.0
Amador County,California,06,005,6036.0
Butte County,California,06,007,31432.0
Calaveras County,California,06,009,7859.0
Colusa County,California,06,011,2153.0
Contra Costa County,California,06,013,122205.0
Del Norte County,California,06,015,3669.0
El Dorado County,California,06,017,25124.0
Fresno County,California,06,019,98985.0
Glenn County,California,06,021,3122.0
Humboldt County,California,06,023,17808.0
