County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Autauga County,Alabama,01,001,5315.0
Baldwin County,Alabama,01,003,22477.0
Barbour County,Alabama,01,005,2100.0
Bibb County,Alabama,01,007,1898.0
Blount County,Alabama,01,009,5441.0
Bullock County,Alabama,01,011,955.0
Butler County,Alabama,01,013,1809.0
Calhoun County,Alabama,01,015,14167.0
Chambers County,Alabama,01,017,3885.0
Cherokee County,Alabama,01,019,2823.0
Chilton County,Alabama,01,021,3499.0
Choctaw County,Alabama,01,023,1286.0
Clarke County,Alabama,01,025,2236.0
Clay County,Alabama,01,027,1292.0
Cleburne County,Alabama,01,029,1423.0
Coffee County,Alabama,01,031,5970.0
Colbert County,Alabama,01,033,6395.0
Conecuh County,Alabama,01,035,843.0
Coosa County,Alabama,01,037,1190.0
Covington County,Alabama,01,039,3680.0
Crenshaw County,Alabama,01,041,1172.0
Cullman County,Alabama,01,043,8529.0
Dale County,Alabama,01,045,5963.0
Dallas County,Alabama,01,047,4140.0
DeKalb County,Alabama,01,049,5583.0
Elmore County,Alabama,01,051,7658.0
Escambia County,Alabama,01,053,3240.0
Etowah County,Alabama,01,055,12609.0
Fayette County,Alabama,01,057,1622.0
Franklin County,Alabama,01,059,2483.0
Geneva County,Alabama,01,061,2658.0
Greene County,Alabama,01,063,1186.0
Hale County,Alabama,01,065,1426.0
Henry County,Alabama,01,067,1746.0
Houston County,Alabama,01,069,12041.0
Jackson County,Alabama,01,071,4705.0
Jefferson County,Alabama,01,073,72980.0
Lamar County,Alabama,01,075,1611.0
Lauderdale County,Alabama,01,077,9372.0
Lawrence County,Alabama,01,079,3029.0
Lee County,Alabama,01,081,15752.0
Limestone County,Alabama,01,083,9509.0
Lowndes County,Alabama,01,085,843.0
Macon County,Alabama,01,087,2278.0
Madison County,Alabama,01,089,36187.0
Marengo County,Alabama,01,091,1783.0
Marion County,Alabama,01,093,3196.0
Marshall County,Alabama,01,095,9783.0
Mobile County,Alabama,01,097,44284.0
Monroe County,Alabama,01,099,1929.0
Montgomery County,Alabama,01,101,24304.0
Morgan County,Alabama,01,103,13248.0
Perry County,Alabama,01,105,946.0
Pickens County,Alabama,01,107,2429.0
Pike County,Alabama,01,109,2986.0
Randolph County,Alabama,01,111,1939.0
Russell County,Alabama,01,113,6299.0
Saint Clair County,Alabama,01,115,9679.0
Shelby County,Alabama,01,117,22739.0
Sumter County,Alabama,01,119,1538.0
Talladega County,Alabama,01,121,9193.0
Tallapoosa County,Alabama,01,123,4031.0
Tuscaloosa County,Alabama,01,125,20356.0
Walker County,Alabama,01,127,6119.0
Washington County,Alabama,01,129,1333.0
Wilcox County,Alabama,01,131,905.0
Winston County,Alabama,01,133,2080.0
Anchorage Municipality,Alaska,02,020,35037.0
Bethel Census Area,Alaska,02,050,1192.0
Bristol Bay Borough,Alaska,02,060,142.0
Fairbanks North Star Borough,Alaska,02,090,13550.0
Haines Borough,Alaska,02,100,417.0
Juneau City and Borough,Alaska,02,110,5011.0
Kenai Peninsula Borough,Alaska,02,122,8001.0
Kodiak Island Borough,Alaska,02,150,1561.0
Matanuska-Susitna Borough,Alaska,02,170,13600.0
Nome Census Area,Alaska,02,180,821.0
North Slope Borough,Alaska,02,185,1141.0
Sitka City and Borough,Alaska,02,220,962.0
Southeast Fairbanks Census Area,Alaska,02,240,827.0
Valdez-Cordova Census Area,Alaska,02,261,1225.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,550.0
Aleutians East Borough,Alaska,02,013,527.0
Aleutians West Census Area,Alaska,02,016,954.0
Dillingham Census Area,Alaska,02,070,413.0
Lake and Peninsula Borough,Alaska,02,164,165.0
Denali Borough,Alaska,02,068,338.0
Yukon-Koyukuk Census Area,Alaska,02,290,737.0
Hoonah-Angoon Census Area,Alaska,02,105,332.0
Skagway Municipality,Alaska,02,230,217.0
Yakutat City and Borough,Alaska,02,282,100.0
Ketchikan Gateway Borough,Alaska,02,130,1858.0
Petersburg Borough,Alaska,02,195,406.0
Prince of Wales-Hyder Census Area,Alaska,02,198,949.0
Wrangell City and Borough,Alaska,02,275,276.0
Apache County,Arizona,04,001,11431.0
Cochise County,Arizona,04,003,18495.0
Coconino County,Arizona,04,005,15199.0
Gila County,Arizona,04,007,8366.0
Graham County,Arizona,04,009,5244.0
Greenlee County,Arizona,04,011,1386.0
Maricopa County,Arizona,04,013,483762.0
Mohave County,Arizona,04,015,30070.0
Navajo County,Arizona,04,017,16062.0
Pima County,Arizona,04,019,121989.0
Pinal County,Arizona,04,021,55330.0
Santa Cruz County,Arizona,04,023,4721.0
Yavapai County,Arizona,04,025,35353.0
La Paz County,Arizona,04,012,3206.0
Yuma County,Arizona,04,027,22654.0
Arkansas County,Arkansas,05,001,1889.0
Ashley County,Arkansas,05,003,2096.0
Baxter County,Arkansas,05,005,5235.0
Benton County,Arkansas,05,007,24218.0
Boone County,Arkansas,05,009,5093.0
Bradley County,Arkansas,05,011,1257.0
Calhoun County,Arkansas,05,013,486.0
Carroll County,Arkansas,05,015,3336.0
Chicot County,Arkansas,05,017,1277.0
Clark County,Arkansas,05,019,2202.0
Clay County,Arkansas,05,021,1461.0
Cleburne County,Arkansas,05,023,2496.0
Cleveland County,Arkansas,05,025,815.0
Columbia County,Arkansas,05,027,1909.0
Conway County,Arkansas,05,029,1894.0
Craighead County,Arkansas,05,031,9743.0
Crawford County,Arkansas,05,033,6080.0
Crittenden County,Arkansas,05,035,5308.0
Cross County,Arkansas,05,037,1292.0
Dallas County,Arkansas,05,039,899.0
Desha County,Arkansas,05,041,955.0
Drew County,Arkansas,05,043,1978.0
Faulkner County,Arkansas,05,045,13078.0
Franklin County,Arkansas,05,047,1853.0
Fulton County,Arkansas,05,049,1633.0
Garland County,Arkansas,05,051,13784.0
Grant County,Arkansas,05,053,1775.0
Greene County,Arkansas,05,055,4185.0
Hempstead County,Arkansas,05,057,1976.0
Hot Spring County,Arkansas,05,059,3805.0
Howard County,Arkansas,05,061,1656.0
Independence County,Arkansas,05,063,4121.0
Izard County,Arkansas,05,065,1642.0
Jackson County,Arkansas,05,067,1934.0
Jefferson County,Arkansas,05,069,7082.0
Johnson County,Arkansas,05,071,2270.0
Lafayette County,Arkansas,05,073,585.0
Lawrence County,Arkansas,05,075,1685.0
Lee County,Arkansas,05,077,914.0
Lincoln County,Arkansas,05,079,1297.0
Little River County,Arkansas,05,081,1582.0
Logan County,Arkansas,05,083,2030.0
Lonoke County,Arkansas,05,085,7268.0
Madison County,Arkansas,05,087,1402.0
Marion County,Arkansas,05,089,2009.0
Miller County,Arkansas,05,091,5387.0
Mississippi County,Arkansas,05,093,3631.0
Monroe County,Arkansas,05,095,773.0
Montgomery County,Arkansas,05,097,982.0
Nevada County,Arkansas,05,099,1020.0
Newton County,Arkansas,05,101,1202.0
Ouachita County,Arkansas,05,103,2530.0
Perry County,Arkansas,05,105,1200.0
Phillips County,Arkansas,05,107,2051.0
Pike County,Arkansas,05,109,1095.0
Poinsett County,Arkansas,05,111,2472.0
Polk County,Arkansas,05,113,2275.0
Pope County,Arkansas,05,115,5320.0
Prairie County,Arkansas,05,117,944.0
Pulaski County,Arkansas,05,119,45033.0
Randolph County,Arkansas,05,121,1697.0
Saint Francis County,Arkansas,05,123,3428.0
Saline County,Arkansas,05,125,13941.0
Scott County,Arkansas,05,127,810.0
Searcy County,Arkansas,05,129,894.0
Sebastian County,Arkansas,05,131,13765.0
Sevier County,Arkansas,05,133,1551.0
Sharp County,Arkansas,05,135,2160.0
Stone County,Arkansas,05,137,1366.0
Union County,Arkansas,05,139,4085.0
Van Buren County,Arkansas,05,141,1742.0
Washington County,Arkansas,05,143,21137.0
White County,Arkansas,05,145,6058.0
Woodruff County,Arkansas,05,147,492.0
Yell County,Arkansas,05,149,1897.0
Alameda County,California,06,001,151194.0
Alpine County,California,06,003,132.0
Amador County,California,06,005,5974.0
Butte County,California,06,007,30452.0
Calaveras County,California,06,009,8198.0
Colusa County,California,06,011,2132.0
Contra Costa County,California,06,013,121645.0
Del Norte County,California,06,015,3574.0
El Dorado County,California,06,017,25165.0
Fresno County,California,06,019,101179.0
Glenn County,California,06,021,3103.0
Humboldt County,California,06,023,17651.0
Imperial County,California,06,025,19987.0
Inyo County,California,06,027,2198.0
Kern County,California,06,029,81853.0
Kings County,California,06,031,17906.0
Lake County,California,06,033,9037.0
Lassen County,California,06,035,3601.0
Los Angeles County,California,06,037,1001003.0
Madera County,California,06,039,17349.0
Marin County,California,06,041,25036.0
Mariposa County,California,06,043,2708.0
Mendocino County,California,06,045,12191.0
Merced County,California,06,047,25660.0
Modoc County,California,06,049,832.0
Mono County,California,06,051,2378.0
Monterey County,California,06,053,37170.0
Napa County,California,06,055,15448.0
Nevada County,California,06,057,15150.0
Orange County,California,06,059,316725.0
Placer County,California,06,061,49662.0
Plumas County,California,06,063,3540.0
Riverside County,California,06,065,273422.0
Sacramento County,California,06,067,182420.0
San Benito County,California,06,069,7692.0
San Bernardino County,California,06,071,229057.0
San Diego County,California,06,073,366151.0
San Francisco County,California,06,075,69754.0
San Joaquin County,California,06,077,71564.0
San Luis Obispo County,California,06,079,34688.0
San Mateo County,California,06,081,67122.0
Santa Barbara County,California,06,083,42264.0
Santa Clara County,California,06,085,149635.0
Santa Cruz County,California,06,087,27642.0
Shasta County,California,06,089,27406.0
Sierra County,California,06,091,671.0
Siskiyou County,California,06,093,6730.0
Solano County,California,06,095,59133.0
Sonoma County,California,06,097,61882.0
Stanislaus County,California,06,099,58960.0
Sutter County,California,06,101,11479.0
Tehama County,California,06,103,8879.0
Trinity County,California,06,105,2214.0
Tulare County,California,06,107,44465.0
Tuolumne County,California,06,109,8447.0
Ventura County,California,06,111,94863.0
Yolo County,California,06,113,18233.0
Yuba County,California,06,115,10384.0
Alamosa County,Colorado,08,003,1556.0
Archuleta County,Colorado,08,007,2098.0
Baca County,Colorado,08,009,436.0
Bent County,Colorado,08,011,510.0
Chaffee County,Colorado,08,015,2453.0
Cheyenne County,Colorado,08,017,213.0
Clear Creek County,Colorado,08,019,1192.0
Conejos County,Colorado,08,021,1068.0
Costilla County,Colorado,08,023,722.0
Crowley County,Colorado,08,025,543.0
Custer County,Colorado,08,027,802.0
Delta County,Colorado,08,029,3478.0
Dolores County,Colorado,08,033,228.0
Douglas County,Colorado,08,035,31875.0
Eagle County,Colorado,08,037,4492.0
Elbert County,Colorado,08,039,3065.0
El Paso County,Colorado,08,041,76142.0
Fremont County,Colorado,08,043,5450.0
Garfield County,Colorado,08,045,5453.0
Gilpin County,Colorado,08,047,1117.0
Grand County,Colorado,08,049,1935.0
Gunnison County,Colorado,08,051,1574.0
Huerfano County,Colorado,08,055,1151.0
Jackson County,Colorado,08,057,215.0
Kiowa County,Colorado,08,061,177.0
Kit Carson County,Colorado,08,063,835.0
Lake County,Colorado,08,065,587.0
La Plata County,Colorado,08,067,6935.0
Larimer County,Colorado,08,069,32774.0
Las Animas County,Colorado,08,071,2051.0
Lincoln County,Colorado,08,073,489.0
Logan County,Colorado,08,075,2332.0
Mesa County,Colorado,08,077,19303.0
Moffat County,Colorado,08,081,1352.0
Montezuma County,Colorado,08,083,3210.0
Montrose County,Colorado,08,085,5361.0
Morgan County,Colorado,08,087,2594.0
Otero County,Colorado,08,089,1998.0
Ouray County,Colorado,08,091,839.0
Park County,Colorado,08,093,2808.0
Phillips County,Colorado,08,095,367.0
Pitkin County,Colorado,08,097,1268.0
Prowers County,Colorado,08,099,1418.0
Pueblo County,Colorado,08,101,21483.0
Rio Blanco County,Colorado,08,103,773.0
Rio Grande County,Colorado,08,105,1308.0
Routt County,Colorado,08,107,2621.0
Saguache County,Colorado,08,109,938.0
San Miguel County,Colorado,08,113,836.0
Sedgwick County,Colorado,08,115,249.0
Summit County,Colorado,08,117,3333.0
Teller County,Colorado,08,119,3194.0
Washington County,Colorado,08,121,808.0
Yuma County,Colorado,08,125,1203.0
Adams County,Colorado,08,001,48016.0
Arapahoe County,Colorado,08,005,64551.0
Boulder County,Colorado,08,013,22814.0
Broomfield County,Colorado,08,014,6259.0
Denver County,Colorado,08,031,62942.0
Jefferson County,Colorado,08,059,62643.0
Weld County,Colorado,08,123,31896.0
Fairfield County,Connecticut,09,001,64930.0
Hartford County,Connecticut,09,003,71754.0
Litchfield County,Connecticut,09,005,16168.0
Middlesex County,Connecticut,09,007,13632.0
New Haven County,Connecticut,09,009,71932.0
New London County,Connecticut,09,011,26606.0
Tolland County,Connecticut,09,013,10901.0
Windham County,Connecticut,09,015,10864.0
Kent County,Delaware,10,001,17717.0
New Castle County,Delaware,10,003,45662.0
Sussex County,Delaware,10,005,21825.0
Alachua County,Florida,12,001,19494.0
Baker County,Florida,12,003,2354.0
Bay County,Florida,12,005,21197.0
Bradford County,Florida,12,007,2855.0
Brevard County,Florida,12,009,62282.0
Broward County,Florida,12,011,186012.0
Calhoun County,Florida,12,013,1420.0
Charlotte County,Florida,12,015,22733.0
Citrus County,Florida,12,017,16942.0
Clay County,Florida,12,019,21384.0
Collier County,Florida,12,021,33795.0
Columbia County,Florida,12,023,7676.0
Miami-Dade County,Florida,12,086,212516.0
DeSoto County,Florida,12,027,2145.0
Dixie County,Florida,12,029,1508.0
Duval County,Florida,12,031,92886.0
Escambia County,Florida,12,033,35994.0
Flagler County,Florida,12,035,11852.0
Franklin County,Florida,12,037,1259.0
Gadsden County,Florida,12,039,4836.0
Gilchrist County,Florida,12,041,1431.0
Glades County,Florida,12,043,1427.0
Gulf County,Florida,12,045,1376.0
Hamilton County,Florida,12,047,1090.0
Hardee County,Florida,12,049,1328.0
Hendry County,Florida,12,051,2721.0
Hernando County,Florida,12,053,22144.0
Highlands County,Florida,12,055,10483.0
Hillsborough County,Florida,12,057,126807.0
Holmes County,Florida,12,059,2090.0
Indian River County,Florida,12,061,15396.0
Jackson County,Florida,12,063,5279.0
Jefferson County,Florida,12,065,1158.0
Lafayette County,Florida,12,067,629.0
Lake County,Florida,12,069,38994.0
Lee County,Florida,12,071,72791.0
Leon County,Florida,12,073,22144.0
Levy County,Florida,12,075,3973.0
Liberty County,Florida,12,077,680.0
Madison County,Florida,12,079,1273.0
Manatee County,Florida,12,081,39153.0
Marion County,Florida,12,083,36856.0
Martin County,Florida,12,085,18330.0
Monroe County,Florida,12,087,9184.0
Nassau County,Florida,12,089,8663.0
