County,State,State_FIPS,County_FIPS,doctorate_degree
Autauga County,Alabama,01,001,251
Baldwin County,Alabama,01,003,1463
Barbour County,Alabama,01,005,81
Bibb County,Alabama,01,007,49
Blount County,Alabama,01,009,111
Bullock County,Alabama,01,011,0
Butler County,Alabama,01,013,64
Calhoun County,Alabama,01,015,734
Chambers County,Alabama,01,017,99
Cherokee County,Alabama,01,019,116
Chilton County,Alabama,01,021,73
Choctaw County,Alabama,01,023,7
Clarke County,Alabama,01,025,46
Clay County,Alabama,01,027,13
Cleburne County,Alabama,01,029,62
Coffee County,Alabama,01,031,222
Colbert County,Alabama,01,033,302
Conecuh County,Alabama,01,035,22
Coosa County,Alabama,01,037,0
Covington County,Alabama,01,039,150
Crenshaw County,Alabama,01,041,33
Cullman County,Alabama,01,043,212
Dale County,Alabama,01,045,68
Dallas County,Alabama,01,047,104
DeKalb County,Alabama,01,049,98
Elmore County,Alabama,01,051,217
Escambia County,Alabama,01,053,61
Etowah County,Alabama,01,055,126
Fayette County,Alabama,01,057,29
Franklin County,Alabama,01,059,43
Geneva County,Alabama,01,061,7
Greene County,Alabama,01,063,0
Hale County,Alabama,01,065,12
Henry County,Alabama,01,067,37
Houston County,Alabama,01,069,484
Jackson County,Alabama,01,071,72
Jefferson County,Alabama,01,073,5772
Lamar County,Alabama,01,075,16
Lauderdale County,Alabama,01,077,750
Lawrence County,Alabama,01,079,91
Lee County,Alabama,01,081,2817
Limestone County,Alabama,01,083,335
Lowndes County,Alabama,01,085,3
Macon County,Alabama,01,087,193
Madison County,Alabama,01,089,3603
Marengo County,Alabama,01,091,66
Marion County,Alabama,01,093,21
Marshall County,Alabama,01,095,112
Mobile County,Alabama,01,097,2326
Monroe County,Alabama,01,099,14
Montgomery County,Alabama,01,101,1869
Morgan County,Alabama,01,103,439
Perry County,Alabama,01,105,25
Pickens County,Alabama,01,107,86
Pike County,Alabama,01,109,288
Randolph County,Alabama,01,111,27
Russell County,Alabama,01,113,97
Saint Clair County,Alabama,01,115,280
Shelby County,Alabama,01,117,1809
Sumter County,Alabama,01,119,119
Talladega County,Alabama,01,121,186
Tallapoosa County,Alabama,01,123,163
Tuscaloosa County,Alabama,01,125,1909
Walker County,Alabama,01,127,173
Washington County,Alabama,01,129,9
Wilcox County,Alabama,01,131,9
Winston County,Alabama,01,133,187
Anchorage Municipality,Alaska,02,020,2413
Bethel Census Area,Alaska,02,050,51
Bristol Bay Borough,Alaska,02,060,0
Fairbanks North Star Borough,Alaska,02,090,1399
Haines Borough,Alaska,02,100,19
Juneau City and Borough,Alaska,02,110,249
Kenai Peninsula Borough,Alaska,02,122,325
Kodiak Island Borough,Alaska,02,150,64
Matanuska-Susitna Borough,Alaska,02,170,439
Nome Census Area,Alaska,02,180,8
North Slope Borough,Alaska,02,185,34
Sitka City and Borough,Alaska,02,220,99
Southeast Fairbanks Census Area,Alaska,02,240,21
Valdez-Cordova Census Area,Alaska,02,261,64
Wade Hampton Census Area,Alaska,02,270,0
Northwest Arctic Borough,Alaska,02,188,23
Aleutians East Borough,Alaska,02,013,5
Aleutians West Census Area,Alaska,02,016,4
Dillingham Census Area,Alaska,02,070,13
Lake and Peninsula Borough,Alaska,02,164,2
Denali Borough,Alaska,02,068,7
