County,State,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,01,001,34.4
Baldwin County,Alabama,01,003,29.4
Barbour County,Alabama,01,005,36.1
Bibb County,Alabama,01,007,43.7
Blount County,Alabama,01,009,37.1
Bullock County,Alabama,01,011,41.1
Butler County,Alabama,01,013,38.1
Calhoun County,Alabama,01,015,33.8
Chambers County,Alabama,01,017,32.7
Cherokee County,Alabama,01,019,37.1
Chilton County,Alabama,01,021,41.9
Choctaw County,Alabama,01,023,39.1
Clarke County,Alabama,01,025,42.0
Clay County,Alabama,01,027,41.7
Cleburne County,Alabama,01,029,38.1
Coffee County,Alabama,01,031,25.9
Colbert County,Alabama,01,033,35.3
Conecuh County,Alabama,01,035,35.9
Coosa County,Alabama,01,037,42.3
Covington County,Alabama,01,039,38.0
Crenshaw County,Alabama,01,041,37.5
Cullman County,Alabama,01,043,32.9
Dale County,Alabama,01,045,27.9
Dallas County,Alabama,01,047,38.5
DeKalb County,Alabama,01,049,35.0
Elmore County,Alabama,01,051,35.9
Escambia County,Alabama,01,053,35.7
Etowah County,Alabama,01,055,33.7
Fayette County,Alabama,01,057,42.7
Franklin County,Alabama,01,059,31.5
Geneva County,Alabama,01,061,42.1
Greene County,Alabama,01,063,47.0
Hale County,Alabama,01,065,37.2
Henry County,Alabama,01,067,39.7
Houston County,Alabama,01,069,33.5
Jackson County,Alabama,01,071,37.8
Jefferson County,Alabama,01,073,28.5
Lamar County,Alabama,01,075,44.9
Lauderdale County,Alabama,01,077,35.1
Lawrence County,Alabama,01,079,42.7
Lee County,Alabama,01,081,25.8
Limestone County,Alabama,01,083,32.5
Lowndes County,Alabama,01,085,41.4
Macon County,Alabama,01,087,32.3
Madison County,Alabama,01,089,20.4
Marengo County,Alabama,01,091,37.3
Marion County,Alabama,01,093,40.1
Marshall County,Alabama,01,095,29.9
Mobile County,Alabama,01,097,35.6
Monroe County,Alabama,01,099,39.6
Montgomery County,Alabama,01,101,28.8
Morgan County,Alabama,01,103,30.7
Perry County,Alabama,01,105,39.6
Pickens County,Alabama,01,107,48.0
Pike County,Alabama,01,109,35.3
Randolph County,Alabama,01,111,36.1
Russell County,Alabama,01,113,36.9
Saint Clair County,Alabama,01,115,38.0
Shelby County,Alabama,01,117,20.4
Sumter County,Alabama,01,119,43.0
Talladega County,Alabama,01,121,38.4
Tallapoosa County,Alabama,01,123,33.4
Tuscaloosa County,Alabama,01,125,32.6
Walker County,Alabama,01,127,39.0
Washington County,Alabama,01,129,51.8
Wilcox County,Alabama,01,131,28.7
Winston County,Alabama,01,133,31.7
Anchorage Municipality,Alaska,02,020,23.8
Bethel Census Area,Alaska,02,050,43.1
Bristol Bay Borough,Alaska,02,060,28.8
Fairbanks North Star Borough,Alaska,02,090,27.5
Haines Borough,Alaska,02,100,33.8
Juneau City and Borough,Alaska,02,110,27.2
Kenai Peninsula Borough,Alaska,02,122,36.7
Kodiak Island Borough,Alaska,02,150,30.9
Matanuska-Susitna Borough,Alaska,02,170,34.1
Nome Census Area,Alaska,02,180,47.3
North Slope Borough,Alaska,02,185,45.7
Sitka City and Borough,Alaska,02,220,31.0
Southeast Fairbanks Census Area,Alaska,02,240,31.9
Valdez-Cordova Census Area,Alaska,02,261,21.7
Wade Hampton Census Area,Alaska,02,270,47.8
Northwest Arctic Borough,Alaska,02,188,47.0
Aleutians East Borough,Alaska,02,013,25.8
Aleutians West Census Area,Alaska,02,016,37.6
Dillingham Census Area,Alaska,02,070,39.0
Lake and Peninsula Borough,Alaska,02,164,33.4
Denali Borough,Alaska,02,068,33.5
Yukon-Koyukuk Census Area,Alaska,02,290,41.5
Hoonah-Angoon Census Area,Alaska,02,105,28.9
Skagway Municipality,Alaska,02,230,15.5
Yakutat City and Borough,Alaska,02,282,34.8
Ketchikan Gateway Borough,Alaska,02,130,33.8
Petersburg Borough,Alaska,02,195,42.3
Prince of Wales-Hyder Census Area,Alaska,02,198,43.5
Wrangell City and Borough,Alaska,02,275,39.0
Apache County,Arizona,04,001,34.9
Cochise County,Arizona,04,003,25.5
Coconino County,Arizona,04,005,25.9
Gila County,Arizona,04,007,32.2
Graham County,Arizona,04,009,36.5
Greenlee County,Arizona,04,011,37.0
Maricopa County,Arizona,04,013,23.1
Mohave County,Arizona,04,015,33.4
Navajo County,Arizona,04,017,33.6
Pima County,Arizona,04,019,23.7
Pinal County,Arizona,04,021,28.5
Santa Cruz County,Arizona,04,023,29.8
Yavapai County,Arizona,04,025,26.1
La Paz County,Arizona,04,012,33.5
Yuma County,Arizona,04,027,26.9
Arkansas County,Arkansas,05,001,41.7
Ashley County,Arkansas,05,003,45.0
Baxter County,Arkansas,05,005,36.0
Benton County,Arkansas,05,007,29.4
Boone County,Arkansas,05,009,39.6
Bradley County,Arkansas,05,011,37.3
Calhoun County,Arkansas,05,013,50.4
Carroll County,Arkansas,05,015,33.0
Chicot County,Arkansas,05,017,40.9
Clark County,Arkansas,05,019,40.0
Clay County,Arkansas,05,021,41.6
Cleburne County,Arkansas,05,023,36.3
Cleveland County,Arkansas,05,025,46.9
Columbia County,Arkansas,05,027,39.1
Conway County,Arkansas,05,029,49.5
Craighead County,Arkansas,05,031,36.0
Crawford County,Arkansas,05,033,34.9
Crittenden County,Arkansas,05,035,34.2
Cross County,Arkansas,05,037,46.1
Dallas County,Arkansas,05,039,49.7
Desha County,Arkansas,05,041,40.0
Drew County,Arkansas,05,043,37.3
Faulkner County,Arkansas,05,045,32.3
Franklin County,Arkansas,05,047,45.4
Fulton County,Arkansas,05,049,40.0
Garland County,Arkansas,05,051,32.1
Grant County,Arkansas,05,053,46.1
Greene County,Arkansas,05,055,45.2
Hempstead County,Arkansas,05,057,43.0
Hot Spring County,Arkansas,05,059,42.1
Howard County,Arkansas,05,061,45.0
Independence County,Arkansas,05,063,41.6
Izard County,Arkansas,05,065,41.1
Jackson County,Arkansas,05,067,43.8
Jefferson County,Arkansas,05,069,41.5
Johnson County,Arkansas,05,071,39.4
Lafayette County,Arkansas,05,073,43.8
Lawrence County,Arkansas,05,075,43.5
Lee County,Arkansas,05,077,39.3
Lincoln County,Arkansas,05,079,48.4
Little River County,Arkansas,05,081,46.9
Logan County,Arkansas,05,083,40.2
Lonoke County,Arkansas,05,085,36.7
Madison County,Arkansas,05,087,40.2
Marion County,Arkansas,05,089,40.8
Miller County,Arkansas,05,091,44.4
Mississippi County,Arkansas,05,093,40.4
Monroe County,Arkansas,05,095,35.0
Montgomery County,Arkansas,05,097,36.7
Nevada County,Arkansas,05,099,43.1
Newton County,Arkansas,05,101,42.9
Ouachita County,Arkansas,05,103,42.6
Perry County,Arkansas,05,105,46.2
Phillips County,Arkansas,05,107,32.5
Pike County,Arkansas,05,109,43.2
Poinsett County,Arkansas,05,111,44.9
Polk County,Arkansas,05,113,40.8
Pope County,Arkansas,05,115,34.1
Prairie County,Arkansas,05,117,46.5
Pulaski County,Arkansas,05,119,28.0
Randolph County,Arkansas,05,121,40.7
Saint Francis County,Arkansas,05,123,39.2
Saline County,Arkansas,05,125,34.8
Scott County,Arkansas,05,127,45.4
Searcy County,Arkansas,05,129,41.3
Sebastian County,Arkansas,05,131,31.2
Sevier County,Arkansas,05,133,35.0
Sharp County,Arkansas,05,135,44.7
Stone County,Arkansas,05,137,38.7
Union County,Arkansas,05,139,37.0
Van Buren County,Arkansas,05,141,37.8
Washington County,Arkansas,05,143,28.0
White County,Arkansas,05,145,40.0
Woodruff County,Arkansas,05,147,46.9
Yell County,Arkansas,05,149,41.7
Alameda County,California,06,001,20.6
Alpine County,California,06,003,26.5
Amador County,California,06,005,31.1
Butte County,California,06,007,24.3
Calaveras County,California,06,009,33.1
Colusa County,California,06,011,24.1
Contra Costa County,California,06,013,19.6
Del Norte County,California,06,015,33.4
El Dorado County,California,06,017,23.4
Fresno County,California,06,019,22.8
Glenn County,California,06,021,25.3
Humboldt County,California,06,023,26.8
Imperial County,California,06,025,24.4
Inyo County,California,06,027,31.3
Kern County,California,06,029,27.2
Kings County,California,06,031,28.2
Lake County,California,06,033,34.2
Lassen County,California,06,035,27.9
Los Angeles County,California,06,037,21.4
Madera County,California,06,039,23.7
Marin County,California,06,041,13.9
Mariposa County,California,06,043,36.5
Mendocino County,California,06,045,27.2
Merced County,California,06,047,26.4
Modoc County,California,06,049,31.5
Mono County,California,06,051,24.1
Monterey County,California,06,053,20.8
Napa County,California,06,055,21.1
Nevada County,California,06,057,23.5
Orange County,California,06,059,17.7
Placer County,California,06,061,19.4
Plumas County,California,06,063,32.9
Riverside County,California,06,065,25.6
Sacramento County,California,06,067,23.1
San Benito County,California,06,069,22.3
San Bernardino County,California,06,071,27.0
San Diego County,California,06,073,19.8
San Francisco County,California,06,075,14.4
San Joaquin County,California,06,077,27.8
San Luis Obispo County,California,06,079,22.7
San Mateo County,California,06,081,17.9
Santa Barbara County,California,06,083,18.3
Santa Clara County,California,06,085,15.9
Santa Cruz County,California,06,087,17.4
Shasta County,California,06,089,28.0
Sierra County,California,06,091,34.2
Siskiyou County,California,06,093,27.8
Solano County,California,06,095,25.6
Sonoma County,California,06,097,21.4
Stanislaus County,California,06,099,28.3
Sutter County,California,06,101,25.5
Tehama County,California,06,103,30.4
Trinity County,California,06,105,30.2
Tulare County,California,06,107,24.5
Tuolumne County,California,06,109,28.5
Ventura County,California,06,111,19.2
Yolo County,California,06,113,20.6
Yuba County,California,06,115,27.3
Alamosa County,Colorado,08,003,30.4
Archuleta County,Colorado,08,007,25.5
Baca County,Colorado,08,009,35.6
Bent County,Colorado,08,011,36.7
Chaffee County,Colorado,08,015,32.1
Cheyenne County,Colorado,08,017,32.0
Clear Creek County,Colorado,08,019,24.1
Conejos County,Colorado,08,021,35.3
Costilla County,Colorado,08,023,31.8
Crowley County,Colorado,08,025,36.9
Custer County,Colorado,08,027,31.2
Delta County,Colorado,08,029,35.7
Dolores County,Colorado,08,033,39.7
Douglas County,Colorado,08,035,12.3
Eagle County,Colorado,08,037,23.1
Elbert County,Colorado,08,039,32.9
El Paso County,Colorado,08,041,21.9
Fremont County,Colorado,08,043,36.2
Garfield County,Colorado,08,045,32.7
Gilpin County,Colorado,08,047,25.1
Grand County,Colorado,08,049,34.5
Gunnison County,Colorado,08,051,19.5
Huerfano County,Colorado,08,055,32.9
Jackson County,Colorado,08,057,28.8
Kiowa County,Colorado,08,061,38.9
Kit Carson County,Colorado,08,063,36.5
Lake County,Colorado,08,065,26.2
La Plata County,Colorado,08,067,22.7
Larimer County,Colorado,08,069,20.1
Las Animas County,Colorado,08,071,31.0
Lincoln County,Colorado,08,073,40.1
Logan County,Colorado,08,075,33.9
Mesa County,Colorado,08,077,32.7
Moffat County,Colorado,08,081,40.7
Montezuma County,Colorado,08,083,31.6
Montrose County,Colorado,08,085,33.2
Morgan County,Colorado,08,087,35.3
Otero County,Colorado,08,089,35.1
Ouray County,Colorado,08,091,28.5
Park County,Colorado,08,093,29.8
Phillips County,Colorado,08,095,39.2
Pitkin County,Colorado,08,097,11.4
Prowers County,Colorado,08,099,29.0
Pueblo County,Colorado,08,101,29.8
Rio Blanco County,Colorado,08,103,37.7
Rio Grande County,Colorado,08,105,36.8
Routt County,Colorado,08,107,21.9
Saguache County,Colorado,08,109,31.4
San Miguel County,Colorado,08,113,11.6
Sedgwick County,Colorado,08,115,36.1
Summit County,Colorado,08,117,22.2
Teller County,Colorado,08,119,25.6
Washington County,Colorado,08,121,36.2
Yuma County,Colorado,08,125,36.8
Adams County,Colorado,08,001,30.5
Arapahoe County,Colorado,08,005,21.4
Boulder County,Colorado,08,013,12.9
Broomfield County,Colorado,08,014,18.3
Denver County,Colorado,08,031,20.8
Jefferson County,Colorado,08,059,21.7
Weld County,Colorado,08,123,28.0
Fairfield County,Connecticut,09,001,23.3
Hartford County,Connecticut,09,003,29.0
Litchfield County,Connecticut,09,005,32.4
Middlesex County,Connecticut,09,007,29.2
New Haven County,Connecticut,09,009,31.2
New London County,Connecticut,09,011,31.6
Tolland County,Connecticut,09,013,28.4
Windham County,Connecticut,09,015,39.0
Kent County,Delaware,10,001,34.2
New Castle County,Delaware,10,003,29.2
Sussex County,Delaware,10,005,36.4
Alachua County,Florida,12,001,20.1
Baker County,Florida,12,003,51.7
Bay County,Florida,12,005,32.4
Bradford County,Florida,12,007,40.5
Brevard County,Florida,12,009,29.1
Broward County,Florida,12,011,27.5
Calhoun County,Florida,12,013,35.9
Charlotte County,Florida,12,015,33.9
Citrus County,Florida,12,017,36.5
Clay County,Florida,12,019,30.8
