County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,01,001,2.6
Baldwin County,Alabama,01,003,2.7
Barbour County,Alabama,01,005,8.2
Bibb County,Alabama,01,007,5.7
Blount County,Alabama,01,009,7.5
Bullock County,Alabama,01,011,4.9
Butler County,Alabama,01,013,4.2
Calhoun County,Alabama,01,015,5.1
Chambers County,Alabama,01,017,5.7
Cherokee County,Alabama,01,019,7.5
Chilton County,Alabama,01,021,5.3
Choctaw County,Alabama,01,023,5.4
Clarke County,Alabama,01,025,5.4
Clay County,Alabama,01,027,11.1
Cleburne County,Alabama,01,029,7.1
Coffee County,Alabama,01,031,4.3
Colbert County,Alabama,01,033,4.8
Conecuh County,Alabama,01,035,7.0
Coosa County,Alabama,01,037,5.7
Covington County,Alabama,01,039,6.3
Crenshaw County,Alabama,01,041,8.3
Cullman County,Alabama,01,043,5.6
Dale County,Alabama,01,045,4.5
Dallas County,Alabama,01,047,4.2
DeKalb County,Alabama,01,049,12.0
Elmore County,Alabama,01,051,4.4
Escambia County,Alabama,01,053,4.7
Etowah County,Alabama,01,055,5.1
Fayette County,Alabama,01,057,6.6
Franklin County,Alabama,01,059,11.7
Geneva County,Alabama,01,061,7.5
Greene County,Alabama,01,063,9.4
Hale County,Alabama,01,065,4.5
Henry County,Alabama,01,067,6.4
Houston County,Alabama,01,069,4.0
Jackson County,Alabama,01,071,5.8
Jefferson County,Alabama,01,073,3.0
Lamar County,Alabama,01,075,7.1
Lauderdale County,Alabama,01,077,4.0
Lawrence County,Alabama,01,079,6.6
Lee County,Alabama,01,081,2.9
Limestone County,Alabama,01,083,5.8
Lowndes County,Alabama,01,085,5.9
Macon County,Alabama,01,087,4.6
Madison County,Alabama,01,089,2.9
Marengo County,Alabama,01,091,6.0
Marion County,Alabama,01,093,8.7
Marshall County,Alabama,01,095,7.5
Mobile County,Alabama,01,097,3.3
Monroe County,Alabama,01,099,5.4
Montgomery County,Alabama,01,101,4.4
Morgan County,Alabama,01,103,6.4
Perry County,Alabama,01,105,10.6
Pickens County,Alabama,01,107,5.9
Pike County,Alabama,01,109,4.8
Randolph County,Alabama,01,111,9.0
Russell County,Alabama,01,113,5.3
Saint Clair County,Alabama,01,115,4.7
Shelby County,Alabama,01,117,2.5
Sumter County,Alabama,01,119,3.9
Talladega County,Alabama,01,121,5.9
Tallapoosa County,Alabama,01,123,5.4
Tuscaloosa County,Alabama,01,125,3.2
Walker County,Alabama,01,127,7.2
Washington County,Alabama,01,129,6.3
Wilcox County,Alabama,01,131,6.5
Winston County,Alabama,01,133,7.4
Anchorage Municipality,Alaska,02,020,2.5
Bethel Census Area,Alaska,02,050,7.8
Bristol Bay Borough,Alaska,02,060,2.9
Fairbanks North Star Borough,Alaska,02,090,1.7
Haines Borough,Alaska,02,100,1.2
Juneau City and Borough,Alaska,02,110,1.1
Kenai Peninsula Borough,Alaska,02,122,2.0
Kodiak Island Borough,Alaska,02,150,5.3
Matanuska-Susitna Borough,Alaska,02,170,2.2
Nome Census Area,Alaska,02,180,4.8
North Slope Borough,Alaska,02,185,3.3
Sitka City and Borough,Alaska,02,220,1.6
Southeast Fairbanks Census Area,Alaska,02,240,4.2
Valdez-Cordova Census Area,Alaska,02,261,1.1
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,5.8
Aleutians East Borough,Alaska,02,013,6.6
Aleutians West Census Area,Alaska,02,016,5.7
Dillingham Census Area,Alaska,02,070,6.0
Lake and Peninsula Borough,Alaska,02,164,6.9
Denali Borough,Alaska,02,068,0.4
Yukon-Koyukuk Census Area,Alaska,02,290,5.7
Hoonah-Angoon Census Area,Alaska,02,105,2.4
Skagway Municipality,Alaska,02,230,2.7
Yakutat City and Borough,Alaska,02,282,2.0
Ketchikan Gateway Borough,Alaska,02,130,2.0
Petersburg Borough,Alaska,02,195,3.3
Prince of Wales-Hyder Census Area,Alaska,02,198,1.7
Wrangell City and Borough,Alaska,02,275,3.3
Apache County,Arizona,04,001,9.9
Cochise County,Arizona,04,003,5.6
Coconino County,Arizona,04,005,4.1
Gila County,Arizona,04,007,4.0
Graham County,Arizona,04,009,4.5
Greenlee County,Arizona,04,011,3.9
Maricopa County,Arizona,04,013,5.9
Mohave County,Arizona,04,015,4.2
Navajo County,Arizona,04,017,6.4
Pima County,Arizona,04,019,4.6
Pinal County,Arizona,04,021,5.4
Santa Cruz County,Arizona,04,023,11.6
Yavapai County,Arizona,04,025,2.6
La Paz County,Arizona,04,012,8.3
Yuma County,Arizona,04,027,14.0
Arkansas County,Arkansas,05,001,6.1
Ashley County,Arkansas,05,003,6.7
Baxter County,Arkansas,05,005,2.8
