location_name,year,MeanLifeExpectency
Autauga County (Alabama),2013,75.836928054027
Baldwin County (Alabama),2013,77.8587885068867
Barbour County (Alabama),2013,75.6039658679806
Bibb County (Alabama),2013,73.8813807110977
Blount County (Alabama),2013,75.6352536319274
Bullock County (Alabama),2013,74.4021306908516
Butler County (Alabama),2013,73.935514642706
Calhoun County (Alabama),2013,73.6916993651565
Chambers County (Alabama),2013,74.3709084353389
Cherokee County (Alabama),2013,74.7690226049665
Chilton County (Alabama),2013,74.2037941937705
Choctaw County (Alabama),2013,74.7667739361553
Clarke County (Alabama),2013,75.3078949980348
Clay County (Alabama),2013,74.5125281044463
Cleburne County (Alabama),2013,74.2119718397456
Coffee County (Alabama),2013,76.8029854382398
Colbert County (Alabama),2013,74.7012544694018
Conecuh County (Alabama),2013,73.8578396157111
Coosa County (Alabama),2013,75.0708584990442
Covington County (Alabama),2013,74.939706372746
Crenshaw County (Alabama),2013,74.4540874550923
Cullman County (Alabama),2013,74.9509513238576
Dale County (Alabama),2013,76.1296959155196
Dallas County (Alabama),2013,72.2967105227705
DeKalb County (Alabama),2013,74.7966732959206
Elmore County (Alabama),2013,75.8412881424909
Escambia County (Alabama),2013,73.8523605614612
Etowah County (Alabama),2013,73.3079475598584
Fayette County (Alabama),2013,74.057058159905
Franklin County (Alabama),2013,73.349841367943
Geneva County (Alabama),2013,75.2540134208833
Greene County (Alabama),2013,74.5251950347399
Hale County (Alabama),2013,74.2120689147012
Henry County (Alabama),2013,75.9013490151937
Houston County (Alabama),2013,76.6049969181304
Jackson County (Alabama),2013,73.6075996652594
Jefferson County (Alabama),2013,75.0012975222472
Lamar County (Alabama),2013,74.594659571128
Lauderdale County (Alabama),2013,76.2574810844103
Lawrence County (Alabama),2013,74.025639809588
Lee County (Alabama),2013,77.641756133286
Limestone County (Alabama),2013,77.4567118555822
Lowndes County (Alabama),2013,72.451572085185
Macon County (Alabama),2013,73.4913418644572
Madison County (Alabama),2013,77.772209501297
Marengo County (Alabama),2013,74.1333674215399
Marion County (Alabama),2013,74.2996624676483
Marshall County (Alabama),2013,74.2650814854454
Mobile County (Alabama),2013,75.0140519651065
Monroe County (Alabama),2013,74.9403376152072
Montgomery County (Alabama),2013,76.0742035748331
Morgan County (Alabama),2013,75.7687418754051
Perry County (Alabama),2013,72.4458737373582
Pickens County (Alabama),2013,74.3989386831643
Pike County (Alabama),2013,75.3843799599901
Randolph County (Alabama),2013,74.6272688359767
Russell County (Alabama),2013,74.4625975354371
Saint Clair County (Alabama),2013,75.1354509099959
Shelby County (Alabama),2013,79.7687496224489
Sumter County (Alabama),2013,74.3343686399483
Talladega County (Alabama),2013,73.6825216143372
Tallapoosa County (Alabama),2013,75.2077207940106
Tuscaloosa County (Alabama),2013,76.1412472106416
Walker County (Alabama),2013,70.8637922877104
Washington County (Alabama),2013,74.6734179457892
Wilcox County (Alabama),2013,72.2374261679305
Winston County (Alabama),2013,74.2153646411101
Anchorage Municipality (Alaska),2013,78.7538192744483
Bethel Census Area (Alaska),2013,72.9162299270473
Bristol Bay Borough (Alaska),2013,75.4655368308601
Fairbanks North Star Borough (Alaska),2013,79.2875377464225
Haines Borough (Alaska),2013,80.3402659326086
Juneau City and Borough (Alaska),2013,79.7513085001443
Kenai Peninsula Borough (Alaska),2013,78.3295603866331
Kodiak Island Borough (Alaska),2013,79.2674018916655
Matanuska-Susitna Borough (Alaska),2013,78.1712241323719
Nome Census Area (Alaska),2013,71.0874958002656
North Slope Borough (Alaska),2013,75.2725719185953
Sitka City and Borough (Alaska),2013,79.5125431994159
Southeast Fairbanks Census Area (Alaska),2013,77.1481963302165
Chugach Census Area (Alaska),2013,78.0507317723694
Copper River Census Area (Alaska),2013,78.0507317723694
Valdez-Cordova Census Area (Alaska),2013,78.0507317723694
Kusilvak Census Area (Alaska),2013,69.129042588567
Wade Hampton Census Area (Alaska),2013,69.129042588567
Kobuk Census Area (Alaska),2013,73.0243042513836
Northwest Arctic Borough (Alaska),2013,73.0243042513836
Aleutian Islands Census Area (Alaska),2013,83.5166512642875
Aleutians East Borough (Alaska),2013,83.5166512642875
Aleutians West Census Area (Alaska),2013,83.5166512642875
Dillingham Census Area (Alaska),2013,73.7920691867546
Lake and Peninsula Borough (Alaska),2013,73.7920691867546
Denali Borough (Alaska),2013,73.5699219653651
