County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Disability Rate,Rent Denominator,Poverty Rate,Black Population,High School Degree or Higher (%),Year
Shoshone County,Idaho,75.3833244735253,16,79,233.0,8.1,5466.0,449.0,358.0,12609.0,11792.0,257.0,39386.0,99.0,0.4429,47.3,11.5,3473.0,27.0,1642.0,19.4,43.0,86.2,2019
Teton County,Idaho,83.0603039631204,16,81,25.0,5.6,3707.0,1928.0,95.0,11426.0,10153.0,159.0,74216.0,19.0,0.3995,37.2,41.0,2468.0,6.0,825.0,4.5,0.0,93.8,2019
Twin Falls County,Idaho,78.3488494589197,16,83,857.0,3.3,31146.0,13890.0,1793.0,84869.0,77944.0,1857.0,52919.0,309.0,0.4369,34.7,20.6,21580.0,13.7,9699.0,14.3,689.0,87.1,2019
Valley County,Idaho,82.1515978768587,16,85,156.0,1.7,3869.0,495.0,230.0,10709.0,10576.0,108.0,64475.0,20.0,0.4613,50.6,30.4,2765.0,15.7,742.0,7.2,6.0,94.6,2019
Washington County,Idaho,78.4399257900155,16,87,166.0,4.2,4035.0,1713.0,275.0,10057.0,8834.0,342.0,40992.0,90.0,0.4444,45.4,16.3,2708.0,20.0,1108.0,13.3,19.0,85.0,2019
Adams County,Illinois,78.4108241377861,17,1,1530.0,4.4,27112.0,1059.0,1490.0,66085.0,61406.0,1698.0,52993.0,480.0,0.4503,41.5,25.0,17606.0,14.6,7634.0,12.5,2731.0,92.5,2019
Alexander County,Illinois,74.1333452633517,17,3,122.0,7.1,2154.0,82.0,84.0,6260.0,3954.0,190.0,36806.0,44.0,0.4413,45.3,12.9,1357.0,22.2,566.0,25.3,2094.0,86.5,2019
Bond County,Illinois,78.5713401113639,17,5,261.0,3.1,6299.0,584.0,264.0,16589.0,15077.0,253.0,57289.0,118.0,0.4307,41.6,22.9,4110.0,15.8,1521.0,14.2,1264.0,89.2,2019
Boone County,Illinois,79.9428582701447,17,7,576.0,6.2,18571.0,11673.0,526.0,53537.0,46852.0,1232.0,69272.0,229.0,0.4412,38.5,23.5,13898.0,11.5,3529.0,10.1,1184.0,86.2,2019
Brown County,Illinois,78.1777281866588,17,9,78.0,3.7,2055.0,440.0,27.0,6628.0,5265.0,141.0,61655.0,22.0,0.3958,38.9,14.1,1302.0,15.5,518.0,11.6,1272.0,83.0,2019
Bureau County,Illinois,78.544061938755,17,11,567.0,5.0,13698.0,3029.0,487.0,33122.0,30937.0,854.0,57436.0,162.0,0.4206,44.4,20.6,9284.0,13.4,3204.0,12.4,350.0,90.8,2019
Calhoun County,Illinois,78.8043394171538,17,13,32.0,3.1,1664.0,61.0,31.0,4830.0,4719.0,46.0,63009.0,45.0,0.4125,46.8,14.2,1154.0,22.1,212.0,11.6,15.0,91.6,2019
Carroll County,Illinois,78.8910292385652,17,15,232.0,5.6,6508.0,535.0,191.0,14466.0,13883.0,273.0,52410.0,142.0,0.4198,48.3,19.5,4023.0,13.9,1522.0,10.7,179.0,91.2,2019
Cass County,Illinois,76.8280964783694,17,17,195.0,6.5,5043.0,2362.0,117.0,12493.0,11058.0,376.0,52373.0,102.0,0.4227,40.0,15.1,3336.0,13.0,1281.0,14.8,652.0,84.0,2019
Champaign County,Illinois,80.6263274745649,17,19,8299.0,4.8,82369.0,12518.0,9963.0,209922.0,150820.0,4775.0,52797.0,798.0,0.5061,30.1,45.0,42335.0,9.0,38733.0,20.0,28283.0,95.0,2019
Christian County,Illinois,76.9275240211095,17,21,528.0,3.3,13901.0,535.0,493.0,32931.0,31774.0,948.0,52834.0,192.0,0.423,43.4,17.1,8580.0,13.1,3466.0,12.3,436.0,89.7,2019
Clark County,Illinois,76.8952527936551,17,23,146.0,5.5,6720.0,248.0,197.0,15716.0,15220.0,440.0,56531.0,82.0,0.4221,42.3,19.9,4820.0,17.1,1573.0,11.1,107.0,92.8,2019
Clay County,Illinois,77.0093201944133,17,25,153.0,5.0,5696.0,17.0,172.0,13287.0,12782.0,461.0,48500.0,42.0,0.4286,42.6,15.0,3818.0,19.6,1451.0,16.5,107.0,88.0,2019
Clinton County,Illinois,79.5135151308142,17,27,296.0,2.6,14353.0,1175.0,494.0,37634.0,35247.0,598.0,66639.0,359.0,0.4101,40.6,22.3,9583.0,14.3,2921.0,7.7,1298.0,90.1,2019
Coles County,Illinois,78.3813214032447,17,29,1346.0,5.7,20926.0,1300.0,1926.0,51353.0,47722.0,1369.0,46202.0,463.0,0.5022,35.7,26.0,12001.0,15.4,8061.0,20.8,2019.0,91.4,2019
Cook County,Illinois,79.6459409529399,17,31,279604.0,7.0,1972108.0,1314796.0,204825.0,5198275.0,2946314.0,132503.0,64660.0,71824.0,0.5081,36.8,38.8,1183272.0,10.2,849524.0,14.4,1217416.0,87.1,2019
Crawford County,Illinois,77.3638985239203,17,33,324.0,5.3,7666.0,621.0,400.0,18972.0,17119.0,489.0,49779.0,130.0,0.4608,41.8,17.1,4974.0,17.8,1712.0,11.6,1231.0,85.0,2019
Cumberland County,Illinois,78.8024357091009,17,35,80.0,3.0,4299.0,116.0,54.0,10836.0,10544.0,197.0,56206.0,64.0,0.4103,42.5,15.4,2947.0,16.4,917.0,13.9,8.0,90.6,2019
DeKalb County,Illinois,79.7664837822661,17,37,1835.0,6.3,38150.0,11637.0,4068.0,104366.0,87649.0,2806.0,63317.0,444.0,0.4361,31.1,32.3,23164.0,10.5,16393.0,16.6,8258.0,92.3,2019
De Witt County,Illinois,76.9447382641543,17,39,177.0,4.8,6694.0,436.0,132.0,15932.0,15305.0,371.0,55587.0,86.0,0.4206,43.6,21.3,4345.0,12.9,1424.0,11.3,85.0,91.5,2019
Douglas County,Illinois,78.9587687134287,17,41,410.0,3.9,7613.0,1425.0,337.0,19623.0,18792.0,465.0,56714.0,467.0,0.424,37.8,18.9,5061.0,11.6,1980.0,10.8,135.0,83.2,2019
DuPage County,Illinois,82.4747645860602,17,43,8965.0,4.1,342791.0,132597.0,19368.0,929060.0,713707.0,15701.0,92809.0,5210.0,0.454,39.3,49.4,239160.0,8.0,91289.0,6.4,44755.0,93.0,2019
Edgar County,Illinois,76.5809520655277,17,45,409.0,5.2,7542.0,210.0,387.0,17407.0,17212.0,538.0,53647.0,145.0,0.4004,45.2,17.2,5138.0,16.9,1772.0,12.0,53.0,90.1,2019
Edwards County,Illinois,77.2841835757641,17,47,65.0,5.3,2773.0,89.0,33.0,6455.0,6250.0,156.0,51080.0,87.0,0.4144,43.5,13.9,1803.0,16.1,549.0,10.2,57.0,92.0,2019
Effingham County,Illinois,78.2284970466595,17,49,581.0,2.8,13877.0,719.0,418.0,34137.0,33128.0,536.0,56685.0,215.0,0.4544,39.4,22.7,9177.0,13.5,3415.0,10.6,231.0,93.1,2019
Fayette County,Illinois,78.15145433359,17,51,223.0,5.7,7737.0,403.0,265.0,21565.0,20245.0,373.0,46650.0,95.0,0.4373,41.9,11.3,5297.0,17.7,1509.0,17.2,1007.0,83.8,2019
Ford County,Illinois,76.4781750643941,17,53,289.0,4.5,5771.0,443.0,317.0,13270.0,12610.0,388.0,52092.0,114.0,0.4239,43.4,21.4,3547.0,15.2,1604.0,13.9,150.0,90.4,2019
Franklin County,Illinois,75.2641596257497,17,55,805.0,7.5,16235.0,655.0,708.0,38923.0,37716.0,1007.0,42769.0,558.0,0.4501,42.8,16.7,9861.0,20.9,4185.0,19.5,334.0,88.9,2019
Fulton County,Illinois,76.5894502597691,17,57,524.0,6.4,13940.0,1061.0,494.0,35092.0,33002.0,864.0,51643.0,300.0,0.4538,43.2,17.6,8828.0,14.4,3027.0,14.7,1325.0,88.6,2019
Gallatin County,Illinois,73.9544052557327,17,59,87.0,4.7,2293.0,66.0,56.0,5064.0,4888.0,237.0,44076.0,82.0,0.5553,45.6,10.9,1506.0,23.0,526.0,20.8,26.0,86.9,2019
Greene County,Illinois,76.704348333612,17,61,145.0,2.5,4949.0,159.0,109.0,13132.0,12723.0,284.0,49885.0,53.0,0.4204,42.5,12.8,3272.0,15.6,1111.0,13.1,184.0,90.6,2019
Grundy County,Illinois,78.4351972231916,17,63,443.0,4.2,19676.0,5019.0,1023.0,50666.0,47276.0,1124.0,77350.0,285.0,0.3859,37.9,22.9,14016.0,9.1,5654.0,7.6,696.0,93.2,2019
Hamilton County,Illinois,77.2472698523594,17,65,72.0,3.0,3400.0,61.0,82.0,8176.0,8114.0,131.0,54046.0,42.0,0.4165,43.6,17.0,2364.0,21.3,679.0,9.3,33.0,87.1,2019
Hancock County,Illinois,79.6350662847843,17,67,128.0,5.6,7409.0,269.0,140.0,17983.0,17512.0,356.0,52561.0,203.0,0.4286,46.0,21.0,4937.0,14.7,1379.0,13.6,109.0,93.4,2019
Hardin County,Illinois,74.5135946282719,17,69,46.0,13.6,1363.0,37.0,16.0,3939.0,3764.0,34.0,51250.0,43.0,0.5011,46.8,10.8,929.0,24.9,246.0,13.1,107.0,79.6,2019
Henderson County,Illinois,78.4859612869517,17,71,43.0,5.5,2977.0,123.0,36.0,6809.0,6647.0,177.0,53676.0,43.0,0.393,50.0,18.3,2006.0,16.1,530.0,7.8,9.0,91.2,2019
Henry County,Illinois,79.2013348518121,17,73,743.0,4.5,19856.0,2808.0,574.0,49267.0,46313.0,939.0,59933.0,280.0,0.4151,43.1,23.3,13474.0,12.8,4240.0,10.8,938.0,91.2,2019
Iroquois County,Illinois,76.1477142458242,17,75,403.0,5.0,11741.0,1941.0,526.0,27812.0,25746.0,479.0,52700.0,136.0,0.4164,44.4,15.9,7657.0,15.9,2802.0,12.5,240.0,89.5,2019
Jackson County,Illinois,78.5878534476742,17,77,2506.0,8.6,23883.0,2567.0,3583.0,57977.0,44208.0,1913.0,37241.0,330.0,0.5249,31.9,34.1,12278.0,14.8,11591.0,26.5,8723.0,91.9,2019
Jasper County,Illinois,79.0401561393534,17,79,84.0,5.0,3711.0,34.0,179.0,9594.0,9333.0,138.0,54256.0,114.0,0.4192,43.1,16.6,2423.0,20.5,784.0,13.7,47.0,89.8,2019
Jefferson County,Illinois,76.7221942734513,17,81,783.0,7.2,14985.0,1016.0,744.0,37985.0,33162.0,1102.0,49896.0,414.0,0.4516,40.9,17.9,9810.0,18.8,4009.0,17.0,3177.0,87.4,2019
Jersey County,Illinois,76.9407975345608,17,83,143.0,3.1,8499.0,309.0,229.0,21937.0,21211.0,390.0,63028.0,180.0,0.3975,42.9,20.3,5753.0,14.2,1536.0,9.9,96.0,92.3,2019
Jo Daviess County,Illinois,81.0296249222373,17,85,277.0,3.8,9970.0,654.0,281.0,21588.0,20973.0,416.0,57946.0,148.0,0.4334,49.9,25.0,6265.0,14.1,2156.0,8.5,123.0,92.3,2019
Johnson County,Illinois,78.2945422827274,17,87,161.0,4.3,4303.0,395.0,114.0,12494.0,10954.0,209.0,52774.0,27.0,0.4409,43.7,16.0,3042.0,16.4,682.0,10.8,1408.0,82.2,2019
Kane County,Illinois,81.6486766034134,17,89,5657.0,4.8,179637.0,169364.0,11100.0,531376.0,387883.0,10789.0,79394.0,2466.0,0.4431,37.3,33.1,131759.0,8.6,46947.0,9.4,29416.0,84.6,2019
Kankakee County,Illinois,77.1980838403221,17,91,2413.0,5.2,39796.0,11504.0,3169.0,110637.0,88023.0,2801.0,58902.0,816.0,0.4301,37.7,20.8,26266.0,13.3,12724.0,14.2,16858.0,88.2,2019
Kendall County,Illinois,81.4692131135771,17,93,405.0,4.4,40721.0,23571.0,1482.0,126054.0,102605.0,2660.0,96563.0,350.0,0.3599,35.2,36.2,32061.0,7.6,6685.0,4.5,9339.0,92.4,2019
Knox County,Illinois,76.5044872354115,17,95,1776.0,5.1,20680.0,2909.0,1652.0,50508.0,43219.0,1374.0,44129.0,252.0,0.4523,42.1,18.9,11795.0,15.9,6883.0,18.2,4485.0,89.1,2019
Lake County,Illinois,81.5591954426621,17,97,9054.0,5.2,246122.0,152141.0,13665.0,701473.0,531609.0,14748.0,89427.0,3371.0,0.4847,38.4,45.3,180068.0,9.1,66443.0,7.9,47385.0,90.6,2019
LaSalle County,Illinois,77.107957532664,17,99,2085.0,5.8,45095.0,10658.0,2497.0,109737.0,101568.0,3011.0,58142.0,734.0,0.4314,41.9,17.8,29317.0,13.6,12716.0,13.4,2937.0,88.6,2019
Lawrence County,Illinois,76.0269519509141,17,101,205.0,6.0,6306.0,615.0,174.0,16033.0,14073.0,299.0,46636.0,137.0,0.4263,42.4,14.9,4106.0,21.2,1629.0,16.2,1331.0,84.9,2019
Lee County,Illinois,78.0134731999883,17,103,593.0,3.5,13788.0,2139.0,773.0,34389.0,31133.0,862.0,58194.0,304.0,0.436,43.2,18.2,8379.0,15.5,3817.0,12.5,1881.0,88.8,2019
Livingston County,Illinois,76.7332904110693,17,105,811.0,5.1,14307.0,1647.0,881.0,36040.0,33377.0,983.0,55160.0,261.0,0.4302,42.0,14.8,9446.0,15.5,3890.0,15.0,1520.0,89.9,2019
Logan County,Illinois,77.4008293188705,17,107,380.0,5.6,10797.0,985.0,434.0,29003.0,25667.0,459.0,57308.0,329.0,0.4201,40.1,19.9,6770.0,15.2,2943.0,9.3,2003.0,88.7,2019
McDonough County,Illinois,78.4444478529811,17,109,984.0,7.4,11408.0,844.0,1078.0,30479.0,27372.0,533.0,44471.0,174.0,0.4685,33.0,32.2,5913.0,14.4,3839.0,21.9,1442.0,93.6,2019
McHenry County,Illinois,80.7531994834873,17,111,2616.0,4.1,112453.0,40266.0,4752.0,307714.0,284009.0,5998.0,86799.0,1778.0,0.4028,40.2,34.4,83380.0,9.6,23175.0,7.0,4481.0,93.1,2019
McLean County,Illinois,79.9762009223215,17,113,3181.0,3.2,65845.0,8495.0,5109.0,172578.0,143728.0,3378.0,67675.0,884.0,0.4725,33.1,44.8,40203.0,9.4,23294.0,14.9,14423.0,95.9,2019
Macon County,Illinois,77.0990227815866,17,115,3283.0,7.6,43912.0,2405.0,3272.0,105528.0,82154.0,3290.0,50480.0,745.0,0.4746,41.1,22.1,26102.0,15.1,13873.0,17.0,15658.0,90.4,2019
Macoupin County,Illinois,77.2591203021162,17,117,431.0,6.6,18875.0,560.0,1035.0,45463.0,43970.0,1172.0,55159.0,342.0,0.4203,43.7,18.4,12855.0,14.7,4391.0,13.9,434.0,91.3,2019
Madison County,Illinois,76.7324062492844,17,119,5197.0,6.0,107659.0,8626.0,7077.0,264776.0,231440.0,7594.0,60738.0,1659.0,0.4416,40.2,26.8,69986.0,14.5,30829.0,13.2,22999.0,92.5,2019
Marion County,Illinois,75.1421050344638,17,121,757.0,9.5,15946.0,765.0,723.0,37743.0,34902.0,1249.0,47519.0,401.0,0.4314,42.2,15.2,9980.0,18.8,4216.0,17.7,1382.0,89.0,2019
Marshall County,Illinois,76.9141990516706,17,123,57.0,5.5,4884.0,352.0,123.0,11679.0,11336.0,223.0,58465.0,110.0,0.4162,46.0,18.9,3120.0,13.3,887.0,10.6,34.0,92.9,2019
Mason County,Illinois,76.4236932903109,17,125,130.0,6.6,5977.0,153.0,214.0,13621.0,13214.0,401.0,48417.0,131.0,0.4294,45.2,16.0,3793.0,16.8,1324.0,14.3,103.0,89.2,2019
Massac County,Illinois,75.2219992331137,17,127,296.0,4.4,5822.0,419.0,342.0,14219.0,12956.0,328.0,47481.0,137.0,0.4097,43.5,13.9,3906.0,20.7,1427.0,16.7,830.0,86.8,2019
Menard County,Illinois,78.6588999802911,17,129,150.0,4.9,5188.0,188.0,201.0,12306.0,11942.0,279.0,74684.0,97.0,0.4,43.2,24.0,3743.0,14.4,1137.0,9.3,54.0,94.1,2019
Mercer County,Illinois,78.5940461505723,17,131,249.0,4.4,6516.0,380.0,224.0,15589.0,15128.0,257.0,59787.0,134.0,0.3801,44.9,17.4,4384.0,12.9,1366.0,9.6,98.0,91.9,2019
Monroe County,Illinois,80.9391997169105,17,133,378.0,2.9,13586.0,525.0,512.0,34168.0,33251.0,559.0,85747.0,159.0,0.4253,42.0,35.0,10105.0,9.6,2252.0,4.1,60.0,96.0,2019
Montgomery County,Illinois,77.3602207915958,17,135,420.0,4.6,11522.0,510.0,397.0,28828.0,27265.0,620.0,52748.0,303.0,0.4378,43.3,16.7,7468.0,14.7,2723.0,16.6,1078.0,87.7,2019
Morgan County,Illinois,77.2723085467454,17,137,885.0,5.5,13719.0,849.0,837.0,34247.0,30809.0,1085.0,51437.0,192.0,0.4234,40.8,19.3,8401.0,16.2,4319.0,14.2,2398.0,90.9,2019
Moultrie County,Illinois,77.792969123772,17,139,211.0,3.0,5959.0,212.0,159.0,14641.0,14310.0,263.0,61456.0,473.0,0.392,40.7,18.6,3942.0,12.8,1333.0,7.2,112.0,84.7,2019
Ogle County,Illinois,78.7416951008014,17,141,690.0,5.8,21021.0,5166.0,824.0,51025.0,48105.0,1190.0,60986.0,357.0,0.4052,42.4,21.4,14112.0,13.0,5631.0,9.5,520.0,90.2,2019
Peoria County,Illinois,77.53537224199,17,143,6341.0,7.5,73253.0,8787.0,5890.0,182770.0,132888.0,5981.0,55842.0,1452.0,0.4842,37.5,30.6,43697.0,11.9,25566.0,15.6,32480.0,90.9,2019
Perry County,Illinois,77.1032184657454,17,145,356.0,6.1,8433.0,662.0,357.0,21251.0,18779.0,688.0,52428.0,182.0,0.459,42.2,12.5,5661.0,19.2,2073.0,16.1,1925.0,83.3,2019
Piatt County,Illinois,79.2199866938064,17,147,108.0,4.7,6692.0,222.0,221.0,16401.0,15914.0,249.0,70849.0,55.0,0.3865,42.9,28.6,4722.0,13.4,1172.0,5.2,91.0,93.9,2019
Pike County,Illinois,77.6917173952783,17,149,245.0,6.0,6309.0,202.0,131.0,15672.0,15185.0,422.0,47492.0,176.0,0.4368,42.0,17.8,4073.0,16.6,1352.0,13.8,191.0,88.7,2019
Pope County,Illinois,78.2212071836404,17,151,69.0,15.7,1694.0,116.0,39.0,4203.0,3893.0,63.0,38056.0,55.0,0.4328,52.5,13.1,967.0,26.1,296.0,15.3,177.0,86.0,2019
Pulaski County,Illinois,74.551360732663,17,153,175.0,9.1,2095.0,128.0,135.0,5510.0,3620.0,109.0,34640.0,88.0,0.4972,44.0,12.5,1289.0,21.9,495.0,20.5,1669.0,88.8,2019
Putnam County,Illinois,79.0375984614486,17,155,40.0,2.6,2413.0,320.0,62.0,5721.0,5532.0,95.0,63638.0,25.0,0.3998,48.1,16.6,1629.0,13.5,470.0,8.5,40.0,92.7,2019
Randolph County,Illinois,77.6581271215119,17,157,514.0,4.8,11883.0,1014.0,297.0,32295.0,28031.0,731.0,53816.0,211.0,0.4295,41.6,13.3,7785.0,16.3,3091.0,12.7,3252.0,84.3,2019
Richland County,Illinois,77.5359630091977,17,159,338.0,5.6,6452.0,270.0,276.0,15766.0,15178.0,371.0,48894.0,122.0,0.4302,42.0,21.0,4073.0,17.4,1857.0,14.7,125.0,89.1,2019
Rock Island County,Illinois,78.171954890751,17,161,4383.0,5.7,60546.0,18491.0,3721.0,143873.0,115405.0,4843.0,54858.0,879.0,0.4286,40.1,23.5,37525.0,13.7,19381.0,14.0,14968.0,88.6,2019
Saint Clair County,Illinois,76.6052403646212,17,163,7401.0,6.7,104105.0,10748.0,8468.0,262338.0,168096.0,8691.0,55179.0,2407.0,0.4688,38.6,28.0,65167.0,13.5,36236.0,14.8,78532.0,91.1,2019
Saline County,Illinois,74.2451269202975,17,165,614.0,7.6,9972.0,428.0,459.0,23994.0,22234.0,802.0,44090.0,257.0,0.4692,42.2,19.2,6654.0,22.3,2540.0,21.1,632.0,86.7,2019
Sangamon County,Illinois,77.9718269806759,17,167,5159.0,5.8,83711.0,4532.0,6371.0,196861.0,161188.0,6556.0,61912.0,1449.0,0.4589,40.3,34.5,50223.0,13.6,26038.0,14.5,25303.0,92.5,2019
Schuyler County,Illinois,77.6502435897883,17,169,39.0,7.5,2775.0,67.0,44.0,6953.0,6219.0,150.0,52357.0,46.0,0.3828,46.3,20.4,1681.0,19.7,673.0,19.0,625.0,89.4,2019
Scott County,Illinois,77.5595225077691,17,171,34.0,5.9,1939.0,64.0,38.0,5005.0,4886.0,115.0,57118.0,49.0,0.3907,44.6,15.8,1383.0,13.4,389.0,13.0,7.0,93.5,2019
Shelby County,Illinois,79.6537542401869,17,173,219.0,4.4,9189.0,229.0,202.0,21737.0,21357.0,353.0,52953.0,109.0,0.394,45.1,16.8,6185.0,12.8,1745.0,10.8,149.0,92.3,2019
Stark County,Illinois,76.7622823207536,17,175,42.0,2.9,2315.0,95.0,66.0,5447.0,5290.0,126.0,54907.0,50.0,0.4554,45.1,17.0,1525.0,12.2,498.0,15.5,53.0,91.3,2019
Stephenson County,Illinois,79.0486179545879,17,177,1310.0,7.0,19739.0,1787.0,889.0,45093.0,38702.0,1753.0,48805.0,465.0,0.4363,45.3,19.6,12632.0,14.8,5938.0,13.6,4334.0,92.5,2019
Tazewell County,Illinois,78.6934183516167,17,179,2179.0,4.4,54291.0,3116.0,2047.0,133195.0,127484.0,2904.0,63454.0,882.0,0.4181,41.0,26.3,36136.0,12.2,12811.0,8.3,1645.0,92.7,2019
Union County,Illinois,76.29997752897,17,181,210.0,6.4,6654.0,880.0,182.0,16968.0,15963.0,385.0,50625.0,192.0,0.437,43.7,21.7,4559.0,17.9,1513.0,18.0,276.0,88.4,2019
Vermilion County,Illinois,75.3587334703099,17,183,2448.0,6.5,31151.0,3905.0,1897.0,77563.0,63747.0,2646.0,46515.0,632.0,0.4506,40.4,14.7,19415.0,14.8,9485.0,18.9,10920.0,88.5,2019
Wabash County,Illinois,78.0692022385948,17,185,268.0,3.4,4839.0,308.0,239.0,11546.0,11062.0,197.0,50770.0,123.0,0.434,43.8,18.2,3225.0,17.8,1065.0,12.0,76.0,90.6,2019
Warren County,Illinois,78.1600867943729,17,187,295.0,7.7,6862.0,1640.0,236.0,17146.0,15107.0,534.0,50310.0,80.0,0.412,39.8,22.8,4558.0,13.3,1763.0,12.9,501.0,86.7,2019
Washington County,Illinois,78.8975589650485,17,189,116.0,4.7,6020.0,203.0,122.0,14058.0,13594.0,287.0,61763.0,104.0,0.3973,43.9,20.9,4060.0,12.2,1355.0,7.1,121.0,92.2,2019
Wayne County,Illinois,77.3870650245161,17,191,322.0,2.9,7051.0,102.0,236.0,16402.0,15849.0,363.0,50251.0,213.0,0.4049,43.4,15.4,4529.0,17.5,1650.0,13.3,248.0,87.9,2019
White County,Illinois,75.4267189955755,17,193,214.0,6.6,6041.0,202.0,163.0,13868.0,13527.0,433.0,49290.0,257.0,0.4205,44.3,15.5,4003.0,19.6,1173.0,14.0,97.0,89.9,2019
Whiteside County,Illinois,77.9787431556263,17,195,774.0,4.5,23084.0,6723.0,1087.0,56016.0,52852.0,1452.0,54232.0,477.0,0.4345,43.4,18.2,14963.0,15.0,5805.0,10.7,936.0,90.6,2019
Will County,Illinois,79.8733403907914,17,197,5295.0,4.7,229498.0,119765.0,10318.0,689315.0,506424.0,13418.0,86961.0,3188.0,0.4068,37.9,34.3,171227.0,8.9,42970.0,6.7,77941.0,91.0,2019
Williamson County,Illinois,77.1459331591583,17,199,1523.0,5.7,27029.0,1771.0,1503.0,67102.0,60881.0,1670.0,50734.0,442.0,0.4509,41.2,24.3,16953.0,18.1,8080.0,13.9,2874.0,92.3,2019
Winnebago County,Illinois,76.9262091847846,17,201,7668.0,8.1,114779.0,36371.0,9260.0,284819.0,224363.0,10124.0,54489.0,1951.0,0.4489,39.7,22.9,73899.0,13.9,39187.0,15.6,36935.0,87.7,2019
Woodford County,Illinois,79.9848430144303,17,203,390.0,3.7,14499.0,707.0,480.0,38700.0,37472.0,685.0,72808.0,229.0,0.4386,40.5,33.2,10491.0,9.8,2642.0,7.0,254.0,94.8,2019
Adams County,Indiana,78.5134479392771,18,1,251.0,3.6,12481.0,1601.0,437.0,35376.0,34113.0,688.0,52504.0,1073.0,0.4228,33.5,15.5,8791.0,11.5,2858.0,16.8,399.0,84.7,2019
Allen County,Indiana,77.1861086597315,18,3,6219.0,4.9,145065.0,27818.0,8988.0,372575.0,294017.0,11290.0,54857.0,2261.0,0.4458,35.9,28.5,93587.0,12.5,45801.0,13.3,42798.0,89.4,2019
Bartholomew County,Indiana,78.1362788276523,18,5,738.0,4.2,31452.0,5572.0,1541.0,82481.0,70299.0,1821.0,63431.0,542.0,0.4298,37.8,33.5,20689.0,13.0,8982.0,13.4,1549.0,90.6,2019
Benton County,Indiana,77.7252618267823,18,7,46.0,3.2,3432.0,452.0,174.0,8677.0,8448.0,209.0,49488.0,49.0,0.4039,40.5,16.1,2265.0,18.5,891.0,13.5,43.0,89.9,2019
Blackford County,Indiana,75.6251086287901,18,9,312.0,5.8,5235.0,196.0,255.0,12013.0,11669.0,320.0,43505.0,69.0,0.4259,44.0,13.5,3474.0,20.6,1324.0,12.8,4.0,89.4,2019
Boone County,Indiana,78.6768046513842,18,11,733.0,1.9,25485.0,1966.0,969.0,65544.0,60837.0,1247.0,83077.0,203.0,0.4894,38.1,49.3,18514.0,9.6,5827.0,6.0,1137.0,93.7,2019
Brown County,Indiana,79.261608014995,18,13,106.0,4.5,6189.0,259.0,236.0,15064.0,14552.0,185.0,61030.0,79.0,0.4588,50.0,28.9,4508.0,15.1,965.0,9.0,98.0,92.1,2019
Carroll County,Indiana,79.1951296359396,18,15,175.0,3.1,8002.0,814.0,148.0,20074.0,19284.0,368.0,54806.0,133.0,0.4112,42.9,16.7,5413.0,15.2,1545.0,9.6,234.0,88.4,2019
Cass County,Indiana,76.4895005919055,18,17,683.0,4.6,14688.0,5817.0,561.0,37880.0,31859.0,910.0,49415.0,332.0,0.42,40.8,13.3,9486.0,15.6,3825.0,14.6,441.0,85.4,2019
Clark County,Indiana,75.2892462175026,18,19,1767.0,4.9,44200.0,6264.0,2303.0,116507.0,102002.0,2591.0,55630.0,453.0,0.4229,39.1,21.2,28767.0,13.4,12758.0,10.1,7854.0,89.4,2019
Clay County,Indiana,76.3144100317122,18,21,167.0,4.1,10543.0,142.0,280.0,26234.0,25311.0,606.0,55637.0,165.0,0.3774,41.5,17.0,7529.0,18.4,2366.0,12.6,220.0,91.4,2019
Clinton County,Indiana,76.6383525411855,18,23,599.0,3.9,12033.0,5118.0,536.0,32273.0,29558.0,696.0,54286.0,166.0,0.3786,37.8,16.3,8187.0,13.6,3541.0,12.5,268.0,85.7,2019
Crawford County,Indiana,74.8320476778739,18,25,84.0,3.7,3835.0,158.0,67.0,10569.0,10258.0,84.0,41662.0,79.0,0.4557,43.0,10.3,2552.0,20.3,667.0,17.9,41.0,80.4,2019
Daviess County,Indiana,76.521913021406,18,27,665.0,3.6,11227.0,1646.0,511.0,33120.0,31447.0,536.0,53629.0,1298.0,0.4224,34.4,13.2,8066.0,14.4,2977.0,11.9,652.0,73.8,2019
Dearborn County,Indiana,77.4086281975652,18,29,552.0,3.7,18870.0,646.0,826.0,49479.0,48102.0,830.0,68658.0,245.0,0.4032,42.5,22.9,13710.0,11.8,3843.0,9.1,431.0,89.6,2019
Decatur County,Indiana,76.9293928284762,18,31,301.0,3.8,10353.0,533.0,399.0,26562.0,25655.0,373.0,57949.0,191.0,0.385,39.2,20.6,6935.0,13.8,3123.0,11.5,173.0,90.9,2019
DeKalb County,Indiana,77.024671861896,18,33,480.0,3.5,16801.0,1202.0,472.0,42927.0,41724.0,1044.0,56421.0,327.0,0.4258,39.1,18.0,11552.0,13.5,4020.0,11.3,300.0,90.2,2019
Delaware County,Indiana,75.2373410921926,18,35,2803.0,6.6,46026.0,2847.0,4764.0,115020.0,101663.0,3253.0,43512.0,842.0,0.4811,35.6,23.7,27126.0,17.3,16811.0,21.9,8056.0,89.7,2019
