County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,High School Degree or Higher (%),Black Population,Total Families,Bachelor's Degree or Higher (%),Median Age,Gini Index,Rent Denominator,Disability Rate,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,No Vehicle (Owner),Median Household Income,Total Families (Single Mother),Total Occupied Households,Unemployment Rate,No Vehicle (Renter),Year
Houston County,Alabama,76.6654865118704,1,69,17.7,82.5,26052,26289,20.2,38.3,0.4712,13293,17.0,71132,101459,2898,2950,819,41828,3570,38732,7.8,1666,2012
Jackson County,Alabama,73.8971307190983,1,71,16.2,74.2,1770,14810,13.1,41.4,0.4377,5122,18.5,49024,53279,609,1334,538,37059,1091,21197,8.1,455,2012
Jefferson County,Alabama,74.9923234793925,1,73,17.0,86.0,277856,166280,30.0,37.0,0.4948,90216,14.2,351974,658464,25361,24770,5720,45415,24300,259255,10.0,15559,2012
Lamar County,Alabama,74.6375257695077,1,75,20.1,73.9,1728,4486,8.6,42.6,0.5026,1715,21.1,12655,14513,292,186,80,35271,497,6107,9.5,290,2012
Lauderdale County,Alabama,76.3717334494033,1,77,17.9,84.1,9372,25106,22.3,40.4,0.4505,11204,17.7,80665,92528,3197,2065,976,40701,2379,38301,9.1,1351,2012
Lawrence County,Alabama,74.0874083511881,1,79,16.1,78.7,3803,9822,13.8,41.0,0.4183,2732,19.8,26490,34148,317,601,336,39526,957,13441,11.5,351,2012
Lee County,Alabama,77.5552230695894,1,81,21.1,85.2,32324,32934,31.9,29.6,0.4776,20460,12.3,101299,140938,6211,4668,653,43189,3401,55350,9.7,1998,2012
Limestone County,Alabama,77.5349339425497,1,83,13.3,80.0,10670,22640,21.1,38.7,0.4448,7126,13.3,68300,83313,1219,4529,581,48197,2190,31186,8.9,787,2012
Lowndes County,Alabama,72.5169545782714,1,85,23.6,72.8,8365,2808,13.0,40.7,0.5192,1093,21.0,2874,11304,197,72,285,28023,497,4252,17.6,252,2012
Macon County,Alabama,73.472029298343,1,87,28.1,77.2,17635,4976,16.6,36.6,0.4751,2631,20.2,3365,21214,781,274,342,27957,1136,8094,16.5,789,2012
Madison County,Alabama,77.7777375113583,1,89,12.4,89.8,80303,85939,41.2,37.3,0.4597,39371,12.2,232397,334661,8581,14916,1812,58242,8943,131263,9.3,4667,2012
Marengo County,Alabama,74.31817729379,1,91,22.8,80.0,10926,5799,16.5,41.1,0.4978,2468,23.3,9688,20909,379,364,348,34515,893,8580,10.6,676,2012
Marion County,Alabama,74.3185965980805,1,93,20.9,70.4,1189,9059,7.7,43.2,0.4527,3155,22.8,28907,30641,380,645,243,31970,802,12727,10.9,394,2012
Marshall County,Alabama,74.2594225666453,1,95,20.0,72.4,1498,24284,16.6,38.1,0.4613,9624,16.9,87176,93070,1709,11174,742,38649,2307,34396,9.1,1056,2012
Mobile County,Alabama,74.9254454523935,1,97,19.5,82.9,143332,105597,19.1,36.6,0.4695,51583,15.6,250617,412297,13867,9864,2918,42973,15733,156772,11.1,8266,2012
Monroe County,Alabama,75.3055057626381,1,99,26.0,74.1,9534,6030,8.7,40.0,0.4709,2136,18.7,12748,22993,389,224,302,30996,950,8707,14.8,517,2012
Montgomery County,Alabama,76.0363412800295,1,101,20.4,84.4,125397,56784,30.8,34.7,0.4739,33608,16.0,93483,229376,9679,7887,2143,44401,10531,88749,8.7,4993,2012
Morgan County,Alabama,75.7692598409346,1,103,15.1,80.9,14197,32238,21.2,38.7,0.4396,13091,15.5,98477,119330,2284,8943,745,45852,3330,46058,11.0,1595,2012
Perry County,Alabama,72.0683801705565,1,105,26.9,71.1,7223,2525,11.3,37.0,0.469,1317,28.3,3185,10525,210,81,123,31008,481,3509,19.1,234,2012
Pickens County,Alabama,74.4214021607815,1,107,27.4,76.7,8168,5400,8.3,41.4,0.4594,2296,24.1,11249,19646,425,320,327,28762,891,8022,14.5,655,2012
Pike County,Alabama,75.324182967647,1,109,27.1,80.6,11915,7735,23.2,31.3,0.4961,5655,14.9,19268,32750,1568,743,307,31702,1264,12987,9.7,909,2012
Randolph County,Alabama,74.4748298659528,1,111,23.1,68.3,4758,5841,9.7,40.7,0.491,2351,20.8,17656,22843,548,636,198,35074,741,8801,11.6,528,2012
Russell County,Alabama,74.2849040636452,1,113,22.2,77.9,22756,13106,13.3,35.6,0.4417,7958,21.2,29342,53938,1507,2092,636,33591,2479,20904,11.7,1191,2012
Saint Clair County,Alabama,75.1409064937624,1,115,14.8,79.3,7415,23177,14.0,38.8,0.4249,5897,16.2,74235,83530,1136,1733,665,49652,2162,30970,10.7,349,2012
Shelby County,Alabama,79.6179282707985,1,117,7.7,90.9,21002,53172,42.9,36.9,0.4307,15017,11.1,162400,195237,2466,11191,839,69379,4161,73624,6.4,1111,2012
Sumter County,Alabama,74.3938821811206,1,119,38.1,75.3,10132,3131,13.9,37.1,0.4952,1739,25.6,3327,13669,595,101,274,22655,717,4966,19.0,393,2012
Talladega County,Alabama,73.5547810443691,1,121,22.9,76.3,26762,22290,11.8,39.4,0.4509,9455,20.2,53935,82194,2038,1653,972,35209,3257,31555,14.5,1450,2012
Tallapoosa County,Alabama,75.2700066121829,1,123,19.5,75.1,11347,11492,15.3,41.8,0.4593,4541,20.2,29403,41534,866,1006,605,38611,1306,16339,11.6,836,2012
Tuscaloosa County,Alabama,75.9567690035619,1,125,19.2,83.8,58198,43456,24.2,31.4,0.474,24450,12.6,130821,194254,7389,5860,1260,43996,5331,67919,8.0,3201,2012
Walker County,Alabama,71.0086526303479,1,127,19.8,73.5,3672,18258,10.4,41.5,0.4506,6270,23.2,61305,67016,951,1340,716,37408,1755,26025,13.7,788,2012
Washington County,Alabama,74.7671249776603,1,129,17.1,79.7,4263,4933,6.9,39.5,0.4428,984,22.0,11389,17407,118,163,189,42256,373,6695,18.0,193,2012
Wilcox County,Alabama,72.1727031543216,1,131,39.4,70.2,8555,2548,11.4,38.8,0.522,795,16.4,3132,11706,184,21,388,24212,541,3624,24.5,170,2012
Winston County,Alabama,74.1868543786886,1,133,24.2,68.6,196,6608,11.6,43.1,0.478,2491,24.3,23567,24432,438,648,233,32830,512,9544,9.8,296,2012
Anchorage Municipality,Alaska,78.7324733774199,2,20,7.7,93.0,16770,69461,31.5,32.9,0.4145,40799,10.7,194690,291470,7345,22473,1530,76495,8733,105517,7.3,4751,2012
Bethel Census Area,Alaska,72.9375771624196,2,50,21.8,80.1,49,3194,8.6,26.1,0.4492,1521,10.1,2007,17184,97,201,1613,52349,330,4307,17.9,935,2012
Bristol Bay Borough,Alaska,75.4523499871574,2,60,6.2,89.1,2,258,17.9,42.7,0.3456,168,14.1,507,929,9,49,9,79931,22,375,6.9,40,2012
Fairbanks North Star Borough,Alaska,79.1951142874763,2,90,8.0,92.4,4482,23968,25.0,30.7,0.4066,14252,10.1,75945,97523,2973,5898,327,69485,2576,35740,6.7,1638,2012
Haines Borough,Alaska,79.7853560050767,2,100,6.4,95.1,8,718,29.9,42.9,0.398,375,15.5,2053,2500,68,32,19,50208,37,1139,9.0,53,2012
Juneau City and Borough,Alaska,79.6549904893737,2,110,6.4,96.3,215,7955,35.1,37.8,0.3869,4591,9.7,22095,31636,650,1663,228,78947,967,12323,5.1,764,2012
Kenai Peninsula Borough,Alaska,78.364214012236,2,122,9.1,92.3,322,14326,21.4,40.9,0.4266,5673,15.6,47050,55474,1112,1698,403,59421,1343,21964,8.9,752,2012
Kodiak Island Borough,Alaska,78.9325295918541,2,150,11.5,92.5,105,3266,22.2,31.5,0.3631,1979,11.4,7799,13710,255,1044,165,70976,370,4468,5.9,306,2012
Matanuska-Susitna Borough,Alaska,78.153605044223,2,170,9.9,91.4,907,22477,18.9,34.8,0.3955,6934,11.2,76133,89319,1510,3396,399,70728,1864,30923,10.5,696,2012
Nome Census Area,Alaska,71.2209696012473,2,180,26.5,83.4,126,1966,13.8,28.0,0.4194,1267,10.4,1597,9580,104,123,735,51472,298,2772,17.8,794,2012
North Slope Borough,Alaska,75.1130295005676,2,185,12.6,89.0,46,1368,15.0,34.2,0.3859,1098,8.7,3010,9317,53,264,412,76679,234,1991,12.3,618,2012
Sitka City and Borough,Alaska,79.6650631553651,2,220,7.4,91.4,70,2392,32.1,38.8,0.3774,1581,9.1,5869,8909,403,441,81,66895,174,3623,6.3,323,2012
Southeast Fairbanks Census Area,Alaska,77.5612030905116,2,240,9.9,92.3,107,1715,22.4,36.3,0.3898,820,12.2,5694,7039,83,251,92,62712,102,2400,9.3,70,2012
Valdez-Cordova Census Area,Alaska,77.7789732408076,2,261,7.0,87.6,28,2637,21.2,39.6,0.3943,870,11.5,7090,9614,76,355,67,67421,284,3706,7.4,142,2012
Wade Hampton Census Area,Alaska,69.3213264483902,2,270,29.7,78.4,8,1405,5.0,21.8,0.3894,533,10.9,235,7556,26,34,976,40608,270,1704,27.2,455,2012
Northwest Arctic Borough,Alaska,73.3099569505481,2,188,19.0,78.9,30,1441,9.9,25.7,0.3982,820,10.2,868,7601,71,66,608,60870,212,1830,26.2,619,2012
Aleutians East Borough,Alaska,83.2497136811526,2,13,16.5,77.8,417,239,13.4,40.7,0.392,169,6.4,721,3114,12,449,41,58125,46,394,3.1,43,2012
Aleutians West Census Area,Alaska,83.2497136811526,2,16,10.5,78.2,326,579,10.3,39.1,0.3772,660,7.3,1860,5507,52,741,56,77292,55,991,3.6,126,2012
Dillingham Census Area,Alaska,73.8738696625887,2,70,17.9,81.8,19,901,14.2,28.6,0.426,520,12.3,888,4887,38,102,267,56857,127,1334,14.5,214,2012
Lake and Peninsula Borough,Alaska,73.8738696625887,2,164,23.1,84.5,7,403,13.7,28.7,0.4412,224,15.8,431,1551,6,19,156,49808,59,570,8.9,127,2012
Denali Borough,Alaska,73.4675000952053,2,68,10.6,92.7,20,405,14.3,41.4,0.3579,219,10.4,1677,1917,12,43,0,74044,11,717,2.8,8,2012
Yukon-Koyukuk Census Area,Alaska,73.4675000952053,2,290,22.9,80.0,6,1217,7.1,35.6,0.4491,592,16.5,1235,5637,51,70,655,35559,200,2061,22.6,353,2012
Hoonah-Angoon Census Area,Alaska,80.4521604465035,2,105,13.9,87.8,5,607,24.4,48.3,0.4445,352,18.6,1041,2153,50,61,185,48942,32,999,12.7,121,2012
Skagway Municipality,Alaska,80.4521604465035,2,230,4.8,95.5,3,237,21.7,46.7,0.3779,151,6.0,799,1050,14,11,5,71583,24,395,7.6,17,2012
Yakutat City and Borough,Alaska,80.4521604465035,2,282,3.3,93.2,8,163,36.5,39.1,0.342,140,7.0,248,644,7,14,2,71705,31,259,4.4,17,2012
Ketchikan Gateway Borough,Alaska,78.2747578732582,2,130,10.3,92.0,58,3308,20.9,38.4,0.3929,2314,12.7,9154,13525,488,559,107,59736,381,5367,8.4,611,2012
Petersburg Borough,Alaska,78.2747578732582,2,195,11.6,95.6,50,991,22.5,42.2,0.4091,477,10.1,2754,3822,71,158,85,61696,53,1671,4.5,96,2012
Prince of Wales-Hyder Census Area,Alaska,78.2747578732582,2,198,13.1,92.0,12,1442,15.9,39.0,0.4278,699,14.9,2791,5603,48,135,185,45774,175,2291,11.4,113,2012
Wrangell City and Borough,Alaska,78.2747578732582,2,275,7.6,92.9,13,678,22.8,50.8,0.4049,302,23.5,1744,2368,39,21,36,47348,73,1160,6.0,90,2012
Apache County,Arizona,73.8561214396708,4,1,34.0,73.6,207,13121,8.7,32.1,0.4845,4522,14.4,17177,71618,697,4286,1947,31615,1760,19035,19.6,379,2012
Cochise County,Arizona,78.5680603010476,4,3,16.6,85.5,5164,32925,23.3,39.9,0.44,15477,16.6,105267,131118,2780,42595,1197,45505,3457,49220,9.2,2176,2012
Coconino County,Arizona,79.1193751512235,4,5,21.8,86.8,1774,29346,30.1,30.9,0.4508,17927,10.9,83919,134011,5250,18106,1013,48320,3104,45718,8.4,1671,2012
Gila County,Arizona,75.6097304830814,4,7,20.8,84.3,238,12888,17.6,47.8,0.4379,4751,18.7,42288,53436,1140,9612,667,38504,1076,20245,9.2,960,2012
Graham County,Arizona,77.4622342675031,4,9,22.3,83.1,776,7976,13.0,31.8,0.4281,2745,13.2,27973,37115,561,11365,294,44421,916,10944,11.4,518,2012
Greenlee County,Arizona,78.7507827120149,4,11,17.5,88.1,84,2488,13.4,33.7,0.362,1841,10.4,7410,8592,111,4080,51,49692,225,3371,10.8,112,2012
Maricopa County,Arizona,80.2124326116695,4,13,15.8,85.7,192883,922294,30.9,34.6,0.4559,507455,9.8,3114615,3841819,120441,1136308,21367,54385,105175,1402149,9.0,71594,2012
Mohave County,Arizona,75.5591104853809,4,15,18.6,82.9,2019,52562,12.9,47.4,0.4307,24060,18.4,179349,201216,5796,30016,1483,39383,4217,80355,14.2,2825,2012
Navajo County,Arizona,75.2738330677208,4,17,27.9,80.6,916,25384,14.6,34.8,0.4617,9638,18.8,52280,107415,1812,11549,1565,37683,3309,34867,17.1,1426,2012
Pima County,Arizona,79.2757506659015,4,19,18.5,87.0,35850,237405,30.8,37.7,0.4653,139370,13.2,778258,981048,37381,339278,7138,46443,26617,382814,10.1,24641,2012
Pinal County,Arizona,80.7659844558082,4,21,15.2,82.1,16664,88841,17.5,35.8,0.3987,29181,12.0,284721,368374,6312,106207,2544,50164,8541,122746,11.5,3587,2012
Santa Cruz County,Arizona,82.0373373185342,4,23,26.8,76.2,262,10504,22.5,35.5,0.4713,4729,8.3,34441,47057,1278,38905,214,37692,1362,13918,14.0,593,2012
Yavapai County,Arizona,78.7874029147685,4,25,15.3,90.1,1182,56980,26.3,49.3,0.461,26682,17.0,193691,211280,6671,28767,1483,43652,4168,91168,10.2,2986,2012
La Paz County,Arizona,81.3521675862137,4,12,20.2,70.7,181,6506,10.7,54.1,0.4178,2726,17.1,14643,20460,218,4870,281,35093,747,10497,8.6,460,2012
Yuma County,Arizona,81.3521675862137,4,27,21.4,71.2,4084,54709,13.9,33.6,0.4211,21335,11.5,149922,196420,4890,117002,1496,41156,7007,70111,13.0,2579,2012
Arkansas County,Arkansas,74.1112858269703,5,1,17.0,83.1,4656,5201,12.9,41.5,0.4681,2554,19.3,13791,19029,363,512,230,39883,500,7997,7.3,433,2012
Ashley County,Arkansas,74.722530526701,5,3,17.2,81.3,5613,6232,11.1,39.5,0.4505,2168,18.9,15143,21811,264,1067,183,38069,736,8774,9.8,384,2012
Baxter County,Arkansas,76.2503312773737,5,5,17.2,87.6,123,12049,16.5,50.8,0.442,4119,22.0,40189,41387,932,712,363,35209,876,18137,9.6,438,2012
Benton County,Arkansas,79.4131254615631,5,7,12.1,84.8,2557,59730,30.3,34.5,0.4368,25363,10.2,191672,222028,3983,34339,913,53515,4815,81380,5.2,2356,2012
Boone County,Arkansas,76.6663467075271,5,9,15.8,81.9,114,10366,15.7,41.4,0.4584,3989,19.9,35767,37032,584,720,271,38364,885,14748,8.3,598,2012
Bradley County,Arkansas,73.9859323033062,5,11,25.8,70.8,3193,3303,11.6,40.2,0.4698,1506,19.1,7005,11510,216,1528,59,32321,352,4920,7.5,182,2012
Calhoun County,Arkansas,75.1966838611123,5,13,10.5,78.8,1307,1386,4.1,42.4,0.4133,413,26.3,3972,5373,58,45,63,31425,101,2084,7.9,45,2012
Carroll County,Arkansas,77.1456627462798,5,15,17.7,79.8,46,7656,16.4,44.2,0.4364,3212,16.5,25062,27321,604,3547,249,35558,609,11316,8.2,294,2012
Chicot County,Arkansas,73.5503670607376,5,17,32.3,71.1,6404,3109,11.3,42.5,0.4877,1522,25.7,4875,11759,364,557,181,25188,555,4707,11.8,442,2012
Clark County,Arkansas,75.3636248057106,5,19,23.7,85.2,5494,5286,21.8,33.6,0.4838,2770,17.6,16982,23050,698,928,177,32393,664,8144,11.5,408,2012
Clay County,Arkansas,73.5541248348346,5,21,18.7,73.3,38,4489,8.1,42.9,0.433,1793,23.8,15623,15981,253,223,90,32695,371,6848,13.2,280,2012
Cleburne County,Arkansas,76.6484655444559,5,23,16.6,82.9,102,7294,17.9,46.4,0.4555,2419,18.2,25198,25849,455,536,250,39410,506,10431,10.4,178,2012
Cleveland County,Arkansas,75.4329581994689,5,25,18.3,85.0,1043,2387,12.2,40.2,0.4493,712,21.8,7469,8685,98,147,54,38060,279,3310,11.8,72,2012
Columbia County,Arkansas,74.6943200936668,5,27,24.7,84.6,9072,6448,20.0,36.1,0.4583,2731,20.2,14864,24644,742,551,297,34895,1100,9498,12.5,541,2012
Conway County,Arkansas,75.4217186668425,5,29,23.4,80.8,2490,5574,12.3,40.4,0.4768,2160,19.5,18103,21203,581,771,335,32625,538,8231,9.2,306,2012
Craighead County,Arkansas,76.2385197940168,5,31,20.4,83.8,12750,25322,23.2,33.1,0.4835,15110,14.5,80792,96709,3851,4270,516,41054,3376,37357,8.7,2086,2012
Crawford County,Arkansas,75.686590417868,5,33,19.3,80.6,859,17545,13.6,38.0,0.4099,6373,17.0,56227,61670,1465,3768,279,39981,1928,23276,7.6,722,2012
Crittenden County,Arkansas,72.9401979057682,5,35,24.8,77.9,25831,13244,14.0,33.8,0.4596,7825,15.6,23299,50618,2090,1049,267,36521,3132,18560,12.8,1803,2012
Cross County,Arkansas,73.6904796145758,5,37,16.2,79.9,4123,4765,9.2,39.4,0.4241,2196,19.5,13350,17891,355,110,182,39665,543,6794,8.6,261,2012
Dallas County,Arkansas,73.8830173656563,5,39,18.0,78.6,3495,1942,8.1,42.9,0.4748,970,25.5,4504,8122,191,192,90,30309,169,3128,10.3,339,2012
Desha County,Arkansas,73.3796780724682,5,41,28.4,73.4,6201,3457,11.6,39.1,0.5046,2313,20.6,6203,12922,384,581,135,29504,628,5324,13.7,609,2012
Drew County,Arkansas,75.6904108101973,5,43,24.2,83.4,5271,5086,22.2,37.5,0.4603,2726,17.2,12943,18615,770,460,122,32087,726,7494,12.0,282,2012
Faulkner County,Arkansas,76.9619590048966,5,45,14.6,88.2,11872,28690,25.4,31.4,0.4309,14713,12.5,97018,113730,3351,4397,382,49008,3052,42325,7.8,1547,2012
Franklin County,Arkansas,75.1411510297566,5,47,18.7,82.5,156,4930,13.0,40.8,0.4375,1685,19.6,17262,18110,289,406,94,35918,373,6684,10.5,261,2012
Fulton County,Arkansas,75.5379827898365,5,49,19.6,80.3,36,3310,10.7,46.9,0.4103,1066,26.6,11946,12301,142,110,81,35059,191,4865,11.3,77,2012
Garland County,Arkansas,75.2570452248396,5,51,19.0,86.1,8043,25744,22.8,44.2,0.4672,11973,18.7,82114,96249,2780,4643,896,38680,2550,39791,9.5,1976,2012
Grant County,Arkansas,75.6239859974003,5,53,8.4,82.6,364,4890,16.4,39.4,0.3863,1337,16.7,17058,17852,177,408,60,49063,228,6697,7.6,135,2012
Greene County,Arkansas,74.5331879883689,5,55,17.3,80.9,279,11515,11.9,37.8,0.4293,5921,19.4,40966,42224,1132,940,197,38481,1274,16457,9.0,668,2012
Hempstead County,Arkansas,75.2479397463284,5,57,26.8,78.2,6811,5843,14.5,38.6,0.4489,2768,19.1,14623,22548,882,2678,166,31193,875,8575,8.8,448,2012
Hot Spring County,Arkansas,75.1772664311386,5,59,14.2,80.6,3602,8435,9.9,39.6,0.3924,3357,22.0,28582,33011,545,925,298,39652,760,12271,9.7,476,2012
Howard County,Arkansas,74.4354857160435,5,61,23.7,73.7,2943,3672,12.8,37.1,0.4562,1805,18.0,9609,13790,329,1338,83,35236,665,5192,7.9,340,2012
Independence County,Arkansas,75.5694409162232,5,63,23.6,80.0,996,10224,11.9,38.0,0.4734,4287,17.1,34681,36572,1089,2089,195,34374,1109,14833,8.5,489,2012
Izard County,Arkansas,75.5978482588757,5,65,18.8,76.2,163,4087,10.3,47.3,0.4266,1321,24.8,13053,13614,238,207,58,31011,310,5777,11.2,152,2012
Jackson County,Arkansas,73.5653078755239,5,67,25.6,73.8,2945,4227,9.3,40.9,0.4563,1958,21.7,14355,17885,409,442,140,31692,471,6456,11.4,429,2012
Jefferson County,Arkansas,74.0215400823225,5,69,23.3,81.6,42307,18448,15.7,37.2,0.4649,10168,18.0,32332,76836,2924,1236,770,37561,3209,28207,13.3,1512,2012
Johnson County,Arkansas,76.2289901089355,5,71,19.1,74.6,413,6728,14.9,37.6,0.4924,3092,15.8,24127,25554,632,3121,222,32198,750,9770,7.2,289,2012
Lafayette County,Arkansas,74.0803351638509,5,73,22.9,73.1,2846,1780,11.2,42.9,0.4774,739,22.5,4683,7618,125,132,114,28633,202,2773,14.6,171,2012
Lawrence County,Arkansas,74.0776121126324,5,75,25.4,74.9,114,4475,7.8,39.8,0.4081,1901,20.5,16894,17314,404,160,72,32205,372,6609,9.2,254,2012
Lee County,Arkansas,73.6384894525123,5,77,30.9,65.6,5888,2197,5.2,39.8,0.4493,1336,23.0,4408,10430,278,186,183,26098,357,3401,18.1,513,2012
Lincoln County,Arkansas,75.7083515136591,5,79,28.7,66.7,4182,3070,7.0,37.7,0.4876,1207,20.4,9410,14167,250,458,301,34107,443,4129,11.7,172,2012
Little River County,Arkansas,74.5062487093194,5,81,14.9,82.5,2863,3747,8.9,41.1,0.4026,1034,17.2,9722,13068,156,130,118,39042,386,5237,7.1,218,2012
Logan County,Arkansas,74.7473624038807,5,83,15.8,77.6,308,6093,10.5,41.7,0.4308,1924,20.7,20969,22352,287,527,185,37237,521,8400,8.5,218,2012
Lonoke County,Arkansas,75.3274694088,5,85,13.1,87.1,4248,18698,19.1,35.5,0.3874,6526,16.1,61297,68274,952,2261,214,51499,1839,24998,7.8,793,2012
