County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,Black Population,High School Degree or Higher (%),Bachelor's Degree or Higher (%),Total Families,Gini Index,Median Age,Disability Rate,Rent Denominator,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Median Household Income,No Vehicle (Owner),Total Families (Single Mother),Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Houston County,Alabama,76.6049969181304,1,69,18.0,26349,83.2,20.5,26581,0.4745,38.6,17.0,13881,3146,3027,102326,71505,40948,843,3697,39250,1677,8.2,2013
Jackson County,Alabama,73.6075996652594,1,71,16.0,1732,73.4,12.1,14635,0.4405,42.0,18.7,5141,1371,544,53171,48888,37634,511,1206,20765,492,10.2,2013
Jefferson County,Alabama,75.0012975222472,1,73,18.0,278565,86.0,30.3,166244,0.4972,37.2,14.2,91681,25048,25279,658552,350375,45429,5571,24631,259634,15663,10.3,2013
Lamar County,Alabama,74.594659571128,1,75,22.3,1687,73.6,8.3,4435,0.438,42.9,22.0,1733,190,294,14396,12564,36028,104,501,6084,314,10.1,2013
Lauderdale County,Alabama,76.2574810844103,1,77,17.2,9353,84.6,21.2,25263,0.4497,40.8,16.9,11580,2135,2933,92666,80627,42844,1029,2414,38458,1482,9.2,2013
Lawrence County,Alabama,74.025639809588,1,79,17.5,3726,77.5,12.4,9576,0.4249,41.2,21.0,2657,633,371,34009,26379,38551,275,950,13382,331,12.7,2013
Lee County,Alabama,77.641756133286,1,81,22.0,33267,85.9,32.7,33438,0.4816,29.9,11.6,21411,5076,6546,144405,102363,43542,632,3412,55864,2004,9.4,2013
Limestone County,Alabama,77.4567118555822,1,83,14.7,10872,80.8,22.3,23059,0.4501,38.5,12.9,7452,4785,1407,85264,69430,48619,492,2159,31794,813,9.1,2013
Lowndes County,Alabama,72.451572085185,1,85,26.7,8201,70.8,15.1,2621,0.5466,41.0,21.1,1056,82,181,11086,2839,26230,290,545,4212,287,17.5,2013
Macon County,Alabama,73.4913418644572,1,87,27.3,16882,79.0,16.1,5079,0.4634,36.8,19.2,2778,295,790,20803,3407,30724,324,1103,8107,787,18.2,2013
Madison County,Alabama,77.772209501297,1,89,12.8,81606,90.2,41.8,87328,0.4654,37.4,12.2,40809,15561,8703,339279,234776,58434,2004,9008,132975,4835,10.0,2013
Marengo County,Alabama,74.1333674215399,1,91,24.0,10765,80.6,15.8,5734,0.5174,41.8,24.0,2433,389,417,20669,9629,35079,376,883,8464,692,10.6,2013
Marion County,Alabama,74.2996624676483,1,93,20.9,1253,73.0,8.5,8912,0.4727,43.5,23.5,3067,683,422,30615,28766,32888,272,871,12700,475,11.9,2013
Marshall County,Alabama,74.2650814854454,1,95,19.5,1469,75.1,16.3,24209,0.4578,38.4,17.0,9633,11594,1622,93699,87150,39526,616,2545,34250,1287,10.2,2013
Mobile County,Alabama,75.0140519651065,1,97,19.8,143681,83.3,19.5,104815,0.4711,36.7,15.7,51839,10221,14182,413188,250269,43028,2939,15334,155178,8109,11.9,2013
Monroe County,Alabama,74.9403376152072,1,99,28.6,9522,73.8,8.5,5653,0.4774,40.4,17.1,2167,233,482,22778,12572,29203,302,828,8333,621,18.9,2013
Montgomery County,Alabama,76.0742035748331,1,101,21.2,126372,84.7,31.3,57030,0.4756,34.8,16.2,34327,7971,10171,228980,91811,44790,1902,10905,88844,5345,8.9,2013
Morgan County,Alabama,75.7687418754051,1,103,15.7,14305,80.8,20.7,31975,0.45,39.0,15.2,13153,9151,2457,119673,99090,44800,647,3451,46192,1595,11.8,2013
Perry County,Alabama,72.4458737373582,1,105,25.6,7097,69.4,9.8,2307,0.4775,35.8,27.7,1123,67,165,10390,3142,28209,187,470,3400,230,19.9,2013
Pickens County,Alabama,74.3989386831643,1,107,27.2,8063,78.5,9.5,5221,0.4616,42.1,23.7,2219,349,475,19516,11149,28741,314,943,7926,592,16.4,2013
Pike County,Alabama,75.3843799599901,1,109,27.6,12010,83.2,23.1,7900,0.5025,31.6,14.8,5465,754,1654,32977,19429,33090,318,1322,12959,952,10.7,2013
Randolph County,Alabama,74.6272688359767,1,111,24.5,4643,69.1,9.2,6133,0.4952,41.5,18.9,2500,667,673,22819,17527,35213,175,771,9013,399,12.1,2013
Russell County,Alabama,74.4625975354371,1,113,22.0,23219,80.6,15.0,13510,0.4533,35.2,19.8,8180,2359,1583,55544,29925,36143,492,2479,21142,1139,11.9,2013
Saint Clair County,Alabama,75.1354509099959,1,115,15.2,7688,81.3,14.6,23181,0.4245,38.9,16.8,5807,1816,1116,84521,74696,50786,634,1879,31353,346,10.8,2013
Shelby County,Alabama,79.7687496224489,1,117,7.9,22153,90.4,42.6,53404,0.4274,37.3,11.4,15589,11678,2532,198366,163385,68770,896,4084,74144,1110,6.5,2013
Sumter County,Alabama,74.3343686399483,1,119,38.0,9912,78.0,14.5,3179,0.4816,37.2,22.9,1785,112,587,13552,3361,22186,311,638,5060,421,17.6,2013
Talladega County,Alabama,73.6825216143372,1,121,22.9,26208,77.0,12.5,22367,0.4627,40.0,19.8,9083,1698,1936,81845,53548,35439,856,3043,31486,1325,15.1,2013
Tallapoosa County,Alabama,75.2077207940106,1,123,19.8,11415,76.6,16.9,11634,0.452,42.0,18.8,4545,1030,969,41428,29333,39130,613,1287,16373,721,11.4,2013
Tuscaloosa County,Alabama,76.1412472106416,1,125,18.9,59287,84.9,24.5,44487,0.4678,31.4,12.3,24169,6133,7244,196824,131877,45408,1215,5668,67882,3095,8.1,2013
Walker County,Alabama,70.8637922877104,1,127,20.9,3644,74.4,10.8,18082,0.4588,41.8,24.5,6448,1404,1109,66622,60778,37566,739,1848,25751,760,14.5,2013
Washington County,Alabama,74.6734179457892,1,129,18.4,4211,80.2,6.8,4834,0.4381,39.8,22.2,895,185,120,17284,11333,42156,186,359,6620,186,20.4,2013
Wilcox County,Alabama,72.2374261679305,1,131,39.2,8402,73.8,8.9,2572,0.5292,39.0,17.3,986,18,194,11531,3112,23642,359,495,3866,199,27.1,2013
Winston County,Alabama,74.2153646411101,1,133,24.0,173,71.3,10.6,6560,0.4661,43.6,24.1,2384,652,439,24342,23442,32900,284,518,9489,253,10.4,2013
Anchorage Municipality,Alaska,78.7538192744483,2,20,7.9,17339,92.8,31.0,69974,0.4132,32.8,10.3,41463,23573,7841,295237,195521,77454,1378,8396,105208,5042,7.3,2013
Bethel Census Area,Alaska,72.9162299270473,2,50,22.8,97,79.6,8.5,3226,0.4486,26.2,10.3,1562,238,137,17356,2001,51689,1660,315,4358,834,18.6,2013
Bristol Bay Borough,Alaska,75.4655368308601,2,60,7.9,1,90.7,19.2,261,0.3485,40.9,10.5,164,51,10,933,521,79531,8,24,384,37,4.6,2013
Fairbanks North Star Borough,Alaska,79.2875377464225,2,90,8.4,4577,92.9,26.0,22895,0.4081,30.7,10.3,14506,6492,3202,98656,76665,69223,512,2480,35588,1854,7.9,2013
Haines Borough,Alaska,80.3402659326086,2,100,7.8,10,94.9,25.0,673,0.3759,44.0,18.4,446,22,75,2546,2057,52866,41,51,1245,53,8.3,2013
Juneau City and Borough,Alaska,79.7513085001443,2,110,6.2,366,95.5,35.7,8012,0.3831,37.3,9.5,4294,1774,671,31897,22205,81490,209,838,12099,669,5.3,2013
Kenai Peninsula Borough,Alaska,78.3295603866331,2,122,8.6,352,92.8,21.8,14479,0.4198,40.7,14.8,5922,1846,947,56163,47497,61793,377,1254,21720,878,9.8,2013
Kodiak Island Borough,Alaska,79.2674018916655,2,150,11.7,90,89.9,14.2,3403,0.3878,31.9,10.7,1939,1084,342,13850,7660,68718,155,341,4501,264,6.9,2013
Matanuska-Susitna Borough,Alaska,78.1712241323719,2,170,9.9,838,91.3,19.5,22437,0.4042,34.7,11.2,7245,3696,1562,91519,77586,71037,408,1835,31123,682,10.5,2013
Nome Census Area,Alaska,71.0874958002656,2,180,27.7,91,83.8,16.2,2077,0.4356,27.9,10.8,1255,149,124,9695,1664,49974,779,352,2797,781,17.9,2013
North Slope Borough,Alaska,75.2725719185953,2,185,10.3,40,89.4,12.5,1432,0.356,33.5,9.0,1028,284,51,9484,3101,80761,418,256,1990,536,12.0,2013
Sitka City and Borough,Alaska,79.5125431994159,2,220,10.0,72,90.9,31.8,2308,0.3813,38.5,10.3,1557,475,402,8945,5865,69405,105,206,3554,407,5.3,2013
Southeast Fairbanks Census Area,Alaska,77.1481963302165,2,240,13.3,111,94.5,24.4,1563,0.413,35.9,13.8,780,283,127,7047,5678,56801,102,116,2326,62,9.2,2013
Valdez-Cordova Census Area,Alaska,78.0507317723694,2,261,8.3,38,89.6,22.0,2571,0.392,38.0,9.8,872,382,87,9682,7079,74878,65,241,3424,118,8.0,2013
Wade Hampton Census Area,Alaska,69.129042588567,2,270,31.4,15,79.5,3.9,1451,0.398,22.0,10.9,504,17,29,7678,276,40176,1038,273,1744,421,28.1,2013
Northwest Arctic Borough,Alaska,73.0243042513836,2,188,22.0,46,78.4,11.4,1464,0.405,25.7,9.9,804,87,70,7624,902,61607,609,213,1828,591,26.2,2013
Aleutians East Borough,Alaska,83.5166512642875,2,13,16.7,383,76.6,10.7,279,0.3727,41.4,6.5,197,424,16,3141,720,61250,43,43,435,43,1.7,2013
Aleutians West Census Area,Alaska,83.5166512642875,2,16,9.2,362,82.7,12.0,623,0.3827,38.6,6.3,657,591,57,5538,1826,81853,50,53,1033,97,4.0,2013
Dillingham Census Area,Alaska,73.7920691867546,2,70,18.1,18,82.8,13.7,875,0.4378,28.7,12.3,565,114,47,4923,896,54150,262,105,1339,245,16.1,2013
Lake and Peninsula Borough,Alaska,73.7920691867546,2,164,21.1,7,87.2,11.9,381,0.4257,29.8,16.8,181,24,5,1454,340,51786,149,62,508,94,10.9,2013
Denali Borough,Alaska,73.5699219653651,2,68,11.4,13,92.1,18.8,414,0.3741,39.2,7.1,223,53,22,2020,1820,72500,2,7,716,10,2.3,2013
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,2,290,24.2,8,79.4,7.4,1222,0.4571,35.3,17.1,608,80,56,5656,1261,34710,652,204,2056,340,21.9,2013
Hoonah-Angoon Census Area,Alaska,80.374241032238,2,105,14.9,9,87.8,25.6,578,0.44,46.4,18.7,340,49,43,2141,1041,49545,140,43,930,106,13.9,2013
Skagway Municipality,Alaska,80.374241032238,2,230,5.5,0,95.8,23.0,228,0.3781,44.3,5.7,168,12,10,1080,844,71667,7,6,412,27,7.8,2013
Yakutat City and Borough,Alaska,80.374241032238,2,282,5.9,39,92.4,23.6,161,0.3296,41.0,7.4,128,11,12,607,215,72500,4,27,254,19,6.2,2013
Ketchikan Gateway Borough,Alaska,78.2808420907731,2,130,10.2,37,92.3,22.3,3343,0.3981,38.7,11.9,2196,601,409,13595,9233,62519,129,349,5295,563,8.7,2013
Petersburg Borough,Alaska,78.2808420907731,2,195,13.5,60,96.2,26.6,955,0.4365,42.4,12.0,506,204,85,3806,2733,63934,87,73,1643,115,6.0,2013
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,2,198,15.1,11,91.5,15.5,1436,0.4239,39.4,14.3,657,154,55,5672,2827,46071,201,186,2240,121,12.8,2013
Wrangell City and Borough,Alaska,78.2808420907731,2,275,9.5,3,89.3,14.9,646,0.4184,53.3,25.7,329,62,50,2371,1604,45841,39,81,1149,74,8.0,2013
Apache County,Arizona,73.5831561418625,4,1,36.2,279,74.1,8.6,12996,0.4738,32.7,15.2,4470,4352,728,71978,17165,31476,1946,1891,19055,386,20.7,2013
Cochise County,Arizona,78.5093583618516,4,3,17.1,4971,85.4,23.5,32607,0.445,39.8,17.0,15342,43170,3109,131038,104532,45755,1137,3669,49174,1836,9.4,2013
Coconino County,Arizona,79.1783967754568,4,5,23.0,1846,87.3,30.2,29860,0.4617,31.0,11.1,18698,18415,5337,134795,83712,49555,985,3489,46198,1749,9.0,2013
Gila County,Arizona,75.4683450305506,4,7,21.6,306,83.8,17.9,13546,0.4215,47.9,18.1,4982,9702,936,53335,42459,39954,786,1062,20601,878,12.2,2013
Graham County,Arizona,77.4666536416568,4,9,22.3,760,82.9,12.8,8050,0.4205,31.9,13.3,2838,11472,634,37168,28395,44943,310,843,11031,478,13.1,2013
Greenlee County,Arizona,78.6626921330292,4,11,16.0,79,85.4,11.3,2431,0.3722,33.6,11.4,1825,4120,104,8679,7589,47992,54,218,3386,75,11.8,2013
Maricopa County,Arizona,80.2239065499369,4,13,16.7,199310,85.9,31.2,930395,0.4582,35.0,10.0,528865,1155592,125691,3889161,3137012,53596,21136,108137,1411727,75466,9.5,2013
Mohave County,Arizona,75.5732188036138,4,15,19.4,2284,82.9,12.5,51645,0.4318,48.0,18.4,24561,30474,5535,201680,179492,39200,1457,3925,80230,2862,14.5,2013
Navajo County,Arizona,75.2513758313513,4,17,30.3,476,80.7,15.0,24763,0.4702,35.2,18.8,9631,11650,1984,107326,52711,36927,1566,3495,34343,1533,19.4,2013
Pima County,Arizona,79.2068381779827,4,19,19.2,35791,87.1,31.0,238028,0.4672,37.8,13.3,143426,345072,38469,986891,782731,45841,7471,27001,384041,25071,10.9,2013
Pinal County,Arizona,80.9037956408188,4,21,15.6,17847,82.8,17.4,89831,0.399,36.1,12.2,31656,109232,6596,379128,298828,50027,2304,8490,123733,3292,12.1,2013
Santa Cruz County,Arizona,82.0079464280884,4,23,26.3,259,76.4,21.6,11376,0.4793,35.7,8.9,5075,38978,1291,47122,35147,37745,215,1553,15078,669,13.1,2013
Yavapai County,Arizona,78.6615151890778,4,25,15.8,1293,89.6,25.7,56865,0.4462,50.1,17.7,27446,29107,7149,211968,194869,42987,1364,3869,91349,3160,10.8,2013
La Paz County,Arizona,81.3901815824637,4,12,19.4,196,71.2,9.8,6348,0.4221,53.8,17.4,2655,4941,278,20408,14588,35776,290,569,10221,477,10.8,2013
Yuma County,Arizona,81.3901815824637,4,27,20.2,4330,71.7,14.0,54380,0.4251,33.4,11.2,21344,119671,4340,199026,152509,41595,1696,6516,70122,2344,13.6,2013
Arkansas County,Arkansas,73.8156973399201,5,1,15.8,4735,84.0,12.5,5206,0.4455,41.1,19.0,2562,539,330,18957,13727,39633,181,512,7883,355,8.2,2013
Ashley County,Arkansas,74.527033712992,5,3,18.9,5513,83.0,11.4,6078,0.4555,39.7,19.3,2110,1079,281,21645,15237,35683,174,709,8656,302,11.2,2013
Baxter County,Arkansas,76.2122281368992,5,5,15.5,160,88.3,17.5,12120,0.4382,50.9,21.8,4275,742,839,41281,39951,35343,263,913,18155,531,10.4,2013
Benton County,Arkansas,79.3617722496715,5,7,12.2,2840,85.2,30.9,61061,0.4384,34.7,10.0,25762,35600,3909,227439,198416,54515,786,4990,82150,2030,5.6,2013
Boone County,Arkansas,76.5714079641579,5,9,16.6,101,82.1,16.2,10732,0.4643,41.5,20.4,4133,769,629,37099,35856,38506,333,999,15086,511,9.3,2013
Bradley County,Arkansas,73.9928167351683,5,11,31.3,3207,69.8,10.2,3234,0.4984,40.2,20.7,1495,1553,397,11418,6991,30409,66,328,4789,301,8.3,2013
Calhoun County,Arkansas,75.0101834551434,5,13,14.9,1344,81.0,6.0,1357,0.4255,42.7,26.4,409,45,75,5319,3936,30980,78,129,2046,43,6.7,2013
Carroll County,Arkansas,76.9212348790936,5,15,18.8,46,83.9,17.4,7501,0.438,44.2,17.3,2954,3725,596,27531,25397,36584,256,654,11019,365,7.7,2013
Chicot County,Arkansas,73.4958825931558,5,17,33.0,6291,72.0,10.6,2942,0.5181,42.4,27.1,1520,573,319,11621,4827,26201,208,487,4510,462,13.1,2013
Clark County,Arkansas,75.4277256789478,5,19,24.3,5509,85.5,22.3,5354,0.4731,33.5,18.4,3048,951,981,22912,16854,32721,190,712,8341,330,11.1,2013
Clay County,Arkansas,73.4772580278363,5,21,20.2,35,73.4,7.8,4397,0.4298,42.9,23.8,1866,242,280,15790,15378,31502,87,421,6814,262,12.5,2013
Cleburne County,Arkansas,76.4332102428103,5,23,15.8,174,83.6,17.9,7166,0.4542,46.4,19.0,2374,558,471,25856,25158,40246,147,574,10286,191,10.9,2013
Cleveland County,Arkansas,75.3899386050606,5,25,17.7,1126,84.4,10.7,2496,0.4465,40.3,22.0,754,55,105,8648,7375,39420,51,268,3346,76,11.3,2013
Columbia County,Arkansas,74.4778597853245,5,27,25.4,8949,85.2,19.4,6505,0.463,36.1,19.9,2943,592,733,24512,14740,35128,198,1079,9449,574,11.5,2013
Conway County,Arkansas,75.3211173537385,5,29,24.0,2497,83.0,13.4,5747,0.4621,40.6,19.4,2124,788,642,21235,18177,35225,262,768,8154,331,10.3,2013
Craighead County,Arkansas,76.1849034187585,5,31,20.6,13317,84.3,23.3,25840,0.4874,33.1,15.0,15777,4438,3978,98398,81730,41393,427,3482,37834,2102,9.1,2013
Crawford County,Arkansas,75.6323094688717,5,33,20.2,849,82.5,14.7,17580,0.4301,38.3,16.3,6016,3895,1386,61796,56307,39479,231,1781,23368,782,8.6,2013
Crittenden County,Arkansas,73.0807663455022,5,35,26.3,25497,78.1,14.4,12749,0.4611,34.4,16.8,7996,1069,2310,50447,23236,37751,259,2742,18309,1748,11.9,2013
Cross County,Arkansas,73.6102929568663,5,37,17.4,3924,78.2,8.8,4736,0.4319,39.4,21.0,2361,280,437,17760,13380,38085,117,531,6818,311,9.7,2013
Dallas County,Arkansas,73.9447963982835,5,39,19.7,3326,80.1,8.9,2072,0.4638,43.0,25.1,1098,199,147,8045,4449,28931,104,149,3269,403,9.6,2013
Desha County,Arkansas,73.1929803551693,5,41,30.1,6131,74.5,11.3,3381,0.525,39.3,19.2,2337,574,401,12774,6196,28680,151,663,5305,486,14.2,2013
Drew County,Arkansas,75.6142342376879,5,43,28.5,5290,80.8,19.8,4984,0.4782,37.4,17.7,2910,487,822,18686,12975,31171,76,746,7496,334,13.2,2013
Faulkner County,Arkansas,76.874980748974,5,45,14.6,12326,89.0,26.3,28430,0.4374,31.4,12.4,14775,4558,3329,115928,98484,50314,390,3035,42413,1613,7.4,2013
Franklin County,Arkansas,74.8461541973117,5,47,20.5,188,81.9,12.6,4764,0.4409,40.9,19.1,1757,434,334,18063,17165,36766,137,400,6769,245,11.8,2013
Fulton County,Arkansas,75.4429142733183,5,49,18.7,22,82.8,9.4,3468,0.4142,47.3,24.8,1126,124,190,12266,11915,35522,83,238,5140,119,10.6,2013
Garland County,Arkansas,75.0982760087787,5,51,20.7,7978,86.5,23.1,25627,0.4677,44.2,18.5,12521,4791,3065,96547,82093,39162,899,2664,39881,1995,10.0,2013
Grant County,Arkansas,75.6273873667791,5,53,9.9,433,83.2,17.5,5031,0.4094,39.6,17.4,1519,414,215,17922,17098,49004,103,368,6855,114,7.6,2013
Greene County,Arkansas,74.4557946872778,5,55,17.1,299,82.3,14.0,11548,0.4303,37.6,19.0,6089,993,1326,42580,41228,38413,128,1150,16603,728,9.2,2013
Hempstead County,Arkansas,75.0798934829681,5,57,27.4,6671,79.5,13.9,5525,0.4508,38.8,19.3,2656,2739,814,22509,14850,32056,172,890,8296,447,9.6,2013
Hot Spring County,Arkansas,74.7699312058851,5,59,14.2,3803,81.3,10.3,8485,0.4189,40.1,22.3,3368,989,654,33182,28641,41193,335,807,12231,426,8.8,2013
Howard County,Arkansas,74.3104978429413,5,61,23.2,2944,74.1,12.0,3701,0.4466,36.9,18.3,1909,1375,296,13748,9473,35879,69,650,5208,284,9.4,2013
Independence County,Arkansas,75.55292051348,5,63,23.7,986,81.1,12.9,10017,0.4768,38.3,17.0,4273,2166,1045,36786,34774,35026,230,1117,14544,523,9.0,2013
Izard County,Arkansas,75.6857060417369,5,65,18.7,138,77.2,11.0,3870,0.4422,47.5,24.1,1252,217,230,13560,12998,30661,133,318,5682,157,11.4,2013
Jackson County,Arkansas,73.5645257013294,5,67,28.4,2914,73.6,8.8,4248,0.4568,41.2,20.9,2146,457,483,17809,14320,30284,123,500,6541,467,11.6,2013
Jefferson County,Arkansas,73.8804417043154,5,69,23.9,41980,81.6,14.8,18108,0.4679,37.5,18.2,10080,1270,2757,75782,31830,37140,733,3027,28367,1253,13.4,2013
Johnson County,Arkansas,76.0679421315981,5,71,20.1,474,76.1,14.0,7072,0.4993,38.6,16.2,3392,3229,681,25655,23919,31003,186,676,10046,362,7.9,2013
Lafayette County,Arkansas,73.9732457610778,5,73,24.1,2809,76.3,11.0,1708,0.475,43.7,23.4,742,138,119,7501,4624,29732,114,187,2722,184,15.5,2013
Lawrence County,Arkansas,74.1944235430574,5,75,25.4,132,75.9,8.9,4376,0.4212,40.6,19.5,1927,179,407,17227,16795,32239,80,299,6580,244,9.5,2013
Lee County,Arkansas,73.6656526371685,5,77,31.5,5795,66.2,4.0,2169,0.4708,39.8,22.7,1502,204,310,10267,4372,25034,134,349,3491,563,16.7,2013
Lincoln County,Arkansas,75.6620100556507,5,79,27.0,4115,68.6,4.5,2992,0.4968,36.9,19.8,1271,481,232,14148,9414,32697,216,509,4188,161,16.9,2013
Little River County,Arkansas,74.1904867610063,5,81,14.0,2588,84.5,7.3,3844,0.4003,41.3,17.8,1168,370,159,12992,9688,39673,110,455,5315,232,6.5,2013
Logan County,Arkansas,74.7110052677721,5,83,17.6,412,80.5,10.5,5650,0.4377,41.9,21.5,2029,538,339,22221,20846,34996,174,530,8233,320,8.6,2013
Lonoke County,Arkansas,75.2681135595378,5,85,13.2,4311,86.8,18.5,18783,0.39,35.4,15.8,6706,2443,1021,69266,62158,52582,309,1978,25052,870,8.1,2013
