County,State,mean_life_expectancy,State_FIPS,County_FIPS,Black Population,High School Degree or Higher (%),Poverty Rate,Disability Rate,Rent Denominator,Bachelor's Degree or Higher (%),Total Families,Gini Index,Median Age,Median Household Income,No Vehicle (Owner),Total Families (Single Mother),Hispanic Population,Total Population,Rent Burden Count (+50%),White Population,Total Occupied Households,Unemployment Rate,No Vehicle (Renter),Year
Etowah County,Alabama,73.1955443341744,1,55,16025.0,82.5,19.7,20.3,11427.0,16.0,27595.0,0.4363,40.8,39220.0,1078.0,2803.0,3740.0,103766.0,2000.0,84312.0,39899.0,9.0,1526.0,2015
Fayette County,Alabama,73.9431045571677,1,57,2093.0,77.6,18.3,25.9,1825.0,14.1,4947.0,0.459,43.2,34680.0,181.0,474.0,126.0,16896.0,337.0,14454.0,7037.0,10.0,606.0,2015
Franklin County,Alabama,73.589235938182,1,59,1554.0,74.6,22.5,19.1,3883.0,11.4,8354.0,0.439,38.8,35372.0,198.0,886.0,4958.0,31634.0,429.0,27924.0,11980.0,9.8,504.0,2015
Geneva County,Alabama,74.6570847479417,1,61,2387.0,79.0,23.2,21.7,2711.0,12.3,7522.0,0.4567,42.2,36024.0,193.0,757.0,973.0,26815.0,426.0,23195.0,10754.0,11.2,474.0,2015
Greene County,Alabama,74.2538349549859,1,63,7015.0,75.9,40.2,27.9,926.0,10.9,1897.0,0.5138,42.4,20541.0,195.0,346.0,61.0,8697.0,73.0,1547.0,3201.0,20.4,349.0,2015
Hale County,Alabama,73.9653852957873,1,65,8886.0,80.7,26.8,20.4,1461.0,13.9,3898.0,0.4868,40.2,32714.0,301.0,657.0,170.0,15256.0,335.0,6097.0,5927.0,13.3,465.0,2015
Henry County,Alabama,75.6190349537947,1,67,4891.0,78.8,15.6,19.7,1496.0,16.5,4546.0,0.4536,43.0,41997.0,274.0,456.0,429.0,17252.0,278.0,12140.0,6894.0,8.1,217.0,2015
Houston County,Alabama,76.3382467172531,1,69,27359.0,84.7,18.3,17.7,13838.0,20.6,26082.0,0.4815,39.0,41571.0,731.0,3697.0,3338.0,103534.0,2965.0,72170.0,39197.0,8.3,1716.0,2015
Jackson County,Alabama,73.4843045744864,1,71,1635.0,76.9,18.0,17.1,5406.0,12.4,14249.0,0.4421,42.2,37745.0,529.0,1138.0,1450.0,52860.0,681.0,48087.0,20431.0,10.1,596.0,2015
Jefferson County,Alabama,74.806564666839,1,73,279086.0,88.4,18.8,14.7,96035.0,30.8,166460.0,0.4994,37.4,45610.0,5643.0,24544.0,24991.0,659026.0,25704.0,347760.0,260929.0,9.1,15731.0,2015
Lamar County,Alabama,74.4774859000498,1,75,1565.0,77.4,24.1,24.1,1741.0,11.5,4392.0,0.4808,43.7,35450.0,142.0,446.0,196.0,14133.0,280.0,12350.0,6138.0,10.2,328.0,2015
Lauderdale County,Alabama,75.9992408194207,1,77,9239.0,84.3,17.9,15.8,11855.0,21.8,25104.0,0.4589,41.1,43125.0,1048.0,2441.0,2229.0,92737.0,2629.0,80613.0,38612.0,7.1,1825.0,2015
Lawrence County,Alabama,73.7066029348587,1,79,3848.0,78.9,18.7,20.6,2692.0,11.1,9684.0,0.4357,41.7,40003.0,330.0,837.0,697.0,33586.0,272.0,25978.0,13537.0,9.8,309.0,2015
Lee County,Alabama,77.5898607027561,1,81,35095.0,88.6,23.8,11.7,23418.0,34.0,35939.0,0.4976,30.3,44570.0,576.0,4448.0,5615.0,150982.0,7431.0,105518.0,57171.0,7.3,2321.0,2015
Limestone County,Alabama,77.3894821829376,1,83,11426.0,83.1,14.3,14.0,7643.0,23.2,23293.0,0.4604,39.0,49570.0,643.0,2117.0,5137.0,88805.0,1414.0,71980.0,32213.0,7.8,761.0,2015
Lowndes County,Alabama,72.0601797573648,1,85,7955.0,74.1,28.5,20.4,1128.0,14.1,2833.0,0.5464,39.5,25876.0,277.0,597.0,36.0,10742.0,174.0,2739.0,4282.0,13.2,299.0,2015
Macon County,Alabama,73.2131086140897,1,87,16271.0,81.4,25.9,17.8,2806.0,19.3,4677.0,0.4664,37.5,30738.0,442.0,941.0,313.0,20018.0,736.0,3370.0,8009.0,16.9,738.0,2015
Madison County,Alabama,77.542194549947,1,89,83437.0,90.7,13.7,12.7,44448.0,39.4,89551.0,0.4676,37.8,57993.0,2040.0,9069.0,16214.0,346438.0,9824.0,238799.0,137767.0,8.5,4655.0,2015
Marengo County,Alabama,73.8566544196385,1,91,10443.0,84.6,26.1,23.6,2472.0,15.3,5122.0,0.5357,42.2,32042.0,320.0,735.0,459.0,20306.0,490.0,9482.0,8281.0,11.4,648.0,2015
Marion County,Alabama,74.1929234345737,1,93,1170.0,78.1,20.1,24.3,3119.0,11.5,9059.0,0.4755,44.1,32299.0,234.0,1027.0,726.0,30387.0,538.0,28448.0,12714.0,9.9,487.0,2015
Marshall County,Alabama,74.0778968695931,1,95,1811.0,77.5,20.2,17.6,9656.0,16.6,24469.0,0.4744,38.8,38983.0,625.0,2476.0,11944.0,94318.0,1559.0,86785.0,34261.0,8.4,1268.0,2015
Mobile County,Alabama,74.9316859921305,1,97,145175.0,85.3,19.3,15.2,51580.0,22.0,103554.0,0.4693,37.0,43809.0,3276.0,15212.0,10917.0,414251.0,13571.0,248566.0,154188.0,9.8,7528.0,2015
Monroe County,Alabama,74.6797751742885,1,99,9382.0,80.8,31.4,14.1,2845.0,12.2,5352.0,0.5194,41.1,27257.0,226.0,507.0,242.0,22217.0,363.0,12315.0,8406.0,20.7,701.0,2015
Montgomery County,Alabama,75.9457637313632,1,101,127961.0,85.4,22.6,16.2,36526.0,31.1,56843.0,0.4819,35.2,44369.0,1660.0,10743.0,7791.0,228138.0,10497.0,88800.0,89532.0,8.8,5624.0,2015
Morgan County,Alabama,75.4240194723048,1,103,14717.0,82.8,16.1,16.7,13525.0,21.3,31614.0,0.4542,39.5,45751.0,687.0,3695.0,9358.0,119786.0,2592.0,99051.0,46235.0,9.9,1876.0,2015
Perry County,Alabama,72.5719425521565,1,105,6829.0,74.6,36.4,25.3,1086.0,13.2,2292.0,0.515,36.3,24537.0,116.0,428.0,93.0,10038.0,149.0,3075.0,3450.0,11.2,355.0,2015
Pickens County,Alabama,74.2789980479796,1,107,8412.0,78.7,25.0,24.3,2158.0,9.9,4891.0,0.478,42.4,30330.0,263.0,673.0,325.0,19856.0,509.0,11155.0,7644.0,13.8,496.0,2015
Pike County,Alabama,75.1713243378534,1,109,12665.0,79.7,26.1,15.9,5375.0,23.4,7861.0,0.4992,31.3,32825.0,261.0,1320.0,289.0,33155.0,1480.0,19188.0,12786.0,10.2,770.0,2015
Randolph County,Alabama,74.3483287431609,1,111,4520.0,75.7,20.4,16.7,2562.0,15.1,5978.0,0.4515,42.8,36924.0,202.0,660.0,668.0,22648.0,659.0,17486.0,8915.0,10.3,384.0,2015
Russell County,Alabama,73.9955853835697,1,113,24411.0,82.3,21.0,18.1,9170.0,17.1,14484.0,0.443,34.8,37049.0,533.0,2563.0,2824.0,58302.0,1757.0,31032.0,22241.0,11.1,1307.0,2015
Saint Clair County,Alabama,74.9401222127531,1,115,8134.0,83.2,16.0,17.5,6348.0,15.6,23154.0,0.426,39.8,51859.0,619.0,1649.0,1913.0,85864.0,1050.0,75040.0,31979.0,8.4,384.0,2015
Shelby County,Alabama,79.8710141007163,1,117,23940.0,91.4,8.3,11.0,15946.0,40.8,54072.0,0.4265,37.9,70187.0,1019.0,3648.0,11902.0,203530.0,2549.0,165486.0,75534.0,5.5,1229.0,2015
Sumter County,Alabama,74.1681754789273,1,119,9665.0,78.3,42.7,20.6,1546.0,16.3,2744.0,0.5068,36.7,19501.0,343.0,445.0,53.0,13341.0,505.0,3335.0,4815.0,16.8,424.0,2015
Talladega County,Alabama,73.4032144228388,1,121,26023.0,79.3,23.0,19.1,9095.0,13.1,21688.0,0.4615,40.9,35155.0,801.0,3008.0,1768.0,81437.0,1878.0,52661.0,31424.0,13.8,1793.0,2015
Tallapoosa County,Alabama,74.9865840695302,1,123,11404.0,79.8,22.5,17.5,4674.0,17.3,11466.0,0.4523,42.8,39206.0,545.0,1314.0,1017.0,41153.0,995.0,28928.0,16323.0,9.0,845.0,2015
Tuscaloosa County,Alabama,76.1685915869627,1,125,61307.0,87.0,19.1,11.7,24968.0,28.5,45971.0,0.4671,31.9,46565.0,1412.0,6070.0,6446.0,200458.0,7279.0,132600.0,69128.0,7.6,3203.0,2015
Walker County,Alabama,70.4970068309202,1,127,3801.0,78.3,22.5,25.0,6659.0,10.8,17977.0,0.4594,42.4,35843.0,735.0,1957.0,1493.0,65923.0,1271.0,60067.0,25602.0,11.4,819.0,2015
Washington County,Alabama,74.5099724381317,1,129,4224.0,80.5,19.1,24.3,986.0,9.9,4495.0,0.4245,40.9,42811.0,180.0,311.0,214.0,16997.0,98.0,11156.0,6133.0,20.0,75.0,2015
Wilcox County,Alabama,71.6706696339144,1,131,8092.0,77.4,37.7,17.7,1198.0,12.5,2430.0,0.536,40.2,23750.0,270.0,326.0,66.0,11235.0,100.0,3073.0,3843.0,20.8,362.0,2015
Winston County,Alabama,74.3226672753976,1,133,122.0,74.4,21.9,25.8,2238.0,11.4,6394.0,0.4552,43.9,33194.0,365.0,562.0,667.0,24130.0,277.0,23207.0,9406.0,9.6,268.0,2015
Anchorage Municipality,Alaska,78.7971775250135,2,20,17511.0,93.0,8.2,10.1,42055.0,33.2,69652.0,0.4225,32.5,78326.0,1186.0,7981.0,25690.0,299107.0,8466.0,194254.0,105175.0,6.7,4931.0,2015
Bethel Census Area,Alaska,72.760049452657,2,50,142.0,79.0,25.2,9.8,1590.0,11.6,3361.0,0.4205,26.7,51012.0,1669.0,434.0,325.0,17776.0,130.0,2136.0,4488.0,17.6,853.0,2015
Bristol Bay Borough,Alaska,75.7106106970199,2,60,5.0,92.0,7.2,12.1,173.0,20.0,244.0,0.3571,39.7,79750.0,13.0,28.0,69.0,970.0,13.0,547.0,377.0,5.4,28.0,2015
Fairbanks North Star Borough,Alaska,79.6096657350875,2,90,4340.0,94.4,8.1,10.8,14905.0,31.7,22810.0,0.4026,30.4,71068.0,331.0,2381.0,7356.0,99705.0,3074.0,76423.0,35582.0,7.9,1626.0,2015
Haines Borough,Alaska,80.9337426747029,2,100,1.0,95.4,5.3,12.8,364.0,35.6,680.0,0.4124,45.5,58750.0,40.0,46.0,39.0,2560.0,40.0,2062.0,1176.0,3.0,33.0,2015
Juneau City and Borough,Alaska,80.1067083342921,2,110,413.0,94.8,6.6,9.7,4403.0,38.5,7985.0,0.3878,37.0,85746.0,186.0,878.0,1985.0,32531.0,665.0,22445.0,12114.0,5.2,780.0,2015
Kenai Peninsula Borough,Alaska,78.4351200208393,2,122,363.0,93.4,10.0,14.0,5919.0,22.8,13746.0,0.4226,40.5,63684.0,393.0,1151.0,2124.0,57221.0,1050.0,48115.0,21485.0,9.4,970.0,2015
Kodiak Island Borough,Alaska,79.3090118396675,2,150,66.0,90.4,11.3,12.2,1827.0,24.7,3432.0,0.3988,32.4,70887.0,100.0,478.0,1186.0,13973.0,436.0,7549.0,4577.0,6.3,151.0,2015
Matanuska-Susitna Borough,Alaska,78.3543344277665,2,170,959.0,92.3,10.0,11.5,7565.0,20.7,22318.0,0.3997,34.6,72983.0,404.0,1666.0,4292.0,96178.0,1708.0,80815.0,31098.0,9.8,622.0,2015
Nome Census Area,Alaska,70.9748357308832,2,180,72.0,84.6,27.0,11.2,1276.0,14.1,2198.0,0.4361,27.8,48868.0,891.0,320.0,193.0,9854.0,144.0,1720.0,2925.0,16.5,721.0,2015
North Slope Borough,Alaska,75.2524724050958,2,185,64.0,88.7,10.2,9.2,912.0,13.9,1488.0,0.4047,33.9,72576.0,444.0,244.0,350.0,9667.0,95.0,3187.0,1962.0,9.3,420.0,2015
Sitka City and Borough,Alaska,79.9190519910414,2,220,97.0,92.8,9.0,10.7,1416.0,31.2,2079.0,0.3876,38.9,70376.0,114.0,184.0,540.0,8943.0,289.0,5800.0,3472.0,3.8,447.0,2015
Southeast Fairbanks Census Area,Alaska,77.4883947234674,2,240,80.0,92.1,14.5,13.8,632.0,17.9,1460.0,0.3958,35.8,62670.0,82.0,107.0,336.0,7029.0,75.0,5604.0,2117.0,9.4,72.0,2015
Valdez-Cordova Census Area,Alaska,78.6528030299488,2,261,0.0,92.5,10.9,10.1,885.0,28.7,2092.0,0.4138,36.6,78810.0,98.0,257.0,425.0,9617.0,108.0,7044.0,3010.0,10.7,90.0,2015
Wade Hampton Census Area,Alaska,68.8032376995035,2,270,,,,,,,,,,,,,,,,,,,,2015
Northwest Arctic Borough,Alaska,72.5903940613242,2,188,25.0,78.7,23.8,10.7,843.0,10.6,1517.0,0.4067,26.1,63648.0,639.0,210.0,142.0,7732.0,54.0,949.0,1903.0,21.9,577.0,2015
Aleutians East Borough,Alaska,83.6925973715872,2,13,304.0,81.7,16.8,7.8,321.0,14.0,424.0,0.3743,42.4,61518.0,63.0,70.0,398.0,3304.0,34.0,712.0,690.0,2.9,83.0,2015
Aleutians West Census Area,Alaska,83.6925973715872,2,16,269.0,84.0,9.1,6.5,771.0,14.7,688.0,0.3711,36.8,84306.0,55.0,64.0,623.0,5684.0,58.0,1794.0,1138.0,2.1,127.0,2015
Dillingham Census Area,Alaska,73.8682389376079,2,70,17.0,86.5,18.1,12.1,536.0,16.2,949.0,0.4377,29.7,54173.0,270.0,129.0,144.0,4979.0,54.0,932.0,1349.0,12.5,244.0,2015
Lake and Peninsula Borough,Alaska,73.8682389376079,2,164,8.0,87.3,16.8,13.0,169.0,12.9,335.0,0.4403,31.1,50781.0,136.0,53.0,32.0,1474.0,3.0,325.0,491.0,9.8,98.0,2015
Denali Borough,Alaska,74.0063517464913,2,68,13.0,95.2,12.7,9.0,168.0,33.3,405.0,0.3633,35.9,81544.0,3.0,3.0,54.0,2060.0,8.0,1799.0,681.0,2.3,0.0,2015
Yukon-Koyukuk Census Area,Alaska,74.0063517464913,2,290,17.0,82.2,22.4,16.6,580.0,11.2,1246.0,0.4531,35.0,38491.0,635.0,184.0,109.0,5644.0,58.0,1312.0,1982.0,18.2,333.0,2015
Hoonah-Angoon Census Area,Alaska,80.3736271859755,2,105,47.0,90.4,11.9,16.5,301.0,26.6,553.0,0.4063,47.8,52419.0,172.0,45.0,47.0,2128.0,32.0,1069.0,892.0,13.1,88.0,2015
Skagway Municipality,Alaska,80.3736271859755,2,230,0.0,97.3,4.4,6.5,183.0,35.9,200.0,0.3282,43.7,69318.0,5.0,5.0,45.0,999.0,14.0,782.0,406.0,7.8,31.0,2015
Yakutat City and Borough,Alaska,80.3736271859755,2,282,9.0,94.5,5.4,8.1,114.0,15.3,158.0,0.3405,42.5,72500.0,9.0,30.0,17.0,643.0,9.0,255.0,250.0,7.9,20.0,2015
Ketchikan Gateway Borough,Alaska,78.5902228752611,2,130,58.0,91.9,12.1,13.6,2171.0,23.8,3257.0,0.411,38.7,64222.0,157.0,317.0,663.0,13699.0,387.0,9280.0,5267.0,7.9,508.0,2015
Petersburg Borough,Alaska,78.5902228752611,2,195,97.0,94.0,10.2,13.5,420.0,25.3,802.0,0.4318,40.4,67935.0,41.0,78.0,304.0,3221.0,99.0,2325.0,1284.0,8.4,85.0,2015
Prince of Wales-Hyder Census Area,Alaska,78.5902228752611,2,198,12.0,90.6,14.6,15.3,643.0,15.5,1431.0,0.427,39.7,48523.0,207.0,154.0,205.0,6376.0,82.0,2978.0,2268.0,13.9,123.0,2015
Wrangell City and Borough,Alaska,78.5902228752611,2,275,5.0,90.2,11.8,22.4,382.0,19.9,624.0,0.4135,50.4,48603.0,38.0,64.0,34.0,2387.0,51.0,1665.0,1127.0,7.5,102.0,2015
Apache County,Arizona,72.9181363379107,4,1,442.0,76.8,36.6,15.2,4517.0,10.8,13236.0,0.4793,33.4,31757.0,1777.0,1885.0,4547.0,72124.0,597.0,16762.0,19272.0,18.2,333.0,2015
Cochise County,Arizona,78.119983366633,4,3,5023.0,86.6,17.9,16.9,15639.0,22.9,32200.0,0.4532,40.0,45075.0,873.0,3377.0,43960.0,129647.0,2995.0,103744.0,48825.0,8.7,1708.0,2015
Coconino County,Arizona,78.931025157056,4,5,2137.0,88.4,22.7,11.1,18751.0,33.6,29887.0,0.478,30.8,50234.0,1009.0,3332.0,18916.0,136701.0,5339.0,85870.0,46619.0,8.8,1862.0,2015
Gila County,Arizona,75.0503083905522,4,7,384.0,84.0,22.7,21.2,5700.0,16.7,13802.0,0.4284,48.6,39751.0,786.0,1166.0,9869.0,53165.0,1014.0,42077.0,20909.0,12.8,721.0,2015
Graham County,Arizona,77.1100940117466,4,9,782.0,84.8,22.6,13.5,3207.0,13.2,7765.0,0.4271,32.0,45964.0,306.0,683.0,11882.0,37407.0,632.0,28820.0,10959.0,14.1,302.0,2015
Greenlee County,Arizona,78.4583746096311,4,11,139.0,85.7,13.7,13.7,1726.0,10.8,2316.0,0.3955,33.0,51628.0,67.0,245.0,4242.0,9023.0,105.0,8063.0,3219.0,10.0,38.0,2015
Maricopa County,Arizona,79.8969712767261,4,13,209789.0,86.8,17.0,10.5,567191.0,30.4,945115.0,0.4645,35.6,54229.0,21051.0,107129.0,1209034.0,4018143.0,129153.0,3197669.0,1442518.0,7.7,76448.0,2015
Mohave County,Arizona,75.2604543393176,4,15,2292.0,84.0,19.8,20.4,26612.0,11.8,51465.0,0.4382,49.2,38488.0,1445.0,4313.0,31809.0,203362.0,5612.0,181085.0,80832.0,13.2,2944.0,2015
Navajo County,Arizona,74.5503556715819,4,17,721.0,81.5,30.6,17.7,10247.0,14.7,24289.0,0.4766,35.7,35921.0,1568.0,3051.0,11905.0,107656.0,1889.0,52106.0,34129.0,19.8,1558.0,2015
Pima County,Arizona,78.9331302432117,4,19,36123.0,87.6,19.3,14.4,151329.0,30.3,239972.0,0.4726,38.0,46162.0,6913.0,27407.0,356589.0,998537.0,39449.0,777699.0,389658.0,10.0,27748.0,2015
Pinal County,Arizona,80.8259975376458,4,21,17954.0,85.0,17.3,13.7,35448.0,18.0,91302.0,0.4148,37.6,49477.0,2382.0,8420.0,113394.0,389772.0,7257.0,309372.0,127599.0,10.6,3168.0,2015
Santa Cruz County,Arizona,81.7263683042861,4,23,165.0,73.2,23.5,10.2,5222.0,22.0,11568.0,0.4613,36.5,40140.0,280.0,1506.0,38965.0,47073.0,1156.0,37543.0,15359.0,11.3,701.0,2015
Yavapai County,Arizona,78.3358060013505,4,25,1285.0,89.7,16.0,18.2,27811.0,25.6,58562.0,0.4352,51.3,44748.0,1268.0,4134.0,30382.0,215996.0,6838.0,197905.0,92310.0,10.0,3090.0,2015
La Paz County,Arizona,81.1097217666482,4,12,40.0,75.9,19.1,19.1,2393.0,9.9,5670.0,0.4147,54.8,34466.0,261.0,311.0,5180.0,20335.0,282.0,15033.0,9365.0,11.2,405.0,2015
Yuma County,Arizona,81.1097217666482,4,27,4300.0,71.1,20.7,11.6,22558.0,14.4,54231.0,0.4398,33.8,40743.0,1706.0,5604.0,124037.0,202987.0,4908.0,156587.0,70639.0,13.1,2602.0,2015
Arkansas County,Arkansas,73.6289747804566,5,1,4811.0,82.1,20.1,21.7,2577.0,12.4,4898.0,0.4816,41.4,36411.0,157.0,487.0,546.0,18731.0,313.0,13558.0,7743.0,8.3,539.0,2015
Ashley County,Arkansas,74.2938084067879,5,3,5517.0,84.9,20.7,22.4,2037.0,13.2,5855.0,0.4754,41.4,34263.0,137.0,633.0,1078.0,21229.0,393.0,15037.0,8327.0,11.8,295.0,2015
Baxter County,Arkansas,76.0025111932438,5,5,135.0,87.4,15.9,22.0,4438.0,17.9,11948.0,0.4574,51.5,35396.0,221.0,909.0,798.0,41040.0,813.0,39707.0,18164.0,7.6,560.0,2015
Benton County,Arkansas,79.3073632532978,5,7,3551.0,86.8,12.2,9.3,28284.0,30.2,63549.0,0.4442,35.0,56239.0,821.0,4553.0,38068.0,238198.0,4040.0,209445.0,85670.0,4.2,1647.0,2015
Boone County,Arkansas,76.4288620168021,5,9,132.0,85.8,17.7,19.9,4310.0,14.7,10364.0,0.4482,41.4,39251.0,310.0,972.0,836.0,37227.0,642.0,35939.0,14961.0,8.4,574.0,2015
Bradley County,Arkansas,73.862637763147,5,11,3245.0,79.5,29.0,22.6,1496.0,13.0,3098.0,0.4928,40.6,33701.0,61.0,362.0,1564.0,11206.0,410.0,6790.0,4598.0,9.4,408.0,2015
Calhoun County,Arkansas,74.8321750099671,5,13,1163.0,80.7,17.8,29.6,425.0,10.4,1517.0,0.4338,44.9,36899.0,78.0,117.0,182.0,5245.0,97.0,4007.0,2125.0,7.2,54.0,2015
Carroll County,Arkansas,76.9904035104236,5,15,156.0,83.2,18.3,17.4,2680.0,16.7,7241.0,0.424,44.2,36897.0,258.0,556.0,3950.0,27635.0,432.0,26077.0,10977.0,6.2,367.0,2015
Chicot County,Arkansas,73.4189095332058,5,17,6121.0,78.9,31.7,24.6,1460.0,11.1,2988.0,0.5403,43.4,28913.0,232.0,462.0,604.0,11353.0,334.0,4862.0,4513.0,11.5,470.0,2015
Clark County,Arkansas,75.4397308610619,5,19,5441.0,86.8,23.7,18.0,3170.0,23.9,5332.0,0.4856,34.0,35031.0,115.0,735.0,984.0,22751.0,805.0,16685.0,8681.0,8.4,350.0,2015
