County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%),Black Population,Poverty Rate,Rent Denominator,Disability Rate,Total Families,Bachelor's Degree or Higher (%),Median Age,Gini Index,No Vehicle (Owner),Median Household Income,Total Families (Single Mother),White Population,Rent Burden Count (+50%),Total Population,Hispanic Population,Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Etowah County,Alabama,73.3708247850727,1,55,81.5,16000.0,19.6,11664.0,20.0,27577.0,15.1,40.5,0.4458,1153.0,38467.0,2876.0,84904.0,2195.0,104126.0,3669.0,40001.0,1638.0,10.7,2014
Fayette County,Alabama,74.0659626546655,1,57,76.2,2088.0,20.8,1909.0,24.7,4813.0,12.7,43.4,0.467,174.0,33144.0,519.0,14663.0,320.0,17019.0,128.0,6967.0,652.0,11.3,2014
Franklin County,Alabama,73.5137577154115,1,59,74.2,1545.0,24.3,3883.0,18.8,8438.0,10.0,38.5,0.4386,189.0,35450.0,826.0,28420.0,509.0,31663.0,4882.0,12247.0,560.0,9.5,2014
Geneva County,Alabama,75.0218977493571,1,61,78.3,2605.0,22.6,2926.0,22.2,7819.0,10.3,41.9,0.448,161.0,36268.0,827.0,23215.0,490.0,26816.0,947.0,10898.0,475.0,10.7,2014
Greene County,Alabama,74.4811078615176,1,63,69.2,7107.0,36.6,938.0,24.9,1984.0,7.2,42.5,0.4876,154.0,22170.0,364.0,1559.0,70.0,8798.0,39.0,3282.0,247.0,25.9,2014
Hale County,Alabama,74.1560323615994,1,65,76.4,8995.0,27.9,1375.0,21.7,3932.0,11.7,40.6,0.5082,418.0,30839.0,739.0,6133.0,272.0,15393.0,164.0,5931.0,424.0,13.4,2014
Henry County,Alabama,75.7543594558265,1,67,78.4,4777.0,14.8,1534.0,19.3,4709.0,15.6,43.1,0.4402,266.0,42926.0,462.0,12050.0,252.0,17270.0,418.0,6900.0,214.0,11.1,2014
Houston County,Alabama,76.559115914522,1,69,83.9,26960.0,18.4,13948.0,17.4,26351.0,20.6,38.7,0.473,811.0,41077.0,3845.0,72001.0,2919.0,103079.0,3251.0,39464.0,1708.0,8.1,2014
Jackson County,Alabama,73.5264035395202,1,71,74.8,1715.0,18.2,5212.0,18.5,14448.0,11.8,42.1,0.4473,553.0,36874.0,1145.0,48395.0,784.0,53012.0,1413.0,20425.0,521.0,10.4,2014
Jefferson County,Alabama,74.9798554080244,1,73,86.3,278587.0,18.7,93700.0,14.5,165855.0,30.8,37.4,0.497,5556.0,45239.0,24471.0,349052.0,25458.0,658834.0,25116.0,259397.0,15195.0,9.9,2014
Lamar County,Alabama,74.7116839103121,1,75,75.8,1659.0,22.6,1619.0,23.3,4497.0,10.7,42.6,0.4345,107.0,36021.0,452.0,12460.0,283.0,14268.0,195.0,6147.0,296.0,9.7,2014
Lauderdale County,Alabama,76.1300402688184,1,77,84.4,9228.0,18.7,11705.0,15.8,25304.0,23.4,40.9,0.4615,1155.0,42703.0,2571.0,80695.0,2942.0,92780.0,2174.0,38691.0,1586.0,7.9,2014
Lawrence County,Alabama,73.989537746666,1,79,78.2,3751.0,17.1,2501.0,20.6,9553.0,12.0,41.6,0.4247,329.0,40356.0,735.0,26344.0,266.0,33835.0,663.0,13312.0,297.0,11.4,2014
Lee County,Alabama,77.5595991086487,1,81,87.1,34142.0,23.6,22440.0,11.6,34771.0,33.5,30.2,0.4937,647.0,43641.0,3978.0,104328.0,7202.0,147790.0,5434.0,56637.0,2352.0,8.4,2014
Limestone County,Alabama,77.4754459389285,1,83,81.9,11133.0,14.1,7702.0,13.3,23200.0,22.5,38.8,0.4541,557.0,49461.0,2052.0,70843.0,1387.0,87167.0,4934.0,32156.0,753.0,8.4,2014
Lowndes County,Alabama,72.2634055675833,1,85,69.7,8060.0,29.3,1109.0,20.6,2818.0,13.1,40.4,0.5281,233.0,25678.0,568.0,2820.0,176.0,10918.0,102.0,4287.0,293.0,16.7,2014
Macon County,Alabama,73.4904632643591,1,87,80.5,16738.0,26.4,2755.0,18.1,4916.0,16.3,37.8,0.4703,352.0,30254.0,997.0,3377.0,746.0,20505.0,305.0,8039.0,755.0,18.8,2014
Madison County,Alabama,77.8536736827048,1,89,90.4,82307.0,13.4,41988.0,12.4,88295.0,41.8,37.6,0.4701,2217.0,58203.0,8926.0,236921.0,9634.0,343229.0,15984.0,135409.0,4668.0,9.6,2014
Marengo County,Alabama,74.0363714016051,1,91,80.5,10512.0,25.0,2417.0,22.5,5553.0,14.7,42.1,0.5402,301.0,33714.0,819.0,9623.0,402.0,20489.0,425.0,8477.0,726.0,11.0,2014
Marion County,Alabama,74.4921559001086,1,93,71.4,1129.0,19.4,3099.0,24.4,9022.0,10.9,43.8,0.4711,245.0,33819.0,813.0,28674.0,452.0,30527.0,706.0,12602.0,481.0,11.4,2014
Marshall County,Alabama,74.1039393352051,1,95,75.5,1703.0,19.9,9756.0,17.5,24645.0,16.5,38.6,0.4659,664.0,39473.0,2467.0,87082.0,1581.0,94121.0,11830.0,34524.0,1321.0,9.5,2014
Mobile County,Alabama,75.1117597992232,1,97,84.0,144637.0,19.9,51427.0,15.2,103593.0,20.1,36.9,0.4732,2934.0,43844.0,15123.0,249439.0,13889.0,414045.0,10710.0,154400.0,7958.0,11.1,2014
Monroe County,Alabama,75.0245488974323,1,99,75.6,9449.0,29.2,2357.0,15.4,5563.0,9.9,40.9,0.492,341.0,30569.0,637.0,12436.0,377.0,22509.0,234.0,8390.0,632.0,18.8,2014
Montgomery County,Alabama,76.1126905968678,1,101,83.7,127389.0,22.0,35615.0,15.6,57018.0,30.5,34.9,0.4771,1814.0,44830.0,10904.0,90109.0,10223.0,228850.0,7956.0,89143.0,5510.0,8.9,2014
Morgan County,Alabama,75.7548165522007,1,103,80.7,14413.0,15.1,13240.0,15.8,31503.0,20.8,39.1,0.4488,664.0,45341.0,3568.0,99065.0,2417.0,119744.0,9304.0,45856.0,1810.0,10.8,2014
Perry County,Alabama,72.5637425616024,1,105,67.4,6974.0,37.4,1059.0,28.2,2333.0,7.1,36.3,0.4924,180.0,25528.0,500.0,3110.0,142.0,10203.0,88.0,3263.0,292.0,18.0,2014
Pickens County,Alabama,74.4392811093029,1,107,77.8,8387.0,25.6,2165.0,24.2,5169.0,8.9,42.3,0.4608,244.0,29839.0,852.0,11012.0,517.0,19629.0,154.0,7741.0,537.0,16.7,2014
Pike County,Alabama,75.2623836523974,1,109,81.3,12103.0,27.2,5396.0,14.8,7987.0,23.8,31.1,0.4938,258.0,32798.0,1233.0,19497.0,1652.0,33216.0,750.0,12909.0,918.0,9.9,2014
Randolph County,Alabama,74.7053091696992,1,111,71.7,4555.0,23.5,2584.0,18.0,6213.0,11.8,42.0,0.4525,179.0,36498.0,771.0,17491.0,616.0,22724.0,658.0,9016.0,365.0,11.4,2014
Russell County,Alabama,74.3805861878772,1,113,81.6,23836.0,22.1,8932.0,18.3,13933.0,14.8,35.0,0.4535,478.0,36066.0,2541.0,30610.0,1711.0,56980.0,2592.0,21568.0,1289.0,12.4,2014
Saint Clair County,Alabama,75.1216644950582,1,115,81.1,7952.0,16.1,6138.0,17.0,22995.0,15.0,39.5,0.423,568.0,51317.0,1863.0,75106.0,1076.0,85242.0,1861.0,31673.0,335.0,9.5,2014
Shelby County,Alabama,79.9186609893026,1,117,90.5,23050.0,8.6,15845.0,11.4,53369.0,42.0,37.5,0.4253,1022.0,69723.0,3979.0,164508.0,2687.0,201168.0,11892.0,74790.0,1103.0,6.2,2014
Sumter County,Alabama,74.4570441053706,1,119,80.3,9811.0,38.5,1481.0,21.0,3039.0,16.2,36.8,0.4762,380.0,22865.0,552.0,3322.0,466.0,13433.0,63.0,4962.0,399.0,16.7,2014
Talladega County,Alabama,73.6869492872818,1,121,76.5,26046.0,23.4,8940.0,19.3,22135.0,11.7,40.3,0.4514,933.0,35896.0,3120.0,53259.0,1918.0,81673.0,1742.0,31277.0,1549.0,14.9,2014
Tallapoosa County,Alabama,75.1270284243972,1,123,77.8,11457.0,21.1,4823.0,17.8,11418.0,17.3,42.5,0.4444,567.0,38644.0,1384.0,29076.0,1115.0,41295.0,1036.0,16437.0,898.0,10.3,2014
Tuscaloosa County,Alabama,76.2841722904781,1,125,85.2,60376.0,18.4,24128.0,11.8,45044.0,25.6,31.6,0.4666,1361.0,46448.0,5692.0,132211.0,7154.0,198670.0,6319.0,68103.0,3185.0,8.2,2014
Walker County,Alabama,70.7322477452283,1,127,74.8,3764.0,23.0,6625.0,24.9,18234.0,10.8,42.4,0.4635,770.0,36712.0,2048.0,60224.0,1157.0,66211.0,1438.0,25571.0,710.0,13.1,2014
Washington County,Alabama,74.6503643642396,1,129,81.3,4169.0,15.9,826.0,22.5,4602.0,7.4,40.2,0.4169,158.0,44731.0,261.0,11225.0,86.0,17137.0,200.0,6218.0,104.0,19.8,2014
Wilcox County,Alabama,72.0305770620779,1,131,76.6,8205.0,40.6,1011.0,17.4,2547.0,9.3,39.3,0.5321,260.0,23406.0,331.0,3082.0,138.0,11367.0,68.0,3843.0,248.0,21.6,2014
Winston County,Alabama,74.5222642002393,1,133,73.1,168.0,22.4,2322.0,24.9,6545.0,11.2,43.9,0.4564,326.0,34064.0,533.0,23330.0,341.0,24256.0,665.0,9526.0,309.0,10.1,2014
Anchorage Municipality,Alaska,78.9022024656191,2,20,92.5,17607.0,8.3,42236.0,9.9,70004.0,31.0,32.6,0.4156,1264.0,78121.0,8051.0,195593.0,8269.0,298178.0,24687.0,105164.0,5022.0,6.9,2014
Bethel Census Area,Alaska,72.9844076508492,2,50,79.5,117.0,23.7,1623.0,9.8,3328.0,8.9,26.5,0.4427,1662.0,51930.0,434.0,2043.0,160.0,17576.0,281.0,4441.0,871.0,17.3,2014
Bristol Bay Borough,Alaska,75.8752123759168,2,60,89.8,3.0,7.2,182.0,12.9,260.0,18.6,40.1,0.3476,6.0,82500.0,22.0,561.0,9.0,995.0,56.0,398.0,33.0,5.5,2014
Fairbanks North Star Borough,Alaska,79.6481705666333,2,90,93.2,4483.0,8.0,14868.0,10.4,23044.0,26.5,30.6,0.4013,438.0,70408.0,2400.0,76755.0,2998.0,99319.0,6857.0,35844.0,1699.0,8.2,2014
Haines Borough,Alaska,81.5832545334811,2,100,93.8,1.0,7.7,353.0,14.2,664.0,26.3,43.0,0.4171,52.0,57551.0,48.0,2076.0,77.0,2557.0,32.0,1144.0,35.0,6.2,2014
Juneau City and Borough,Alaska,80.0410654674188,2,110,94.6,384.0,6.4,4389.0,9.5,7890.0,35.7,37.3,0.3738,193.0,84750.0,795.0,22362.0,688.0,32200.0,1884.0,12081.0,831.0,5.6,2014
Kenai Peninsula Borough,Alaska,78.5607964481768,2,122,93.5,335.0,9.3,5789.0,14.6,14112.0,21.4,40.5,0.419,327.0,63099.0,1180.0,47751.0,944.0,56687.0,1982.0,21559.0,906.0,9.4,2014
Kodiak Island Borough,Alaska,79.5249195452452,2,150,91.6,115.0,11.4,1836.0,12.2,3492.0,16.9,32.3,0.3984,93.0,70529.0,376.0,7606.0,414.0,13924.0,1128.0,4560.0,161.0,5.3,2014
Matanuska-Susitna Borough,Alaska,78.3611817093364,2,170,91.5,845.0,10.2,7396.0,11.4,22285.0,19.2,34.7,0.4042,367.0,72134.0,1852.0,79273.0,1686.0,93843.0,3982.0,31104.0,622.0,10.2,2014
Nome Census Area,Alaska,71.1118591784878,2,180,85.1,64.0,27.6,1258.0,10.6,2107.0,13.6,27.9,0.4427,834.0,47579.0,351.0,1690.0,137.0,9792.0,168.0,2839.0,731.0,17.6,2014
North Slope Borough,Alaska,75.4534450228025,2,185,89.9,43.0,10.2,1007.0,9.1,1509.0,11.8,34.3,0.3777,421.0,74609.0,313.0,3156.0,72.0,9618.0,318.0,1977.0,460.0,10.3,2014
Sitka City and Borough,Alaska,79.8800680903336,2,220,91.4,89.0,8.0,1488.0,10.3,2160.0,28.9,38.5,0.3862,87.0,69635.0,205.0,5897.0,374.0,8957.0,503.0,3513.0,369.0,4.6,2014
Southeast Fairbanks Census Area,Alaska,77.5604698374025,2,240,92.8,75.0,13.6,690.0,14.7,1466.0,22.1,35.1,0.3944,89.0,65481.0,102.0,5675.0,79.0,7044.0,306.0,2156.0,72.0,8.4,2014
Valdez-Cordova Census Area,Alaska,78.5290646419212,2,261,89.2,29.0,9.8,879.0,10.8,2265.0,18.8,37.0,0.4059,83.0,81736.0,226.0,7086.0,81.0,9685.0,411.0,3225.0,120.0,9.6,2014
Wade Hampton Census Area,Alaska,69.0577479184401,2,270,80.1,21.0,33.0,418.0,9.9,1435.0,3.4,22.5,0.4011,1053.0,40943.0,244.0,317.0,23.0,7778.0,20.0,1690.0,341.0,28.7,2014
Northwest Arctic Borough,Alaska,73.3054263814092,2,188,79.3,24.0,22.8,857.0,9.8,1483.0,12.8,26.0,0.4034,615.0,63971.0,202.0,921.0,62.0,7672.0,112.0,1886.0,597.0,23.8,2014
Aleutians East Borough,Alaska,83.6895218542177,2,13,77.5,342.0,16.4,253.0,6.5,348.0,11.0,41.3,0.3858,59.0,59886.0,65.0,747.0,26.0,3296.0,441.0,577.0,65.0,2.2,2014
Aleutians West Census Area,Alaska,83.6895218542177,2,16,86.4,295.0,8.9,717.0,5.8,645.0,14.8,38.4,0.3911,57.0,82284.0,63.0,1849.0,64.0,5650.0,596.0,1105.0,119.0,2.7,2014
Dillingham Census Area,Alaska,74.0829453697083,2,70,84.2,11.0,18.1,558.0,11.8,914.0,12.1,29.0,0.4345,264.0,54846.0,124.0,926.0,61.0,4956.0,130.0,1353.0,248.0,16.4,2014
Lake and Peninsula Borough,Alaska,74.0829453697083,2,164,85.1,8.0,18.0,180.0,15.6,365.0,11.3,28.9,0.4362,150.0,47143.0,62.0,333.0,5.0,1490.0,31.0,510.0,104.0,11.9,2014
Denali Borough,Alaska,73.8895242313275,2,68,97.2,39.0,12.8,201.0,8.3,405.0,21.3,39.1,0.3756,3.0,79167.0,7.0,1780.0,22.0,2048.0,49.0,722.0,0.0,2.7,2014
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,2,290,81.2,17.0,24.1,615.0,16.6,1262.0,8.0,35.0,0.4509,651.0,37796.0,188.0,1265.0,54.0,5651.0,91.0,2057.0,365.0,20.3,2014
Hoonah-Angoon Census Area,Alaska,80.6002714993476,2,105,91.5,12.0,15.0,345.0,18.3,557.0,29.6,47.5,0.4472,148.0,50268.0,36.0,1065.0,42.0,2126.0,38.0,909.0,101.0,13.9,2014
Skagway Municipality,Alaska,80.6002714993476,2,230,97.0,0.0,4.5,167.0,5.7,208.0,34.3,42.2,0.3761,4.0,72868.0,7.0,792.0,15.0,996.0,31.0,387.0,22.0,5.5,2014
Yakutat City and Borough,Alaska,80.6002714993476,2,282,91.1,37.0,4.7,140.0,7.1,160.0,17.4,40.5,0.3488,6.0,69306.0,26.0,240.0,11.0,635.0,27.0,265.0,20.0,8.2,2014
Ketchikan Gateway Borough,Alaska,78.483859022547,2,130,92.0,55.0,11.5,2320.0,12.3,3211.0,22.4,38.8,0.4057,116.0,61712.0,337.0,9349.0,455.0,13676.0,636.0,5305.0,538.0,8.5,2014
Petersburg Borough,Alaska,78.483859022547,2,195,96.3,74.0,9.4,456.0,12.1,835.0,25.4,41.8,0.4422,42.0,61492.0,65.0,2373.0,106.0,3212.0,242.0,1367.0,115.0,5.7,2014
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,2,198,91.6,19.0,15.6,716.0,15.0,1502.0,15.2,40.0,0.4319,217.0,46387.0,165.0,3000.0,85.0,6356.0,185.0,2377.0,144.0,13.4,2014
Wrangell City and Borough,Alaska,78.483859022547,2,275,89.0,4.0,9.9,326.0,25.2,636.0,17.5,54.4,0.4157,45.0,48324.0,54.0,1714.0,27.0,2383.0,23.0,1163.0,91.0,6.0,2014
Apache County,Arizona,73.5730101249103,4,1,75.4,422.0,35.9,4432.0,14.9,12962.0,8.4,33.0,0.4693,1803.0,32396.0,1857.0,16881.0,703.0,72142.0,4428.0,19046.0,319.0,20.1,2014
Cochise County,Arizona,78.4493453995009,4,3,85.6,5148.0,17.5,15623.0,17.1,32402.0,23.8,39.6,0.4496,956.0,45974.0,3594.0,104360.0,3190.0,130807.0,43777.0,48846.0,1955.0,9.3,2014
Coconino County,Arizona,79.1262342389113,4,5,87.4,2009.0,23.8,18724.0,11.1,30050.0,31.8,31.0,0.4701,1072.0,48540.0,3584.0,84667.0,5308.0,135817.0,18683.0,46391.0,1902.0,9.7,2014
Gila County,Arizona,75.2769023094933,4,7,83.5,319.0,22.4,5752.0,19.3,13589.0,18.3,48.0,0.4274,821.0,40042.0,1072.0,42170.0,1075.0,53242.0,9807.0,20824.0,831.0,12.1,2014
Graham County,Arizona,77.4673057827607,4,9,83.4,798.0,21.7,3033.0,13.7,8010.0,13.0,32.0,0.4242,293.0,46965.0,820.0,28436.0,587.0,37311.0,11672.0,10975.0,352.0,13.2,2014
Greenlee County,Arizona,78.8069444314949,4,11,85.8,125.0,14.6,1857.0,13.4,2488.0,13.1,33.5,0.3889,63.0,50818.0,239.0,7590.0,127.0,8800.0,4161.0,3446.0,76.0,8.7,2014
Maricopa County,Arizona,80.1983661565339,4,13,86.1,203650.0,17.1,550645.0,10.2,935257.0,31.3,35.3,0.4616,20796.0,53689.0,107243.0,3162279.0,128230.0,3947382.0,1181100.0,1424244.0,76281.0,8.9,2014
Mohave County,Arizona,75.4575819953017,4,15,83.1,2193.0,19.9,25625.0,19.1,51377.0,12.3,48.6,0.435,1371.0,38456.0,4304.0,180836.0,5708.0,202482.0,31101.0,80529.0,2913.0,14.3,2014
Navajo County,Arizona,74.9438441304313,4,17,81.0,601.0,30.7,9930.0,17.8,24401.0,14.5,35.4,0.4702,1667.0,36591.0,3265.0,52875.0,1943.0,107489.0,11779.0,34018.0,1515.0,19.9,2014
Pima County,Arizona,79.1994643325826,4,19,87.5,35426.0,19.0,147655.0,13.7,238491.0,31.2,37.9,0.4691,7279.0,46233.0,26877.0,782395.0,39202.0,993144.0,351329.0,386155.0,25766.0,10.8,2014
Pinal County,Arizona,81.00600317497,4,21,83.2,18113.0,16.8,34107.0,12.7,90877.0,17.3,36.6,0.4061,2155.0,50248.0,8367.0,309920.0,6982.0,390160.0,113046.0,126128.0,3380.0,11.6,2014
Santa Cruz County,Arizona,82.1001879296229,4,23,76.9,216.0,24.4,5419.0,9.6,11725.0,22.6,36.2,0.4662,248.0,38802.0,1692.0,35779.0,1267.0,47250.0,39134.0,15514.0,744.0,11.8,2014
Yavapai County,Arizona,78.6665178423471,4,25,89.5,1188.0,16.1,27460.0,18.2,57762.0,26.1,50.8,0.4362,1328.0,44000.0,4002.0,196410.0,7080.0,213689.0,29702.0,91508.0,3321.0,10.9,2014
La Paz County,Arizona,81.3387718155153,4,12,73.4,49.0,18.4,2222.0,17.9,5914.0,11.2,54.6,0.4115,249.0,37009.0,394.0,14617.0,215.0,20348.0,5037.0,9707.0,440.0,12.2,2014
Yuma County,Arizona,81.3387718155153,4,27,71.7,4123.0,20.7,21468.0,11.7,54094.0,13.7,33.6,0.4312,1726.0,41380.0,5791.0,154867.0,4655.0,201453.0,122270.0,69915.0,2407.0,13.4,2014
Arkansas County,Arkansas,73.8595673933612,5,1,82.8,4842.0,17.7,2498.0,20.3,4930.0,14.0,41.6,0.4663,142.0,37813.0,442.0,13643.0,277.0,18861.0,549.0,7787.0,460.0,7.7,2014
Ashley County,Arkansas,74.4883652123264,5,3,84.8,5588.0,19.8,2129.0,21.4,6025.0,11.0,40.7,0.4573,200.0,35136.0,691.0,15124.0,288.0,21437.0,1074.0,8518.0,312.0,12.0,2014
Baxter County,Arkansas,76.2516267748183,5,5,87.4,115.0,14.9,4318.0,22.7,11844.0,18.1,51.1,0.4395,237.0,35594.0,960.0,39830.0,781.0,41154.0,760.0,18237.0,584.0,9.1,2014
Benton County,Arkansas,79.4059652057882,5,7,85.9,3131.0,11.7,26740.0,9.5,61934.0,31.5,34.9,0.437,861.0,56325.0,4768.0,204379.0,3841.0,232611.0,36821.0,83191.0,1737.0,5.0,2014
Boone County,Arkansas,76.5795522414594,5,9,82.2,60.0,16.9,4136.0,20.6,10349.0,15.5,41.5,0.4486,349.0,38705.0,1030.0,35846.0,590.0,37169.0,796.0,14855.0,553.0,9.3,2014
Bradley County,Arkansas,74.0452396036787,5,11,74.8,3240.0,29.4,1402.0,20.5,3258.0,11.0,40.3,0.4891,54.0,33745.0,314.0,6835.0,435.0,11316.0,1551.0,4720.0,370.0,7.3,2014
Calhoun County,Arkansas,75.0978238246715,5,13,83.5,1303.0,16.7,412.0,27.9,1456.0,10.5,44.9,0.4337,83.0,35000.0,109.0,3895.0,98.0,5266.0,45.0,2062.0,48.0,7.5,2014
Carroll County,Arkansas,77.1207588475348,5,15,81.5,225.0,17.9,2887.0,17.6,7471.0,16.5,44.7,0.4315,220.0,36897.0,609.0,25845.0,617.0,27626.0,3833.0,11069.0,360.0,7.4,2014
Chicot County,Arkansas,73.7092556075907,5,17,76.3,6202.0,32.4,1437.0,24.9,2998.0,9.7,42.0,0.5465,211.0,28086.0,488.0,4844.0,338.0,11489.0,594.0,4495.0,476.0,12.0,2014
Clark County,Arkansas,75.5507566291671,5,19,83.8,5496.0,23.7,3089.0,18.5,5369.0,22.5,34.1,0.4804,140.0,34109.0,759.0,16706.0,847.0,22800.0,974.0,8467.0,334.0,10.4,2014
