County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%),Black Population,Poverty Rate,Rent Denominator,Disability Rate,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Total Families (Single Mother),No Vehicle (Owner),Median Household Income,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,Year
Etowah County,Alabama,73.023382014908,1,55,83.1,16039.0,17.9,10965.0,19.5,40.9,0.4441,26410.0,16.9,2602.0,1088.0,42064.0,83436.0,103132.0,1760.0,3794.0,7.6,1576.0,39061.0,2017
Fayette County,Alabama,73.6468181376117,1,57,79.6,2019.0,18.1,1610.0,26.0,43.6,0.4669,4903.0,14.6,289.0,209.0,36541.0,14240.0,16657.0,311.0,277.0,8.4,423.0,6955.0,2017
Franklin County,Alabama,73.4916922949218,1,59,76.4,1528.0,23.0,3591.0,17.1,37.7,0.4305,8003.0,13.4,777.0,146.0,39501.0,27055.0,31507.0,340.0,5146.0,8.2,356.0,11533.0,2017
Geneva County,Alabama,74.2527953119664,1,61,79.0,2440.0,22.5,2820.0,21.5,42.7,0.445,7540.0,11.1,796.0,235.0,39293.0,23014.0,26572.0,382.0,1004.0,8.9,453.0,10693.0,2017
Greene County,Alabama,73.8570082667757,1,63,76.6,6853.0,38.8,967.0,23.0,42.0,0.5148,1843.0,11.4,339.0,147.0,20954.0,1459.0,8533.0,174.0,101.0,14.8,285.0,3025.0,2017
Hale County,Alabama,73.6467181824322,1,65,81.1,8802.0,26.1,1423.0,19.8,39.8,0.4968,3661.0,14.4,570.0,285.0,34679.0,5928.0,14995.0,248.0,196.0,11.7,365.0,5664.0,2017
Henry County,Alabama,75.4887946207952,1,67,80.6,4762.0,13.7,1196.0,20.0,43.5,0.4529,4545.0,17.1,365.0,294.0,45569.0,12144.0,17110.0,185.0,435.0,6.7,133.0,6727.0,2017
Houston County,Alabama,76.032673861126,1,69,85.3,27844.0,18.5,13990.0,17.8,39.6,0.4797,25917.0,20.9,3565.0,711.0,42803.0,72271.0,104108.0,3054.0,3366.0,7.6,1794.0,39560.0,2017
Jackson County,Alabama,73.3946413725398,1,71,81.4,1699.0,19.0,5376.0,18.3,43.0,0.4537,14140.0,13.4,1120.0,393.0,39281.0,47628.0,52326.0,759.0,1493.0,7.7,604.0,20368.0,2017
Jefferson County,Alabama,74.5743774281111,1,73,89.4,280804.0,17.6,97191.0,15.5,37.6,0.501,165380.0,31.9,24417.0,5533.0,49321.0,343449.0,659460.0,24046.0,24692.0,7.7,14812.0,261390.0,2017
Lamar County,Alabama,74.3774503003945,1,75,79.5,1520.0,23.1,1459.0,23.8,44.5,0.4733,4049.0,13.3,324.0,143.0,36016.0,12264.0,14021.0,211.0,212.0,7.9,250.0,6019.0,2017
Lauderdale County,Alabama,76.0388971623086,1,77,85.9,9316.0,16.3,12204.0,15.2,41.5,0.46,24532.0,22.5,2496.0,941.0,44888.0,80456.0,92590.0,2085.0,2285.0,6.6,1894.0,38634.0,2017
Lawrence County,Alabama,73.6788440834402,1,79,78.0,3801.0,16.6,2613.0,20.4,42.0,0.4317,9325.0,10.2,703.0,256.0,43779.0,25978.0,33288.0,349.0,701.0,7.2,373.0,13056.0,2017
Lee County,Alabama,77.5526205196881,1,81,89.9,36139.0,22.0,24069.0,12.2,31.0,0.5008,37148.0,34.9,4765.0,578.0,47564.0,109481.0,156597.0,7315.0,5813.0,5.7,2224.0,59001.0,2017
Limestone County,Alabama,77.3036396921757,1,83,83.7,12042.0,14.8,7407.0,15.1,39.1,0.4582,23089.0,24.6,1857.0,582.0,52831.0,74794.0,91695.0,1533.0,5323.0,7.1,712.0,32386.0,2017
Lowndes County,Alabama,71.8712681595456,1,85,76.0,7722.0,30.2,1146.0,23.1,40.7,0.5059,2997.0,13.7,705.0,304.0,29785.0,2559.0,10362.0,197.0,71.0,11.2,254.0,4309.0,2017
Macon County,Alabama,72.9264822618015,1,87,81.6,15903.0,25.9,2773.0,16.3,38.0,0.5056,4614.0,20.1,754.0,389.0,32308.0,3060.0,19358.0,621.0,315.0,14.5,752.0,7852.0,2017
Madison County,Alabama,77.4457800370199,1,89,90.8,85332.0,13.6,46222.0,13.0,38.2,0.4668,91730.0,40.6,9721.0,2376.0,61318.0,242114.0,353213.0,9235.0,16734.0,6.5,4494.0,142253.0,2017
Marengo County,Alabama,73.4699638933891,1,91,83.2,10689.0,25.6,2286.0,23.6,42.1,0.5303,4617.0,15.4,611.0,270.0,32255.0,8954.0,19743.0,349.0,88.0,12.8,652.0,7975.0,2017
Marion County,Alabama,74.0260626515723,1,93,80.7,1003.0,17.6,3032.0,25.4,44.1,0.4734,8780.0,13.4,844.0,198.0,35719.0,28032.0,30058.0,480.0,741.0,5.5,456.0,12453.0,2017
Marshall County,Alabama,74.044529414402,1,95,80.0,2091.0,21.0,10151.0,16.2,38.8,0.4816,24212.0,17.7,2438.0,501.0,41104.0,87765.0,94738.0,1970.0,12600.0,6.5,1213.0,34588.0,2017
Mobile County,Alabama,74.832531869489,1,97,86.3,146423.0,19.3,51743.0,14.5,37.3,0.4729,102345.0,23.0,14647.0,3191.0,45802.0,245542.0,414328.0,13028.0,11416.0,7.5,7048.0,153794.0,2017
Monroe County,Alabama,74.6472436418514,1,99,83.0,9029.0,33.7,3201.0,15.2,41.7,0.5568,5107.0,12.5,625.0,189.0,26036.0,11973.0,21745.0,420.0,286.0,21.6,766.0,8207.0,2017
Montgomery County,Alabama,75.8639742828833,1,101,85.7,130076.0,20.8,36713.0,16.2,35.9,0.4831,56232.0,32.3,10135.0,1762.0,46545.0,84134.0,227120.0,10558.0,7628.0,7.6,5966.0,89776.0,2017
Morgan County,Alabama,75.2271704532966,1,103,82.5,14790.0,16.6,13046.0,17.3,40.1,0.4566,31591.0,20.9,3674.0,610.0,47529.0,96748.0,119157.0,2622.0,9485.0,6.5,1653.0,45904.0,2017
Perry County,Alabama,72.388930405107,1,105,80.0,6735.0,41.9,752.0,23.1,37.6,0.4962,1810.0,16.9,283.0,208.0,22973.0,2875.0,9680.0,84.0,67.0,11.8,227.0,3039.0,2017
Pickens County,Alabama,74.4608285703048,1,107,79.8,8189.0,22.9,2005.0,24.7,42.1,0.484,4929.0,11.8,572.0,337.0,36220.0,11305.0,20170.0,354.0,826.0,12.2,407.0,7620.0,2017
Pike County,Alabama,74.9526888282757,1,109,81.1,12648.0,26.3,5007.0,16.4,31.4,0.5169,7320.0,24.7,1309.0,203.0,35684.0,18995.0,33287.0,1303.0,282.0,8.7,617.0,12284.0,2017
Randolph County,Alabama,74.2303989397729,1,111,78.6,4500.0,18.7,2419.0,13.6,42.7,0.4516,6069.0,14.6,560.0,206.0,39485.0,17341.0,22530.0,457.0,665.0,5.8,299.0,8867.0,2017
Russell County,Alabama,73.5167015561246,1,113,82.9,24946.0,20.9,9322.0,17.3,35.3,0.4591,14481.0,16.9,2223.0,695.0,38988.0,29568.0,58480.0,2101.0,3050.0,9.7,1405.0,22690.0,2017
Saint Clair County,Alabama,74.7414911385038,1,115,84.2,8126.0,13.7,6370.0,17.3,40.1,0.4102,23503.0,16.0,1666.0,583.0,53483.0,76026.0,86937.0,935.0,2003.0,5.8,467.0,32486.0,2017
Shelby County,Alabama,79.9439409572104,1,117,92.1,24669.0,8.3,15679.0,11.0,38.5,0.4275,55148.0,42.2,3677.0,1123.0,74063.0,168535.0,208721.0,2438.0,12045.0,4.3,1101.0,76868.0,2017
Sumter County,Alabama,74.3379744715151,1,119,82.7,9268.0,36.0,1799.0,21.6,35.9,0.5187,2738.0,18.2,494.0,238.0,21663.0,3235.0,13084.0,482.0,34.0,13.4,469.0,5073.0,2017
Talladega County,Alabama,73.3972425657916,1,121,80.5,26004.0,19.3,8792.0,18.9,40.6,0.4543,21221.0,13.6,2785.0,737.0,39219.0,51980.0,80888.0,1363.0,1791.0,10.0,1489.0,31651.0,2017
Tallapoosa County,Alabama,74.8751981595403,1,123,80.8,11216.0,21.2,4606.0,17.3,43.3,0.4536,11456.0,18.2,1287.0,481.0,42181.0,28455.0,40756.0,1032.0,968.0,9.2,952.0,16369.0,2017
Tuscaloosa County,Alabama,76.2628239560412,1,125,88.2,63965.0,17.3,26587.0,11.8,32.3,0.4607,47165.0,30.2,6355.0,1335.0,50513.0,132281.0,204424.0,6945.0,7128.0,6.7,3086.0,71507.0,2017
Walker County,Alabama,70.3120931463706,1,127,80.0,3963.0,21.5,6124.0,25.4,42.3,0.4566,17640.0,11.1,1770.0,678.0,38872.0,59223.0,64927.0,1358.0,1531.0,10.0,722.0,25143.0,2017
Washington County,Alabama,74.379913964713,1,129,82.4,4120.0,22.0,1055.0,24.0,43.5,0.4635,4321.0,10.7,415.0,131.0,42185.0,10970.0,16746.0,52.0,81.0,11.0,99.0,6001.0,2017
Wilcox County,Alabama,71.4192185766012,1,131,79.1,7874.0,31.9,1453.0,18.1,40.5,0.5175,2347.0,12.0,288.0,162.0,27012.0,2937.0,10919.0,72.0,52.0,17.2,454.0,3841.0,2017
Winston County,Alabama,74.31731572053,1,133,77.2,124.0,18.7,2144.0,26.0,44.6,0.4525,6306.0,12.9,546.0,339.0,35362.0,23135.0,23968.0,285.0,717.0,9.4,261.0,9439.0,2017
Anchorage Municipality,Alaska,78.8427395859197,2,20,93.4,16335.0,8.1,42290.0,10.9,33.1,0.4192,70757.0,34.6,7280.0,1300.0,82271.0,189826.0,298225.0,8413.0,26415.0,5.8,4908.0,106012.0,2017
Bethel Census Area,Alaska,72.3773195918739,2,50,80.2,120.0,27.0,1663.0,10.2,26.9,0.4338,3406.0,12.6,460.0,1651.0,53853.0,1968.0,17957.0,127.0,393.0,19.3,870.0,4524.0,2017
Bristol Bay Borough,Alaska,75.8312576360195,2,60,92.6,4.0,7.1,153.0,13.1,41.8,0.3817,233.0,20.3,28.0,10.0,79500.0,477.0,917.0,6.0,41.0,6.8,17.0,358.0,2017
Fairbanks North Star Borough,Alaska,79.8531882449376,2,90,94.6,4251.0,7.7,14930.0,11.4,31.0,0.3977,23329.0,33.1,1923.0,360.0,76250.0,76189.0,100031.0,3020.0,7714.0,8.0,1489.0,36396.0,2017
Haines Borough,Alaska,81.6301311834033,2,100,96.6,1.0,8.4,318.0,12.9,45.0,0.415,600.0,34.7,47.0,57.0,70640.0,2033.0,2537.0,26.0,71.0,2.7,27.0,1087.0,2017
Juneau City and Borough,Alaska,80.4330971073059,2,110,96.0,343.0,7.4,4240.0,10.9,38.0,0.3815,7879.0,40.3,573.0,192.0,90749.0,22360.0,32434.0,598.0,2067.0,4.8,769.0,12273.0,2017
Kenai Peninsula Borough,Alaska,78.3677604150779,2,122,92.6,311.0,11.0,6271.0,14.5,40.6,0.4273,13915.0,24.1,1162.0,488.0,65279.0,48462.0,57961.0,1059.0,2293.0,8.6,953.0,21779.0,2017
Kodiak Island Borough,Alaska,79.8324510978969,2,150,88.5,27.0,9.3,1859.0,13.0,33.1,0.3983,3175.0,24.1,489.0,106.0,74167.0,7402.0,13773.0,439.0,1219.0,5.3,221.0,4538.0,2017
Matanuska-Susitna Borough,Alaska,78.4961228596649,2,170,92.1,1138.0,9.8,7204.0,12.1,34.9,0.4098,21543.0,20.6,1449.0,435.0,74887.0,84138.0,101135.0,1621.0,4666.0,9.8,655.0,30613.0,2017
Nome Census Area,Alaska,70.4964319256222,2,180,84.9,75.0,24.9,1142.0,10.3,27.9,0.4372,2198.0,14.0,345.0,975.0,53821.0,1616.0,9869.0,172.0,234.0,16.6,625.0,2897.0,2017
North Slope Borough,Alaska,75.4604638102837,2,185,88.4,64.0,10.2,981.0,10.4,34.6,0.4132,1591.0,15.3,206.0,416.0,77266.0,3113.0,9757.0,111.0,401.0,9.5,359.0,2041.0,2017
Sitka City and Borough,Alaska,80.0877625456278,2,220,93.5,85.0,9.2,1537.0,11.9,38.9,0.3944,2112.0,32.9,251.0,116.0,70765.0,5712.0,8810.0,273.0,555.0,5.0,447.0,3545.0,2017
Southeast Fairbanks Census Area,Alaska,77.3779098522792,2,240,91.5,119.0,13.9,606.0,15.1,36.6,0.3918,1412.0,19.5,129.0,70.0,63866.0,5380.0,6889.0,84.0,356.0,12.5,57.0,2139.0,2017
Valdez-Cordova Census Area,Alaska,78.9328153281328,2,261,95.9,13.0,7.4,757.0,12.2,40.0,0.3946,1823.0,32.7,74.0,98.0,86019.0,6908.0,9439.0,71.0,453.0,7.5,101.0,2849.0,2017
Wade Hampton Census Area,Alaska,67.9859126754132,2,270,,,,,,,,,,,,,,,,,,,,2017
Northwest Arctic Borough,Alaska,72.237114207438,2,188,80.7,58.0,25.3,794.0,9.7,26.6,0.4341,1414.0,10.8,218.0,640.0,61533.0,901.0,7715.0,52.0,196.0,20.1,527.0,1849.0,2017
Aleutians East Borough,Alaska,84.1950647120622,2,13,85.8,175.0,16.7,330.0,7.7,42.7,0.4025,517.0,11.5,87.0,83.0,66607.0,574.0,3338.0,42.0,324.0,2.4,99.0,812.0,2017
Aleutians West Census Area,Alaska,84.1950647120622,2,16,88.3,295.0,7.5,851.0,7.4,37.7,0.3688,707.0,16.2,54.0,56.0,85192.0,1723.0,5784.0,38.0,780.0,1.9,143.0,1218.0,2017
Dillingham Census Area,Alaska,73.937488710631,2,70,86.4,22.0,16.6,534.0,12.2,30.1,0.4284,1005.0,17.4,174.0,310.0,58708.0,868.0,4974.0,44.0,155.0,11.4,248.0,1405.0,2017
Lake and Peninsula Borough,Alaska,73.937488710631,2,164,87.7,9.0,16.5,130.0,13.7,32.3,0.4388,279.0,16.0,45.0,120.0,45208.0,292.0,1301.0,3.0,20.0,13.2,80.0,408.0,2017
Denali Borough,Alaska,73.9553492576129,2,68,98.7,4.0,15.5,145.0,12.3,38.4,0.3568,373.0,44.5,5.0,8.0,83295.0,1912.0,2303.0,11.0,17.0,1.9,5.0,678.0,2017
Yukon-Koyukuk Census Area,Alaska,73.9553492576129,2,290,84.7,5.0,25.5,580.0,15.6,34.7,0.4684,1230.0,12.4,178.0,650.0,37819.0,1231.0,5453.0,66.0,117.0,19.7,362.0,1959.0,2017
Hoonah-Angoon Census Area,Alaska,80.749870087287,2,105,90.3,62.0,11.1,212.0,16.2,48.9,0.3871,541.0,21.9,41.0,173.0,57900.0,982.0,2146.0,29.0,117.0,11.7,56.0,802.0,2017
Skagway Municipality,Alaska,80.749870087287,2,230,92.4,9.0,5.6,203.0,10.7,42.9,0.3271,202.0,32.2,11.0,2.0,70673.0,859.0,1038.0,11.0,71.0,7.9,35.0,423.0,2017
Yakutat City and Borough,Alaska,80.749870087287,2,282,91.9,6.0,6.2,101.0,8.8,39.4,0.3518,146.0,19.6,21.0,10.0,64583.0,314.0,682.0,6.0,38.0,6.5,22.0,255.0,2017
Ketchikan Gateway Borough,Alaska,78.870520839502,2,130,91.9,75.0,10.6,2009.0,14.8,39.5,0.4157,3410.0,24.1,368.0,136.0,67321.0,9234.0,13745.0,439.0,655.0,7.0,442.0,5270.0,2017
Petersburg Borough,Alaska,78.870520839502,2,195,89.5,19.0,7.8,399.0,15.8,41.7,0.4524,811.0,26.5,83.0,103.0,63490.0,2495.0,3275.0,82.0,346.0,4.8,98.0,1255.0,2017
Prince of Wales-Hyder Census Area,Alaska,78.870520839502,2,198,90.0,10.0,16.0,625.0,20.1,41.0,0.4232,1502.0,16.8,143.0,178.0,52114.0,3044.0,6473.0,76.0,238.0,13.5,90.0,2315.0,2017
Wrangell City and Borough,Alaska,78.870520839502,2,275,89.0,4.0,11.7,362.0,16.3,49.1,0.3945,699.0,19.4,70.0,45.0,56094.0,1632.0,2475.0,44.0,78.0,7.0,103.0,1084.0,2017
Apache County,Arizona,72.2408515337713,4,1,78.6,364.0,35.9,4366.0,14.6,34.2,0.4883,13405.0,11.5,1759.0,1751.0,32360.0,16314.0,71602.0,572.0,4374.0,14.1,419.0,19530.0,2017
Cochise County,Arizona,77.7961940778469,4,3,87.1,4786.0,18.1,15282.0,16.8,40.5,0.4449,32650.0,23.6,3232.0,944.0,47847.0,106782.0,126516.0,3043.0,44275.0,7.6,1572.0,49160.0,2017
Coconino County,Arizona,78.5702279856415,4,5,89.7,1986.0,21.0,19353.0,12.1,30.6,0.4803,29453.0,35.4,3112.0,841.0,53523.0,88147.0,138639.0,5553.0,19265.0,8.3,1571.0,47588.0,2017
Gila County,Arizona,74.1269913666399,4,7,85.0,300.0,21.9,5856.0,21.8,49.3,0.4442,14228.0,19.0,1276.0,775.0,41179.0,41211.0,53145.0,819.0,9910.0,11.7,637.0,21585.0,2017
Graham County,Arizona,76.9440705172127,4,9,85.8,750.0,21.4,3507.0,14.2,33.1,0.4149,7670.0,14.1,781.0,283.0,48173.0,29782.0,37700.0,631.0,12264.0,12.2,356.0,10976.0,2017
Greenlee County,Arizona,78.1978326048683,4,11,89.7,191.0,11.5,1778.0,13.1,33.4,0.4008,2429.0,12.1,233.0,46.0,56298.0,8533.0,9368.0,86.0,4348.0,7.6,41.0,3364.0,2017
Maricopa County,Arizona,79.6563218537266,4,13,87.1,222363.0,15.7,581017.0,11.0,36.0,0.4679,976254.0,31.4,103519.0,19767.0,58580.0,3241643.0,4155501.0,127318.0,1271746.0,6.0,74359.0,1489533.0,2017
Mohave County,Arizona,74.9338228939162,4,15,84.7,2208.0,18.6,26566.0,21.5,50.4,0.4451,53129.0,12.3,4267.0,1406.0,41567.0,185042.0,204691.0,4830.0,32591.0,10.1,3040.0,83902.0,2017
Navajo County,Arizona,73.8300467164729,4,17,82.6,889.0,29.1,10656.0,17.8,35.9,0.4773,24394.0,15.5,3278.0,1648.0,38798.0,51648.0,107902.0,2023.0,12054.0,16.3,1669.0,34251.0,2017
Pima County,Arizona,78.6548008107775,4,19,88.2,34872.0,18.3,151693.0,14.9,38.2,0.4725,245163.0,31.6,28426.0,7101.0,48676.0,774499.0,1007257.0,39197.0,368612.0,8.4,26893.0,398530.0,2017
Pinal County,Arizona,80.8637745945733,4,21,85.2,18273.0,15.5,36585.0,14.7,38.5,0.4287,92921.0,18.6,8095.0,2508.0,52628.0,326120.0,405537.0,7384.0,120075.0,7.8,3351.0,133513.0,2017
Santa Cruz County,Arizona,81.5659007827293,4,23,75.4,236.0,21.8,5100.0,11.7,36.6,0.487,11785.0,22.1,1577.0,179.0,39630.0,39955.0,46358.0,1255.0,38653.0,8.7,514.0,15568.0,2017
Yavapai County,Arizona,78.0019889385203,4,25,90.2,1169.0,14.7,27660.0,18.3,52.2,0.4447,59801.0,25.0,3630.0,1294.0,48259.0,203251.0,220972.0,6323.0,31508.0,7.3,2639.0,94343.0,2017
La Paz County,Arizona,81.1244263390012,4,12,77.2,177.0,19.7,2265.0,21.6,56.0,0.4323,5664.0,11.2,357.0,207.0,36479.0,15428.0,20477.0,371.0,5383.0,9.5,446.0,8798.0,2017
Yuma County,Arizona,81.1244263390012,4,27,71.6,4267.0,19.7,23289.0,11.4,34.1,0.4443,53669.0,14.3,5235.0,1747.0,43253.0,149306.0,204281.0,4880.0,128465.0,10.9,2652.0,71670.0,2017
Arkansas County,Arkansas,73.5043452669212,5,1,82.6,4852.0,20.7,2870.0,24.6,40.9,0.4877,4833.0,14.1,639.0,165.0,38532.0,13255.0,18352.0,347.0,543.0,8.5,508.0,7692.0,2017
Ashley County,Arkansas,73.9253722421542,5,3,83.0,5309.0,21.3,2128.0,23.6,41.8,0.4658,5560.0,13.4,481.0,165.0,36407.0,14939.0,20771.0,534.0,1083.0,9.9,377.0,8182.0,2017
Baxter County,Arkansas,75.9597914129396,5,5,87.3,74.0,12.6,4534.0,21.1,51.8,0.445,12048.0,18.4,717.0,212.0,40072.0,39599.0,41093.0,587.0,879.0,5.8,515.0,18398.0,2017
Benton County,Arkansas,79.3162674700135,5,7,87.5,4144.0,10.5,30631.0,9.3,35.2,0.4505,66933.0,31.7,5295.0,885.0,61271.0,221937.0,251823.0,4210.0,40980.0,3.1,1799.0,90906.0,2017
Boone County,Arkansas,76.1204721411668,5,9,85.2,143.0,15.8,4158.0,19.5,42.2,0.4367,10185.0,16.2,730.0,294.0,40727.0,35843.0,37212.0,540.0,866.0,6.1,541.0,14887.0,2017
Bradley County,Arkansas,73.6787408686852,5,11,81.4,3220.0,26.4,1738.0,24.2,40.6,0.4812,2927.0,14.4,372.0,99.0,36310.0,6850.0,10994.0,404.0,1625.0,9.4,469.0,4566.0,2017
Calhoun County,Arkansas,74.5306926339902,5,13,84.2,1156.0,19.6,347.0,27.3,45.2,0.4405,1489.0,12.3,110.0,48.0,37225.0,3951.0,5194.0,123.0,203.0,5.7,40.0,2061.0,2017
Carroll County,Arkansas,76.8382013939385,5,15,85.7,372.0,15.7,2434.0,17.6,44.6,0.4371,7044.0,19.3,457.0,244.0,39686.0,25751.0,27782.0,348.0,4101.0,5.1,376.0,10832.0,2017
Chicot County,Arkansas,73.3117463375035,5,17,80.2,5963.0,29.4,1455.0,24.3,43.3,0.5589,2825.0,13.2,456.0,222.0,32412.0,4753.0,11008.0,317.0,571.0,10.1,422.0,4323.0,2017
Clark County,Arkansas,75.5224420894244,5,19,88.2,5368.0,21.5,3350.0,19.9,33.8,0.451,5515.0,26.4,649.0,108.0,37144.0,16186.0,22495.0,640.0,1035.0,4.5,539.0,8820.0,2017
Clay County,Arkansas,72.8559680875974,5,21,78.5,104.0,22.3,1913.0,23.9,43.4,0.4468,4021.0,10.7,477.0,192.0,32219.0,14621.0,15190.0,307.0,289.0,5.3,338.0,6428.0,2017
