County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Total Families (Single Mother),No Vehicle (Owner),Median Household Income,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Rent Denominator,Disability Rate,Poverty Rate,High School Degree or Higher (%),Black Population,Year
Etowah County,Alabama,73.310801891145,1,55,6.5,1417.0,38777.0,82710.0,102939.0,1704.0,3880.0,2740.0,1024.0,44023.0,41.3,0.4483,26139.0,17.7,10895.0,19.6,17.3,84.5,16212.0,2018
Fayette County,Alabama,73.7501826390878,1,57,7.0,296.0,6947.0,14095.0,16585.0,281.0,285.0,273.0,187.0,37458.0,43.8,0.4635,4812.0,12.9,1535.0,25.7,20.0,82.4,1978.0,2018
Franklin County,Alabama,73.6994529156054,1,59,6.1,366.0,11210.0,26467.0,31542.0,320.0,5333.0,710.0,201.0,40459.0,37.6,0.4224,7702.0,12.9,3300.0,15.5,20.2,76.8,1388.0,2018
Geneva County,Alabama,74.2429861050731,1,61,8.6,380.0,10479.0,22871.0,26491.0,536.0,1027.0,807.0,193.0,38142.0,42.4,0.4413,7220.0,11.1,3059.0,21.5,24.0,79.1,2529.0,2018
Greene County,Alabama,74.0541627291715,1,63,15.8,337.0,2955.0,1445.0,8426.0,200.0,143.0,260.0,105.0,21804.0,42.5,0.5041,1630.0,10.1,924.0,25.1,38.7,75.9,6713.0,2018
Hale County,Alabama,73.8211347225773,1,65,11.9,398.0,5658.0,5898.0,14887.0,296.0,130.0,513.0,306.0,30571.0,39.2,0.5071,3560.0,14.1,1614.0,21.1,26.0,83.6,8748.0,2018
Henry County,Alabama,75.5345409164455,1,67,6.7,112.0,6669.0,12179.0,17124.0,207.0,448.0,368.0,257.0,48610.0,44.1,0.435,4477.0,18.0,1147.0,18.7,13.5,80.2,4749.0,2018
Houston County,Alabama,76.2003724907021,1,69,7.0,1748.0,39253.0,72387.0,104352.0,2904.0,3437.0,3362.0,690.0,45496.0,39.8,0.4808,25733.0,21.0,13512.0,17.8,18.3,85.7,28078.0,2018
Jackson County,Alabama,73.4860798339663,1,71,5.9,547.0,20626.0,47412.0,52094.0,715.0,1505.0,1157.0,393.0,39816.0,43.3,0.4616,14410.0,14.2,5344.0,18.8,20.2,82.5,1799.0,2018
Jefferson County,Alabama,74.8266754858777,1,73,7.3,14492.0,260924.0,342591.0,659892.0,23479.0,25048.0,22559.0,5489.0,51979.0,37.7,0.4996,164836.0,32.4,97066.0,15.5,17.0,89.7,281702.0,2018
Lamar County,Alabama,74.6405751275356,1,75,8.0,273.0,5974.0,12187.0,13933.0,231.0,218.0,273.0,153.0,36756.0,44.5,0.4623,4052.0,12.5,1407.0,24.4,21.2,82.4,1558.0,2018
Lauderdale County,Alabama,76.2332477342409,1,77,5.3,1925.0,38514.0,80561.0,92585.0,2194.0,2412.0,2412.0,773.0,46265.0,41.4,0.4672,24868.0,23.9,12138.0,14.7,15.2,87.4,9364.0,2018
Lawrence County,Alabama,73.8448626457253,1,79,5.7,408.0,12811.0,25942.0,33171.0,318.0,707.0,648.0,297.0,44515.0,42.2,0.4389,9325.0,11.7,2678.0,20.5,16.8,79.0,3627.0,2018
Lee County,Alabama,77.6449270835747,1,81,5.7,2162.0,59373.0,111986.0,159287.0,7117.0,5865.0,4750.0,577.0,48056.0,31.4,0.5081,37391.0,34.1,23552.0,13.2,21.4,90.5,36675.0,2018
Limestone County,Alabama,77.5937481419663,1,83,6.9,602.0,32126.0,75143.0,93052.0,1212.0,5479.0,1751.0,569.0,56460.0,39.5,0.4509,22767.0,25.5,7062.0,16.3,13.7,84.3,12468.0,2018
Lowndes County,Alabama,72.0555793694128,1,85,11.5,250.0,4180.0,2546.0,10236.0,215.0,70.0,584.0,312.0,30833.0,41.6,0.4999,2865.0,14.1,1101.0,25.0,27.9,77.5,7601.0,2018
Macon County,Alabama,73.143855116616,1,87,12.1,670.0,7637.0,3025.0,19054.0,625.0,328.0,673.0,319.0,32074.0,38.0,0.5145,4379.0,20.7,2616.0,17.3,25.8,81.7,15740.0,2018
Madison County,Alabama,77.6056196958447,1,89,5.8,4805.0,145256.0,243835.0,357560.0,9570.0,17294.0,9323.0,2298.0,63417.0,38.5,0.4673,93386.0,41.7,47606.0,13.1,13.2,91.1,86012.0,2018
Marengo County,Alabama,73.5140531961641,1,91,9.7,578.0,7768.0,8855.0,19538.0,298.0,115.0,436.0,227.0,32809.0,42.7,0.5386,4148.0,15.4,2235.0,25.0,21.8,83.8,10518.0,2018
Marion County,Alabama,74.2254868593688,1,93,5.6,411.0,12212.0,27886.0,29965.0,440.0,752.0,717.0,157.0,35392.0,44.3,0.4596,8419.0,13.1,3009.0,25.9,17.5,79.7,1097.0,2018
Marshall County,Alabama,74.360519855914,1,95,5.1,1097.0,34896.0,87887.0,95145.0,1933.0,12961.0,2529.0,578.0,42490.0,38.7,0.4805,23910.0,19.2,10341.0,15.5,21.7,80.9,2456.0,2018
Mobile County,Alabama,74.9863591340308,1,97,6.2,7397.0,155831.0,243658.0,414659.0,13401.0,11973.0,14068.0,2994.0,46166.0,37.6,0.4765,101776.0,22.9,54711.0,14.0,19.3,86.2,147434.0,2018
Monroe County,Alabama,74.9978896242308,1,99,17.5,675.0,8149.0,11814.0,21512.0,344.0,302.0,620.0,225.0,30141.0,42.3,0.5477,4994.0,14.1,3187.0,13.8,30.9,83.7,8927.0,2018
Montgomery County,Alabama,76.1656562262215,1,101,7.6,5811.0,89835.0,82862.0,226941.0,10565.0,7749.0,9583.0,1784.0,47990.0,36.2,0.4929,56034.0,32.1,37209.0,16.2,20.7,85.6,130866.0,2018
Morgan County,Alabama,75.4261590776826,1,103,5.2,1764.0,45646.0,95966.0,119122.0,2406.0,9691.0,3146.0,651.0,49751.0,40.4,0.4511,31202.0,21.7,12718.0,16.8,15.3,83.3,15228.0,2018
Perry County,Alabama,72.770250342339,1,105,12.3,212.0,3079.0,2838.0,9486.0,78.0,89.0,281.0,224.0,23561.0,37.7,0.479,1588.0,15.7,839.0,25.2,41.8,78.1,6588.0,2018
Pickens County,Alabama,74.6249282141329,1,107,10.6,379.0,7530.0,11362.0,20298.0,298.0,932.0,501.0,352.0,37458.0,42.4,0.4997,4935.0,13.5,1961.0,24.5,23.5,80.6,8367.0,2018
Pike County,Alabama,75.0187640137986,1,109,8.0,739.0,11547.0,18960.0,33403.0,1307.0,263.0,1001.0,160.0,34678.0,30.8,0.5343,6509.0,23.6,4702.0,17.1,26.6,81.0,12697.0,2018
Randolph County,Alabama,74.3982802569113,1,111,5.0,392.0,8643.0,17443.0,22574.0,470.0,665.0,510.0,213.0,41449.0,42.7,0.4733,5870.0,14.9,2298.0,14.3,17.7,78.8,4547.0,2018
Russell County,Alabama,73.6803490665368,1,113,7.8,1373.0,22740.0,29256.0,58213.0,2045.0,3120.0,2210.0,857.0,40978.0,35.9,0.454,14510.0,16.5,9139.0,18.8,20.1,83.3,24957.0,2018
Saint Clair County,Alabama,75.0107121083288,1,115,5.3,473.0,32172.0,76224.0,87306.0,949.0,2089.0,1677.0,506.0,54887.0,40.3,0.4068,23270.0,16.5,6775.0,16.5,13.2,84.8,8252.0,2018
Shelby County,Alabama,80.205250224518,1,117,4.0,1142.0,78328.0,169598.0,211261.0,2691.0,12125.0,3862.0,1163.0,75761.0,38.9,0.4344,56022.0,42.1,15922.0,11.2,8.4,92.2,25455.0,2018
Sumter County,Alabama,74.7139987528402,1,119,12.1,399.0,5047.0,3201.0,12985.0,438.0,13.0,401.0,268.0,23132.0,35.8,0.5469,2680.0,21.8,1769.0,21.8,31.3,84.2,9346.0,2018
Talladega County,Alabama,73.5793518144223,1,121,8.8,1609.0,31407.0,51720.0,80565.0,1621.0,1818.0,2757.0,857.0,41012.0,41.1,0.4584,20921.0,14.3,9015.0,19.3,19.9,81.0,26010.0,2018
Tallapoosa County,Alabama,74.9365477647865,1,123,10.4,967.0,16448.0,28251.0,40636.0,951.0,954.0,1213.0,510.0,43361.0,43.7,0.4617,11339.0,18.3,4466.0,19.0,20.3,80.5,11145.0,2018
Tuscaloosa County,Alabama,76.5059658159458,1,125,6.3,3115.0,72379.0,132877.0,206213.0,7097.0,7437.0,6366.0,1051.0,52221.0,32.7,0.463,47281.0,30.3,26671.0,12.0,17.4,88.4,65260.0,2018
Walker County,Alabama,70.5636130208947,1,127,8.8,781.0,25036.0,58547.0,64493.0,1196.0,1545.0,1439.0,653.0,41748.0,42.4,0.4587,17379.0,11.6,5991.0,24.1,19.7,80.9,4007.0,2018
Washington County,Alabama,74.6032396661542,1,129,8.5,80.0,6007.0,11003.0,16643.0,93.0,182.0,405.0,141.0,40794.0,43.6,0.4684,4220.0,11.1,973.0,24.5,21.0,80.4,4086.0,2018
Wilcox County,Alabama,71.5241341237713,1,131,15.5,443.0,3804.0,2903.0,10809.0,113.0,70.0,239.0,169.0,27237.0,40.8,0.5108,2246.0,12.5,1333.0,18.4,31.1,76.9,7511.0,2018
Winston County,Alabama,74.7102062206126,1,133,7.6,296.0,9403.0,23001.0,23875.0,218.0,734.0,478.0,370.0,38504.0,44.9,0.4517,6304.0,13.5,1977.0,25.2,16.2,78.1,90.0,2018
Anchorage Municipality,Alaska,79.167117979683,2,20,5.6,4770.0,106524.0,186522.0,296112.0,8685.0,26847.0,7187.0,1436.0,83280.0,33.2,0.4251,70176.0,35.3,41697.0,11.1,9.2,93.8,16439.0,2018
Bethel Census Area,Alaska,72.53346154146,2,50,18.3,942.0,4558.0,1986.0,18040.0,169.0,429.0,436.0,1631.0,54212.0,27.1,0.4446,3478.0,12.3,1774.0,10.6,27.8,81.4,119.0,2018
Bristol Bay Borough,Alaska,76.2417287283227,2,60,8.1,24.0,333.0,501.0,890.0,3.0,32.0,22.0,9.0,84688.0,41.8,0.3911,209.0,22.3,157.0,14.2,5.8,94.4,4.0,2018
Fairbanks North Star Borough,Alaska,80.2495817828855,2,90,7.0,1243.0,36513.0,75281.0,99653.0,2845.0,7951.0,2040.0,317.0,77095.0,31.1,0.4061,24057.0,32.6,15150.0,11.3,8.1,94.5,4493.0,2018
Haines Borough,Alaska,82.3340851154886,2,100,3.7,30.0,1026.0,2040.0,2518.0,21.0,97.0,40.0,43.0,64342.0,44.9,0.3796,612.0,37.4,334.0,11.3,9.0,97.0,1.0,2018
Juneau City and Borough,Alaska,80.7356793660287,2,110,5.8,881.0,12521.0,22182.0,32330.0,622.0,2123.0,507.0,246.0,88213.0,38.1,0.3947,7610.0,39.5,4507.0,11.8,7.9,96.1,325.0,2018
Kenai Peninsula Borough,Alaska,78.641406388572,2,122,7.8,918.0,21741.0,48489.0,58220.0,1077.0,2375.0,1020.0,517.0,66684.0,40.8,0.4322,13666.0,23.3,5809.0,14.6,12.0,92.8,370.0,2018
Kodiak Island Borough,Alaska,80.3116543907809,2,150,5.2,301.0,4373.0,7284.0,13649.0,376.0,1219.0,449.0,110.0,78281.0,33.5,0.3869,3000.0,26.0,1968.0,12.8,9.3,89.9,36.0,2018
Matanuska-Susitna Borough,Alaska,78.8829024347706,2,170,9.5,646.0,30879.0,85927.0,103464.0,1671.0,4944.0,1530.0,364.0,75905.0,35.0,0.4171,21695.0,21.2,7135.0,13.2,10.3,92.4,1121.0,2018
Nome Census Area,Alaska,70.7530594988732,2,180,16.7,658.0,2875.0,1601.0,9925.0,134.0,253.0,339.0,981.0,58987.0,28.1,0.4294,2175.0,14.6,1141.0,10.0,23.1,84.1,89.0,2018
North Slope Borough,Alaska,75.8434189819725,2,185,9.0,358.0,1966.0,3099.0,9797.0,110.0,207.0,198.0,393.0,75431.0,34.8,0.4156,1472.0,16.6,978.0,10.1,9.3,89.8,84.0,2018
Sitka City and Borough,Alaska,80.454277274944,2,220,4.4,380.0,3561.0,5655.0,8738.0,294.0,566.0,223.0,96.0,71534.0,38.8,0.4222,2129.0,32.6,1499.0,12.2,7.5,94.0,103.0,2018
Southeast Fairbanks Census Area,Alaska,77.6892419463187,2,240,10.2,62.0,2163.0,5269.0,6876.0,66.0,381.0,79.0,52.0,71541.0,36.3,0.3858,1476.0,19.1,572.0,17.1,10.8,90.2,47.0,2018
Valdez-Cordova Census Area,Alaska,79.0550286546822,2,261,6.6,129.0,3093.0,6803.0,9301.0,81.0,466.0,135.0,91.0,82306.0,39.0,0.4226,1867.0,30.6,832.0,12.2,8.1,96.0,25.0,2018
Wade Hampton Census Area,Alaska,68.2919702704407,2,270,,,,,,,,,,,,,,,,,,,,2018
Northwest Arctic Borough,Alaska,72.6945119305142,2,188,18.7,561.0,1860.0,859.0,7734.0,42.0,89.0,244.0,661.0,62949.0,27.2,0.4375,1394.0,11.7,826.0,10.1,25.1,81.9,87.0,2018
Aleutians East Borough,Alaska,84.54019994971,2,13,3.5,111.0,860.0,605.0,3425.0,37.0,346.0,92.0,87.0,69706.0,42.7,0.3987,538.0,12.7,328.0,8.5,15.4,86.4,144.0,2018
Aleutians West Census Area,Alaska,84.54019994971,2,16,2.0,140.0,1176.0,1699.0,5750.0,41.0,798.0,68.0,53.0,85517.0,37.6,0.3628,716.0,16.4,845.0,7.7,8.5,88.8,246.0,2018
Dillingham Census Area,Alaska,74.2728982123458,2,70,11.9,253.0,1420.0,875.0,4975.0,40.0,173.0,177.0,291.0,58750.0,30.3,0.4285,1017.0,19.3,564.0,12.5,17.2,87.3,67.0,2018
Lake and Peninsula Borough,Alaska,74.2728982123458,2,164,15.7,80.0,425.0,314.0,1375.0,3.0,19.0,41.0,121.0,46406.0,33.5,0.4318,285.0,15.8,131.0,13.9,15.9,85.5,9.0,2018
Denali Borough,Alaska,74.5030411727533,2,68,3.0,14.0,639.0,1810.0,2232.0,7.0,9.0,4.0,7.0,84196.0,43.1,0.3631,316.0,43.5,140.0,13.7,16.9,98.4,18.0,2018
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,2,290,18.8,337.0,1906.0,1229.0,5415.0,55.0,131.0,174.0,648.0,40000.0,35.3,0.4666,1151.0,13.4,540.0,14.9,25.1,85.7,7.0,2018
Hoonah-Angoon Census Area,Alaska,81.2101394560811,2,105,10.9,54.0,799.0,971.0,2132.0,12.0,142.0,40.0,187.0,63603.0,50.2,0.3914,517.0,23.4,209.0,15.5,9.7,91.5,68.0,2018
Skagway Municipality,Alaska,81.2101394560811,2,230,6.8,30.0,400.0,917.0,1061.0,10.0,55.0,11.0,1.0,72237.0,38.5,0.3224,201.0,33.7,194.0,11.0,5.3,93.7,13.0,2018
Yakutat City and Borough,Alaska,81.2101394560811,2,282,6.1,17.0,232.0,309.0,689.0,3.0,50.0,16.0,4.0,65833.0,36.4,0.3498,136.0,20.0,87.0,8.7,6.7,91.8,2.0,2018
Ketchikan Gateway Borough,Alaska,79.3321255610105,2,130,6.6,458.0,5327.0,9219.0,13804.0,459.0,701.0,361.0,143.0,70356.0,39.6,0.4161,3397.0,24.5,2087.0,14.6,10.5,92.7,103.0,2018
Petersburg Borough,Alaska,79.3321255610105,2,195,4.3,95.0,1170.0,2346.0,3255.0,92.0,337.0,70.0,90.0,66907.0,41.0,0.4388,763.0,27.6,371.0,18.5,8.2,89.7,23.0,2018
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,2,198,12.1,84.0,2356.0,3053.0,6474.0,72.0,244.0,143.0,171.0,54191.0,41.0,0.4139,1515.0,17.6,640.0,21.4,15.2,90.2,24.0,2018
Wrangell City and Borough,Alaska,79.3321255610105,2,275,5.6,111.0,1074.0,1670.0,2484.0,47.0,121.0,52.0,37.0,57583.0,49.5,0.4071,650.0,20.7,340.0,17.9,7.8,88.3,2.0,2018
Apache County,Arizona,72.3010290005178,4,1,12.0,444.0,20395.0,16362.0,71522.0,441.0,4445.0,1669.0,2016.0,32963.0,34.7,0.495,13759.0,11.7,4407.0,14.7,35.3,79.6,513.0,2018
Cochise County,Arizona,77.8408033972637,4,3,7.2,1807.0,49250.0,107243.0,126279.0,2833.0,44598.0,3159.0,926.0,48649.0,40.6,0.4404,32319.0,23.0,15184.0,17.1,17.2,87.2,4734.0,2018
Coconino County,Arizona,78.8052809079821,4,5,7.5,1511.0,47276.0,89502.0,140217.0,5154.0,19666.0,2455.0,857.0,57616.0,30.6,0.4654,29278.0,35.6,18639.0,11.9,18.9,89.6,1869.0,2018
Gila County,Arizona,74.3746289869468,4,7,10.2,593.0,21708.0,41095.0,53400.0,837.0,9992.0,1225.0,684.0,42092.0,49.7,0.4451,13715.0,18.5,5675.0,22.2,22.5,85.3,317.0,2018
Graham County,Arizona,77.1556460234304,4,9,9.4,317.0,10782.0,29917.0,37879.0,539.0,12453.0,887.0,313.0,51352.0,33.3,0.4049,7604.0,15.3,3315.0,13.0,21.3,85.6,752.0,2018
Greenlee County,Arizona,78.3645024836664,4,11,6.9,21.0,3225.0,8642.0,9504.0,47.0,4414.0,163.0,71.0,60962.0,34.2,0.3908,2379.0,11.9,1639.0,13.0,11.9,89.0,213.0,2018
Maricopa County,Arizona,79.7386604099472,4,13,5.5,73633.0,1520767.0,3301814.0,4253913.0,126988.0,1311091.0,102789.0,19916.0,61606.0,36.1,0.4666,996345.0,32.0,587655.0,11.1,14.7,87.4,232690.0,2018
Mohave County,Arizona,75.0984065448903,4,15,8.9,3240.0,85485.0,186510.0,206064.0,4709.0,33481.0,4350.0,1311.0,43266.0,50.9,0.4451,54107.0,12.9,26810.0,22.5,17.5,85.3,2262.0,2018
Navajo County,Arizona,73.7972740690661,4,17,14.8,1639.0,34407.0,51934.0,108705.0,1825.0,12329.0,2939.0,1695.0,40054.0,36.4,0.4751,23917.0,15.8,10646.0,17.9,28.5,82.8,964.0,2018
Pima County,Arizona,78.7518294309296,4,19,7.6,26308.0,400907.0,777452.0,1019722.0,37862.0,376826.0,28031.0,7239.0,51037.0,38.3,0.4713,246861.0,31.9,150781.0,15.2,17.8,88.3,35973.0,2018
Pinal County,Arizona,81.2155424915528,4,21,7.8,3093.0,137286.0,336611.0,419721.0,6891.0,125373.0,7842.0,2880.0,55550.0,38.9,0.4235,95847.0,19.0,35171.0,15.2,14.2,85.4,18782.0,2018
Santa Cruz County,Arizona,81.7071020187176,4,23,8.3,553.0,15430.0,39656.0,46584.0,1249.0,38899.0,1434.0,252.0,40467.0,36.6,0.4933,11626.0,21.0,5218.0,12.4,24.0,75.6,248.0,2018
Yavapai County,Arizona,78.051524295411,4,25,6.7,2417.0,96007.0,205647.0,224645.0,5838.0,32461.0,3537.0,1330.0,50180.0,52.9,0.4462,60712.0,25.2,26952.0,18.3,14.0,90.3,1274.0,2018
La Paz County,Arizona,81.2378999209795,4,12,8.0,347.0,8912.0,15914.0,20701.0,379.0,5614.0,417.0,270.0,33333.0,56.0,0.4663,5303.0,12.4,2292.0,22.5,22.1,77.3,170.0,2018
Yuma County,Arizona,81.2378999209795,4,27,9.9,2763.0,72463.0,155842.0,207829.0,5189.0,131670.0,5424.0,1565.0,44058.0,34.3,0.4462,54354.0,14.8,23851.0,12.0,20.1,72.1,4498.0,2018
Arkansas County,Arkansas,73.699664085667,5,1,6.3,596.0,7682.0,13146.0,18124.0,447.0,554.0,627.0,195.0,39466.0,41.4,0.4963,4727.0,15.5,2788.0,24.4,20.0,83.0,4677.0,2018
Ashley County,Arkansas,74.0622583712188,5,3,6.9,482.0,7915.0,14737.0,20537.0,586.0,1097.0,586.0,196.0,39635.0,41.7,0.476,5432.0,13.2,2084.0,23.1,20.2,82.3,5273.0,2018
Baxter County,Arkansas,76.0355516425297,5,5,4.3,430.0,18370.0,39814.0,41219.0,612.0,927.0,750.0,251.0,41481.0,52.1,0.4539,12104.0,18.3,4441.0,21.2,14.0,88.2,74.0,2018
Benton County,Arkansas,79.5515977691344,5,7,2.7,2140.0,94333.0,227609.0,258980.0,4548.0,42577.0,5396.0,915.0,64141.0,35.3,0.4549,68778.0,32.4,31715.0,9.5,9.9,88.1,4359.0,2018
Boone County,Arkansas,76.2920818267331,5,9,4.4,569.0,14870.0,35843.0,37288.0,563.0,899.0,679.0,257.0,43262.0,42.4,0.4451,10351.0,16.0,4232.0,18.8,14.9,87.0,156.0,2018
Bradley County,Arkansas,73.9154085027933,5,11,8.0,330.0,4537.0,7158.0,10948.0,298.0,1654.0,353.0,94.0,39510.0,40.2,0.4603,2909.0,15.2,1701.0,21.4,23.2,82.0,3176.0,2018
Calhoun County,Arkansas,74.7753643476493,5,13,6.1,51.0,1936.0,3962.0,5202.0,91.0,206.0,89.0,60.0,44022.0,45.5,0.4266,1364.0,12.1,318.0,24.6,15.6,82.7,1125.0,2018
Carroll County,Arkansas,77.2088767175722,5,15,4.7,372.0,11161.0,25826.0,27887.0,270.0,4182.0,384.0,218.0,43505.0,44.8,0.4572,7337.0,20.4,2681.0,15.7,15.0,85.8,335.0,2018
Chicot County,Arkansas,73.4191359082146,5,17,9.7,435.0,4308.0,4733.0,10826.0,301.0,580.0,487.0,253.0,33051.0,42.7,0.5579,2836.0,14.7,1539.0,24.4,29.2,80.7,5861.0,2018
Clark County,Arkansas,75.9107071055062,5,19,2.7,515.0,8505.0,15939.0,22385.0,596.0,1050.0,753.0,77.0,39752.0,34.1,0.4509,5359.0,27.6,3174.0,19.6,19.8,89.2,5374.0,2018
Clay County,Arkansas,73.0282818142332,5,21,5.0,376.0,6441.0,14443.0,15061.0,329.0,300.0,512.0,194.0,33935.0,43.0,0.4574,4099.0,11.6,1967.0,23.5,22.6,80.7,93.0,2018
