County,State,mean_life_expectancy,State_FIPS,County_FIPS,Black Population,High School Degree or Higher (%),Poverty Rate,Disability Rate,Rent Denominator,Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Year
Etowah County,Alabama,73.053355135026,1,55,15931.0,82.5,18.4,19.8,11478.0,0.4391,40.9,16.5,27098.0,2735.0,40478.0,980.0,3752.0,1800.0,103363.0,84024.0,1533.0,8.5,39522.0,2016
Fayette County,Alabama,73.6581554932797,1,57,2104.0,79.2,17.3,27.5,1514.0,0.4579,43.6,14.1,4754.0,295.0,36205.0,230.0,144.0,297.0,16783.0,14371.0,464.0,8.8,6850.0,2016
Franklin County,Alabama,73.3754326341656,1,59,1427.0,75.7,22.3,19.0,3644.0,0.4415,39.1,12.4,8111.0,804.0,36138.0,158.0,5057.0,415.0,31573.0,28133.0,464.0,9.7,11697.0,2016
Geneva County,Alabama,74.4234456628163,1,61,2570.0,77.7,22.8,22.0,2639.0,0.4508,42.0,11.7,7488.0,844.0,36519.0,227.0,992.0,357.0,26765.0,23235.0,458.0,10.3,10657.0,2016
Greene County,Alabama,73.9562928242995,1,63,6977.0,76.9,37.9,26.2,918.0,0.5086,41.3,10.0,1951.0,355.0,21339.0,173.0,53.0,100.0,8587.0,1472.0,317.0,18.2,3107.0,2016
Hale County,Alabama,73.7872404003688,1,65,8843.0,81.4,25.9,21.3,1481.0,0.4906,39.7,14.0,3813.0,564.0,33351.0,326.0,183.0,313.0,15159.0,6062.0,472.0,12.1,5948.0,2016
Henry County,Alabama,75.4295227396512,1,67,4793.0,80.7,15.3,19.7,1360.0,0.459,43.2,16.1,4530.0,407.0,41045.0,302.0,435.0,220.0,17187.0,12113.0,156.0,7.5,6831.0,2016
Houston County,Alabama,76.107335428337,1,69,27680.0,84.9,18.9,17.7,14009.0,0.4809,39.3,21.0,25986.0,3609.0,41945.0,753.0,3311.0,3024.0,103891.0,72332.0,1731.0,8.1,39363.0,2016
Jackson County,Alabama,73.4224281684067,1,71,1733.0,79.5,18.8,17.7,5418.0,0.4543,42.8,12.6,13871.0,1055.0,38422.0,395.0,1435.0,656.0,52608.0,47949.0,617.0,8.6,19945.0,2016
Jefferson County,Alabama,74.6861744174914,1,73,280248.0,89.0,18.1,15.0,96897.0,0.4995,37.5,31.4,165637.0,24602.0,47220.0,5638.0,24316.0,24727.0,659096.0,345499.0,15532.0,8.2,261773.0,2016
Lamar County,Alabama,74.3621045612881,1,75,1584.0,77.4,23.9,23.2,1614.0,0.471,44.3,13.1,4114.0,410.0,34298.0,112.0,201.0,219.0,14066.0,12315.0,249.0,9.5,6010.0,2016
Lauderdale County,Alabama,76.0319979262066,1,77,9126.0,84.9,18.3,15.6,12042.0,0.464,41.3,21.7,24836.0,2563.0,43657.0,1014.0,2217.0,2474.0,92641.0,80627.0,1877.0,7.6,38361.0,2016
Lawrence County,Alabama,73.765357848758,1,79,3800.0,77.5,18.3,20.5,2695.0,0.433,42.2,10.3,9456.0,703.0,42339.0,274.0,691.0,299.0,33433.0,26108.0,303.0,8.3,13321.0,2016
Lee County,Alabama,77.5109882075979,1,81,35770.0,88.7,23.0,12.2,23869.0,0.5003,30.5,34.4,36318.0,4583.0,45056.0,647.0,5681.0,7355.0,153947.0,107682.0,2356.0,6.1,57901.0,2016
Limestone County,Alabama,77.2763641772968,1,83,11502.0,83.2,14.1,15.1,7709.0,0.4595,39.0,23.3,22861.0,1885.0,51115.0,558.0,5135.0,1596.0,90257.0,73517.0,900.0,7.9,32073.0,2016
Lowndes County,Alabama,71.8951633690497,1,85,7886.0,74.8,28.7,23.3,1120.0,0.5244,40.4,12.3,2778.0,556.0,27914.0,289.0,50.0,179.0,10565.0,2612.0,258.0,12.3,4238.0,2016
Macon County,Alabama,73.090134567349,1,87,16162.0,80.5,25.5,17.3,2693.0,0.4753,38.2,20.0,4611.0,848.0,32390.0,413.0,324.0,640.0,19684.0,3106.0,708.0,15.0,7915.0,2016
Madison County,Alabama,77.5122550397981,1,89,84657.0,90.8,13.3,12.8,44835.0,0.4664,38.1,40.7,90135.0,9101.0,60150.0,2362.0,16362.0,9346.0,349973.0,240861.0,4624.0,7.3,139949.0,2016
Marengo County,Alabama,73.54245764648,1,91,10587.0,83.9,27.8,23.7,2466.0,0.519,42.2,14.8,4802.0,803.0,30713.0,297.0,190.0,442.0,20066.0,9167.0,726.0,14.1,8149.0,2016
Marion County,Alabama,74.0145601745605,1,93,1012.0,79.9,18.6,24.8,2934.0,0.475,43.9,12.5,8932.0,892.0,34074.0,225.0,726.0,438.0,30239.0,28242.0,462.0,7.6,12486.0,2016
Marshall County,Alabama,74.0554552221729,1,95,1981.0,78.6,20.5,16.8,10119.0,0.473,38.8,16.6,24025.0,2510.0,39831.0,557.0,12210.0,1688.0,94534.0,87423.0,1254.0,7.2,34461.0,2016
Mobile County,Alabama,74.8448680449495,1,97,146306.0,85.8,19.5,15.2,52495.0,0.4703,37.2,22.5,102867.0,14739.0,44263.0,3225.0,10957.0,13465.0,414291.0,246794.0,7252.0,8.7,154261.0,2016
Monroe County,Alabama,74.7048197454091,1,99,9405.0,82.0,32.1,13.3,3216.0,0.537,41.5,12.4,5157.0,499.0,28182.0,199.0,136.0,424.0,21975.0,12065.0,845.0,21.8,8316.0,2016
Montgomery County,Alabama,75.9247713547993,1,101,129205.0,85.5,21.3,16.3,37250.0,0.4858,36.0,31.5,57078.0,10310.0,45358.0,1613.0,7530.0,10694.0,227392.0,85928.0,5993.0,8.4,90281.0,2016
Morgan County,Alabama,75.2816176346909,1,103,14557.0,82.5,16.3,17.2,13447.0,0.4531,39.8,21.4,31712.0,3540.0,46883.0,626.0,9339.0,2621.0,119555.0,97880.0,1626.0,8.9,46164.0,2016
Perry County,Alabama,72.2207426684408,1,105,6760.0,76.4,39.8,25.8,853.0,0.4983,37.1,14.5,2080.0,306.0,24912.0,147.0,94.0,119.0,9856.0,2962.0,288.0,11.7,3198.0,2016
Pickens County,Alabama,74.3841278449026,1,107,8387.0,81.1,23.9,24.9,2077.0,0.4958,42.2,11.1,4800.0,541.0,31679.0,307.0,486.0,430.0,20042.0,11254.0,529.0,12.3,7618.0,2016
Pike County,Alabama,74.9075976437267,1,109,12514.0,80.0,25.7,16.4,5210.0,0.5205,31.2,24.0,7480.0,1229.0,33193.0,204.0,730.0,1445.0,33277.0,19408.0,719.0,9.7,12802.0,2016
Randolph County,Alabama,74.1995203731576,1,111,4429.0,77.3,20.6,15.7,2519.0,0.4446,42.8,15.4,5954.0,633.0,37496.0,215.0,661.0,596.0,22615.0,17452.0,325.0,8.0,8691.0,2016
Russell County,Alabama,73.8166201926909,1,113,24789.0,82.6,21.5,17.4,9230.0,0.4554,34.8,17.0,14374.0,2397.0,38400.0,615.0,2974.0,1769.0,58636.0,30392.0,1419.0,9.4,22333.0,2016
Saint Clair County,Alabama,74.931099486946,1,115,8156.0,83.5,13.7,17.1,6023.0,0.4144,40.0,16.1,23359.0,1505.0,54042.0,591.0,1961.0,891.0,86576.0,75738.0,344.0,6.4,31832.0,2016
Shelby County,Alabama,79.9329869213868,1,117,23898.0,91.6,8.5,11.4,15718.0,0.4296,38.1,41.4,54252.0,3818.0,72310.0,1089.0,11861.0,2567.0,205951.0,167257.0,1147.0,4.6,75942.0,2016
Sumter County,Alabama,74.3710053760309,1,119,9523.0,80.0,36.7,20.0,1653.0,0.5215,36.5,18.1,2682.0,467.0,20428.0,311.0,39.0,494.0,13285.0,3280.0,498.0,15.3,4878.0,2016
Talladega County,Alabama,73.4265194965138,1,121,25996.0,79.8,20.8,18.9,8743.0,0.4567,40.8,13.1,21290.0,2819.0,37923.0,800.0,1752.0,1580.0,81057.0,52390.0,1608.0,12.0,31461.0,2016
Tallapoosa County,Alabama,74.8367340685609,1,123,11248.0,79.6,23.4,18.0,4767.0,0.4548,43.0,17.3,11355.0,1389.0,39395.0,427.0,988.0,1068.0,40958.0,28778.0,978.0,9.8,16338.0,2016
Tuscaloosa County,Alabama,76.1222396683925,1,125,62793.0,88.1,18.0,12.0,26047.0,0.4686,32.1,29.4,46468.0,5950.0,48022.0,1397.0,6666.0,7113.0,202471.0,132344.0,3317.0,7.0,70440.0,2016
Walker County,Alabama,70.313647599106,1,127,3791.0,78.6,21.9,25.3,6422.0,0.4599,42.3,10.5,18118.0,1884.0,37025.0,739.0,1483.0,1377.0,65593.0,59932.0,792.0,11.0,25194.0,2016
Washington County,Alabama,74.2666042086814,1,129,4189.0,79.7,21.6,23.9,998.0,0.4354,41.4,9.6,4529.0,399.0,40293.0,129.0,219.0,73.0,16909.0,11082.0,76.0,16.1,6113.0,2016
Wilcox County,Alabama,71.4893330327934,1,131,8000.0,79.9,34.9,18.5,1416.0,0.5301,40.2,11.3,2352.0,281.0,24442.0,176.0,62.0,129.0,11119.0,3050.0,445.0,20.4,3792.0,2016
Winston County,Alabama,74.3483369616355,1,133,98.0,76.0,20.6,25.6,2278.0,0.4415,44.1,13.1,6389.0,563.0,33896.0,354.0,700.0,286.0,24013.0,23191.0,283.0,8.7,9436.0,2016
Anchorage Municipality,Alaska,78.9414080782189,2,20,16938.0,93.3,8.1,10.6,41702.0,0.4201,32.8,34.3,69876.0,7628.0,80862.0,1208.0,26091.0,8453.0,299321.0,192329.0,4722.0,6.0,104969.0,2016
Bethel Census Area,Alaska,72.4470915674431,2,50,135.0,80.9,26.6,10.1,1634.0,0.4289,26.8,11.4,3401.0,472.0,53296.0,1647.0,359.0,151.0,17885.0,1976.0,901.0,19.3,4555.0,2016
Bristol Bay Borough,Alaska,75.6282235384974,2,60,3.0,92.6,7.3,12.8,163.0,0.3808,40.7,19.1,231.0,25.0,88000.0,11.0,46.0,12.0,942.0,525.0,26.0,5.7,360.0,2016
Fairbanks North Star Borough,Alaska,79.6767828494726,2,90,4183.0,94.4,7.8,10.4,14298.0,0.4029,30.7,33.4,22273.0,2000.0,73831.0,334.0,7486.0,2883.0,100150.0,76617.0,1578.0,8.5,35303.0,2016
Haines Borough,Alaska,81.3439033397237,2,100,1.0,95.5,5.3,16.0,367.0,0.4263,44.6,40.4,670.0,22.0,53125.0,44.0,41.0,26.0,2528.0,1970.0,55.0,3.8,1170.0,2016
Juneau City and Borough,Alaska,80.1511541046263,2,110,381.0,95.6,7.4,9.8,4322.0,0.379,37.5,39.4,7973.0,739.0,87436.0,142.0,2048.0,632.0,32524.0,22575.0,669.0,4.9,12138.0,2016
Kenai Peninsula Borough,Alaska,78.4498058809908,2,122,345.0,92.7,11.0,14.1,6099.0,0.4179,40.5,23.7,13701.0,1185.0,64891.0,436.0,2214.0,1021.0,57637.0,48208.0,948.0,8.7,21481.0,2016
Kodiak Island Borough,Alaska,79.6808969333594,2,150,20.0,90.7,9.2,11.8,1800.0,0.3845,32.7,24.8,3305.0,443.0,73068.0,103.0,1211.0,306.0,13918.0,7516.0,155.0,3.6,4585.0,2016
Matanuska-Susitna Borough,Alaska,78.425444432157,2,170,1042.0,92.4,9.7,12.1,7457.0,0.4061,34.8,20.6,21899.0,1553.0,73908.0,376.0,4463.0,1656.0,98679.0,82571.0,629.0,9.9,30839.0,2016
Nome Census Area,Alaska,70.7266373275761,2,180,75.0,84.9,27.0,10.7,1147.0,0.4413,27.7,13.9,2187.0,319.0,51563.0,954.0,212.0,156.0,9879.0,1623.0,631.0,17.4,2879.0,2016
North Slope Borough,Alaska,75.2944708808568,2,185,57.0,88.4,11.2,9.5,1008.0,0.4155,33.8,14.2,1515.0,224.0,72027.0,434.0,371.0,110.0,9681.0,3150.0,431.0,10.0,2018.0,2016
Sitka City and Borough,Alaska,80.0851648320793,2,220,195.0,92.6,9.0,12.3,1544.0,0.3924,39.1,32.4,2043.0,261.0,70160.0,108.0,556.0,271.0,8921.0,5744.0,501.0,4.5,3504.0,2016
Southeast Fairbanks Census Area,Alaska,77.453426696203,2,240,98.0,90.7,13.6,14.6,591.0,0.3899,36.4,19.2,1432.0,123.0,63713.0,90.0,353.0,76.0,6970.0,5444.0,59.0,9.4,2085.0,2016
Valdez-Cordova Census Area,Alaska,78.4894852204936,2,261,12.0,92.8,8.5,11.5,832.0,0.4122,37.6,30.1,1973.0,163.0,82511.0,111.0,444.0,110.0,9522.0,7023.0,86.0,9.0,2937.0,2016
Wade Hampton Census Area,Alaska,68.2374433774828,2,270,,,,,,,,,,,,,,,,,,,,2016
Northwest Arctic Borough,Alaska,72.3150672257676,2,188,43.0,79.1,24.5,10.3,860.0,0.42,26.3,10.8,1492.0,217.0,61341.0,628.0,163.0,46.0,7723.0,890.0,596.0,22.6,1904.0,2016
Aleutians East Borough,Alaska,83.9668552562973,2,13,231.0,84.4,15.5,7.8,345.0,0.3868,42.8,11.9,499.0,66.0,65926.0,74.0,331.0,34.0,3299.0,630.0,90.0,2.6,788.0,2016
Aleutians West Census Area,Alaska,83.9668552562973,2,16,315.0,87.5,7.7,7.8,850.0,0.3659,37.6,15.7,697.0,61.0,86964.0,48.0,790.0,44.0,5714.0,1763.0,145.0,1.1,1186.0,2016
Dillingham Census Area,Alaska,73.902430273866,2,70,12.0,86.8,16.5,12.6,543.0,0.4268,29.7,17.6,967.0,149.0,56055.0,296.0,147.0,40.0,4980.0,893.0,246.0,11.2,1375.0,2016
Lake and Peninsula Borough,Alaska,73.902430273866,2,164,11.0,86.3,18.8,11.1,150.0,0.4409,31.9,12.5,322.0,59.0,43864.0,135.0,29.0,3.0,1411.0,300.0,92.0,11.7,468.0,2016
Denali Borough,Alaska,73.7545978405956,2,68,21.0,96.2,11.3,9.3,174.0,0.3762,37.3,38.5,390.0,4.0,81302.0,3.0,17.0,12.0,2125.0,1817.0,0.0,1.2,707.0,2016
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,2,290,21.0,82.9,23.5,16.0,577.0,0.4587,35.2,12.3,1268.0,176.0,38451.0,627.0,107.0,53.0,5600.0,1250.0,361.0,18.4,1981.0,2016
Hoonah-Angoon Census Area,Alaska,80.6333971268856,2,105,77.0,90.6,12.3,16.0,239.0,0.3908,48.4,24.3,540.0,45.0,54091.0,188.0,105.0,42.0,2107.0,1070.0,60.0,10.2,836.0,2016
Skagway Municipality,Alaska,80.6333971268856,2,230,11.0,96.5,5.3,8.7,195.0,0.3262,44.1,33.7,198.0,8.0,64853.0,5.0,64.0,15.0,1014.0,815.0,42.0,6.7,428.0,2016
Yakutat City and Borough,Alaska,80.6333971268856,2,282,7.0,94.5,7.9,8.2,98.0,0.3499,40.5,19.7,149.0,27.0,66875.0,11.0,18.0,9.0,646.0,290.0,22.0,7.1,247.0,2016
Ketchikan Gateway Borough,Alaska,78.7599035617588,2,130,68.0,92.0,10.8,13.9,2109.0,0.4158,39.2,23.8,3290.0,351.0,64162.0,134.0,634.0,421.0,13715.0,9264.0,450.0,7.6,5209.0,2016
Petersburg Borough,Alaska,78.7599035617588,2,195,75.0,92.4,9.3,13.7,397.0,0.4475,40.8,25.0,775.0,76.0,63940.0,72.0,331.0,116.0,3196.0,2391.0,99.0,5.8,1237.0,2016
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,2,198,13.0,90.5,14.9,17.0,642.0,0.4103,40.5,15.8,1453.0,175.0,51887.0,164.0,221.0,83.0,6374.0,2941.0,100.0,13.6,2267.0,2016
Wrangell City and Borough,Alaska,78.7599035617588,2,275,7.0,88.1,9.9,18.7,329.0,0.3991,48.8,20.3,652.0,70.0,52986.0,30.0,72.0,39.0,2401.0,1621.0,100.0,7.2,1045.0,2016
Apache County,Arizona,72.5861795747435,4,1,361.0,78.2,36.2,14.7,4469.0,0.4847,33.5,11.1,13334.0,1803.0,32460.0,1671.0,4303.0,592.0,72346.0,16307.0,389.0,15.8,19351.0,2016
Cochise County,Arizona,77.8381814457557,4,3,5076.0,86.6,18.9,17.0,15850.0,0.4529,40.3,23.2,32393.0,3531.0,45383.0,976.0,44097.0,3361.0,128177.0,106136.0,1834.0,8.6,49230.0,2016
Coconino County,Arizona,78.7310637809859,4,5,2136.0,88.9,22.2,11.5,19361.0,0.4767,30.7,34.2,29589.0,3228.0,51106.0,860.0,18930.0,5409.0,138064.0,87335.0,1792.0,8.2,47366.0,2016
Gila County,Arizona,74.5194372043746,4,7,332.0,84.3,21.2,22.0,6025.0,0.4328,48.9,17.7,14086.0,1282.0,40593.0,764.0,9864.0,941.0,53179.0,41812.0,729.0,12.1,21408.0,2016
Graham County,Arizona,77.0588505436379,4,9,741.0,85.4,22.5,13.4,3345.0,0.4244,32.4,13.3,7703.0,739.0,47422.0,319.0,12046.0,614.0,37529.0,29600.0,314.0,14.4,10915.0,2016
Greenlee County,Arizona,78.2700423686553,4,11,175.0,87.9,13.4,13.2,1795.0,0.4102,33.3,12.2,2356.0,246.0,51813.0,65.0,4290.0,111.0,9224.0,8333.0,42.0,8.9,3295.0,2016
Maricopa County,Arizona,79.7975632543799,4,13,216064.0,86.9,16.5,10.8,581070.0,0.4682,35.8,31.0,959264.0,106240.0,55676.0,20654.0,1238292.0,129900.0,4088549.0,3214001.0,76006.0,6.8,1465840.0,2016
Mohave County,Arizona,75.0984277272029,4,15,2100.0,83.9,19.3,21.5,27313.0,0.4455,49.7,11.9,51907.0,4532.0,39856.0,1387.0,31987.0,5454.0,203629.0,182395.0,3193.0,11.7,82145.0,2016
Navajo County,Arizona,74.0172421905699,4,17,905.0,81.5,29.9,17.9,10294.0,0.4696,35.8,14.5,24668.0,3200.0,36868.0,1586.0,11957.0,2059.0,108209.0,51614.0,1587.0,18.5,34090.0,2016
Pima County,Arizona,78.7473891386961,4,19,35337.0,87.7,19.1,14.7,152991.0,0.4713,38.1,30.8,243175.0,28098.0,46764.0,7091.0,362265.0,39925.0,1003338.0,775748.0,27825.0,9.2,395390.0,2016
Pinal County,Arizona,80.8872234047816,4,21,18223.0,84.9,16.5,14.2,35954.0,0.4202,38.3,18.5,93354.0,8136.0,51190.0,2535.0,116072.0,7012.0,397604.0,317989.0,3343.0,9.4,130801.0,2016
Santa Cruz County,Arizona,81.6928524316121,4,23,194.0,74.8,21.9,11.7,5250.0,0.4818,36.4,22.5,11660.0,1608.0,38941.0,211.0,38736.0,1324.0,46547.0,39587.0,660.0,9.7,15538.0,2016
Yavapai County,Arizona,78.2013767088911,4,25,1159.0,90.2,14.7,18.5,27930.0,0.4415,51.9,25.5,59635.0,3792.0,46638.0,1217.0,30722.0,6353.0,218586.0,201048.0,2817.0,8.5,93445.0,2016
La Paz County,Arizona,81.1323584179148,4,12,77.0,75.2,21.1,21.7,2296.0,0.4389,55.1,10.4,5811.0,348.0,36321.0,292.0,5316.0,286.0,20304.0,15274.0,453.0,10.6,9181.0,2016
Yuma County,Arizona,81.1323584179148,4,27,4230.0,71.7,20.5,11.6,23098.0,0.4388,34.0,14.4,53253.0,5381.0,41467.0,1710.0,125972.0,5193.0,203292.0,147979.0,2623.0,12.5,70924.0,2016
Arkansas County,Arkansas,73.5078340747071,5,1,4892.0,82.5,19.6,23.2,2718.0,0.4876,41.2,14.4,4879.0,648.0,37330.0,170.0,556.0,309.0,18569.0,13483.0,540.0,9.1,7685.0,2016
Ashley County,Arkansas,74.1018929294341,5,3,5440.0,83.9,19.9,22.4,2075.0,0.4546,41.5,13.6,5932.0,551.0,36352.0,169.0,1080.0,433.0,20989.0,15049.0,360.0,10.0,8338.0,2016
Baxter County,Arkansas,75.9668160004689,5,5,101.0,87.2,13.8,21.5,4453.0,0.4388,51.8,17.7,11862.0,675.0,38115.0,247.0,836.0,645.0,40992.0,39668.0,496.0,6.2,18061.0,2016
Benton County,Arkansas,79.3662392360665,5,7,3634.0,87.2,11.4,9.3,29090.0,0.4477,35.1,30.7,65191.0,5184.0,59016.0,886.0,39405.0,4301.0,245231.0,216485.0,1804.0,3.4,88014.0,2016
Boone County,Arkansas,76.2052538764821,5,9,129.0,85.0,17.5,20.3,4169.0,0.452,42.4,15.0,10264.0,839.0,38664.0,285.0,859.0,659.0,37301.0,36003.0,597.0,8.4,14883.0,2016
Bradley County,Arkansas,73.6321012263139,5,11,3239.0,79.9,28.8,23.2,1614.0,0.4794,40.9,14.2,2932.0,327.0,34665.0,92.0,1573.0,417.0,11096.0,6833.0,424.0,11.0,4550.0,2016
Calhoun County,Arkansas,74.2742607709339,5,13,1140.0,83.2,19.2,29.0,379.0,0.4401,44.9,12.0,1400.0,103.0,35446.0,51.0,198.0,121.0,5210.0,3992.0,52.0,6.8,2079.0,2016
Carroll County,Arkansas,76.8819075049595,5,15,318.0,83.8,17.5,17.2,2608.0,0.4365,44.4,17.7,7116.0,571.0,38145.0,298.0,4021.0,375.0,27690.0,25856.0,389.0,6.0,10874.0,2016
Chicot County,Arkansas,73.3238474544558,5,17,6070.0,80.1,30.9,24.5,1482.0,0.5425,43.7,13.1,2888.0,467.0,29628.0,213.0,578.0,361.0,11189.0,4778.0,434.0,10.8,4384.0,2016
Clark County,Arkansas,75.3882863851655,5,19,5348.0,86.5,24.0,19.1,3239.0,0.4654,33.6,24.7,5494.0,751.0,35595.0,122.0,1013.0,833.0,22684.0,16387.0,440.0,7.9,8783.0,2016
Clay County,Arkansas,72.9811894014708,5,21,76.0,79.1,22.2,23.6,1770.0,0.4528,44.0,11.3,4167.0,478.0,32404.0,125.0,275.0,296.0,15202.0,14632.0,341.0,7.0,6453.0,2016
