County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,474.0
Baldwin County,Alabama,01,003,1749.0
Barbour County,Alabama,01,005,259.0
Bibb County,Alabama,01,007,198.0
Blount County,Alabama,01,009,298.0
Bullock County,Alabama,01,011,74.0
Butler County,Alabama,01,013,215.0
Calhoun County,Alabama,01,015,821.0
Chambers County,Alabama,01,017,373.0
Cherokee County,Alabama,01,019,239.0
Chilton County,Alabama,01,021,422.0
Choctaw County,Alabama,01,023,99.0
Clarke County,Alabama,01,025,312.0
Clay County,Alabama,01,027,44.0
Cleburne County,Alabama,01,029,83.0
Coffee County,Alabama,01,031,422.0
Colbert County,Alabama,01,033,382.0
Conecuh County,Alabama,01,035,47.0
Coosa County,Alabama,01,037,39.0
Covington County,Alabama,01,039,255.0
Crenshaw County,Alabama,01,041,119.0
Cullman County,Alabama,01,043,526.0
Dale County,Alabama,01,045,676.0
Dallas County,Alabama,01,047,554.0
DeKalb County,Alabama,01,049,469.0
Elmore County,Alabama,01,051,841.0
Escambia County,Alabama,01,053,394.0
Etowah County,Alabama,01,055,857.0
Fayette County,Alabama,01,057,133.0
Franklin County,Alabama,01,059,191.0
Geneva County,Alabama,01,061,239.0
Greene County,Alabama,01,063,87.0
Hale County,Alabama,01,065,51.0
Henry County,Alabama,01,067,36.0
Houston County,Alabama,01,069,1076.0
Jackson County,Alabama,01,071,362.0
Jefferson County,Alabama,01,073,7239.0
Lamar County,Alabama,01,075,49.0
Lauderdale County,Alabama,01,077,710.0
Lawrence County,Alabama,01,079,82.0
Lee County,Alabama,01,081,1271.0
Limestone County,Alabama,01,083,628.0
Lowndes County,Alabama,01,085,78.0
Macon County,Alabama,01,087,144.0
Madison County,Alabama,01,089,3410.0
Marengo County,Alabama,01,091,139.0
Marion County,Alabama,01,093,309.0
Marshall County,Alabama,01,095,749.0
Mobile County,Alabama,01,097,4233.0
Monroe County,Alabama,01,099,110.0
Montgomery County,Alabama,01,101,2440.0
Morgan County,Alabama,01,103,905.0
Perry County,Alabama,01,105,107.0
Pickens County,Alabama,01,107,132.0
Pike County,Alabama,01,109,313.0
Randolph County,Alabama,01,111,173.0
Russell County,Alabama,01,113,884.0
Saint Clair County,Alabama,01,115,349.0
Shelby County,Alabama,01,117,1385.0
Sumter County,Alabama,01,119,90.0
Talladega County,Alabama,01,121,695.0
Tallapoosa County,Alabama,01,123,552.0
Tuscaloosa County,Alabama,01,125,1725.0
Walker County,Alabama,01,127,462.0
Washington County,Alabama,01,129,84.0
Wilcox County,Alabama,01,131,71.0
Winston County,Alabama,01,133,124.0
Anchorage Municipality,Alaska,02,020,4238.0
Bethel Census Area,Alaska,02,050,116.0
Bristol Bay Borough,Alaska,02,060,7.0
Fairbanks North Star Borough,Alaska,02,090,1323.0
Haines Borough,Alaska,02,100,26.0
Juneau City and Borough,Alaska,02,110,490.0
Kenai Peninsula Borough,Alaska,02,122,431.0
Kodiak Island Borough,Alaska,02,150,79.0
Matanuska-Susitna Borough,Alaska,02,170,528.0
Nome Census Area,Alaska,02,180,60.0
North Slope Borough,Alaska,02,185,36.0
Sitka City and Borough,Alaska,02,220,78.0
Southeast Fairbanks Census Area,Alaska,02,240,25.0
Valdez-Cordova Census Area,Alaska,02,261,17.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,36.0
Aleutians East Borough,Alaska,02,013,23.0
Aleutians West Census Area,Alaska,02,016,28.0
Dillingham Census Area,Alaska,02,070,34.0
Lake and Peninsula Borough,Alaska,02,164,6.0
Denali Borough,Alaska,02,068,1.0
Yukon-Koyukuk Census Area,Alaska,02,290,20.0
Hoonah-Angoon Census Area,Alaska,02,105,15.0
Skagway Municipality,Alaska,02,230,17.0
Yakutat City and Borough,Alaska,02,282,8.0
Ketchikan Gateway Borough,Alaska,02,130,158.0
Petersburg Borough,Alaska,02,195,16.0
Prince of Wales-Hyder Census Area,Alaska,02,198,64.0
Wrangell City and Borough,Alaska,02,275,39.0
Apache County,Arizona,04,001,244.0
Cochise County,Arizona,04,003,1323.0
Coconino County,Arizona,04,005,1620.0
Gila County,Arizona,04,007,292.0
Graham County,Arizona,04,009,200.0
Greenlee County,Arizona,04,011,59.0
Maricopa County,Arizona,04,013,49131.0
Mohave County,Arizona,04,015,2224.0
Navajo County,Arizona,04,017,903.0
Pima County,Arizona,04,019,11833.0
Pinal County,Arizona,04,021,2454.0
Santa Cruz County,Arizona,04,023,330.0
Yavapai County,Arizona,04,025,1950.0
La Paz County,Arizona,04,012,57.0
Yuma County,Arizona,04,027,1424.0
Arkansas County,Arkansas,05,001,209.0
Ashley County,Arkansas,05,003,89.0
Baxter County,Arkansas,05,005,361.0
Benton County,Arkansas,05,007,1998.0
Boone County,Arkansas,05,009,288.0
Bradley County,Arkansas,05,011,91.0
Calhoun County,Arkansas,05,013,31.0
Carroll County,Arkansas,05,015,277.0
Chicot County,Arkansas,05,017,79.0
Clark County,Arkansas,05,019,323.0
Clay County,Arkansas,05,021,159.0
Cleburne County,Arkansas,05,023,267.0
Cleveland County,Arkansas,05,025,38.0
Columbia County,Arkansas,05,027,144.0
Conway County,Arkansas,05,029,132.0
Craighead County,Arkansas,05,031,1244.0
Crawford County,Arkansas,05,033,403.0
Crittenden County,Arkansas,05,035,703.0
Cross County,Arkansas,05,037,212.0
Dallas County,Arkansas,05,039,118.0
Desha County,Arkansas,05,041,233.0
Drew County,Arkansas,05,043,171.0
Faulkner County,Arkansas,05,045,1345.0
Franklin County,Arkansas,05,047,49.0
Fulton County,Arkansas,05,049,105.0
Garland County,Arkansas,05,051,1297.0
Grant County,Arkansas,05,053,68.0
Greene County,Arkansas,05,055,466.0
Hempstead County,Arkansas,05,057,337.0
Hot Spring County,Arkansas,05,059,121.0
Howard County,Arkansas,05,061,185.0
Independence County,Arkansas,05,063,392.0
Izard County,Arkansas,05,065,76.0
Jackson County,Arkansas,05,067,119.0
Jefferson County,Arkansas,05,069,545.0
Johnson County,Arkansas,05,071,242.0
Lafayette County,Arkansas,05,073,41.0
Lawrence County,Arkansas,05,075,198.0
Lee County,Arkansas,05,077,103.0
Lincoln County,Arkansas,05,079,76.0
Little River County,Arkansas,05,081,191.0
Logan County,Arkansas,05,083,125.0
Lonoke County,Arkansas,05,085,670.0
Madison County,Arkansas,05,087,73.0
Marion County,Arkansas,05,089,157.0
Miller County,Arkansas,05,091,410.0
Mississippi County,Arkansas,05,093,542.0
Monroe County,Arkansas,05,095,103.0
Montgomery County,Arkansas,05,097,47.0
Nevada County,Arkansas,05,099,239.0
Newton County,Arkansas,05,101,47.0
Ouachita County,Arkansas,05,103,133.0
Perry County,Arkansas,05,105,33.0
Phillips County,Arkansas,05,107,189.0
Pike County,Arkansas,05,109,69.0
Poinsett County,Arkansas,05,111,397.0
Polk County,Arkansas,05,113,143.0
Pope County,Arkansas,05,115,741.0
Prairie County,Arkansas,05,117,64.0
Pulaski County,Arkansas,05,119,4923.0
Randolph County,Arkansas,05,121,192.0
Saint Francis County,Arkansas,05,123,410.0
Saline County,Arkansas,05,125,804.0
Scott County,Arkansas,05,127,76.0
Searcy County,Arkansas,05,129,44.0
Sebastian County,Arkansas,05,131,1225.0
Sevier County,Arkansas,05,133,98.0
Sharp County,Arkansas,05,135,208.0
Stone County,Arkansas,05,137,108.0
Union County,Arkansas,05,139,214.0
Van Buren County,Arkansas,05,141,142.0
Washington County,Arkansas,05,143,3452.0
White County,Arkansas,05,145,773.0
Woodruff County,Arkansas,05,147,95.0
Yell County,Arkansas,05,149,183.0
Alameda County,California,06,001,24977.0
Alpine County,California,06,003,0.0
Amador County,California,06,005,237.0
Butte County,California,06,007,3101.0
Calaveras County,California,06,009,403.0
Colusa County,California,06,011,160.0
Contra Costa County,California,06,013,12186.0
Del Norte County,California,06,015,152.0
El Dorado County,California,06,017,1199.0
Fresno County,California,06,019,11812.0
Glenn County,California,06,021,306.0
Humboldt County,California,06,023,2114.0
Imperial County,California,06,025,1712.0
Inyo County,California,06,027,331.0
Kern County,California,06,029,8719.0
Kings County,California,06,031,1906.0
Lake County,California,06,033,698.0
Lassen County,California,06,035,319.0
Los Angeles County,California,06,037,159881.0
Madera County,California,06,039,1624.0
Marin County,California,06,041,3225.0
Mariposa County,California,06,043,125.0
Mendocino County,California,06,045,985.0
Merced County,California,06,047,3123.0
Modoc County,California,06,049,65.0
Mono County,California,06,051,175.0
Monterey County,California,06,053,6651.0
Napa County,California,06,055,1911.0
Nevada County,California,06,057,921.0
Orange County,California,06,059,42209.0
Placer County,California,06,061,3690.0
Plumas County,California,06,063,105.0
Riverside County,California,06,065,23472.0
Sacramento County,California,06,067,19564.0
San Benito County,California,06,069,610.0
San Bernardino County,California,06,071,22158.0
San Diego County,California,06,073,49484.0
San Francisco County,California,06,075,17185.0
San Joaquin County,California,06,077,8313.0
San Luis Obispo County,California,06,079,3529.0
San Mateo County,California,06,081,8587.0
Santa Barbara County,California,06,083,6886.0
Santa Clara County,California,06,085,23540.0
Santa Cruz County,California,06,087,3523.0
Shasta County,California,06,089,2452.0
Sierra County,California,06,091,57.0
Siskiyou County,California,06,093,506.0
Solano County,California,06,095,5592.0
Sonoma County,California,06,097,7536.0
Stanislaus County,California,06,099,6472.0
Sutter County,California,06,101,1579.0
Tehama County,California,06,103,916.0
Trinity County,California,06,105,194.0
Tulare County,California,06,107,4710.0
Tuolumne County,California,06,109,725.0
Ventura County,California,06,111,9628.0
Yolo County,California,06,113,3053.0
Yuba County,California,06,115,1225.0
Alamosa County,Colorado,08,003,314.0
Archuleta County,Colorado,08,007,88.0
Baca County,Colorado,08,009,30.0
Bent County,Colorado,08,011,41.0
Chaffee County,Colorado,08,015,179.0
Cheyenne County,Colorado,08,017,16.0
Clear Creek County,Colorado,08,019,32.0
Conejos County,Colorado,08,021,76.0
Costilla County,Colorado,08,023,28.0
Crowley County,Colorado,08,025,28.0
Custer County,Colorado,08,027,30.0
Delta County,Colorado,08,029,264.0
Dolores County,Colorado,08,033,12.0
