County,State,mean_life_expectancy,State_FIPS,County_FIPS,asian_population
Autauga County,Alabama,75.8778642323899,01,001,444.0
Baldwin County,Alabama,77.9130697620398,01,003,1338.0
Barbour County,Alabama,74.9198636240141,01,005,129.0
Bibb County,Alabama,73.6673305057905,01,007,14.0
Blount County,Alabama,75.0352199305904,01,009,92.0
Bullock County,Alabama,74.0743945438457,01,011,84.0
Butler County,Alabama,73.7224421194177,01,013,203.0
Calhoun County,Alabama,73.2983281711204,01,015,1079.0
Chambers County,Alabama,74.35653924479,01,017,312.0
Cherokee County,Alabama,74.35852627411,01,019,109.0
Chilton County,Alabama,74.0413531729133,01,021,191.0
Choctaw County,Alabama,74.2486999564165,01,023,6.0
Clarke County,Alabama,74.5765529742926,01,025,114.0
Clay County,Alabama,74.369383765865,01,027,0.0
Cleburne County,Alabama,73.9771106499581,01,029,86.0
Coffee County,Alabama,76.3011829926155,01,031,623.0
Colbert County,Alabama,74.3929774045908,01,033,255.0
Conecuh County,Alabama,73.4218703928667,01,035,14.0
Coosa County,Alabama,75.1413818724986,01,037,0.0
Covington County,Alabama,74.1371294582595,01,039,176.0
Crenshaw County,Alabama,74.0180136364953,01,041,232.0
Cullman County,Alabama,74.3769894915807,01,043,497.0
Dale County,Alabama,75.5523047608571,01,045,508.0
Dallas County,Alabama,71.9735127187965,01,047,163.0
DeKalb County,Alabama,74.4934976817947,01,049,214.0
Elmore County,Alabama,75.7757161449512,01,051,457.0
Escambia County,Alabama,73.1630074988594,01,053,40.0
Etowah County,Alabama,73.053355135026,01,055,699.0
Fayette County,Alabama,73.6581554932797,01,057,45.0
Franklin County,Alabama,73.3754326341656,01,059,102.0
Geneva County,Alabama,74.4234456628163,01,061,103.0
Greene County,Alabama,73.9562928242995,01,063,14.0
Hale County,Alabama,73.7872404003688,01,065,16.0
Henry County,Alabama,75.4295227396512,01,067,0.0
Houston County,Alabama,76.107335428337,01,069,866.0
Jackson County,Alabama,73.4224281684067,01,071,196.0
Jefferson County,Alabama,74.6861744174914,01,073,9932.0
Lamar County,Alabama,74.3621045612881,01,075,0.0
Lauderdale County,Alabama,76.0319979262066,01,077,629.0
Lawrence County,Alabama,73.765357848758,01,079,31.0
Lee County,Alabama,77.5109882075979,01,081,5576.0
Limestone County,Alabama,77.2763641772968,01,083,1125.0
Lowndes County,Alabama,71.8951633690497,01,085,0.0
Macon County,Alabama,73.090134567349,01,087,44.0
Madison County,Alabama,77.5122550397981,01,089,8574.0
Marengo County,Alabama,73.54245764648,01,091,43.0
Marion County,Alabama,74.0145601745605,01,093,98.0
Marshall County,Alabama,74.0554552221729,01,095,556.0
Mobile County,Alabama,74.8448680449495,01,097,8140.0
Monroe County,Alabama,74.7048197454091,01,099,50.0
Montgomery County,Alabama,75.9247713547993,01,101,5109.0
Morgan County,Alabama,75.2816176346909,01,103,802.0
Perry County,Alabama,72.2207426684408,01,105,18.0
Pickens County,Alabama,74.3841278449026,01,107,12.0
Pike County,Alabama,74.9075976437267,01,109,704.0
Randolph County,Alabama,74.1995203731576,01,111,51.0
Russell County,Alabama,73.8166201926909,01,113,435.0
Saint Clair County,Alabama,74.931099486946,01,115,741.0
Shelby County,Alabama,79.9329869213868,01,117,4088.0
Sumter County,Alabama,74.3710053760309,01,119,375.0
Talladega County,Alabama,73.4265194965138,01,121,442.0
Tallapoosa County,Alabama,74.8367340685609,01,123,208.0
Tuscaloosa County,Alabama,76.1222396683925,01,125,3044.0
Walker County,Alabama,70.313647599106,01,127,302.0
Washington County,Alabama,74.2666042086814,01,129,110.0
Wilcox County,Alabama,71.4893330327934,01,131,0.0
Winston County,Alabama,74.3483369616355,01,133,84.0
Anchorage Municipality,Alaska,78.9414080782189,02,020,26756.0
Bethel Census Area,Alaska,72.4470915674431,02,050,161.0
Bristol Bay Borough,Alaska,75.6282235384974,02,060,11.0
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,3037.0
Haines Borough,Alaska,81.3439033397237,02,100,85.0
Juneau City and Borough,Alaska,80.1511541046263,02,110,2332.0
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,761.0
Kodiak Island Borough,Alaska,79.6808969333594,02,150,3048.0
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,1316.0
Nome Census Area,Alaska,70.7266373275761,02,180,127.0
North Slope Borough,Alaska,75.2944708808568,02,185,584.0
Sitka City and Borough,Alaska,80.0851648320793,02,220,616.0
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,124.0
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,353.0
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,61.0
Aleutians East Borough,Alaska,83.9668552562973,02,013,974.0
Aleutians West Census Area,Alaska,83.9668552562973,02,016,2086.0
Dillingham Census Area,Alaska,73.902430273866,02,070,108.0
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,40.0
Denali Borough,Alaska,73.7545978405956,02,068,72.0
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,41.0
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,48.0
Skagway Municipality,Alaska,80.6333971268856,02,230,76.0
Yakutat City and Borough,Alaska,80.6333971268856,02,282,38.0
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,1037.0
Petersburg Borough,Alaska,78.7599035617588,02,195,143.0
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,69.0
Wrangell City and Borough,Alaska,78.7599035617588,02,275,83.0
Apache County,Arizona,72.5861795747435,04,001,259.0
Cochise County,Arizona,77.8381814457557,04,003,2250.0
Coconino County,Arizona,78.7310637809859,04,005,2430.0
Gila County,Arizona,74.5194372043746,04,007,418.0
Graham County,Arizona,77.0588505436379,04,009,265.0
Greenlee County,Arizona,78.2700423686553,04,011,51.0
Maricopa County,Arizona,79.7975632543799,04,013,157074.0
Mohave County,Arizona,75.0984277272029,04,015,2551.0
Navajo County,Arizona,74.0172421905699,04,017,659.0
Pima County,Arizona,78.7473891386961,04,019,27297.0
Pinal County,Arizona,80.8872234047816,04,021,6974.0
Santa Cruz County,Arizona,81.6928524316121,04,023,357.0
Yavapai County,Arizona,78.2013767088911,04,025,1874.0
La Paz County,Arizona,81.1323584179148,04,012,148.0
Yuma County,Arizona,81.1323584179148,04,027,2622.0
Arkansas County,Arkansas,73.5078340747071,05,001,1.0
Ashley County,Arkansas,74.1018929294341,05,003,0.0
Baxter County,Arkansas,75.9668160004689,05,005,227.0
Benton County,Arkansas,79.3662392360665,05,007,8713.0
Boone County,Arkansas,76.2052538764821,05,009,191.0
Bradley County,Arkansas,73.6321012263139,05,011,0.0
Calhoun County,Arkansas,74.2742607709339,05,013,11.0
Carroll County,Arkansas,76.8819075049595,05,015,245.0
Chicot County,Arkansas,73.3238474544558,05,017,46.0
Clark County,Arkansas,75.3882863851655,05,019,174.0
Clay County,Arkansas,72.9811894014708,05,021,26.0
Cleburne County,Arkansas,75.8127585008705,05,023,147.0
Cleveland County,Arkansas,74.8939886154834,05,025,9.0
Columbia County,Arkansas,74.0855795655613,05,027,256.0
Conway County,Arkansas,74.754414371743,05,029,16.0
Craighead County,Arkansas,76.0817250967884,05,031,1222.0
Crawford County,Arkansas,75.6766406592927,05,033,1086.0
Crittenden County,Arkansas,72.5637861678559,05,035,324.0
Cross County,Arkansas,73.2244878594942,05,037,52.0
Dallas County,Arkansas,73.4422555480321,05,039,138.0
Desha County,Arkansas,72.6462159118589,05,041,14.0
Drew County,Arkansas,75.1951468080834,05,043,23.0
Faulkner County,Arkansas,76.4874032503551,05,045,1498.0
Franklin County,Arkansas,74.4845723172756,05,047,64.0
Fulton County,Arkansas,74.9094662928843,05,049,18.0
Garland County,Arkansas,74.6472657226993,05,051,691.0
Grant County,Arkansas,75.4770090781045,05,053,33.0
Greene County,Arkansas,74.1589164965496,05,055,59.0
Hempstead County,Arkansas,75.1979646501176,05,057,1.0
Hot Spring County,Arkansas,74.4999020548917,05,059,85.0
Howard County,Arkansas,73.932743414837,05,061,21.0
Independence County,Arkansas,75.597642844104,05,063,318.0
Izard County,Arkansas,75.3232023880092,05,065,21.0
Jackson County,Arkansas,73.2755006173174,05,067,25.0
Jefferson County,Arkansas,73.3573657986794,05,069,579.0
Johnson County,Arkansas,75.708328154088,05,071,363.0
Lafayette County,Arkansas,74.1087285476435,05,073,31.0
Lawrence County,Arkansas,73.8666511091755,05,075,14.0
Lee County,Arkansas,73.2898101789483,05,077,6.0
Lincoln County,Arkansas,74.8737212942846,05,079,0.0
Little River County,Arkansas,74.0887659563583,05,081,0.0
Logan County,Arkansas,74.3392486202055,05,083,479.0
Lonoke County,Arkansas,74.8597538055158,05,085,537.0
Madison County,Arkansas,75.3760684364268,05,087,66.0
Marion County,Arkansas,75.2302699143187,05,089,54.0
Miller County,Arkansas,74.464750313759,05,091,57.0
Mississippi County,Arkansas,71.5808568937905,05,093,91.0
Monroe County,Arkansas,72.5512464018065,05,095,31.0
Montgomery County,Arkansas,75.7333292628795,05,097,82.0
Nevada County,Arkansas,74.1305169224004,05,099,114.0
Newton County,Arkansas,76.8481553354379,05,101,39.0
Ouachita County,Arkansas,72.9330993978912,05,103,16.0
Perry County,Arkansas,74.9408602678681,05,105,11.0
Phillips County,Arkansas,71.0370074249924,05,107,23.0
Pike County,Arkansas,74.8391656898764,05,109,77.0
Poinsett County,Arkansas,71.2771472412706,05,111,28.0
Polk County,Arkansas,74.8970397900164,05,113,78.0
Pope County,Arkansas,76.4300136434993,05,115,638.0
Prairie County,Arkansas,75.5071739186967,05,117,2.0
Pulaski County,Arkansas,75.8807017523375,05,119,8419.0
Randolph County,Arkansas,74.4503944893886,05,121,8.0
Saint Francis County,Arkansas,74.2814678477732,05,123,84.0
Saline County,Arkansas,77.1945795984751,05,125,1184.0
Scott County,Arkansas,74.7762367047787,05,127,328.0
Searcy County,Arkansas,75.209341850468,05,129,94.0
Sebastian County,Arkansas,75.7412578528108,05,131,5556.0
Sevier County,Arkansas,75.0335734317659,05,133,82.0
Sharp County,Arkansas,73.8718009909941,05,135,97.0
Stone County,Arkansas,75.9810049570156,05,137,26.0
Union County,Arkansas,73.1547114216788,05,139,200.0
Van Buren County,Arkansas,76.1235890134709,05,141,40.0
Washington County,Arkansas,77.842915624892,05,143,5268.0
White County,Arkansas,75.2602189004461,05,145,573.0
Woodruff County,Arkansas,72.6191345768075,05,147,101.0
Yell County,Arkansas,74.3789291508417,05,149,308.0
Alameda County,California,82.1501481156434,06,001,452582.0
Alpine County,California,78.7141694777777,06,003,9.0
Amador County,California,79.6289913494107,06,005,547.0
Butte County,California,77.5105736588065,06,007,9651.0
Calaveras County,California,79.3962210334918,06,009,448.0
Colusa County,California,79.8683726910953,06,011,346.0
Contra Costa County,California,81.820905224195,06,013,171853.0
Del Norte County,California,75.3686655248315,06,015,672.0
El Dorado County,California,81.4317611841157,06,017,7596.0
Fresno County,California,78.4598027402172,06,019,95558.0
Glenn County,California,77.4678250112228,06,021,685.0
Humboldt County,California,76.7743480124378,06,023,3739.0
Imperial County,California,80.7733344280559,06,025,2558.0
Inyo County,California,79.2496428941011,06,027,223.0
Kern County,California,77.1131579275637,06,029,40088.0
Kings County,California,79.3576346699736,06,031,5700.0
Lake County,California,74.8583185356204,06,033,872.0
Lassen County,California,78.1832914319916,06,035,535.0
Los Angeles County,California,81.5672419912865,06,037,1431361.0
Madera County,California,78.9932943575827,06,039,3055.0
Marin County,California,84.5696953393942,06,041,14693.0
Mariposa County,California,80.0692648230514,06,043,224.0
Mendocino County,California,78.5297725160372,06,045,1539.0
Merced County,California,78.5160140959399,06,047,19843.0
Modoc County,California,77.3676287645249,06,049,130.0
Mono County,California,84.9099794657506,06,051,167.0
Monterey County,California,81.9215612488998,06,053,25195.0
Napa County,California,81.1717905624185,06,055,10931.0
Nevada County,California,81.0737790934898,06,057,1281.0
Orange County,California,82.5515884259936,06,059,602013.0
Placer County,California,81.6415657950364,06,061,24862.0
Plumas County,California,78.4309252153192,06,063,171.0
Riverside County,California,80.3460832691874,06,065,143067.0
Sacramento County,California,79.0908345914297,06,067,224235.0
San Benito County,California,81.7030195794554,06,069,1517.0
San Bernardino County,California,78.3619715863638,06,071,142332.0
San Diego County,California,81.6053443891293,06,073,376393.0
San Francisco County,California,82.9715287689956,06,075,287847.0
San Joaquin County,California,78.1059218431169,06,077,106511.0
San Luis Obispo County,California,81.2878144166655,06,079,10375.0
San Mateo County,California,84.0123323762231,06,081,203926.0
Santa Barbara County,California,81.6454722199999,06,083,23342.0
Santa Clara County,California,83.9160943086229,06,085,648047.0
Santa Cruz County,California,81.9961564120804,06,087,12169.0
Shasta County,California,75.8154731112947,06,089,5273.0
Sierra County,California,78.6673415441736,06,091,1.0
Siskiyou County,California,76.2815852028519,06,093,695.0
Solano County,California,79.6679789808252,06,095,65444.0
Sonoma County,California,81.4949042107213,06,097,19421.0
Stanislaus County,California,77.7558204850156,06,099,28764.0
Sutter County,California,78.425992865714,06,101,14358.0
Tehama County,California,77.156038711692,06,103,883.0
Trinity County,California,76.476377604325,06,105,205.0
Tulare County,California,78.0600422756,06,107,16004.0
Tuolumne County,California,78.5207303713631,06,109,706.0
Ventura County,California,81.8451328376878,06,111,59749.0
Yolo County,California,80.902034743803,06,113,29092.0
Yuba County,California,75.7450257040619,06,115,5125.0
Alamosa County,Colorado,75.771887610673,08,003,173.0
Archuleta County,Colorado,81.6414378243916,08,007,89.0
Baca County,Colorado,76.9965655550903,08,009,0.0
Bent County,Colorado,75.7641542661414,08,011,34.0
Chaffee County,Colorado,81.2002092122488,08,015,67.0
Cheyenne County,Colorado,78.8841561398334,08,017,38.0
Clear Creek County,Colorado,82.2134532225974,08,019,39.0
Conejos County,Colorado,76.3307341255663,08,021,13.0
Costilla County,Colorado,76.7769601558707,08,023,38.0
Crowley County,Colorado,77.1719431023493,08,025,39.0
Custer County,Colorado,81.0944165093847,08,027,0.0
Delta County,Colorado,77.9358229078402,08,029,271.0
Dolores County,Colorado,79.3628695960052,08,033,0.0
Douglas County,Colorado,83.4601212130212,08,035,13037.0
Eagle County,Colorado,88.2928566275646,08,037,441.0
Elbert County,Colorado,81.4849215372713,08,039,187.0
El Paso County,Colorado,78.9786695180627,08,041,17847.0
Fremont County,Colorado,77.137998463904,08,043,379.0
Garfield County,Colorado,80.5212296945579,08,045,428.0
Gilpin County,Colorado,81.1262138403668,08,047,11.0
Grand County,Colorado,83.5860252464151,08,049,248.0
Gunnison County,Colorado,82.632977713167,08,051,105.0
Huerfano County,Colorado,75.6325634414296,08,055,10.0
Jackson County,Colorado,79.6337211914158,08,057,0.0
Kiowa County,Colorado,77.5284594449532,08,061,2.0
Kit Carson County,Colorado,79.2319755865927,08,063,18.0
Lake County,Colorado,81.4714622277775,08,065,38.0
La Plata County,Colorado,81.6596562998791,08,067,300.0
Larimer County,Colorado,81.5083109395379,08,069,6542.0
Las Animas County,Colorado,76.3309843460437,08,071,110.0
Lincoln County,Colorado,78.6842812775749,08,073,12.0
Logan County,Colorado,79.2200596051251,08,075,211.0
Mesa County,Colorado,78.3937721412894,08,077,934.0
Moffat County,Colorado,78.1221748148496,08,081,104.0
Montezuma County,Colorado,77.1367714339189,08,083,53.0
Montrose County,Colorado,79.2461641337684,08,085,323.0
Morgan County,Colorado,78.13439908772,08,087,143.0
Otero County,Colorado,75.1401575306602,08,089,184.0
Ouray County,Colorado,84.0203909090915,08,091,30.0
Park County,Colorado,82.7078121177392,08,093,187.0
Phillips County,Colorado,80.0902373229648,08,095,30.0
Pitkin County,Colorado,90.470655000783,08,097,217.0
Prowers County,Colorado,76.7338690354723,08,099,99.0
Pueblo County,Colorado,76.4534159713537,08,101,1269.0
Rio Blanco County,Colorado,78.8510030730045,08,103,6.0
Rio Grande County,Colorado,76.7006333576077,08,105,43.0
Routt County,Colorado,83.0859439169025,08,107,263.0
Saguache County,Colorado,79.549357835051,08,109,82.0
San Miguel County,Colorado,85.8934808652553,08,113,85.0
Sedgwick County,Colorado,77.6908466567926,08,115,36.0
Summit County,Colorado,90.7599342440293,08,117,229.0
Teller County,Colorado,80.4060865096973,08,119,212.0
Washington County,Colorado,79.5359214085342,08,121,17.0
Yuma County,Colorado,78.8699502657181,08,125,4.0
Adams County,Colorado,80.2432338592034,08,001,17978.0
Arapahoe County,Colorado,80.2432338592034,08,005,34534.0
Boulder County,Colorado,80.2432338592034,08,013,14060.0
Broomfield County,Colorado,80.2432338592034,08,014,3917.0
Denver County,Colorado,80.2432338592034,08,031,23191.0
Jefferson County,Colorado,80.2432338592034,08,059,14915.0
Weld County,Colorado,80.2432338592034,08,123,3651.0
Fairfield County,Connecticut,82.5933818002003,09,001,47742.0
Hartford County,Connecticut,80.2119442590321,09,003,43798.0
Litchfield County,Connecticut,80.4021916136219,09,005,3511.0
Middlesex County,Connecticut,81.0821212220154,09,007,4828.0
New Haven County,Connecticut,80.061944421033,09,009,33744.0
