County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,76.0246312323304,01,001,27824.0
Baldwin County,Alabama,77.8952429034613,01,003,29364.0
Barbour County,Alabama,74.6572190352659,01,005,17561.0
Bibb County,Alabama,73.6342805287431,01,007,20911.0
Blount County,Alabama,74.8974607079908,01,009,22021.0
Bullock County,Alabama,73.7079253175275,01,011,20856.0
Butler County,Alabama,73.7151229204611,01,013,19004.0
Calhoun County,Alabama,73.3078477077272,01,015,23638.0
Chambers County,Alabama,74.2425871374709,01,017,22002.0
Cherokee County,Alabama,74.3480110237785,01,019,23010.0
Chilton County,Alabama,74.1052560370855,01,021,23368.0
Choctaw County,Alabama,74.2757388369681,01,023,20994.0
Clarke County,Alabama,74.6238045774491,01,025,20765.0
Clay County,Alabama,74.3591398533707,01,027,21330.0
Cleburne County,Alabama,74.0840978801744,01,029,20873.0
Coffee County,Alabama,76.2048720238035,01,031,26216.0
Colbert County,Alabama,74.2982544702841,01,033,23675.0
Conecuh County,Alabama,73.3561349626999,01,035,16337.0
Coosa County,Alabama,75.3441712856155,01,037,20342.0
Covington County,Alabama,74.078109873637,01,039,22431.0
Crenshaw County,Alabama,73.9820921275375,01,041,21580.0
Cullman County,Alabama,74.3545019878194,01,043,21857.0
Dale County,Alabama,75.4733509430588,01,045,23194.0
Dallas County,Alabama,72.03447738714,01,047,18248.0
DeKalb County,Alabama,74.524309920443,01,049,20020.0
Elmore County,Alabama,75.8544515314726,01,051,26251.0
Escambia County,Alabama,73.1026233420298,01,053,18164.0
Etowah County,Alabama,73.023382014908,01,055,22278.0
Fayette County,Alabama,73.6468181376117,01,057,21191.0
Franklin County,Alabama,73.4916922949218,01,059,19314.0
Geneva County,Alabama,74.2527953119664,01,061,21084.0
Greene County,Alabama,73.8570082667757,01,063,14197.0
Hale County,Alabama,73.6467181824322,01,065,20269.0
Henry County,Alabama,75.4887946207952,01,067,23983.0
Houston County,Alabama,76.032673861126,01,069,24781.0
Jackson County,Alabama,73.3946413725398,01,071,20946.0
Jefferson County,Alabama,74.5743774281111,01,073,29456.0
Lamar County,Alabama,74.3774503003945,01,075,21152.0
Lauderdale County,Alabama,76.0388971623086,01,077,25803.0
Lawrence County,Alabama,73.6788440834402,01,079,22419.0
Lee County,Alabama,77.5526205196881,01,081,26170.0
Limestone County,Alabama,77.3036396921757,01,083,26685.0
Lowndes County,Alabama,71.8712681595456,01,085,18976.0
Macon County,Alabama,72.9264822618015,01,087,19564.0
Madison County,Alabama,77.4457800370199,01,089,34232.0
