County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate
Autauga County,Alabama,76.5932651350438,01,001,19.0
Baldwin County,Alabama,78.2935223384932,01,003,14.2
Barbour County,Alabama,74.8145320945807,01,005,21.4
Bibb County,Alabama,73.9200538034534,01,007,17.2
Blount County,Alabama,75.0291855488467,01,009,14.1
Bullock County,Alabama,73.9493288862537,01,011,12.0
Butler County,Alabama,74.1389189035864,01,013,16.5
Calhoun County,Alabama,73.5629066906819,01,015,21.2
Chambers County,Alabama,74.7026464205289,01,017,18.1
Cherokee County,Alabama,74.6131502945787,01,019,17.8
Chilton County,Alabama,74.5859698133504,01,021,19.4
Choctaw County,Alabama,74.6284355949225,01,023,26.7
Clarke County,Alabama,75.0999434901388,01,025,18.2
Clay County,Alabama,74.701948975265,01,027,17.4
Cleburne County,Alabama,74.7558638422596,01,029,21.9
Coffee County,Alabama,76.3997264684506,01,031,17.8
Colbert County,Alabama,74.5331789579054,01,033,18.5
Conecuh County,Alabama,73.8841768203255,01,035,22.4
Coosa County,Alabama,75.7384814528474,01,037,22.9
Covington County,Alabama,74.2115895055701,01,039,21.1
Crenshaw County,Alabama,74.3548048141269,01,041,20.5
Cullman County,Alabama,74.5626540622359,01,043,17.7
Dale County,Alabama,75.5818368193645,01,045,21.2
Dallas County,Alabama,72.4762524056376,01,047,17.6
DeKalb County,Alabama,74.9432497939268,01,049,13.5
Elmore County,Alabama,76.2158567842262,01,051,17.1
Escambia County,Alabama,73.3131687800953,01,053,18.0
Etowah County,Alabama,73.3604926263926,01,055,18.4
Fayette County,Alabama,74.0421749009191,01,057,26.1
Franklin County,Alabama,74.0661703364282,01,059,15.0
Geneva County,Alabama,74.3981355513722,01,061,23.6
Greene County,Alabama,74.0544180583619,01,063,24.7
Hale County,Alabama,74.195380885004,01,065,21.2
Henry County,Alabama,75.6447400375483,01,067,19.1
Houston County,Alabama,76.2430325268057,01,069,17.2
Jackson County,Alabama,73.6828553298684,01,071,19.3
Jefferson County,Alabama,74.8621541773249,01,073,15.4
Lamar County,Alabama,74.8683149184064,01,075,22.9
Lauderdale County,Alabama,76.2969405417653,01,077,14.7
Lawrence County,Alabama,74.0450227399105,01,079,21.3
Lee County,Alabama,77.9139576690325,01,081,13.0
Limestone County,Alabama,77.6675828538061,01,083,15.7
Lowndes County,Alabama,72.074118169288,01,085,26.8
Macon County,Alabama,73.257603254685,01,087,18.2
Madison County,Alabama,77.7641916190152,01,089,13.2
Marengo County,Alabama,73.5254347483341,01,091,25.3
Marion County,Alabama,74.6258695781583,01,093,26.1
Marshall County,Alabama,74.5877863503167,01,095,14.7
Mobile County,Alabama,75.3368060857871,01,097,14.1
Monroe County,Alabama,75.1270770002995,01,099,14.6
Montgomery County,Alabama,76.4216275471708,01,101,16.0
