County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,226.0
Baldwin County,Alabama,01,003,1355.0
Barbour County,Alabama,01,005,46.0
Bibb County,Alabama,01,007,81.0
Blount County,Alabama,01,009,201.0
Bullock County,Alabama,01,011,84.0
Butler County,Alabama,01,013,15.0
Calhoun County,Alabama,01,015,382.0
Chambers County,Alabama,01,017,78.0
Cherokee County,Alabama,01,019,152.0
Chilton County,Alabama,01,021,134.0
Choctaw County,Alabama,01,023,2.0
Clarke County,Alabama,01,025,8.0
Clay County,Alabama,01,027,124.0
Cleburne County,Alabama,01,029,21.0
Coffee County,Alabama,01,031,421.0
Colbert County,Alabama,01,033,328.0
Conecuh County,Alabama,01,035,19.0
Coosa County,Alabama,01,037,8.0
Covington County,Alabama,01,039,130.0
Crenshaw County,Alabama,01,041,123.0
Cullman County,Alabama,01,043,425.0
Dale County,Alabama,01,045,295.0
Dallas County,Alabama,01,047,91.0
DeKalb County,Alabama,01,049,979.0
Elmore County,Alabama,01,051,210.0
Escambia County,Alabama,01,053,1317.0
Etowah County,Alabama,01,055,475.0
Fayette County,Alabama,01,057,0.0
Franklin County,Alabama,01,059,313.0
Geneva County,Alabama,01,061,126.0
Greene County,Alabama,01,063,35.0
Hale County,Alabama,01,065,49.0
Henry County,Alabama,01,067,0.0
Houston County,Alabama,01,069,427.0
Jackson County,Alabama,01,071,448.0
Jefferson County,Alabama,01,073,1467.0
Lamar County,Alabama,01,075,42.0
Lauderdale County,Alabama,01,077,371.0
Lawrence County,Alabama,01,079,1653.0
Lee County,Alabama,01,081,203.0
Limestone County,Alabama,01,083,581.0
Lowndes County,Alabama,01,085,8.0
Macon County,Alabama,01,087,65.0
Madison County,Alabama,01,089,2094.0
Marengo County,Alabama,01,091,50.0
Marion County,Alabama,01,093,115.0
Marshall County,Alabama,01,095,567.0
Mobile County,Alabama,01,097,2568.0
Monroe County,Alabama,01,099,251.0
Montgomery County,Alabama,01,101,388.0
Morgan County,Alabama,01,103,849.0
Perry County,Alabama,01,105,4.0
Pickens County,Alabama,01,107,24.0
Pike County,Alabama,01,109,215.0
Randolph County,Alabama,01,111,74.0
Russell County,Alabama,01,113,216.0
Saint Clair County,Alabama,01,115,265.0
Shelby County,Alabama,01,117,446.0
Sumter County,Alabama,01,119,41.0
Talladega County,Alabama,01,121,253.0
Tallapoosa County,Alabama,01,123,144.0
Tuscaloosa County,Alabama,01,125,287.0
Walker County,Alabama,01,127,36.0
Washington County,Alabama,01,129,1341.0
Wilcox County,Alabama,01,131,7.0
Winston County,Alabama,01,133,166.0
Anchorage Municipality,Alaska,02,020,20963.0
Bethel Census Area,Alaska,02,050,14651.0
Bristol Bay Borough,Alaska,02,060,302.0
Fairbanks North Star Borough,Alaska,02,090,6547.0
Haines Borough,Alaska,02,100,123.0
Juneau City and Borough,Alaska,02,110,4009.0
Kenai Peninsula Borough,Alaska,02,122,4338.0
Kodiak Island Borough,Alaska,02,150,1908.0
Matanuska-Susitna Borough,Alaska,02,170,5100.0
Nome Census Area,Alaska,02,180,7174.0
North Slope Borough,Alaska,02,185,5022.0
Sitka City and Borough,Alaska,02,220,1206.0
Southeast Fairbanks Census Area,Alaska,02,240,768.0
Valdez-Cordova Census Area,Alaska,02,261,1420.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,6350.0
Aleutians East Borough,Alaska,02,013,1119.0
Aleutians West Census Area,Alaska,02,016,745.0
Dillingham Census Area,Alaska,02,070,3596.0
Lake and Peninsula Borough,Alaska,02,164,976.0
Denali Borough,Alaska,02,068,66.0
Yukon-Koyukuk Census Area,Alaska,02,290,3938.0
Hoonah-Angoon Census Area,Alaska,02,105,678.0
Skagway Municipality,Alaska,02,230,59.0
Yakutat City and Borough,Alaska,02,282,201.0
Ketchikan Gateway Borough,Alaska,02,130,1834.0
Petersburg Borough,Alaska,02,195,241.0
Prince of Wales-Hyder Census Area,Alaska,02,198,2650.0
Wrangell City and Borough,Alaska,02,275,462.0
Apache County,Arizona,04,001,52978.0
Cochise County,Arizona,04,003,1496.0
Coconino County,Arizona,04,005,37054.0
Gila County,Arizona,04,007,8249.0
Graham County,Arizona,04,009,4941.0
Greenlee County,Arizona,04,011,351.0
Maricopa County,Arizona,04,013,77142.0
Mohave County,Arizona,04,015,4332.0
Navajo County,Arizona,04,017,47599.0
Pima County,Arizona,04,019,32542.0
Pinal County,Arizona,04,021,20889.0
Santa Cruz County,Arizona,04,023,177.0
Yavapai County,Arizona,04,025,3998.0
La Paz County,Arizona,04,012,2683.0
Yuma County,Arizona,04,027,2301.0
Arkansas County,Arkansas,05,001,11.0
Ashley County,Arkansas,05,003,43.0
Baxter County,Arkansas,05,005,218.0
Benton County,Arkansas,05,007,3376.0
Boone County,Arkansas,05,009,284.0
Bradley County,Arkansas,05,011,157.0
Calhoun County,Arkansas,05,013,6.0
Carroll County,Arkansas,05,015,172.0
Chicot County,Arkansas,05,017,47.0
Clark County,Arkansas,05,019,39.0
Clay County,Arkansas,05,021,62.0
Cleburne County,Arkansas,05,023,103.0
Cleveland County,Arkansas,05,025,19.0
Columbia County,Arkansas,05,027,76.0
Conway County,Arkansas,05,029,112.0
Craighead County,Arkansas,05,031,657.0
Crawford County,Arkansas,05,033,1248.0
Crittenden County,Arkansas,05,035,87.0
Cross County,Arkansas,05,037,27.0
Dallas County,Arkansas,05,039,4.0
Desha County,Arkansas,05,041,24.0
Drew County,Arkansas,05,043,16.0
Faulkner County,Arkansas,05,045,483.0
Franklin County,Arkansas,05,047,423.0
Fulton County,Arkansas,05,049,91.0
Garland County,Arkansas,05,051,708.0
Grant County,Arkansas,05,053,56.0
Greene County,Arkansas,05,055,161.0
Hempstead County,Arkansas,05,057,39.0
Hot Spring County,Arkansas,05,059,118.0
Howard County,Arkansas,05,061,68.0
Independence County,Arkansas,05,063,143.0
Izard County,Arkansas,05,065,32.0
Jackson County,Arkansas,05,067,62.0
Jefferson County,Arkansas,05,069,105.0
Johnson County,Arkansas,05,071,90.0
Lafayette County,Arkansas,05,073,0.0
Lawrence County,Arkansas,05,075,119.0
Lee County,Arkansas,05,077,21.0
Lincoln County,Arkansas,05,079,66.0
Little River County,Arkansas,05,081,150.0
Logan County,Arkansas,05,083,183.0
Lonoke County,Arkansas,05,085,331.0
Madison County,Arkansas,05,087,129.0
Marion County,Arkansas,05,089,127.0
Miller County,Arkansas,05,091,283.0
Mississippi County,Arkansas,05,093,33.0
Monroe County,Arkansas,05,095,7.0
Montgomery County,Arkansas,05,097,205.0
Nevada County,Arkansas,05,099,19.0
Newton County,Arkansas,05,101,90.0
Ouachita County,Arkansas,05,103,47.0
Perry County,Arkansas,05,105,30.0
Phillips County,Arkansas,05,107,2.0
Pike County,Arkansas,05,109,34.0
Poinsett County,Arkansas,05,111,85.0
Polk County,Arkansas,05,113,241.0
Pope County,Arkansas,05,115,279.0
Prairie County,Arkansas,05,117,30.0
Pulaski County,Arkansas,05,119,1049.0
Randolph County,Arkansas,05,121,126.0
Saint Francis County,Arkansas,05,123,92.0
Saline County,Arkansas,05,125,388.0
Scott County,Arkansas,05,127,165.0
Searcy County,Arkansas,05,129,98.0
Sebastian County,Arkansas,05,131,1788.0
Sevier County,Arkansas,05,133,364.0
Sharp County,Arkansas,05,135,95.0
Stone County,Arkansas,05,137,44.0
Union County,Arkansas,05,139,319.0
Van Buren County,Arkansas,05,141,64.0
Washington County,Arkansas,05,143,1904.0
White County,Arkansas,05,145,155.0
Woodruff County,Arkansas,05,147,5.0
