County,State,mean_life_expectancy,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,76.3458016126412,01,001,2.6
Baldwin County,Alabama,78.1131187069305,01,003,2.7
Barbour County,Alabama,74.7743309934985,01,005,8.2
Bibb County,Alabama,73.7903133744892,01,007,5.7
Blount County,Alabama,75.013449464969,01,009,7.5
Bullock County,Alabama,73.6842860486569,01,011,4.9
Butler County,Alabama,73.9019445955979,01,013,4.2
Calhoun County,Alabama,73.4088629777792,01,015,5.1
Chambers County,Alabama,74.5258741295021,01,017,5.7
Cherokee County,Alabama,74.4293661472186,01,019,7.5
Chilton County,Alabama,74.3574576379216,01,021,5.3
Choctaw County,Alabama,74.5791676770029,01,023,5.4
Clarke County,Alabama,74.8950304256062,01,025,5.4
Clay County,Alabama,74.5316289536644,01,027,11.1
Cleburne County,Alabama,74.3862420952093,01,029,7.1
Coffee County,Alabama,76.3613073583135,01,031,4.3
Colbert County,Alabama,74.531880399761,01,033,4.8
Conecuh County,Alabama,73.5208362803517,01,035,7.0
Coosa County,Alabama,75.5688098046964,01,037,5.7
Covington County,Alabama,74.094051609186,01,039,6.3
Crenshaw County,Alabama,74.1434109951944,01,041,8.3
Cullman County,Alabama,74.4187888904678,01,043,5.6
Dale County,Alabama,75.6212203924387,01,045,4.5
Dallas County,Alabama,72.300300454957,01,047,4.2
DeKalb County,Alabama,74.664298896307,01,049,12.0
Elmore County,Alabama,76.0666411732753,01,051,4.4
Escambia County,Alabama,73.1785510386588,01,053,4.7
Etowah County,Alabama,73.310801891145,01,055,5.1
Fayette County,Alabama,73.7501826390878,01,057,6.6
Franklin County,Alabama,73.6994529156054,01,059,11.7
Geneva County,Alabama,74.2429861050731,01,061,7.5
Greene County,Alabama,74.0541627291715,01,063,9.4
Hale County,Alabama,73.8211347225773,01,065,4.5
Henry County,Alabama,75.5345409164455,01,067,6.4
Houston County,Alabama,76.2003724907021,01,069,4.0
Jackson County,Alabama,73.4860798339663,01,071,5.8
Jefferson County,Alabama,74.8266754858777,01,073,3.0
Lamar County,Alabama,74.6405751275356,01,075,7.1
Lauderdale County,Alabama,76.2332477342409,01,077,4.0
Lawrence County,Alabama,73.8448626457253,01,079,6.6
Lee County,Alabama,77.6449270835747,01,081,2.9
Limestone County,Alabama,77.5937481419663,01,083,5.8
Lowndes County,Alabama,72.0555793694128,01,085,5.9
Macon County,Alabama,73.143855116616,01,087,4.6
Madison County,Alabama,77.6056196958447,01,089,2.9
Marengo County,Alabama,73.5140531961641,01,091,6.0
Marion County,Alabama,74.2254868593688,01,093,8.7
Marshall County,Alabama,74.360519855914,01,095,7.5
Mobile County,Alabama,74.9863591340308,01,097,3.3
Monroe County,Alabama,74.9978896242308,01,099,5.4
Montgomery County,Alabama,76.1656562262215,01,101,4.4
Morgan County,Alabama,75.4261590776826,01,103,6.4
Perry County,Alabama,72.770250342339,01,105,10.6
Pickens County,Alabama,74.6249282141329,01,107,5.9
Pike County,Alabama,75.0187640137986,01,109,4.8
Randolph County,Alabama,74.3982802569113,01,111,9.0
Russell County,Alabama,73.6803490665368,01,113,5.3
Saint Clair County,Alabama,75.0107121083288,01,115,4.7
Shelby County,Alabama,80.205250224518,01,117,2.5
Sumter County,Alabama,74.7139987528402,01,119,3.9
Talladega County,Alabama,73.5793518144223,01,121,5.9
Tallapoosa County,Alabama,74.9365477647865,01,123,5.4
Tuscaloosa County,Alabama,76.5059658159458,01,125,3.2
Walker County,Alabama,70.5636130208947,01,127,7.2
Washington County,Alabama,74.6032396661542,01,129,6.3
Wilcox County,Alabama,71.5241341237713,01,131,6.5
Winston County,Alabama,74.7102062206126,01,133,7.4
Anchorage Municipality,Alaska,79.167117979683,02,020,2.5
Bethel Census Area,Alaska,72.53346154146,02,050,7.8
Bristol Bay Borough,Alaska,76.2417287283227,02,060,2.9
